gesture,person,trial,uwb_distance_mean,uwb_distance_std,uwb_distance_min,uwb_distance_max,uwb_distance_energy,uwb_distance_slope,uwb_direction_changes,uwb_skewness,uwb_peak_time_fraction,uwb_trough_time_fraction,uwb_early_late_diff
bye_bye,jon,1,137.63346613545818,44.8708762272839,54.0,239.0,5260048.0,8.0,148,0.4021422701290756,0.652,0.124,32.226539682539666
bye_bye,jon,2,134.20717131474103,51.91032825602186,43.0,243.0,5197268.0,0.0,144,0.3896309455952299,0.472,0.168,34.628380952380965
bye_bye,jon,3,129.336,40.813320178588754,59.0,243.0,4598382.0,116.0,143,0.7097733148782107,0.9357429718875502,0.13654618473895583,17.727999999999994
bye_bye,jon,4,127.20318725099601,40.598639775174966,56.0,246.0,4475054.0,16.0,143,0.7711258617610526,0.62,0.156,16.18190476190476
bye_bye,jon,5,130.289156626506,44.0129216478466,47.0,238.0,4709188.0,31.0,142,0.29189871630569314,0.8306451612903226,0.13306451612903225,39.83767741935482
bye_bye,jon,6,142.416,47.903934535693416,50.0,227.0,2822138.0,111.0,74,-0.09487068383289642,0.5241935483870968,0.14516129032258066,42.20404505888378
bye_bye,jon,7,141.6031746031746,48.3832384995018,49.0,237.0,2821442.0,88.0,55,-0.0030134796499581566,0.312,0.096,35.142857142857125
bye_bye,jon,8,143.75396825396825,51.94910306877093,45.0,240.0,2943853.0,42.0,69,0.024417306370778314,0.472,0.12,31.825396825396822
bye_bye,jon,9,138.46031746031747,31.79863498958416,84.0,262.0,2542984.0,38.0,75,0.9482331929881772,0.408,0.08,13.587301587301596
bye_bye,jon,10,107.608,25.028590371812793,65.0,237.0,1525739.0,38.0,65,1.8955047576647268,0.27419354838709675,0.11290322580645161,5.814644137224789
bye_bye,jon,11,108.456,33.15044590951983,46.0,214.0,1607707.0,16.0,56,0.5459559914731427,0.3790322580645161,0.1774193548387097,18.601894521249363
bye_bye,jon,12,115.736,35.61733151149873,52.0,231.0,1832927.0,2.0,63,0.8726406263684231,0.3870967741935484,0.1935483870967742,28.662058371735796
bye_bye,jon,13,116.32539682539682,34.822413272379194,52.0,235.0,1857769.0,9.0,59,0.5358191208091257,0.32,0.152,17.126984126984127
bye_bye,jon,14,122.72222222222223,22.244542362183996,75.0,195.0,1960001.0,86.0,65,0.05703260952517085,1.0,0.104,23.603174603174594
bye_bye,jon,15,116.7063492063492,28.281764684259585,52.0,222.0,1816949.0,30.0,66,0.26889568115366524,0.92,0.128,24.904761904761898
bye_bye,jon,16,118.55555555555556,12.682043020253024,75.0,161.0,1791248.0,-6.0,70,-0.03189375133805846,0.6,0.912,-0.03174603174602453
bye_bye,jon,17,112.864,18.035229524461286,54.0,169.0,1632944.0,16.0,68,-0.8526544606109444,0.2661290322580645,0.14516129032258066,9.714797747055812
bye_bye,jon,18,125.968,25.840413618980637,70.0,251.0,2066958.0,18.0,66,1.1887784953326832,0.2661290322580645,0.12096774193548387,11.457245263696876
bye_bye,jon,19,129.136,32.812276726859416,54.0,247.0,2219094.0,40.0,60,0.6678254901115168,0.6290322580645161,0.11290322580645161,32.527905785970304
bye_bye,jon,20,122.15537848605578,31.840297466968412,54.0,255.0,3999871.0,10.0,142,0.9028919750319269,0.576,0.116,23.305904761904756
bye_bye,nav,21,97.94,24.24245037119804,47.0,145.0,1526991.0,46.0,65,-0.756869687986724,0.3422818791946309,0.06040268456375839,19.453333333333333
bye_bye,nav,22,87.49333333333334,22.2119327289535,52.0,121.0,1222268.0,38.0,61,-0.1325352671726106,0.4966442953020134,0.1342281879194631,37.83999999999999
bye_bye,nav,23,89.2751677852349,25.6425765545196,43.0,169.0,1285512.0,68.0,76,-0.517064235288921,0.3783783783783784,0.013513513513513514,30.910450450450455
