gesture,person,trial,uwb_distance_mean,uwb_distance_std,uwb_distance_min,uwb_distance_max,uwb_distance_energy,uwb_distance_slope,uwb_direction_changes
clapping,akshat,1,37.496688741721854,17.866270775393353,3.0,78.0,260506.0,14.0,46.0
clapping,akshat,2,37.04,16.83919237968377,8.0,76.0,248328.0,-4.0,57.0
clapping,akshat,3,35.14,20.643329834759378,0.0,82.0,249145.0,-46.0,42.0
clapping,akshat,4,31.666666666666668,15.958139685509154,1.0,60.0,188616.0,-35.0,41.0
clapping,akshat,5,34.980132450331126,16.092641648102557,7.0,63.0,223870.0,-40.0,62.0
clapping,akshat,6,32.328859060402685,17.798817151340348,0.0,65.0,202931.0,1.0,40.0
clapping,akshat,7,34.63333333333333,16.752479086856237,5.0,71.0,222017.0,-9.0,72.0
clapping,akshat,8,37.38666666666666,14.458117289452163,5.0,63.0,241020.0,-17.0,63.0
clapping,akshat,9,31.626666666666665,15.014014194152816,6.0,63.0,183850.0,-15.0,51.0
clapping,akshat,10,34.32666666666667,17.1978667927805,3.0,71.0,221113.0,-34.0,65.0
clapping,akshat,11,35.18,16.64014022376815,6.0,69.0,227179.0,-12.0,43.0
clapping,akshat,12,38.145695364238414,21.84848407337562,3.0,81.0,291800.0,-42.0,50.0
clapping,akshat,13,35.817567567567565,18.74834665220858,2.0,69.0,241891.0,-46.0,49.0
clapping,akshat,14,33.10738255033557,15.188807668275231,4.0,61.0,197693.0,-31.0,55.0
clapping,akshat,15,33.913907284768214,15.650969712610344,1.0,64.0,210661.0,-27.0,55.0
clapping,akshat,16,32.18666666666667,15.569794118384769,4.0,57.0,191760.0,-42.0,55.0
clapping,akshat,17,29.766666666666666,13.957753719309167,1.0,67.0,162131.0,-12.0,65.0
clapping,akshat,18,33.854304635761586,16.719104094867394,0.0,65.0,215272.0,-42.0,62.0
clapping,akshat,19,29.96,16.70444252287397,1.0,61.0,176496.0,-9.0,52.0
clapping,akshat,20,35.390728476821195,17.697971414389652,2.0,73.0,236424.0,-58.0,39.0
clockwise,akshat,1,88.12,41.76344813350545,26.0,160.0,1426398.0,108.0,61.0
clockwise,akshat,2,100.27333333333333,43.57367655923572,29.0,172.0,1793011.0,13.0,69.0
clockwise,akshat,3,77.32666666666667,44.32734245236104,25.0,148.0,1191649.0,13.0,63.0
clockwise,akshat,4,86.99333333333334,42.389070394252435,24.0,151.0,1404701.0,-29.0,59.0
clockwise,akshat,5,76.96666666666667,42.186319530809456,11.0,143.0,1155533.0,11.0,58.0
clockwise,akshat,6,69.91390728476821,36.2474827438117,22.0,130.0,936477.0,12.0,65.0
clockwise,akshat,7,75.52980132450331,40.201282959828,18.0,136.0,1105455.0,-19.0,56.0
clockwise,akshat,8,77.15894039735099,41.07271740990038,10.0,137.0,1153711.0,7.0,66.0
clockwise,akshat,9,79.81333333333333,41.33576121901659,24.0,145.0,1211822.0,-14.0,53.0
clockwise,akshat,10,97.84666666666666,43.43266614990253,32.0,156.0,1719055.0,-26.0,58.0
clockwise,akshat,11,97.58278145695364,30.93174661338877,2.0,133.0,1582355.0,-23.0,64.0
clockwise,akshat,12,72.97986577181209,31.105248871605788,35.0,130.0,937746.0,-6.0,70.0
clockwise,akshat,13,82.12,43.84273714083098,16.0,153.0,1299882.0,-20.0,65.0
clockwise,akshat,14,86.59333333333333,44.09400513549307,13.0,151.0,1416403.0,-22.0,62.0
clockwise,akshat,15,43.29139072847682,30.23234297308155,8.0,154.0,421009.0,-74.0,73.0
clockwise,akshat,16,104.72666666666667,41.40996605756746,26.0,181.0,1902369.0,22.0,64.0
clockwise,akshat,17,91.17880794701986,40.324689837611146,16.0,152.0,1500888.0,15.0,56.0
clockwise,akshat,18,59.95333333333333,44.74227481426884,13.0,149.0,839441.0,-110.0,69.0
clockwise,akshat,19,97.42666666666666,48.127517654202315,18.0,168.0,1771232.0,47.0,63.0
clockwise,akshat,20,92.66,42.509266440781275,18.0,162.0,1558937.0,17.0,66.0
counterclockwise,akshat,1,93.2251655629139,44.85165721323922,20.0,167.0,1616093.0,18.0,76.0
counterclockwise,akshat,2,100.26666666666668,40.28972849526567,38.0,223.0,1751500.0,15.0,54.0
counterclockwise,akshat,3,105.42666666666666,37.440681380314416,27.0,173.0,1877488.0,7.0,48.0
counterclockwise,akshat,4,99.8543046357616,46.814895086926256,14.0,179.0,1836540.0,1.0,58.0
counterclockwise,akshat,5,102.44,44.17487672120131,25.0,177.0,1866806.0,4.0,60.0
counterclockwise,akshat,6,103.13245033112582,46.04959542022859,30.0,188.0,1926287.0,28.0,70.0
counterclockwise,akshat,7,101.75496688741724,40.8909010244126,33.0,174.0,1815947.0,25.0,71.0
counterclockwise,akshat,8,85.17218543046357,32.80400589118137,16.0,144.0,1257891.0,4.0,55.0
counterclockwise,akshat,9,92.19333333333331,39.415343318165945,24.0,153.0,1507977.0,-3.0,54.0
counterclockwise,akshat,10,95.97333333333331,44.51216263250104,20.0,220.0,1678832.0,11.0,55.0
counterclockwise,akshat,11,91.86754966887418,45.652397497909526,21.0,167.0,1589092.0,5.0,54.0
counterclockwise,akshat,12,96.03973509933776,45.266522108185946,23.0,171.0,1702176.0,10.0,61.0
counterclockwise,akshat,13,97.83443708609272,46.273793659586794,24.0,168.0,1768639.0,4.0,59.0
counterclockwise,akshat,14,94.68666666666668,42.765895550335685,26.0,169.0,1619173.0,5.0,50.0
counterclockwise,akshat,15,93.78,44.35325918125972,25.0,169.0,1614285.0,1.0,56.0
counterclockwise,akshat,16,94.80132450331126,43.20090443429461,28.0,170.0,1638895.0,-2.0,52.0
counterclockwise,akshat,17,98.54666666666668,41.7493451711787,36.0,166.0,1718168.0,41.0,51.0
counterclockwise,akshat,18,112.56,39.05593936906396,38.0,163.0,2129268.0,-32.0,62.0
counterclockwise,akshat,19,100.3758389261745,41.63060253286304,25.0,170.0,1759454.0,27.0,44.0
counterclockwise,akshat,20,100.5,37.1719876609614,29.0,163.0,1722301.0,39.0,53.0
