distance_cm,timestamp_ms
99.0,1785095064689.255
100.0,1785095064693.5688
105.0,1785095064733.3179
101.0,1785095064775.88
93.0,1785095064819.0012
95.0,1785095064859.288
88.0,1785095064894.937
84.0,1785095064935.367
86.0,1785095064975.389
81.0,1785095065015.2842
70.0,1785095065055.9958
64.0,1785095065096.3972
49.0,1785095065139.699
55.0,1785095065179.6228
76.0,1785095065215.413
55.0,1785095065255.504
56.0,1785095065295.6
54.0,1785095065335.664
51.0,1785095065375.763
57.0,1785095065416.369
63.0,1785095065455.309
63.0,1785095065499.4458
65.0,1785095065535.732
68.0,1785095065579.5981
76.0,1785095065615.4448
79.0,1785095065656.082
91.0,1785095065696.5608
96.0,1785095065739.903
103.0,1785095065775.6338
109.0,1785095065816.334
122.0,1785095065861.528
184.0,1785095065895.852
188.0,1785095065939.8542
190.0,1785095065975.83
184.0,1785095066015.88
208.0,1785095066059.7288
214.0,1785095066095.3447
225.0,1785095066135.644
143.0,1785095066176.3132
237.0,1785095066214.916
222.0,1785095066256.554
142.0,1785095066295.5342
138.0,1785095066335.5852
135.0,1785095066375.8562
135.0,1785095066416.228
164.0,1785095066459.963
213.0,1785095066495.733
126.0,1785095066540.3872
160.0,1785095066579.4028
156.0,1785095066615.3972
221.0,1785095066656.04
204.0,1785095066698.867
203.0,1785095066739.204
171.0,1785095066775.1428
125.0,1785095066818.861
133.0,1785095066855.663
123.0,1785095066894.891
171.0,1785095066939.005
152.0,1785095066975.6082
141.0,1785095067015.651
119.0,1785095067055.794
119.0,1785095067096.611
114.0,1785095067140.209
179.0,1785095067176.239
196.0,1785095067220.053
148.0,1785095067255.923
214.0,1785095067299.669
196.0,1785095067340.2542
196.0,1785095067375.629
221.0,1785095067415.564
201.0,1785095067456.0693
168.0,1785095067499.696
159.0,1785095067535.6592
118.0,1785095067576.575
122.0,1785095067620.158
124.0,1785095067655.0752
127.0,1785095067695.7031
128.0,1785095067735.3752
125.0,1785095067775.9248
127.0,1785095067816.64
120.0,1785095067859.9731
202.0,1785095067895.8281
157.0,1785095067936.622
141.0,1785095067980.115
212.0,1785095068020.4102
194.0,1785095068059.673
190.0,1785095068100.061
190.0,1785095068140.0771
195.0,1785095068180.0571
185.0,1785095068215.68
152.0,1785095068256.4631
167.0,1785095068299.7551
127.0,1785095068335.674
145.0,1785095068376.242
130.0,1785095068419.6028
123.0,1785095068459.716
122.0,1785095068499.9512
122.0,1785095068535.41
127.0,1785095068575.65
217.0,1785095068616.375
141.0,1785095068659.7659
129.0,1785095068695.457
170.0,1785095068736.253
215.0,1785095068779.648
213.0,1785095068820.217
212.0,1785095068855.5022
197.0,1785095068895.425
209.0,1785095068940.495
184.0,1785095068975.6829
127.0,1785095069016.047
116.0,1785095069059.556
137.0,1785095069095.462
140.0,1785095069135.983
120.0,1785095069179.5562
128.0,1785095069220.2097
117.0,1785095069260.263
121.0,1785095069300.256
122.0,1785095069335.597
130.0,1785095069375.8481
126.0,1785095069415.7751
122.0,1785095069456.383
143.0,1785095069499.647
155.0,1785095069535.1191
213.0,1785095069575.9868
187.0,1785095069616.183
187.0,1785095069656.3652
