ax,ay,az,gx,gy,gz,timestamp_ms
0.929,-0.925,0.214,-13.89,18.19,29.05,1785095150004.116
0.923,-0.912,0.21,-10.9,12.73,22.4,1785095150031.236
0.918,-0.895,0.201,-7.23,7.39,15.2,1785095150031.604
0.915,-0.887,0.197,-4.09,2.72,7.66,1785095150031.959
0.902,-0.881,0.209,-1.25,-1.62,1.07,1785095150032.311
0.896,-0.875,0.221,3.05,-6.5,-4.76,1785095150032.649
0.899,-0.859,0.223,9.0,-11.69,-10.38,1785095150032.9822
0.905,-0.84,0.207,14.65,-17.0,-16.05,1785095150033.329
0.911,-0.805,0.182,15.2,-21.39,-21.91,1785095150033.68
0.907,-0.79,0.166,10.44,-24.78,-27.04,1785095150034.073
0.898,-0.801,0.151,3.97,-28.11,-31.95,1785095150034.41
0.889,-0.805,0.125,-1.13,-31.31,-36.65,1785095150034.7532
0.881,-0.788,0.1,-4.12,-34.03,-40.74,1785095150035.0908
0.878,-0.778,0.087,-4.79,-36.74,-45.11,1785095150035.424
0.875,-0.768,0.078,-3.3,-39.4,-50.2,1785095150035.761
0.875,-0.767,0.075,-0.09,-41.72,-55.06,1785095150036.0962
0.865,-0.765,0.073,4.43,-44.28,-59.33,1785095150036.4421
0.843,-0.755,0.066,9.98,-47.21,-62.65,1785095150036.78
0.825,-0.729,0.052,16.08,-50.45,-65.61,1785095150037.131
0.816,-0.696,0.033,23.19,-53.83,-68.45,1785095150037.474
0.819,-0.661,0.009,30.03,-56.92,-71.29,1785095150037.838
0.821,-0.622,-0.019,34.91,-59.21,-73.85,1785095150038.156
0.817,-0.591,-0.041,36.74,-61.19,-75.78,1785095150038.455
0.815,-0.567,-0.056,35.31,-62.81,-77.76,1785095150038.757
0.82,-0.561,-0.066,32.99,-64.24,-80.17,1785095150039.0771
0.821,-0.558,-0.074,30.34,-65.71,-82.67,1785095150039.369
0.818,-0.539,-0.096,26.52,-67.14,-84.66,1785095150039.666
0.812,-0.511,-0.125,22.55,-68.42,-86.06,1785095150039.9658
0.816,-0.48,-0.16,20.42,-69.06,-88.02,1785095150040.259
0.819,-0.453,-0.188,19.07,-69.25,-90.21,1785095150040.554
0.82,-0.432,-0.201,17.7,-68.7,-91.83,1785095150040.8508
0.819,-0.426,-0.195,17.0,-68.15,-92.68,1785095150041.148
0.817,-0.427,-0.185,17.43,-68.36,-93.66,1785095150041.441
0.81,-0.427,-0.173,18.8,-68.94,-94.49,1785095150041.76
0.806,-0.433,-0.179,21.94,-69.83,-95.49,1785095150042.077
0.802,-0.432,-0.209,26.03,-70.8,-96.44,1785095150042.413
0.799,-0.405,-0.248,30.76,-71.54,-97.11,1785095150042.729
0.8,-0.367,-0.276,36.96,-71.44,-97.69,1785095150043.026
0.793,-0.332,-0.297,42.02,-71.35,-98.39,1785095150043.321
0.79,-0.301,-0.294,44.28,-71.47,-98.48,1785095150043.6091
0.788,-0.303,-0.288,46.24,-71.87,-98.33,1785095150043.9082
0.781,-0.315,-0.296,48.71,-72.48,-98.64,1785095150044.204
0.771,-0.31,-0.323,50.87,-73.31,-98.82,1785095150044.5051
0.762,-0.274,-0.347,52.4,-73.92,-98.97,1785095150044.7922
0.768,-0.231,-0.37,54.41,-74.28,-99.22,1785095150045.087
0.771,-0.192,-0.391,55.51,-74.43,-99.49,1785095150045.377
0.766,-0.165,-0.392,55.94,-74.37,-99.4,1785095150045.643
0.761,-0.156,-0.395,57.04,-74.8,-99.31,1785095150045.8933
0.76,-0.151,-0.408,58.23,-74.89,-99.34,1785095150046.156
0.752,-0.143,-0.409,59.85,-74.56,-98.51,1785095150046.424
0.752,-0.159,-0.403,63.36,-74.62,-97.6,1785095150046.6812
0.74,-0.186,-0.414,67.35,-75.2,-97.51,1785095150046.946
0.726,-0.187,-0.439,70.99,-75.93,-96.9,1785095150047.224
0.721,-0.154,-0.471,74.71,-76.33,-94.94,1785095150047.489
0.723,-0.11,-0.5,78.65,-76.39,-92.53,1785095150047.7441
0.724,-0.071,-0.508,81.27,-76.08,-89.75,1785095150048.008
0.725,-0.062,-0.499,82.19,-75.78,-87.34,1785095150048.272
0.72,-0.07,-0.493,82.92,-75.84,-85.73,1785095150048.5261
0.713,-0.069,-0.512,83.25,-75.96,-84.35,1785095150048.7922
0.706,-0.04,-0.548,82.49,-75.84,-82.13,1785095150049.0571
0.704,0.008,-0.593,81.06,-75.35,-78.95,1785095150049.32
0.708,0.055,-0.626,78.92,-74.53,-75.69,1785095150049.596
0.71,0.09,-0.651,75.56,-73.43,-72.51,1785095150049.906
0.709,0.104,-0.652,70.22,-71.9,-69.46,1785095150050.2139
0.711,0.097,-0.633,64.12,-70.47,-66.62,1785095150050.497
0.713,0.084,-0.606,57.95,-69.37,-63.88,1785095150050.7551
0.716,0.058,-0.604,52.34,-68.33,-60.88,1785095150051.0662
0.699,0.053,-0.647,45.69,-67.05,-57.74,1785095150051.359
0.684,0.108,-0.697,39.74,-64.94,-52.31,1785095150051.62
0.687,0.169,-0.753,37.48,-62.38,-45.75,1785095150051.878
0.694,0.205,-0.777,34.55,-59.24,-40.62,1785095150052.1382
0.698,0.204,-0.769,29.66,-56.25,-36.84,1785095150052.4001
0.701,0.169,-0.747,25.67,-53.35,-33.36,1785095150052.6763
0.702,0.125,-0.716,24.63,-49.81,-29.91,1785095150052.9429
0.688,0.082,-0.699,26.43,-47.12,-26.31,1785095150053.209
0.673,0.074,-0.7,30.09,-45.56,-22.31,1785095150053.452
0.668,0.092,-0.725,35.89,-43.98,-17.61,1785095150053.6858
0.667,0.114,-0.76,42.18,-42.18,-13.0,1785095150053.951
0.668,0.127,-0.797,45.81,-39.86,-8.97,1785095150054.1921
0.668,0.133,-0.806,46.48,-37.42,-5.25,1785095150054.4263
0.67,0.119,-0.801,47.09,-35.16,-1.62,1785095150054.666
0.679,0.096,-0.8,47.7,-32.87,1.19,1785095150054.909
0.678,0.076,-0.795,47.43,-30.58,3.97,1785095150055.168
0.675,0.064,-0.79,47.27,-28.87,7.2,1785095150055.4502
0.674,0.06,-0.79,48.49,-28.02,10.07,1785095150055.714
0.671,0.062,-0.792,50.6,-27.25,12.63,1785095150055.953
0.664,0.053,-0.799,52.0,-26.7,15.26,1785095150056.232
0.66,0.037,-0.803,51.58,-26.03,17.52,1785095150056.5022
0.664,0.019,-0.802,50.75,-25.15,19.47,1785095150056.745
0.668,0.002,-0.8,50.54,-24.35,21.15,1785095150056.985
0.665,-0.017,-0.798,51.0,-23.71,23.07,1785095150057.217
0.659,-0.04,-0.794,51.97,-23.04,24.78,1785095150057.458
0.648,-0.06,-0.783,53.16,-22.83,26.06,1785095150057.697
0.643,-0.077,-0.776,55.02,-23.01,27.44,1785095150057.937
0.649,-0.098,-0.778,57.25,-23.16,28.35,1785095150058.175
0.651,-0.114,-0.789,59.11,-22.74,29.11,1785095150058.4167
0.645,-0.135,-0.8,59.54,-21.67,30.09,1785095150058.656
0.636,-0.16,-0.793,59.14,-20.75,30.82,1785095150058.889
0.629,-0.188,-0.779,59.6,-19.9,31.34,1785095150059.126
0.625,-0.215,-0.771,60.58,-19.17,31.71,1785095150059.352
0.621,-0.224,-0.752,61.62,-18.71,32.23,1785095150059.5781
0.614,-0.23,-0.734,63.57,-18.8,33.23,1785095150059.797
0.601,-0.237,-0.725,66.13,-19.04,33.91,1785095150060.0222
0.592,-0.236,-0.71,68.76,-19.59,34.3,1785095150060.2468
0.586,-0.236,-0.704,71.41,-20.02,34.58,1785095150060.4648
0.57,-0.238,-0.701,73.12,-19.99,35.13,1785095150060.686
0.55,-0.24,-0.69,73.0,-19.78,35.74,1785095150060.9128
0.531,-0.247,-0.676,71.69,-19.84,36.13,1785095150061.1357
0.509,-0.258,-0.67,70.07,-19.93,36.47,1785095150061.373
0.496,-0.274,-0.676,68.21,-19.53,37.08,1785095150061.604
0.496,-0.274,-0.676,65.68,-18.34,37.97,1785095150061.8298
0.502,-0.29,-0.672,63.11,-17.3,39.86,1785095150062.0579
0.521,-0.313,-0.673,60.06,-16.33,42.54,1785095150062.281
0.529,-0.335,-0.677,56.4,-15.47,46.36,1785095150062.509
0.508,-0.354,-0.66,53.74,-15.5,50.94,1785095150062.7341
0.473,-0.375,-0.636,53.74,-15.5,50.94,1785095150062.951
0.435,-0.398,-0.608,52.89,-16.54,54.51,1785095150063.18
0.4,-0.416,-0.584,54.48,-17.73,57.34,1785095150063.409
0.392,-0.418,-0.572,58.35,-19.32,59.45,1785095150063.637
0.424,-0.411,-0.574,64.42,-20.51,61.77,1785095150063.8562
0.471,-0.408,-0.599,72.08,-20.51,64.21,1785095150064.085
0.529,-0.414,-0.626,80.39,-18.65,66.56,1785095150064.311
0.555,-0.454,-0.655,89.18,-15.99,69.25,1785095150064.5308
0.526,-0.506,-0.66,96.32,-13.06,72.6,1785095150064.758
0.484,-0.555,-0.645,101.9,-10.5,76.45,1785095150064.9863
0.451,-0.595,-0.621,106.91,-8.03,79.78,1785095150065.206
0.428,-0.624,-0.596,111.18,-6.07,82.86,1785095150065.414
0.412,-0.643,-0.558,114.44,-5.31,86.46,1785095150065.633
0.422,-0.663,-0.528,119.42,-5.37,89.57,1785095150065.846
0.452,-0.679,-0.53,126.59,-4.73,91.68,1785095150066.072
