num_points,points,timestamp_ms
10,"[{""range"": 0.792738640660706, ""doppler"": 0.0, ""angle"": -23.841764243926374, ""elevation"": 0.0}, {""range"": 0.8090816792359852, ""doppler"": 0.0, ""angle"": -23.386477564272617, ""elevation"": 0.0}, {""range"": 3.5217378399150077, ""doppler"": 0.0, ""angle"": -19.35402409313518, ""elevation"": 0.0}, {""range"": 0.7609549828738714, ""doppler"": 0.0, ""angle"": -15.98608235189001, ""elevation"": 0.0}, {""range"": 0.7240954964549025, ""doppler"": 0.0, ""angle"": -8.778434298971776, ""elevation"": 0.0}, {""range"": 0.8548489592423818, ""doppler"": 0.0, ""angle"": -5.06422131540413, ""elevation"": 0.0}, {""range"": 0.9003486862986791, ""doppler"": 0.0, ""angle"": -0.38689709914643133, ""elevation"": 0.0}, {""range"": 2.7695426088339747, ""doppler"": 0.0, ""angle"": 3.012593074909185, ""elevation"": 0.0}, {""range"": 2.8012359285848407, ""doppler"": 0.0, ""angle"": 1.2363023779934912, ""elevation"": 0.0}, {""range"": 2.8165550417239316, ""doppler"": 0.0, ""angle"": 0.3637547439459264, ""elevation"": 0.0}]",1785095242735.415
12,"[{""range"": 1.2924974965196903, ""doppler"": 0.0, ""angle"": -47.55675002182042, ""elevation"": 0.0}, {""range"": 0.8492908946344532, ""doppler"": 0.0, ""angle"": -26.07950534706986, ""elevation"": 0.0}, {""range"": 3.5161085694502296, ""doppler"": 0.0, ""angle"": -17.830480411479616, ""elevation"": 0.0}, {""range"": 0.7369289311525398, ""doppler"": 0.0, ""angle"": -8.399463871054095, ""elevation"": 0.0}, {""range"": 0.7552987133062703, ""doppler"": 0.0, ""angle"": -6.825534470877838, ""elevation"": 0.0}, {""range"": 0.9155400911389956, ""doppler"": 0.0, ""angle"": -6.515672188747726, ""elevation"": 0.0}, {""range"": 0.7697661574247718, ""doppler"": 0.0, ""angle"": -1.6772498121689787, ""elevation"": 0.0}, {""range"": 2.8083675725145922, ""doppler"": 0.0, ""angle"": 0.4706137752035975, ""elevation"": 0.0}, {""range"": 0.7933044677360578, ""doppler"": 0.0, ""angle"": 6.263177502111265, ""elevation"": 0.0}, {""range"": 1.9200792811044856, ""doppler"": 0.0, ""angle"": 38.238143463349424, ""elevation"": 0.0}, {""range"": 1.9607005954192038, ""doppler"": 0.0, ""angle"": 37.24298797457859, ""elevation"": 0.0}, {""range"": 2.0055720016572143, ""doppler"": 0.0, ""angle"": 38.505832749328235, ""elevation"": 0.0}]",1785095242735.8
5,"[{""range"": 0.8043445116979209, ""doppler"": 0.0, ""angle"": -20.183341669305136, ""elevation"": 0.0}, {""range"": 0.8331923486765722, ""doppler"": 0.0, ""angle"": -21.002197760547748, ""elevation"": 0.0}, {""range"": 0.7427551585164196, ""doppler"": 0.0, ""angle"": -11.034005923945971, ""elevation"": 0.0}, {""range"": 0.7652945602097821, ""doppler"": 0.0, ""angle"": -13.12706914608786, ""elevation"": 0.0}, {""range"": 0.783429130082589, ""doppler"": 0.0, ""angle"": -15.977729858840856, ""elevation"": 0.0}]",1785095242736.171
7,"[{""range"": 0.8259401883508019, ""doppler"": 0.0, ""angle"": -36.12313225891791, ""elevation"": 0.0}, {""range"": 0.8431245576117855, ""doppler"": 0.0, ""angle"": -40.54461967282709, ""elevation"": 0.0}, {""range"": 0.7426346132071545, ""doppler"": 0.0, ""angle"": -6.428554662765384, ""elevation"": 0.0}, {""range"": 0.7592348685777545, ""doppler"": 0.0, ""angle"": -5.270174915246896, ""elevation"": 0.0}, {""range"": 2.076036377152098, ""doppler"": 0.0, ""angle"": -10.21524188216718, ""elevation"": 0.0}, {""range"": 2.091281183523647, ""doppler"": 0.0, ""angle"": -10.045440631083222, ""elevation"": 0.0}, {""range"": 0.7686264915901296, ""doppler"": 0.0, ""angle"": -2.613456777193524, ""elevation"": 0.0}]",1785095242736.523
9,"[{""range"": 1.3179262044002893, ""doppler"": 0.0, ""angle"": -49.78235789443799, ""elevation"": 0.0}, {""range"": 0.861399599504905, ""doppler"": 0.0, ""angle"": -19.992251897642436, ""elevation"": 0.0}, {""range"": 0.8399297832473318, ""doppler"": 0.0, ""angle"": -16.957447365200803, ""elevation"": 0.0}, {""range"": 0.7351724790115941, ""doppler"": 0.0, ""angle"": -7.195886284703419, ""elevation"": 0.0}, {""range"": 0.7434027116506183, ""doppler"": 0.0, ""angle"": -7.26860592474927, ""elevation"": 0.0}, {""range"": 0.8972832088830285, ""doppler"": 0.0, ""angle"": -8.641989811145185, ""elevation"": 0.0}, {""range"": 0.7752812966276682, ""doppler"": 0.0, ""angle"": -2.934996647343596, ""elevation"": 0.0}, {""range"": 2.0228895652251406, ""doppler"": 0.0, ""angle"": 40.3463993804093, ""elevation"": 0.0}, {""range"": 2.0435200411229792, ""doppler"": 0.0, ""angle"": 48.543827075803236, ""elevation"": 0.0}]",1785095242736.872
5,"[{""range"": 0.7407795366928472, ""doppler"": 0.0, ""angle"": -12.080267712190802, ""elevation"": 0.0}, {""range"": 0.7779008948875824, ""doppler"": 0.0, ""angle"": -15.50578108551263, ""elevation"": 0.0}, {""range"": 0.8365237118034226, ""doppler"": 0.0, ""angle"": -16.9901725770043, ""elevation"": 0.0}, {""range"": 0.8808106506632047, ""doppler"": 0.0, ""angle"": -2.792702365713283, ""elevation"": 0.0}, {""range"": 2.0073545068009118, ""doppler"": 0.0, ""angle"": 51.43026308258487, ""elevation"": 0.0}]",1785095242737.209
7,"[{""range"": 1.318337039561178, ""doppler"": 0.0, ""angle"": -46.26399571938375, ""elevation"": 0.0}, {""range"": 0.7644620269443219, ""doppler"": 0.0, ""angle"": -11.04446927283749, ""elevation"": 0.0}, {""range"": 0.7975455081695445, ""doppler"": 0.0, ""angle"": -10.881645555502134, ""elevation"": 0.0}, {""range"": 0.8258624881895277, ""doppler"": 0.0, ""angle"": -11.489969575062116, ""elevation"": 0.0}, {""range"": 1.973544831808745, ""doppler"": 0.0, ""angle"": 42.44794273201789, ""elevation"": 0.0}, {""range"": 2.012979549376093, ""doppler"": 0.0, ""angle"": 43.1426429490842, ""elevation"": 0.0}, {""range"": 2.0413774740307384, ""doppler"": 0.0, ""angle"": 42.987397311244614, ""elevation"": 0.0}]",1785095242737.553
9,"[{""range"": 1.3240459097444786, ""doppler"": 0.0, ""angle"": -46.02869619015618, ""elevation"": 0.0}, {""range"": 0.7374964977348969, ""doppler"": 0.0, ""angle"": -10.675124810036841, ""elevation"": 0.0}, {""range"": 0.746005947821169, ""doppler"": 0.0, ""angle"": -9.311051044853574, ""elevation"": 0.0}, {""range"": 0.774665592542073, ""doppler"": 0.0, ""angle"": -6.188299135405631, ""elevation"": 0.0}, {""range"": 0.835609683395756, ""doppler"": 0.0, ""angle"": -7.413964081315301, ""elevation"": 0.0}, {""range"": 0.9372910653120902, ""doppler"": 0.0, ""angle"": -7.057226769183425, ""elevation"": 0.0}, {""range"": 0.88136575599913, ""doppler"": 0.0, ""angle"": -1.1276325134536782, ""elevation"": 0.0}, {""range"": 0.9078665204509908, ""doppler"": 0.0, ""angle"": -0.4514051135890317, ""elevation"": 0.0}, {""range"": 2.0053497467811043, ""doppler"": 0.0, ""angle"": 49.07120313620495, ""elevation"": 0.0}]",1785095242737.893
9,"[{""range"": 1.3283526224471545, ""doppler"": 0.0, ""angle"": -48.853254902310915, ""elevation"": 0.0}, {""range"": 0.751947866773668, ""doppler"": 0.0, ""angle"": -18.40909721713541, ""elevation"": 0.0}, {""range"": 0.7988527075285151, ""doppler"": 0.0, ""angle"": -17.952324309360286, ""elevation"": 0.0}, {""range"": 0.923060755112301, ""doppler"": 0.0, ""angle"": -13.99048007549117, ""elevation"": 0.0}, {""range"": 0.9451311103314042, ""doppler"": 0.0, ""angle"": -15.674397327406822, ""elevation"": 0.0}, {""range"": 0.8380618998383293, ""doppler"": 0.0, ""angle"": -9.828103399392688, ""elevation"": 0.0}, {""range"": 1.9298724885721514, ""doppler"": 0.0, ""angle"": 43.67476222101095, ""elevation"": 0.0}, {""range"": 1.9714076096669126, ""doppler"": 0.0, ""angle"": 48.01471893110029, ""elevation"": 0.0}, {""range"": 1.9980500752728987, ""doppler"": 0.0, ""angle"": 47.6804363006459, ""elevation"": 0.0}]",1785095242738.245
7,"[{""range"": 0.746010919659171, ""doppler"": 0.0, ""angle"": -14.505897788702349, ""elevation"": 0.0}, {""range"": 0.8601768248057896, ""doppler"": 0.0, ""angle"": -14.125795132673018, ""elevation"": 0.0}, {""range"": 0.8925897628729114, ""doppler"": 0.0, ""angle"": -14.395363956138555, ""elevation"": 0.0}, {""range"": 0.8111197163947085, ""doppler"": 0.0, ""angle"": -6.150489790013433, ""elevation"": 0.0}, {""range"": 0.8416101547215867, ""doppler"": 0.0, ""angle"": -7.716918799128406, ""elevation"": 0.0}, {""range"": 2.0467001757921146, ""doppler"": 0.0, ""angle"": 38.62619223230856, ""elevation"": 0.0}, {""range"": 2.0252055159223183, ""doppler"": 0.0, ""angle"": 44.8461813947592, ""elevation"": 0.0}]",1785095242738.591
