num_points,points,timestamp_ms
8,"[{""range"": 0.10757304211893207, ""doppler"": 0.0, ""angle"": -41.293438621092974, ""elevation"": 0.0}, {""range"": 0.9238283085492878, ""doppler"": 0.0, ""angle"": -3.6399778786585992, ""elevation"": 0.0}, {""range"": 1.1665181066257622, ""doppler"": 0.0, ""angle"": -6.239322414000273, ""elevation"": 0.0}, {""range"": 1.182257911255636, ""doppler"": 0.0, ""angle"": -5.050067825386923, ""elevation"": 0.0}, {""range"": 0.7589932009966242, ""doppler"": 0.0, ""angle"": 5.068552666983303, ""elevation"": 0.0}, {""range"": 0.7646269710710619, ""doppler"": 9.453816057852237, ""angle"": 7.025299356882785, ""elevation"": 0.0}, {""range"": 9.121899479503355, ""doppler"": 3.024231019546278, ""angle"": 44.530579666094205, ""elevation"": 35.028715065647845}, {""range"": 2.1352874428473774, ""doppler"": 6.340401528461371, ""angle"": 45.0, ""elevation"": 12.615073652073445}]",1785107060410.915
10,"[{""range"": 0.10267252580351588, ""doppler"": 0.0, ""angle"": -45.42336012391137, ""elevation"": 0.0}, {""range"": 0.13469330967855322, ""doppler"": 0.0, ""angle"": -47.79794347249642, ""elevation"": 0.0}, {""range"": 0.7563457412228968, ""doppler"": 0.0, ""angle"": -14.877318474522829, ""elevation"": 0.0}, {""range"": 0.7874447764288373, ""doppler"": 0.0, ""angle"": -14.626347671873956, ""elevation"": 0.0}, {""range"": 0.9282433704289482, ""doppler"": 0.0, ""angle"": -5.638108578740438, ""elevation"": 0.0}, {""range"": 0.9151190016145773, ""doppler"": 0.0, ""angle"": -2.1836658011531314, ""elevation"": 0.0}, {""range"": 0.8700485934930605, ""doppler"": 0.0, ""angle"": 12.3538261583085, ""elevation"": 0.0}, {""range"": 0.8445716985447964, ""doppler"": 0.0, ""angle"": 22.835419460583683, ""elevation"": 0.0}, {""range"": 2.070141899696385, ""doppler"": 0.0, ""angle"": 37.07281007039213, ""elevation"": 0.0}, {""range"": 2.0939731517466194, ""doppler"": 0.0, ""angle"": 37.156613897795175, ""elevation"": 0.0}]",1785107060411.563
8,"[{""range"": 0.10305532765942577, ""doppler"": 0.0, ""angle"": -45.63268841235545, ""elevation"": 0.0}, {""range"": 0.7251333648534949, ""doppler"": 0.0, ""angle"": -4.072530495834214, ""elevation"": 0.0}, {""range"": 0.9160291425341126, ""doppler"": 0.0, ""angle"": -4.05214869194041, ""elevation"": 0.0}, {""range"": 1.1596822034992897, ""doppler"": 0.0, ""angle"": -7.219254545677191, ""elevation"": 0.0}, {""range"": 0.7467763160988077, ""doppler"": 0.0, ""angle"": 0.658543177563603, ""elevation"": 0.0}, {""range"": 0.8808209056731083, ""doppler"": 0.0, ""angle"": 3.2469309874601273, ""elevation"": 0.0}, {""range"": 0.7815435051094664, ""doppler"": 0.0, ""angle"": 10.320089073360192, ""elevation"": 0.0}, {""range"": 0.8167535651163221, ""doppler"": 0.0, ""angle"": 13.251293848778362, ""elevation"": 0.0}]",1785107060412.0122
7,"[{""range"": 0.10267252580351588, ""doppler"": 0.0, ""angle"": -45.42336012391137, ""elevation"": 0.0}, {""range"": 0.9377730014559947, ""doppler"": 0.0, ""angle"": -6.470491462056617, ""elevation"": 0.0}, {""range"": 0.917494976596956, ""doppler"": 0.0, ""angle"": -2.9940066216262538, ""elevation"": 0.0}, {""range"": 0.7880214040458801, ""doppler"": 0.0, ""angle"": 8.889490374829311, ""elevation"": 0.0}, {""range"": 0.8067205064394554, ""doppler"": 0.0, ""angle"": 8.322278944788957, ""elevation"": 0.0}, {""range"": 0.8592899846503909, ""doppler"": 0.0, ""angle"": 4.45174344013589, ""elevation"": 0.0}, {""range"": 0.768857084234506, ""doppler"": 0.0, ""angle"": 13.667807725890219, ""elevation"": 0.0}]",1785107060412.469
10,"[{""range"": 0.10267003440198064, ""doppler"": 0.0, ""angle"": -44.858877675740665, ""elevation"": 0.0}, {""range"": 0.9066402190931068, ""doppler"": 0.0, ""angle"": -4.15083080563977, ""elevation"": 0.0}, {""range"": 1.1581260735615015, ""doppler"": 0.0, ""angle"": -8.998381245875448, ""elevation"": 0.0}, {""range"": 0.7369158493291414, ""doppler"": 0.0, ""angle"": -0.45880133727639677, ""elevation"": 0.0}, {""range"": 0.7573233711842849, ""doppler"": 0.0, ""angle"": 2.855649524699482, ""elevation"": 0.0}, {""range"": 0.8577719526474427, ""doppler"": 0.0, ""angle"": -0.10749664593944575, ""elevation"": 0.0}, {""range"": 0.7749900090472825, ""doppler"": 0.0, ""angle"": 5.375156989723958, ""elevation"": 0.0}, {""range"": 0.8015262551709835, ""doppler"": 0.0, ""angle"": 5.864490594621713, ""elevation"": 0.0}, {""range"": 2.065517906459638, ""doppler"": 0.0, ""angle"": 45.869858062891886, ""elevation"": 0.0}, {""range"": 2.086870319507299, ""doppler"": 0.0, ""angle"": 49.62555066237991, ""elevation"": 0.0}]",1785107060412.926
10,"[{""range"": 0.10267252580351588, ""doppler"": 0.0, ""angle"": -45.42336012391137, ""elevation"": 0.0}, {""range"": 0.7362395302945958, ""doppler"": 0.0, ""angle"": -6.961043335088247, ""elevation"": 0.0}, {""range"": 0.7540198580423955, ""doppler"": 0.0, ""angle"": -5.552407541892909, ""elevation"": 0.0}, {""range"": 0.7720300674295107, ""doppler"": 0.0, ""angle"": -3.997686231427546, ""elevation"": 0.0}, {""range"": 1.1594708332822696, ""doppler"": 0.0, ""angle"": -7.880176874901451, ""elevation"": 0.0}, {""range"": 0.8166441973272762, ""doppler"": 0.0, ""angle"": 0.0878191684950607, ""elevation"": 0.0}, {""range"": 0.8706805952903575, ""doppler"": 0.0, ""angle"": 0.5177542980761606, ""elevation"": 0.0}, {""range"": 0.9078594941735031, ""doppler"": 0.0, ""angle"": -3.2405506404874234, ""elevation"": 0.0}, {""range"": 2.0700210117855398, ""doppler"": 0.0, ""angle"": 49.319253941296665, ""elevation"": 0.0}, {""range"": 2.089492002394135, ""doppler"": 0.0, ""angle"": 50.17998960569238, ""elevation"": 0.0}]",1785107060413.385
7,"[{""range"": 0.10267252580351588, ""doppler"": 0.0, ""angle"": -45.42336012391137, ""elevation"": 0.0}, {""range"": 0.8136679484889522, ""doppler"": 0.0, ""angle"": -11.934701133952414, ""elevation"": 0.0}, {""range"": 0.8663995519456954, ""doppler"": 0.0, ""angle"": -7.661846046894612, ""elevation"": 0.0}, {""range"": 0.9088737267857856, ""doppler"": 0.0, ""angle"": -3.9033053410209906, ""elevation"": 0.0}, {""range"": 0.9347409095022695, ""doppler"": 0.0, ""angle"": -5.543728580894715, ""elevation"": 0.0}, {""range"": 0.7718137418871468, ""doppler"": 0.0, ""angle"": 4.664428318869706, ""elevation"": 0.0}, {""range"": 0.7642241670480091, ""doppler"": 0.0, ""angle"": 14.48494989367271, ""elevation"": 0.0}]",1785107060413.833
11,"[{""range"": 0.10279686337110626, ""doppler"": 0.0, ""angle"": -45.21142258103931, ""elevation"": 0.0}, {""range"": 1.1564271925451497, ""doppler"": 0.0, ""angle"": -11.018035103783621, ""elevation"": 0.0}, {""range"": 0.9174056350455714, ""doppler"": 0.0, ""angle"": -4.158022184227084, ""elevation"": 0.0}, {""range"": 1.1707600481008191, ""doppler"": 0.0, ""angle"": -8.643702345936552, ""elevation"": 0.0}, {""range"": 0.7389839939712929, ""doppler"": 0.0, ""angle"": 2.7322459885977937, ""elevation"": 0.0}, {""range"": 0.754776328013525, ""doppler"": 0.0, ""angle"": 3.5314582785671997, ""elevation"": 0.0}, {""range"": 0.8551315714839769, ""doppler"": 0.0, ""angle"": 1.306036030972784, ""elevation"": 0.0}, {""range"": 0.7666600879911537, ""doppler"": 0.0, ""angle"": 4.709262432316824, ""elevation"": 0.0}, {""range"": 0.7911352500306982, ""doppler"": 0.0, ""angle"": 4.927109947649014, ""elevation"": 0.0}, {""range"": 2.0653170423994767, ""doppler"": 0.0, ""angle"": 45.34375652132978, ""elevation"": 0.0}, {""range"": 2.092185883005876, ""doppler"": 0.0, ""angle"": 50.413248038753544, ""elevation"": 0.0}]",1785107060414.4421
10,"[{""range"": 0.10254959646454233, ""doppler"": 0.0, ""angle"": -45.635808691519735, ""elevation"": 0.0}, {""range"": 0.7293934139080964, ""doppler"": 0.0, ""angle"": -5.8252013156212055, ""elevation"": 0.0}, {""range"": 0.8674495992641532, ""doppler"": 0.0, ""angle"": -8.487549084487316, ""elevation"": 0.0}, {""range"": 0.9230430021644737, ""doppler"": 0.0, ""angle"": -6.183297995973311, ""elevation"": 0.0}, {""range"": 1.1555811595574546, ""doppler"": 0.0, ""angle"": -10.800472337289076, ""elevation"": 0.0}, {""range"": 0.757848916061138, ""doppler"": 0.0, ""angle"": -0.5542835480084868, ""elevation"": 0.0}, {""range"": 0.7720641727797475, ""doppler"": 0.0, ""angle"": 1.6058790194017645, ""elevation"": 0.0}, {""range"": 0.7928893751396378, ""doppler"": 0.0, ""angle"": 2.4816951125111553, ""elevation"": 0.0}, {""range"": 2.0699355990195603, ""doppler"": 0.0, ""angle"": 44.42601139321444, ""elevation"": 0.0}, {""range"": 2.0863004579272197, ""doppler"": 0.0, ""angle"": 45.70491886664406, ""elevation"": 0.0}]",1785107060414.867
8,"[{""range"": 0.10231298309406739, ""doppler"": 0.0, ""angle"": -46.20381325348218, ""elevation"": 0.0}, {""range"": 0.9280431649581259, ""doppler"": 0.0, ""angle"": -5.395325627959617, ""elevation"": 0.0}, {""range"": 0.9458396819317024, ""doppler"": 0.0, ""angle"": -5.739694247637652, ""elevation"": 0.0}, {""range"": 0.8883416148572083, ""doppler"": 0.0, ""angle"": -3.0346093865254087, ""elevation"": 0.0}, {""range"": 0.7321941748918019, ""doppler"": 0.0, ""angle"": 4.69275843343598, ""elevation"": 0.0}, {""range"": 0.7513845990558157, ""doppler"": 0.0, ""angle"": 6.50431943991576, ""elevation"": 0.0}, {""range"": 0.7615442786030358, ""doppler"": 0.0, ""angle"": 6.674469047117571, ""elevation"": 0.0}, {""range"": 0.7971171808303709, ""doppler"": 0.0, ""angle"": 5.264247849795792, ""elevation"": 0.0}]",1785107060415.273
