ax,ay,az,gx,gy,gz,timestamp_ms
0.72,0.728,-0.98,16.02,-55.67,-101.44,1785107164948.952
0.71,0.84,-0.986,2.01,-40.93,-86.79,1785107164949.385
0.704,0.94,-1.004,-7.51,-26.43,-66.16,1785107164949.7778
0.714,0.984,-0.973,-23.38,-11.23,-42.18,1785107164950.2148
0.733,0.911,-0.896,-38.06,3.91,-18.22,1785107164950.6409
0.734,0.826,-0.822,-38.88,17.33,4.97,1785107164951.02
0.715,0.78,-0.77,-27.77,28.17,29.27,1785107164951.404
0.7,0.74,-0.761,-14.16,37.45,54.96,1785107164951.782
0.694,0.662,-0.725,-2.93,46.54,79.26,1785107164952.1533
0.695,0.555,-0.672,8.18,55.42,100.74,1785107164952.5068
0.71,0.448,-0.609,19.96,64.49,119.48,1785107164952.8708
0.724,0.38,-0.56,27.95,73.24,134.92,1785107164953.234
0.734,0.337,-0.546,28.99,80.72,147.25,1785107164953.597
0.742,0.288,-0.533,22.58,86.64,155.49,1785107164953.954
0.753,0.216,-0.497,9.74,91.31,159.58,1785107164954.339
0.765,0.119,-0.43,-5.68,94.49,160.71,1785107164954.721
0.788,0.001,-0.334,-18.31,94.55,158.94,1785107164955.088
0.821,-0.126,-0.249,-23.59,91.22,154.42,1785107164955.4492
0.868,-0.262,-0.182,-22.74,86.98,148.17,1785107164955.816
0.915,-0.384,-0.126,-21.18,82.77,139.9,1785107164956.177
0.957,-0.461,-0.094,-22.25,77.06,129.58,1785107164956.5398
0.989,-0.532,-0.048,-22.43,69.8,117.77,1785107164956.9011
1.022,-0.615,0.004,-19.78,60.52,104.89,1785107164957.249
1.059,-0.692,0.033,-16.05,50.57,90.64,1785107164957.572
1.084,-0.755,0.049,-12.05,39.77,74.1,1785107164957.897
1.088,-0.817,0.063,-7.05,28.72,55.82,1785107164958.2122
1.075,-0.885,0.107,-2.29,17.27,36.47,1785107164958.5312
1.063,-0.925,0.163,2.17,3.75,16.88,1785107164958.852
1.05,-0.943,0.174,9.83,-11.08,-2.47,1785107164959.166
1.024,-0.935,0.17,19.17,-26.28,-22.03,1785107164959.484
0.982,-0.895,0.15,28.5,-41.57,-41.26,1785107164959.865
0.943,-0.826,0.105,36.9,-55.97,-58.44,1785107164960.225
0.911,-0.726,0.035,42.27,-69.83,-74.34,1785107164960.5708
0.876,-0.606,-0.051,42.94,-82.03,-88.93,1785107164960.9412
0.842,-0.489,-0.126,37.14,-92.1,-102.05,1785107164961.2732
0.82,-0.377,-0.204,25.79,-99.34,-113.59,1785107164961.5947
0.805,-0.27,-0.298,12.7,-104.01,-123.08,1785107164961.924
0.788,-0.168,-0.39,0.21,-105.78,-130.44,1785107164962.2522
0.767,-0.068,-0.462,-12.18,-105.01,-135.84,1785107164962.58
0.745,0.019,-0.518,-24.48,-102.18,-138.83,1785107164962.9
0.732,0.101,-0.551,-36.23,-97.66,-139.71,1785107164963.226
0.721,0.167,-0.591,-42.24,-92.14,-138.43,1785107164963.5469
0.716,0.224,-0.633,-39.64,-85.67,-134.92,1785107164963.897
0.7,0.3,-0.687,-29.85,-78.1,-128.85,1785107164964.232
0.688,0.406,-0.769,-17.61,-70.35,-119.14,1785107164964.558
0.686,0.518,-0.841,-6.78,-61.1,-106.75,1785107164964.8809
0.693,0.598,-0.873,-0.4,-49.71,-91.53,1785107164965.179
0.696,0.636,-0.887,2.56,-37.11,-74.19,1785107164965.467
0.693,0.653,-0.868,7.14,-24.54,-54.99,1785107164965.7769
0.691,0.66,-0.84,16.3,-12.36,-33.33,1785107164966.076
0.704,0.683,-0.824,25.48,0.55,-9.13,1785107164966.363
0.723,0.69,-0.791,30.52,14.68,16.33,1785107164966.6638
0.714,0.642,-0.717,31.07,30.24,41.99,1785107164966.957
0.666,0.556,-0.609,31.16,44.28,67.29,1785107164967.247
0.602,0.453,-0.48,34.91,54.84,92.04,1785107164967.5278
0.539,0.346,-0.403,43.12,61.89,115.91,1785107164967.8171
0.482,0.29,-0.365,53.5,67.02,137.46,1785107164968.103
0.423,0.248,-0.333,64.46,70.65,156.35,1785107164968.3909
0.38,0.209,-0.343,70.07,72.7,173.25,1785107164968.677
0.364,0.197,-0.344,69.52,73.55,187.23,1785107164968.965
0.349,0.182,-0.326,66.84,73.52,199.35,1785107164969.2559
0.341,0.168,-0.296,60.27,71.41,210.06,1785107164969.537
0.33,0.137,-0.241,52.86,66.81,217.96,1785107164969.8591
0.324,0.102,-0.175,46.88,59.82,224.07,1785107164970.177
0.327,0.055,-0.092,46.45,49.44,229.77,1785107164970.47
0.324,-0.005,-0.037,53.44,34.97,234.87,1785107164970.7551
0.343,-0.062,-0.006,65.07,18.77,240.03,1785107164971.045
0.352,-0.102,-0.004,79.96,3.05,244.33,1785107164971.331
0.347,-0.149,-0.08,93.42,-11.2,249.58,1785107164971.62
0.339,-0.185,-0.155,97.75,-21.39,255.78,1785107164971.9019
0.345,-0.203,-0.206,91.04,-30.21,261.09,1785107164972.191
0.359,-0.228,-0.31,74.98,-39.52,265.91,1785107164972.481
0.36,-0.28,-0.404,49.65,-47.21,270.61,1785107164972.7947
0.345,-0.388,-0.432,21.45,-54.57,273.66,1785107164973.0618
0.345,-0.536,-0.431,-0.67,-64.79,274.03,1785107164973.332
0.328,-0.663,-0.388,-12.94,-74.16,270.3,1785107164973.64
0.285,-0.741,-0.338,-15.9,-85.02,266.82,1785107164973.9148
0.247,-0.823,-0.327,-9.64,-96.35,265.36,1785107164974.178
