timestamp_ms,distance_cm
583530.999999959,66.0
583545.999999973,73.0
583577.9999999795,64.0
583592.9999999935,62.0
583609.000000055,59.0
583625.0,57.0
583655.999999959,56.0
583670.999999973,66.0
583687.0000000345,64.0
583717.9999999935,66.0
583734.000000055,59.0
583750.0,54.0
583765.000000014,44.0
583795.999999973,50.0
583812.0000000345,28.0
583827.9999999795,33.0
583842.9999999935,28.0
583875.0,18.0
583890.000000014,18.0
583905.999999959,11.0
583937.0000000345,11.0
583952.9999999795,15.0
583967.9999999935,16.0
583984.000000055,24.0
584015.000000014,32.0
584030.999999959,39.0
584045.999999973,44.0
584077.9999999795,54.0
584092.9999999935,55.0
584109.000000055,59.0
584125.0,64.0
584155.999999959,63.0
584170.999999973,59.0
584187.0000000345,52.0
584217.9999999935,49.0
584234.000000055,43.0
584250.0,36.0
584265.000000014,24.0
584295.999999973,16.0
584312.0000000345,8.0
584327.9999999795,10.0
584359.000000055,12.0
584375.0,15.0
584390.000000014,24.0
584405.999999959,29.0
584437.0000000345,38.0
584452.9999999795,44.0
584467.9999999935,51.0
584484.000000055,57.0
584515.000000014,53.0
584530.999999959,54.0
584545.999999973,53.0
584577.9999999795,51.0
584592.9999999935,40.0
584609.000000055,36.0
584625.0,24.0
584655.999999959,14.0
584670.999999973,10.0
584687.0000000345,10.0
584717.9999999935,13.0
584734.000000055,14.0
584750.0,23.0
584765.000000014,31.0
584795.999999973,34.0
584812.0000000345,48.0
584827.9999999795,53.0
584859.000000055,54.0
584875.0,50.0
584890.000000014,49.0
584905.999999959,53.0
584937.0000000345,51.0
584952.9999999795,47.0
584967.9999999935,40.0
585000.0,31.0
585015.000000014,18.0
585030.999999959,14.0
585045.999999973,6.0
585077.9999999795,10.0
585092.9999999935,14.0
585109.000000055,16.0
585125.0,24.0
585155.999999959,28.0
585170.999999973,38.0
585187.0000000345,47.0
585217.9999999935,46.0
585234.000000055,49.0
585250.0,50.0
585265.000000014,49.0
585295.999999973,54.0
585312.0000000345,51.0
585327.9999999795,40.0
585342.9999999935,36.0
585375.0,26.0
585390.000000014,20.0
585405.999999959,16.0
585437.0000000345,2.0
585452.9999999795,11.0
585467.9999999935,16.0
585484.000000055,18.0
585515.000000014,26.0
585530.999999959,36.0
585545.999999973,43.0
585577.9999999795,50.0
585592.9999999935,53.0
585609.000000055,48.0
585625.0,51.0
585655.999999959,48.0
585670.999999973,49.0
585687.0000000345,40.0
585717.9999999935,40.0
585734.000000055,25.0
585750.0,20.0
585765.000000014,14.0
585795.999999973,10.0
585812.0000000345,6.0
585827.9999999795,12.0
585859.000000055,17.0
585875.0,22.0
585890.000000014,33.0
585905.999999959,36.0
585937.0000000345,50.0
585952.9999999795,52.0
585967.9999999935,55.0
585984.000000055,58.0
586015.000000014,50.0
586030.999999959,52.0
586045.999999973,39.0
586077.9999999795,37.0
586092.9999999935,28.0
586109.000000055,22.0
586125.0,14.0
586155.999999959,8.0
586170.999999973,9.0
586187.0000000345,11.0
586217.9999999935,15.0
586234.000000055,19.0
586250.0,35.0
586265.000000014,34.0
586295.999999973,46.0
586312.0000000345,47.0
586327.9999999795,46.0
586359.000000055,47.0
586375.0,49.0
586390.000000014,46.0
586405.999999959,40.0
586437.0000000345,29.0
586452.9999999795,26.0
586467.9999999935,16.0
586484.000000055,14.0
586515.000000014,9.0
586530.999999959,8.0
