distance_cm,timestamp_ms
67.0,1785098148699.194
71.0,1785098148699.692
72.0,1785098148737.186
69.0,1785098148778.725
83.0,1785098148822.01
64.0,1785098148857.784
56.0,1785098148898.737
53.0,1785098148939.6501
54.0,1785098148982.482
48.0,1785098149022.7131
36.0,1785098149058.532
32.0,1785098149099.057
25.0,1785098149139.4648
25.0,1785098149182.513
13.0,1785098149222.777
14.0,1785098149258.486
31.0,1785098149299.199
28.0,1785098149339.415
31.0,1785098149382.388
20.0,1785098149422.7048
22.0,1785098149458.476
11.0,1785098149499.1182
12.0,1785098149538.7102
19.0,1785098149579.17
33.0,1785098149622.2698
27.0,1785098149662.893
31.0,1785098149698.4302
38.0,1785098149738.079
24.0,1785098149779.1538
10.0,1785098149819.4968
10.0,1785098149859.4492
16.0,1785098149899.5168
24.0,1785098149942.835
43.0,1785098149978.7632
30.0,1785098150018.892
34.0,1785098150058.9922
25.0,1785098150099.097
18.0,1785098150139.652
13.0,1785098150182.824
18.0,1785098150222.547
25.0,1785098150262.774
37.0,1785098150298.884
30.0,1785098150339.0642
40.0,1785098150379.055
40.0,1785098150419.112
26.0,1785098150459.579
18.0,1785098150502.732
13.0,1785098150538.546
15.0,1785098150578.402
28.0,1785098150619.062
35.0,1785098150659.772
44.0,1785098150702.543
41.0,1785098150744.969
29.0,1785098150782.877
20.0,1785098150818.889
13.0,1785098150859.4749
15.0,1785098150899.6028
16.0,1785098150939.62
33.0,1785098150982.998
37.0,1785098151019.02
39.0,1785098151058.964
41.0,1785098151098.884
26.0,1785098151139.388
14.0,1785098151182.697
12.0,1785098151222.908
14.0,1785098151262.7341
22.0,1785098151302.8818
30.0,1785098151338.9592
41.0,1785098151379.31
41.0,1785098151419.245
37.0,1785098151459.5508
24.0,1785098151502.825
16.0,1785098151539.1628
7.0,1785098151579.133
16.0,1785098151619.1868
29.0,1785098151659.7131
39.0,1785098151702.927
41.0,1785098151738.834
40.0,1785098151778.922
37.0,1785098151819.175
24.0,1785098151862.217
14.0,1785098151898.393
14.0,1785098151943.1301
18.0,1785098151978.446
34.0,1785098152019.068
40.0,1785098152062.33
40.0,1785098152102.767
31.0,1785098152142.946
24.0,1785098152179.009
13.0,1785098152219.244
8.0,1785098152259.435
13.0,1785098152299.691
26.0,1785098152342.884
31.0,1785098152378.865
45.0,1785098152419.2798
40.0,1785098152459.468
33.0,1785098152502.511
18.0,1785098152538.387
8.0,1785098152579.0388
13.0,1785098152619.018
20.0,1785098152659.539
32.0,1785098152702.7842
39.0,1785098152738.932
48.0,1785098152779.043
31.0,1785098152819.222
18.0,1785098152862.55
12.0,1785098152898.803
16.0,1785098152939.0369
20.0,1785098152979.2021
39.0,1785098153022.431
44.0,1785098153058.789
39.0,1785098153098.366
37.0,1785098153138.3481
35.0,1785098153178.9272
20.0,1785098153219.531
11.0,1785098153262.727
21.0,1785098153303.159
18.0,1785098153338.431
43.0,1785098153379.05
42.0,1785098153419.23
38.0,1785098153459.553
28.0,1785098153502.423
18.0,1785098153538.364
26.0,1785098153579.218
28.0,1785098153619.2288
30.0,1785098153659.6758
