ax,ay,az,gx,gy,gz,timestamp_ms
0.13,-0.448,-0.952,-26.58,111.76,57.07,1785098163842.42
0.167,-0.52,-0.789,-17.3,113.8,67.63,1785098163877.4973
0.167,-0.52,-0.789,-7.9,113.32,76.2,1785098163877.8171
0.237,-0.631,-0.591,4.33,111.15,78.95,1785098163878.186
0.305,-0.752,-0.405,15.44,108.71,82.95,1785098163878.5679
0.375,-0.822,-0.242,21.61,105.81,90.46,1785098163878.9958
0.469,-0.882,-0.071,21.61,105.81,90.46,1785098163879.333
0.554,-0.968,0.143,19.59,101.96,94.76,1785098163879.628
0.608,-1.078,0.348,6.99,97.93,96.07,1785098163879.9272
0.62,-1.218,0.519,-12.94,94.52,96.62,1785098163880.23
0.559,-1.378,0.649,-31.5,86.92,91.46,1785098163880.533
0.407,-1.486,0.689,-38.54,73.21,74.62,1785098163880.827
0.324,-1.539,0.694,-32.96,52.31,52.95,1785098163881.133
0.319,-1.554,0.697,-20.11,19.59,21.61,1785098163881.4348
0.379,-1.605,0.732,-9.4,-19.59,-12.88,1785098163881.728
0.429,-1.616,0.735,-1.28,-54.11,-41.11,1785098163882.005
0.42,-1.553,0.685,6.04,-79.87,-59.51,1785098163882.268
0.351,-1.478,0.586,17.3,-100.16,-72.76,1785098163882.544
0.264,-1.4,0.456,35.86,-121.98,-85.51,1785098163882.812
0.187,-1.288,0.252,60.34,-145.82,-96.99,1785098163883.0771
0.141,-1.141,-0.038,83.8,-166.2,-103.85,1785098163883.35
0.103,-0.947,-0.402,96.96,-180.3,-104.95,1785098163883.6282
0.081,-0.747,-0.773,95.68,-185.25,-100.13,1785098163883.8853
0.098,-0.578,-1.093,79.68,-181.49,-90.21,1785098163884.1501
0.144,-0.5,-1.289,54.81,-170.29,-78.86,1785098163884.418
0.203,-0.529,-1.348,32.47,-153.63,-68.91,1785098163884.706
0.238,-0.525,-1.425,20.17,-126.38,-67.2,1785098163884.9622
0.154,-0.422,-1.585,10.83,-91.19,-61.83,1785098163885.222
0.096,-0.347,-1.693,1.77,-49.59,-41.44,1785098163885.479
0.072,-0.32,-1.758,-3.81,-10.38,-20.66,1785098163885.73
0.071,-0.292,-1.763,-8.97,18.89,-3.27,1785098163885.987
0.081,-0.274,-1.706,-13.79,44.74,9.09,1785098163886.2668
0.053,-0.284,-1.586,-18.62,69.0,17.21,1785098163886.529
0.027,-0.342,-1.408,-23.29,87.34,27.04,1785098163886.796
0.027,-0.382,-1.216,-26.15,100.41,37.72,1785098163887.084
0.043,-0.416,-1.046,-28.81,109.87,48.04,1785098163887.3533
0.078,-0.47,-0.874,-33.66,115.27,58.5,1785098163887.6172
0.134,-0.562,-0.704,-37.9,116.86,66.16,1785098163887.8772
0.181,-0.677,-0.558,-38.73,116.95,70.71,1785098163888.1653
0.221,-0.76,-0.422,-37.29,116.21,75.53,1785098163888.447
0.288,-0.839,-0.276,-34.61,113.71,81.33,1785098163888.705
0.378,-0.935,-0.126,-31.34,109.96,84.87,1785098163888.963
0.443,-1.043,0.049,-28.5,106.23,85.06,1785098163889.2268
0.5,-1.22,0.272,-27.41,100.28,86.67,1785098163889.487
0.514,-1.393,0.497,-28.35,92.81,86.4,1785098163889.7422
0.464,-1.546,0.663,-27.68,81.03,82.55,1785098163889.984
0.407,-1.62,0.747,-20.26,67.14,72.3,1785098163890.2231
0.346,-1.575,0.75,-9.4,47.27,53.16,1785098163890.485
0.329,-1.523,0.724,0.34,18.13,27.31,1785098163890.736
0.342,-1.496,0.704,6.59,-16.51,-4.97,1785098163890.98
0.391,-1.46,0.685,9.31,-49.07,-32.9,1785098163891.219
0.405,-1.395,0.626,10.25,-74.86,-52.46,1785098163891.449
0.342,-1.322,0.518,13.79,-95.28,-66.44,1785098163891.71
0.268,-1.243,0.345,22.95,-116.43,-76.78,1785098163891.953
0.225,-1.138,0.125,36.99,-137.49,-84.6,1785098163892.1963
0.211,-1.001,-0.119,51.7,-155.06,-88.87,1785098163892.4302
0.186,-0.849,-0.393,62.62,-166.42,-89.88,1785098163892.674
0.17,-0.704,-0.654,66.93,-169.23,-86.4,1785098163892.919
0.187,-0.583,-0.879,62.07,-163.09,-76.54,1785098163893.191
0.233,-0.467,-1.047,47.85,-150.82,-73.73,1785098163893.4348
0.229,-0.449,-1.135,28.53,-134.98,-68.67,1785098163893.677
0.197,-0.486,-1.224,12.45,-104.19,-54.29,1785098163893.936
0.176,-0.501,-1.341,-0.52,-68.09,-34.58,1785098163894.1707
0.112,-0.482,-1.443,-11.38,-37.26,-19.71,1785098163894.422
0.051,-0.478,-1.508,-19.38,-11.93,-5.98,1785098163894.66
0.046,-0.485,-1.517,-22.83,10.1,6.44,1785098163894.898
0.042,-0.477,-1.466,-19.26,29.36,15.96,1785098163895.141
0.04,-0.484,-1.377,-10.86,46.72,25.73,1785098163895.3809
0.037,-0.489,-1.266,-1.43,59.88,33.54,1785098163895.6318
0.06,-0.486,-1.129,5.01,68.33,38.51,1785098163895.846
0.111,-0.507,-0.984,9.37,76.2,43.52,1785098163896.074
0.146,-0.546,-0.849,12.7,83.56,48.74,1785098163896.3042
0.168,-0.582,-0.741,14.34,89.21,53.13,1785098163896.5278
0.193,-0.614,-0.647,11.9,93.57,58.72,1785098163896.789
0.216,-0.624,-0.57,3.45,97.17,65.92,1785098163897.034
0.231,-0.649,-0.507,-10.01,101.11,73.24,1785098163897.2712
0.225,-0.706,-0.434,-26.09,104.13,79.41,1785098163897.498
0.229,-0.79,-0.351,-40.47,105.01,85.57,1785098163897.7668
0.241,-0.897,-0.271,-48.52,103.76,89.14,1785098163898.0269
0.272,-1.007,-0.172,-49.87,100.65,88.9,1785098163898.262
0.346,-1.13,-0.063,-44.37,96.13,86.89,1785098163898.5012
0.393,-1.268,0.028,-27.28,91.46,81.45,1785098163898.74
0.404,-1.309,0.113,-8.12,84.51,75.08,1785098163898.9639
0.407,-1.334,0.19,4.49,78.19,70.35,1785098163899.198
0.384,-1.353,0.265,13.52,71.38,65.13,1785098163899.436
0.378,-1.335,0.316,21.18,59.97,57.62,1785098163899.6611
0.373,-1.283,0.329,28.17,45.26,44.86,1785098163899.89
0.362,-1.218,0.321,32.47,28.44,30.92,1785098163900.1128
