num_points,points,timestamp_ms
6,"[{""range"": 1.1769639787782078, ""doppler"": 0.0, ""angle"": -35.58321406888991, ""elevation"": 0.0}, {""range"": 0.5814358278406124, ""doppler"": 0.0, ""angle"": 4.40951689926066, ""elevation"": 0.0}, {""range"": 0.5971490734439859, ""doppler"": 0.0, ""angle"": 6.654709069520877, ""elevation"": 0.0}, {""range"": 0.6087698794087245, ""doppler"": 0.0, ""angle"": 10.544185878534394, ""elevation"": 0.0}, {""range"": 1.8743805507327762, ""doppler"": 0.0, ""angle"": 44.269492305731134, ""elevation"": 0.0}, {""range"": 1.8942092857067998, ""doppler"": 9.453816057852237, ""angle"": 46.98916872489713, ""elevation"": 0.0}]",1785098276787.968
6,"[{""range"": 1.1927629986509336, ""doppler"": 0.0, ""angle"": -25.00910978306394, ""elevation"": 0.0}, {""range"": 0.5972306171051527, ""doppler"": 0.0, ""angle"": -16.525073487764214, ""elevation"": 0.0}, {""range"": 0.610875849463783, ""doppler"": 0.0, ""angle"": -17.28398949266347, ""elevation"": 0.0}, {""range"": 0.6231662532690703, ""doppler"": 0.0, ""angle"": -16.98427200839683, ""elevation"": 0.0}, {""range"": 0.6526722565074252, ""doppler"": 0.0, ""angle"": 2.6852451803663837, ""elevation"": 0.0}, {""range"": 1.3277670931387782, ""doppler"": 0.0, ""angle"": 22.21980768152258, ""elevation"": 0.0}]",1785098276788.373
7,"[{""range"": 1.1822327724581057, ""doppler"": 0.0, ""angle"": -32.01456919865989, ""elevation"": 0.0}, {""range"": 1.201832875984236, ""doppler"": 0.0, ""angle"": -24.189264650145958, ""elevation"": 0.0}, {""range"": 1.2232662815567314, ""doppler"": 0.0, ""angle"": -18.644182237645513, ""elevation"": 0.0}, {""range"": 0.6001372060546845, ""doppler"": 0.0, ""angle"": -13.965855567816872, ""elevation"": 0.0}, {""range"": 0.607436382995263, ""doppler"": 0.0, ""angle"": -14.420773127510985, ""elevation"": 0.0}, {""range"": 0.6175345888316476, ""doppler"": 0.0, ""angle"": -15.24347795158993, ""elevation"": 0.0}, {""range"": 0.6512286634512324, ""doppler"": 0.0, ""angle"": -14.990194532235893, ""elevation"": 0.0}]",1785098276788.736
5,"[{""range"": 1.1684246642774956, ""doppler"": 0.0, ""angle"": -24.77269090586803, ""elevation"": 0.0}, {""range"": 0.5906802674449111, ""doppler"": 0.0, ""angle"": -14.713546560273077, ""elevation"": 0.0}, {""range"": 0.6043298590830162, ""doppler"": 0.0, ""angle"": -15.672937939862768, ""elevation"": 0.0}, {""range"": 0.7006774447265642, ""doppler"": 0.0, ""angle"": 16.60820970614043, ""elevation"": 0.0}, {""range"": 0.6733539463872318, ""doppler"": 0.0, ""angle"": 19.209624088285445, ""elevation"": 0.0}]",1785098276789.086
3,"[{""range"": 0.5917240565554048, ""doppler"": 0.0, ""angle"": -14.132828170400337, ""elevation"": 0.0}, {""range"": 0.6044418832784221, ""doppler"": 0.0, ""angle"": -14.80913046494361, ""elevation"": 0.0}, {""range"": 0.708775061587618, ""doppler"": 0.0, ""angle"": 31.95788444469872, ""elevation"": 0.0}]",1785098276789.433
5,"[{""range"": 0.5980544242306652, ""doppler"": 0.0, ""angle"": -13.063954127386307, ""elevation"": 0.0}, {""range"": 0.6137561094957755, ""doppler"": 0.0, ""angle"": -14.16579842974639, ""elevation"": 0.0}, {""range"": 0.6216515997176453, ""doppler"": 0.0, ""angle"": -16.751337032179272, ""elevation"": 0.0}, {""range"": 0.6913462171044723, ""doppler"": 0.0, ""angle"": 15.973894172391734, ""elevation"": 0.0}, {""range"": 0.6998798861784981, ""doppler"": 0.0, ""angle"": 14.636270285222725, ""elevation"": 0.0}]",1785098276789.739
5,"[{""range"": 0.6261173421341815, ""doppler"": 0.0, ""angle"": -11.59875158902727, ""elevation"": 0.0}, {""range"": 0.6183976868546982, ""doppler"": 0.0, ""angle"": -10.075160751657615, ""elevation"": 0.0}, {""range"": 0.6679254101014979, ""doppler"": 0.0, ""angle"": 4.652818270880391, ""elevation"": 0.0}, {""range"": 0.7185168874398316, ""doppler"": 0.0, ""angle"": 36.62179144600527, ""elevation"": 0.0}, {""range"": 0.7459826097422076, ""doppler"": 0.0, ""angle"": 36.62817950574615, ""elevation"": 0.0}]",1785098276790.033
6,"[{""range"": 1.190914079338676, ""doppler"": 0.0, ""angle"": -18.47031490426069, ""elevation"": 0.0}, {""range"": 1.2302830764410149, ""doppler"": 0.0, ""angle"": -14.86436382012388, ""elevation"": 0.0}, {""range"": 0.615953998245314, ""doppler"": 0.0, ""angle"": -8.480595627503163, ""elevation"": 0.0}, {""range"": 0.6372676247920385, ""doppler"": 0.0, ""angle"": -6.492875972925373, ""elevation"": 0.0}, {""range"": 0.6730368597765689, ""doppler"": 0.0, ""angle"": -4.556319429845062, ""elevation"": 0.0}, {""range"": 0.6993892794524897, ""doppler"": 0.0, ""angle"": -6.252835890233632, ""elevation"": 0.0}]",1785098276790.333
8,"[{""range"": 1.1934918599202058, ""doppler"": 0.0, ""angle"": -18.863858330269206, ""elevation"": 0.0}, {""range"": 0.6152049947715955, ""doppler"": 0.0, ""angle"": -11.45037102985911, ""elevation"": 0.0}, {""range"": 1.225521946410832, ""doppler"": 0.0, ""angle"": -17.64976211095123, ""elevation"": 0.0}, {""range"": 0.6302532455842609, ""doppler"": 0.0, ""angle"": -5.56825170493748, ""elevation"": 0.0}, {""range"": 1.1617311772930488, ""doppler"": 0.0, ""angle"": -8.76493611214448, ""elevation"": 0.0}, {""range"": 0.6546628206661091, ""doppler"": 0.0, ""angle"": 7.233718446103169, ""elevation"": 0.0}, {""range"": 0.5284088515433829, ""doppler"": 0.0, ""angle"": 32.18418787970967, ""elevation"": 0.0}, {""range"": 0.5441495764123234, ""doppler"": 0.0, ""angle"": 31.234992416118608, ""elevation"": 0.0}]",1785098276790.637
5,"[{""range"": 0.6541522325265915, ""doppler"": 0.0, ""angle"": -19.8466213527897, ""elevation"": 0.0}, {""range"": 0.5955469959541436, ""doppler"": 0.0, ""angle"": -15.2671892310328, ""elevation"": 0.0}, {""range"": 0.6144169859907989, ""doppler"": 0.0, ""angle"": -15.443778601601663, ""elevation"": 0.0}, {""range"": 0.6278800951726216, ""doppler"": 0.0, ""angle"": -17.707373332950286, ""elevation"": 0.0}, {""range"": 0.5167365371170263, ""doppler"": 0.0, ""angle"": 33.23914546825773, ""elevation"": 0.0}]",1785098276790.9692
