distance_cm,timestamp_ms
64.0,1785108728730.809
68.0,1785108728755.971
65.0,1785108728799.177
55.0,1785108728839.1877
58.0,1785108728879.274
61.0,1785108728925.262
62.0,1785108728965.827
57.0,1785108729006.445
64.0,1785108729049.4248
59.0,1785108729077.0813
56.0,1785108729119.4492
59.0,1785108729159.882
51.0,1785108729205.942
47.0,1785108729249.2349
29.0,1785108729279.291
24.0,1785108729325.9429
11.0,1785108729366.429
28.0,1785108729409.344
13.0,1785108729449.7512
16.0,1785108729479.527
24.0,1785108729519.661
24.0,1785108729559.451
30.0,1785108729599.7078
22.0,1785108729639.643
13.0,1785108729685.7842
19.0,1785108729726.008
14.0,1785108729766.216
20.0,1785108729806.591
17.0,1785108729849.8481
26.0,1785108729879.24
35.0,1785108729919.6118
39.0,1785108729959.817
36.0,1785108729999.709
33.0,1785108730039.754
26.0,1785108730086.346
12.0,1785108730129.439
2.0,1785108730156.769
16.0,1785108730199.4932
14.0,1785108730239.67
18.0,1785108730286.0369
29.0,1785108730329.437
32.0,1785108730369.636
36.0,1785108730399.294
26.0,1785108730439.432
18.0,1785108730479.095
26.0,1785108730529.86
13.0,1785108730569.4832
24.0,1785108730609.4102
18.0,1785108730649.518
26.0,1785108730679.3862
37.0,1785108730719.5671
39.0,1785108730759.765
37.0,1785108730799.715
30.0,1785108730839.789
19.0,1785108730885.8628
8.0,1785108730926.355
15.0,1785108730966.465
12.0,1785108731006.644
23.0,1785108731049.412
26.0,1785108731089.278
35.0,1785108731127.5818
34.0,1785108731163.554
24.0,1785108731206.296
16.0,1785108731249.324
13.0,1785108731276.531
12.0,1785108731319.3171
12.0,1785108731359.499
16.0,1785108731399.6448
24.0,1785108731439.738
30.0,1785108731479.7913
37.0,1785108731519.672
36.0,1785108731559.306
27.0,1785108731599.342
13.0,1785108731639.688
8.0,1785108731685.692
