num_points,points,timestamp_ms
2,"[{""range"": 0.6557247407687304, ""doppler"": 0.0, ""angle"": -0.37498747603362687, ""elevation"": 0.0}, {""range"": 0.6667986955724785, ""doppler"": 0.0, ""angle"": 0.12291915604561993, ""elevation"": 0.0}]",1785108890066.2249
4,"[{""range"": 0.669037180182336, ""doppler"": 0.0, ""angle"": 2.8188162719424183, ""elevation"": 0.0}, {""range"": 0.6794488337274436, ""doppler"": 0.0, ""angle"": 2.866170226731449, ""elevation"": 0.0}, {""range"": 0.6973116415518938, ""doppler"": 0.0, ""angle"": 4.235309435880439, ""elevation"": 0.0}, {""range"": 1.8698676310261129, ""doppler"": 0.0, ""angle"": 13.549864296850787, ""elevation"": 0.0}]",1785108890066.686
2,"[{""range"": 1.927085701279338, ""doppler"": 0.0, ""angle"": -6.810468409529651, ""elevation"": 0.0}, {""range"": 1.9892690473154462, ""doppler"": 0.0, ""angle"": 39.2252669831892, ""elevation"": 0.0}]",1785108890067.064
1,"[{""range"": 1.9820315955868693, ""doppler"": 0.0, ""angle"": 46.22820527567953, ""elevation"": 0.0}]",1785108890067.4272
5,"[{""range"": 0.6686857950279812, ""doppler"": 0.0, ""angle"": -5.863048153979469, ""elevation"": 0.0}, {""range"": 0.6528395849465444, ""doppler"": 0.0, ""angle"": -1.302665825551002, ""elevation"": 0.0}, {""range"": 1.8742000358150261, ""doppler"": 0.0, ""angle"": 11.496472224235081, ""elevation"": 0.0}, {""range"": 0.7329961594679401, ""doppler"": 0.0, ""angle"": 30.167899820972167, ""elevation"": 0.0}, {""range"": 0.7444627338448695, ""doppler"": 0.0, ""angle"": 25.96804940671815, ""elevation"": 0.0}]",1785108890067.819
3,"[{""range"": 0.6516433410445892, ""doppler"": 0.0, ""angle"": -0.6760713981810268, ""elevation"": 0.0}, {""range"": 0.6753837333115664, ""doppler"": 0.0, ""angle"": 3.7343586675989147, ""elevation"": 0.0}, {""range"": 0.7072773546623145, ""doppler"": 0.0, ""angle"": 14.4648646786459, ""elevation"": 0.0}]",1785108890068.192
4,"[{""range"": 0.6542837043025383, ""doppler"": 0.0, ""angle"": -0.18790568164901594, ""elevation"": 0.0}, {""range"": 1.8813044283146134, ""doppler"": 0.0, ""angle"": 1.1219148254398035, ""elevation"": 0.0}, {""range"": 0.673887090361571, ""doppler"": 0.0, ""angle"": 3.6512543300056217, ""elevation"": 0.0}, {""range"": 0.7076372072833029, ""doppler"": 0.0, ""angle"": 17.3177494633888, ""elevation"": 0.0}]",1785108890068.559
4,"[{""range"": 0.6709872980304477, ""doppler"": 0.0, ""angle"": 0.8703646642799769, ""elevation"": 0.0}, {""range"": 0.6873548557799681, ""doppler"": 0.0, ""angle"": 2.2512912847960784, ""elevation"": 0.0}, {""range"": 0.7057980564814088, ""doppler"": 0.0, ""angle"": 3.8932526112519428, ""elevation"": 0.0}, {""range"": 0.735106150093692, ""doppler"": 0.0, ""angle"": 7.0420391737294015, ""elevation"": 0.0}]",1785108890068.9238
3,"[{""range"": 0.7208453014821127, ""doppler"": 0.0, ""angle"": -9.235673147074822, ""elevation"": 0.0}, {""range"": 0.7290174146727805, ""doppler"": 0.0, ""angle"": 29.425887128738236, ""elevation"": 0.0}, {""range"": 0.738429153717886, ""doppler"": 0.0, ""angle"": 26.366496097493265, ""elevation"": 0.0}]",1785108890069.3008
1,"[{""range"": 0.7200549615240357, ""doppler"": 0.0, ""angle"": 10.05413687711868, ""elevation"": 0.0}]",1785108890069.6719
7,"[{""range"": 1.1665750909123, ""doppler"": 0.0, ""angle"": -26.470788943208902, ""elevation"": 0.0}, {""range"": 1.9362322655437008, ""doppler"": 0.0, ""angle"": -5.059813942819834, ""elevation"": 0.0}, {""range"": 1.9642886568835158, ""doppler"": 0.0, ""angle"": -10.38928533784726, ""elevation"": 0.0}, {""range"": 0.700365971918934, ""doppler"": 0.0, ""angle"": 14.958743957295024, ""elevation"": 0.0}, {""range"": 0.7084613042547575, ""doppler"": 0.0, ""angle"": 17.19097603133186, ""elevation"": 0.0}, {""range"": 0.7282649655380091, ""doppler"": 0.0, ""angle"": 19.209048763289484, ""elevation"": 0.0}, {""range"": 1.9941077976254464, ""doppler"": 0.0, ""angle"": 45.214345014339024, ""elevation"": 0.0}]",1785108890070.056
3,"[{""range"": 0.7626125843411131, ""doppler"": 0.0, ""angle"": 9.446861933302865, ""elevation"": 0.0}, {""range"": 0.6959413054744797, ""doppler"": 0.0, ""angle"": 14.204056388526066, ""elevation"": 0.0}, {""range"": 0.7172172516935434, ""doppler"": 0.0, ""angle"": 12.293298110773302, ""elevation"": 0.0}]",1785108890070.415
1,"[{""range"": 0.7222299898693106, ""doppler"": 0.0, ""angle"": 21.34305302835138, ""elevation"": 0.0}]",1785108890070.7869
3,"[{""range"": 0.662609383724678, ""doppler"": 0.0, ""angle"": -6.041378737163193, ""elevation"": 0.0}, {""range"": 0.6396020710004141, ""doppler"": 0.0, ""angle"": -1.8744655626045184, ""elevation"": 0.0}, {""range"": 0.725217316000488, ""doppler"": 0.0, ""angle"": 27.999357925754662, ""elevation"": 0.0}]",1785108890071.1428
4,"[{""range"": 0.6656795845199212, ""doppler"": 0.0, ""angle"": 2.894685401098849, ""elevation"": 0.0}, {""range"": 0.6888162491035063, ""doppler"": 0.0, ""angle"": 6.678555181721475, ""elevation"": 0.0}, {""range"": 0.7195706007030964, ""doppler"": 0.0, ""angle"": 15.110262413822822, ""elevation"": 0.0}, {""range"": 0.7413594232732493, ""doppler"": 0.0, ""angle"": 17.823117836135427, ""elevation"": 0.0}]",1785108890071.4878
3,"[{""range"": 0.6818801581375812, ""doppler"": 0.0, ""angle"": 4.421752730869544, ""elevation"": 0.0}, {""range"": 0.7208055566535445, ""doppler"": 0.0, ""angle"": 13.295049327087263, ""elevation"": 0.0}, {""range"": 0.7572643448987394, ""doppler"": 0.0, ""angle"": 21.324060386016924, ""elevation"": 0.0}]",1785108890071.838
1,"[{""range"": 0.7667680367014785, ""doppler"": 0.0, ""angle"": 18.64621548901738, ""elevation"": 0.0}]",1785108890072.1482
5,"[{""range"": 1.1861920970737316, ""doppler"": 0.0, ""angle"": -26.182647216483048, ""elevation"": 0.0}, {""range"": 0.7167421482609013, ""doppler"": 0.0, ""angle"": 20.641368973345983, ""elevation"": 0.0}, {""range"": 0.7285458590212625, ""doppler"": 0.0, ""angle"": 20.472103860112853, ""elevation"": 0.0}, {""range"": 0.7475337216078636, ""doppler"": 0.0, ""angle"": 21.335662475623323, ""elevation"": 0.0}, {""range"": 0.7797816737935577, ""doppler"": 0.0, ""angle"": 23.702352528219375, ""elevation"": 0.0}]",1785108890072.4648
1,"[{""range"": 0.8237573109264081, ""doppler"": 0.0, ""angle"": 35.95696414139203, ""elevation"": 0.0}]",1785108890072.786
6,"[{""range"": 2.140209219420556, ""doppler"": 0.0, ""angle"": -3.46793966617361, ""elevation"": 0.0}, {""range"": 0.7061657717670697, ""doppler"": 0.0, ""angle"": 10.342478733095684, ""elevation"": 0.0}, {""range"": 0.7312994114734896, ""doppler"": 0.0, ""angle"": 13.662477227632689, ""elevation"": 0.0}, {""range"": 0.7487298373416105, ""doppler"": 0.0, ""angle"": 15.69917010587091, ""elevation"": 0.0}, {""range"": 0.7759434691026542, ""doppler"": 0.0, ""angle"": 19.240819841072305, ""elevation"": 0.0}, {""range"": 2.065589848970072, ""doppler"": 0.0, ""angle"": 51.69651864085624, ""elevation"": 0.0}]",1785108890073.139
4,"[{""range"": 0.711909453450143, ""doppler"": 0.0, ""angle"": 20.711007556790708, ""elevation"": 0.0}, {""range"": 0.7244261183140772, ""doppler"": 0.0, ""angle"": 20.08097770489984, ""elevation"": 0.0}, {""range"": 0.7405872412129374, ""doppler"": 0.0, ""angle"": 18.220588274932766, ""elevation"": 0.0}, {""range"": 2.065526265696557, ""doppler"": 0.0, ""angle"": 50.8111033740364, ""elevation"": 0.0}]",1785108890073.47
4,"[{""range"": 0.6427632958465318, ""doppler"": 0.0, ""angle"": -1.7057715105753388, ""elevation"": 0.0}, {""range"": 0.6619053748828936, ""doppler"": 0.0, ""angle"": -1.0680764210873994, ""elevation"": 0.0}, {""range"": 0.6763140375106138, ""doppler"": 0.0, ""angle"": 0.6211091857911046, ""elevation"": 0.0}, {""range"": 0.6940978363665351, ""doppler"": 0.0, ""angle"": 3.6039565587767823, ""elevation"": 0.0}]",1785108890073.781
2,"[{""range"": 0.6961228530265174, ""doppler"": 0.0, ""angle"": 0.044152916648959685, ""elevation"": 0.0}, {""range"": 0.6954957574103948, ""doppler"": 0.0, ""angle"": -0.9133549553592845, ""elevation"": 0.0}]",1785108890074.088
1,"[{""range"": 0.672878759385458, ""doppler"": 0.0, ""angle"": 1.8731374549997237, ""elevation"": 0.0}]",1785108890074.3967
3,"[{""range"": 0.6692077509061803, ""doppler"": 0.0, ""angle"": -0.9186136307239972, ""elevation"": 0.0}, {""range"": 0.6788114687804719, ""doppler"": 0.0, ""angle"": -1.4339822166045684, ""elevation"": 0.0}, {""range"": 0.6881823328727222, ""doppler"": 0.0, ""angle"": -2.7999559141633386, ""elevation"": 0.0}]",1785108890074.714
1,"[{""range"": 0.6833033556788402, ""doppler"": 0.0, ""angle"": -2.384695633933735, ""elevation"": 0.0}]",1785108890075.02
2,"[{""range"": 0.6593376063405315, ""doppler"": 0.0, ""angle"": 8.044399376574487, ""elevation"": 0.0}, {""range"": 0.669662481301835, ""doppler"": 0.0, ""angle"": 5.777575446134251, ""elevation"": 0.0}]",1785108890075.327
3,"[{""range"": 0.6681759930165334, ""doppler"": 0.0, ""angle"": -5.420706704509763, ""elevation"": 0.0}, {""range"": 0.6525951661673335, ""doppler"": 0.0, ""angle"": -3.440212229471381, ""elevation"": 0.0}, {""range"": 2.060548621869095, ""doppler"": 0.0, ""angle"": 56.09480540167216, ""elevation"": 0.0}]",1785108890075.647
2,"[{""range"": 0.6631190774540907, ""doppler"": 0.0, ""angle"": -1.5915692763199065, ""elevation"": 0.0}, {""range"": 0.6696997229829059, ""doppler"": 0.0, ""angle"": -2.7241279926177544, ""elevation"": 0.0}]",1785108890075.9622
3,"[{""range"": 0.6555014705080614, ""doppler"": 0.0, ""angle"": 1.2192077064485292, ""elevation"": 0.0}, {""range"": 0.6675407735502039, ""doppler"": 0.0, ""angle"": 1.4274932816810793, ""elevation"": 0.0}, {""range"": 0.6881249497388265, ""doppler"": 0.0, ""angle"": 1.474143618702413, ""elevation"": 0.0}]",1785108890076.27
2,"[{""range"": 0.6665364417089561, ""doppler"": 0.0, ""angle"": -3.6453688668336954, ""elevation"": 0.0}, {""range"": 0.6530063808596331, ""doppler"": 0.0, ""angle"": -3.516634981626784, ""elevation"": 0.0}]",1785108890076.585
3,"[{""range"": 0.631984327116985, ""doppler"": 0.0, ""angle"": -0.7619532785423422, ""elevation"": 0.0}, {""range"": 0.6505893066232512, ""doppler"": 0.0, ""angle"": 2.0633943910855472, ""elevation"": 0.0}, {""range"": 0.6686496684504414, ""doppler"": 0.0, ""angle"": 3.342167160797083, ""elevation"": 0.0}]",1785108890076.928
3,"[{""range"": 0.6337202160302742, ""doppler"": 0.0, ""angle"": -0.19400302668863553, ""elevation"": 0.0}, {""range"": 0.6520471385029035, ""doppler"": 0.0, ""angle"": 2.514805679086365, ""elevation"": 0.0}, {""range"": 0.6644116813005067, ""doppler"": 0.0, ""angle"": 3.162723072671428, ""elevation"": 0.0}]",1785108890077.244
