ax,ay,az,gx,gy,gz,timestamp_ms
0.691,-0.339,-1.457,36.77,65.31,30.34,1785108919838.05
0.657,-0.379,-1.314,46.69,80.81,36.59,1785108919838.56
0.625,-0.373,-1.18,53.44,91.49,41.02,1785108919839.057
0.589,-0.395,-1.056,52.89,97.32,43.06,1785108919839.5571
0.559,-0.427,-0.914,45.81,100.96,42.94,1785108919840.0461
0.553,-0.469,-0.774,35.0,101.08,42.09,1785108919840.4731
0.545,-0.531,-0.617,22.64,99.34,40.35,1785108919840.8792
0.532,-0.613,-0.433,11.66,95.03,37.97,1785108919841.2852
0.539,-0.722,-0.244,5.28,86.76,34.88,1785108919841.703
0.538,-0.831,-0.057,7.05,75.69,31.25,1785108919842.101
0.538,-0.919,0.128,18.68,60.79,26.06,1785108919842.5159
0.544,-0.945,0.29,36.41,41.99,20.84,1785108919842.984
0.533,-0.911,0.362,54.57,21.82,16.72,1785108919843.468
0.511,-0.83,0.371,63.33,4.36,11.57,1785108919843.893
0.484,-0.75,0.378,58.84,-11.78,5.43,1785108919844.2932
0.452,-0.719,0.378,44.25,-29.97,-0.55,1785108919844.752
0.423,-0.745,0.373,27.44,-48.07,-6.5,1785108919845.16
0.393,-0.796,0.351,16.17,-65.89,-13.21,1785108919845.556
0.369,-0.83,0.308,11.11,-82.95,-17.55,1785108919845.963
0.368,-0.839,0.222,13.82,-99.22,-20.36,1785108919846.371
0.372,-0.797,0.069,22.92,-113.77,-23.59,1785108919846.781
0.375,-0.702,-0.159,31.56,-124.97,-26.7,1785108919847.1858
0.38,-0.591,-0.474,34.94,-132.18,-29.6,1785108919847.5972
0.381,-0.453,-0.929,29.97,-132.02,-30.67,1785108919848.01
0.424,-0.295,-1.338,12.39,-121.25,-29.36,1785108919848.375
0.533,-0.164,-1.62,-11.26,-102.57,-24.87,1785108919848.79
0.649,-0.061,-1.818,-37.2,-76.42,-16.14,1785108919849.1467
0.682,-0.119,-1.891,-64.06,-44.92,-9.43,1785108919849.494
0.634,-0.317,-1.839,-77.49,-11.9,-3.81,1785108919849.829
0.579,-0.501,-1.748,-62.99,16.21,4.27,1785108919850.171
0.548,-0.597,-1.683,-22.8,37.78,15.05,1785108919850.517
0.533,-0.605,-1.607,24.23,53.19,25.21,1785108919850.868
0.533,-0.605,-1.491,59.82,66.71,32.59,1785108919851.2212
0.508,-0.586,-1.334,78.28,79.56,36.32,1785108919851.583
0.495,-0.553,-1.136,80.32,89.05,37.6,1785108919851.98
0.491,-0.553,-0.911,68.24,94.82,35.43,1785108919852.3252
0.483,-0.619,-0.662,45.96,96.99,31.16,1785108919852.6777
0.474,-0.731,-0.427,21.42,95.77,25.39,1785108919853.069
0.451,-0.849,-0.218,1.89,91.86,18.98,1785108919853.4292
0.457,-0.971,0.029,-8.94,82.92,11.75,1785108919853.7642
0.494,-1.078,0.263,-9.06,68.51,4.67,1785108919854.102
0.499,-1.118,0.409,1.83,51.55,-2.56,1785108919854.443
0.483,-1.113,0.487,16.57,33.27,-10.41,1785108919854.79
0.461,-1.075,0.543,29.82,14.53,-16.79,1785108919855.1272
0.43,-1.014,0.56,40.99,-5.19,-21.61,1785108919855.4702
0.408,-0.942,0.524,47.0,-24.9,-25.79,1785108919855.829
0.375,-0.862,0.46,46.54,-42.57,-29.08,1785108919856.1611
0.341,-0.791,0.375,42.33,-59.21,-31.77,1785108919856.496
0.316,-0.744,0.291,35.83,-74.62,-33.6,1785108919856.802
0.293,-0.719,0.202,32.2,-89.72,-35.04,1785108919857.108
0.288,-0.659,0.046,33.3,-104.8,-34.67,1785108919857.413
0.308,-0.547,-0.178,35.37,-117.34,-33.6,1785108919857.719
0.347,-0.424,-0.448,31.34,-125.52,-31.77,1785108919858.029
0.37,-0.354,-0.834,17.43,-126.8,-30.06,1785108919858.3381
0.411,-0.326,-1.153,-7.72,-116.73,-29.57,1785108919858.638
0.487,-0.298,-1.357,-32.5,-101.17,-26.15,1785108919858.948
0.569,-0.274,-1.554,-51.0,-82.95,-20.23,1785108919859.257
0.608,-0.301,-1.7,-66.44,-60.15,-16.97,1785108919859.5579
0.621,-0.358,-1.778,-74.31,-33.81,-13.98,1785108919859.863
0.61,-0.418,-1.803,-69.86,-7.9,-8.76,1785108919860.178
0.587,-0.476,-1.759,-54.2,15.84,-0.64,1785108919860.4841
0.576,-0.501,-1.669,-29.51,36.93,9.03,1785108919860.78
0.567,-0.468,-1.56,-1.68,54.57,19.35,1785108919861.086
0.549,-0.427,-1.446,20.51,69.73,29.05,1785108919861.4001
0.522,-0.409,-1.323,33.42,83.71,36.35,1785108919861.723
0.486,-0.391,-1.183,35.92,95.52,41.99,1785108919862.04
0.438,-0.4,-1.02,29.54,104.5,46.45,1785108919862.346
0.405,-0.45,-0.816,18.89,110.05,48.86,1785108919862.7078
0.4,-0.533,-0.611,7.93,111.67,49.71,1785108919863.025
