distance_cm,timestamp_ms
72.0,1784915915408.769
75.0,1784915915451.958
49.0,1784915915601.842
69.0,1784915915651.783
51.0,1784915915801.78
44.0,1784915915851.7607
52.0,1784915916001.79
49.0,1784915916051.764
88.0,1784915916201.7651
54.0,1784915916251.7278
19.0,1784915916401.715
13.0,1784915916451.7078
28.0,1784915916601.851
36.0,1784915916651.7297
4.0,1784915916801.738
9.0,1784915916851.708
40.0,1784915917008.041
34.0,1784915917051.7322
15.0,1784915917201.719
35.0,1784915917251.7068
31.0,1784915917401.7659
12.0,1784915917451.704
40.0,1784915917601.801
45.0,1784915917657.9998
8.0,1784915917801.7722
8.0,1784915917851.696
41.0,1784915918001.7058
28.0,1784915918051.669
18.0,1784915918201.7322
31.0,1784915918251.6392
28.0,1784915918401.639
10.0,1784915918451.6558
32.0,1784915918607.954
44.0,1784915918651.646
8.0,1784915918801.6619
11.0,1784915918851.615
42.0,1784915919001.6892
35.0,1784915919051.627
8.0,1784915919207.8708
35.0,1784915919251.617
19.0,1784915919401.613
7.0,1784915919451.594
33.0,1784915919601.6262
40.0,1784915919651.5962
8.0,1784915919801.6091
19.0,1784915919851.578
37.0,1784915920001.663
19.0,1784915920051.6018
25.0,1784915920201.576
37.0,1784915920264.0908
