ax,ay,az,gx,gy,gz,timestamp_ms
-0.903,-0.327,-0.141,-40.07,3.3,5.4,1785091902218.6902
-0.903,-0.323,-0.146,-38.64,3.23,5.65,1785091902235.1438
-0.906,-0.32,-0.145,-37.35,3.05,5.71,1785091902235.721
-0.911,-0.321,-0.149,-35.86,2.56,6.04,1785091902236.221
-0.913,-0.318,-0.153,-33.97,2.17,6.59,1785091902236.725
-0.918,-0.314,-0.157,-31.74,1.95,7.35,1785091902237.2183
-0.918,-0.314,-0.156,-29.54,1.62,8.18,1785091902237.7578
-0.91,-0.31,-0.157,-27.22,1.46,8.48,1785091902238.235
-0.913,-0.306,-0.161,-24.93,1.4,8.15,1785091902238.708
-0.917,-0.302,-0.162,-23.07,1.22,8.39,1785091902239.1108
-0.918,-0.304,-0.162,-21.52,0.79,9.03,1785091902239.494
-0.92,-0.306,-0.162,-19.65,0.4,9.31,1785091902239.884
-0.92,-0.305,-0.166,-17.43,0.03,9.43,1785091902240.277
-0.922,-0.301,-0.17,-15.08,-0.31,9.49,1785091902240.673
-0.926,-0.296,-0.172,-12.94,-0.67,9.49,1785091902241.0637
-0.928,-0.295,-0.173,-10.86,-0.95,9.46,1785091902241.459
-0.93,-0.294,-0.172,-9.0,-1.37,9.55,1785091902241.86
-0.931,-0.292,-0.174,-7.57,-1.74,9.61,1785091902242.249
-0.927,-0.29,-0.174,-6.29,-2.08,9.49,1785091902242.6428
-0.926,-0.287,-0.177,-5.43,-2.38,9.4,1785091902243.0579
-0.928,-0.287,-0.181,-5.01,-2.35,9.16,1785091902243.4658
-0.928,-0.287,-0.183,-4.73,-2.2,8.85,1785091902243.8618
-0.928,-0.289,-0.184,-4.64,-2.41,8.55,1785091902244.2397
-0.927,-0.289,-0.183,-4.61,-2.44,8.24,1785091902244.622
-0.927,-0.288,-0.183,-4.55,-2.26,7.72,1785091902244.9448
-0.928,-0.288,-0.183,-4.27,-1.95,7.23,1785091902245.286
-0.928,-0.288,-0.181,-3.85,-1.77,6.93,1785091902245.6782
-0.922,-0.288,-0.179,-3.17,-1.74,6.93,1785091902246.016
-0.919,-0.289,-0.176,-1.8,-1.62,6.71,1785091902246.3413
-0.922,-0.287,-0.176,-0.46,-1.8,6.41,1785091902246.686
-0.927,-0.286,-0.179,0.61,-2.11,6.04,1785091902247.0159
-0.931,-0.288,-0.182,1.28,-2.08,5.55,1785091902247.336
-0.929,-0.287,-0.186,1.53,-1.92,5.46,1785091902247.66
-0.929,-0.285,-0.188,1.56,-1.77,5.55,1785091902247.987
-0.927,-0.286,-0.189,1.4,-1.77,5.71,1785091902248.3252
-0.926,-0.282,-0.189,0.82,-1.68,5.86,1785091902248.6628
-0.923,-0.282,-0.19,-0.09,-1.46,6.04,1785091902249.006
-0.923,-0.284,-0.186,-0.92,-1.19,6.26,1785091902249.323
-0.921,-0.289,-0.181,-1.5,-1.01,6.38,1785091902249.6572
-0.92,-0.289,-0.18,-1.68,-0.85,6.26,1785091902249.982
-0.923,-0.288,-0.18,-1.37,-0.85,6.26,1785091902250.3318
-0.926,-0.291,-0.178,-0.82,-1.01,6.38,1785091902250.6912
-0.922,-0.289,-0.181,-0.18,-1.22,6.32,1785091902251.071
-0.92,-0.286,-0.182,0.24,-0.92,5.83,1785091902251.424
-0.924,-0.282,-0.182,-0.09,-0.52,5.07,1785091902251.738
-0.929,-0.283,-0.182,-1.13,-0.34,4.61,1785091902252.06
-0.929,-0.287,-0.181,-2.01,-0.4,4.73,1785091902252.38
-0.927,-0.289,-0.18,-2.47,-0.46,4.52,1785091902252.679
-0.925,-0.289,-0.181,-2.62,-0.37,4.27,1785091902252.958
-0.925,-0.286,-0.178,-2.96,-0.21,3.75,1785091902253.246
-0.928,-0.284,-0.177,-3.36,-0.31,3.42,1785091902253.529
-0.932,-0.285,-0.177,-3.94,-0.58,3.2,1785091902253.8052
-0.929,-0.283,-0.175,-4.49,-0.52,2.93,1785091902254.09
-0.928,-0.284,-0.173,-4.73,-0.34,2.35,1785091902254.3792
-0.932,-0.282,-0.177,-4.79,-0.27,1.8,1785091902254.6548
-0.934,-0.284,-0.178,-5.04,-0.24,1.62,1785091902254.935
-0.933,-0.283,-0.177,-5.4,-0.37,1.59,1785091902255.216
-0.929,-0.282,-0.177,-5.74,-0.27,1.5,1785091902255.489
-0.927,-0.28,-0.181,-5.74,0.06,1.13,1785091902255.767
-0.926,-0.281,-0.181,-5.95,0.15,0.82,1785091902256.0442
-0.924,-0.282,-0.181,-6.2,0.12,0.64,1785091902256.377
-0.921,-0.281,-0.18,-6.2,0.27,0.0,1785091902256.652
-0.919,-0.278,-0.181,-5.77,0.31,-0.46,1785091902256.9622
-0.92,-0.277,-0.18,-5.49,0.58,-0.89,1785091902257.272
-0.921,-0.279,-0.178,-5.37,0.73,-1.5,1785091902257.545
-0.923,-0.272,-0.18,-5.1,0.73,-1.86,1785091902257.8418
-0.925,-0.276,-0.179,-5.16,0.85,-1.71,1785091902258.126
-0.927,-0.278,-0.18,-5.04,0.82,-1.95,1785091902258.424
-0.927,-0.278,-0.18,-4.46,1.01,-2.17,1785091902258.7058
-0.927,-0.272,-0.183,-3.94,1.13,-2.17,1785091902258.989
-0.926,-0.272,-0.183,-3.85,1.22,-2.23,1785091902259.286
-0.928,-0.271,-0.181,-3.81,1.31,-2.38,1785091902259.5598
-0.927,-0.267,-0.183,-3.91,1.37,-2.53,1785091902259.846
-0.927,-0.266,-0.183,-3.91,1.37,-2.53,1785091902260.126
-0.927,-0.267,-0.183,-4.24,1.5,-2.62,1785091902260.405
-0.928,-0.269,-0.18,-4.43,1.46,-2.9,1785091902260.673
