num_points,points,timestamp_ms
11,"[{""range"": 2.4920974191706295, ""doppler"": 0.0, ""angle"": -14.710292095574031, ""elevation"": 0.0}, {""range"": 2.4994050461713515, ""doppler"": 0.0, ""angle"": -15.868820645915724, ""elevation"": 0.0}, {""range"": 0.5055345695416614, ""doppler"": 0.0, ""angle"": -4.076953322036353, ""elevation"": 0.0}, {""range"": 0.2621632431109059, ""doppler"": 0.0, ""angle"": -0.7425367421620659, ""elevation"": 0.0}, {""range"": 0.276155645899878, ""doppler"": 0.0, ""angle"": 1.2614907487971394, ""elevation"": 0.0}, {""range"": 0.5489629720471767, ""doppler"": 0.0, ""angle"": 0.2239563037701376, ""elevation"": 0.0}, {""range"": 0.5887711571778931, ""doppler"": 0.0, ""angle"": 2.2975649331767145, ""elevation"": 0.0}, {""range"": 0.6146834784377633, ""doppler"": 0.0, ""angle"": 1.0334457633760334, ""elevation"": 0.0}, {""range"": 0.2985884849018339, ""doppler"": 0.0, ""angle"": 3.8802652046329564, ""elevation"": 0.0}, {""range"": 0.32924545087655344, ""doppler"": 0.0, ""angle"": 12.005650182269019, ""elevation"": 0.0}, {""range"": 0.38273551044197296, ""doppler"": 0.0, ""angle"": 37.06263174064263, ""elevation"": 0.0}]",1785091941594.023
15,"[{""range"": 2.447425594041959, ""doppler"": 0.0, ""angle"": -18.323751571489495, ""elevation"": 0.0}, {""range"": 0.38651966884954597, ""doppler"": 0.0, ""angle"": -13.02044449340473, ""elevation"": 0.0}, {""range"": 0.4751171031262672, ""doppler"": 0.0, ""angle"": -16.395624884647287, ""elevation"": 0.0}, {""range"": 0.5304980308874638, ""doppler"": 0.0, ""angle"": -16.266384732774025, ""elevation"": 0.0}, {""range"": 2.4661263244960674, ""doppler"": 0.0, ""angle"": -18.088119944668104, ""elevation"": 0.0}, {""range"": 2.499898985469036, ""doppler"": 0.0, ""angle"": -11.959367215105468, ""elevation"": 0.0}, {""range"": 0.40664053962907937, ""doppler"": 0.0, ""angle"": -10.079495498976797, ""elevation"": 0.0}, {""range"": 0.42770039168507745, ""doppler"": 0.0, ""angle"": -7.9302302274553, ""elevation"": 0.0}, {""range"": 0.2325610473960549, ""doppler"": 0.0, ""angle"": -2.820605978007772, ""elevation"": 0.0}, {""range"": 3.7589601797215644, ""doppler"": 0.0, ""angle"": 8.838582751458791, ""elevation"": 0.0}, {""range"": 4.716265568556232, ""doppler"": 0.0, ""angle"": 7.915052180843349, ""elevation"": 0.0}, {""range"": 0.3307826285381128, ""doppler"": 0.0, ""angle"": 29.502852824404986, ""elevation"": 0.0}, {""range"": 0.28883122429389296, ""doppler"": 0.0, ""angle"": 35.50056646102764, ""elevation"": 0.0}, {""range"": 1.8518949430467841, ""doppler"": 0.0, ""angle"": 42.05300682086942, ""elevation"": 0.0}, {""range"": 1.8377175721407315, ""doppler"": 0.0, ""angle"": 43.78967807583917, ""elevation"": 0.0}]",1785091941594.486
8,"[{""range"": 0.4037244044903613, ""doppler"": 0.0, ""angle"": -13.759276017591018, ""elevation"": 0.0}, {""range"": 0.4270685110054451, ""doppler"": 0.0, ""angle"": -16.66707496072733, ""elevation"": 0.0}, {""range"": 0.19141720559239195, ""doppler"": 0.0, ""angle"": -8.758370169937178, ""elevation"": 0.0}, {""range"": 0.3524365036346977, ""doppler"": 0.0, ""angle"": 11.264323902946536, ""elevation"": 0.0}, {""range"": 1.8751771488848865, ""doppler"": 0.0, ""angle"": 32.62623790390936, ""elevation"": 0.0}, {""range"": 0.10804683092324105, ""doppler"": 0.0, ""angle"": 42.988095012146864, ""elevation"": 0.0}, {""range"": 1.8996379842593096, ""doppler"": 0.0, ""angle"": 34.68185058754148, ""elevation"": 0.0}, {""range"": 0.09150190497697044, ""doppler"": 0.0, ""angle"": 56.55836790139924, ""elevation"": 0.0}]",1785091941594.851
11,"[{""range"": 0.2423653854824864, ""doppler"": 0.0, ""angle"": -18.942924225445154, ""elevation"": 0.0}, {""range"": 0.4212928015020682, ""doppler"": 0.0, ""angle"": -20.62720238557421, ""elevation"": 0.0}, {""range"": 0.43094981747588773, ""doppler"": 0.0, ""angle"": -20.93168600485643, ""elevation"": 0.0}, {""range"": 0.45953281619375913, ""doppler"": 0.0, ""angle"": -19.196403397845366, ""elevation"": 0.0}, {""range"": 0.2057825219727949, ""doppler"": 0.0, ""angle"": -15.678683169863785, ""elevation"": 0.0}, {""range"": 0.2316468782920347, ""doppler"": 0.0, ""angle"": -16.82633263077217, ""elevation"": 0.0}, {""range"": 0.281971601755257, ""doppler"": 0.0, ""angle"": -15.975341427558444, ""elevation"": 0.0}, {""range"": 0.36901949943525264, ""doppler"": 0.0, ""angle"": -1.4994017289652433, ""elevation"": 0.0}, {""range"": 1.8450731925398758, ""doppler"": 0.0, ""angle"": 47.7180935464139, ""elevation"": 0.0}, {""range"": 1.8669719690350752, ""doppler"": 0.0, ""angle"": 46.431999205649575, ""elevation"": 0.0}, {""range"": 1.9002832414938777, ""doppler"": 0.0, ""angle"": 55.50841511726652, ""elevation"": 0.0}]",1785091941595.212
11,"[{""range"": 0.3921389987465437, ""doppler"": 0.0, ""angle"": -20.58356627289829, ""elevation"": 0.0}, {""range"": 0.4082348750775735, ""doppler"": 0.0, ""angle"": -19.950944385741472, ""elevation"": 0.0}, {""range"": 0.41880426086286276, ""doppler"": 0.0, ""angle"": -23.368835923603466, ""elevation"": 0.0}, {""range"": 0.23233442500371154, ""doppler"": 0.0, ""angle"": -12.399666426309762, ""elevation"": 0.0}, {""range"": 0.2398321521273436, ""doppler"": 0.0, ""angle"": -11.351821470441271, ""elevation"": 0.0}, {""range"": 0.22241377157818976, ""doppler"": 0.0, ""angle"": -10.749821283825625, ""elevation"": 0.0}, {""range"": 2.816880737869776, ""doppler"": 0.0, ""angle"": -3.6031057694209587, ""elevation"": 0.0}, {""range"": 0.28671324214359856, ""doppler"": 0.0, ""angle"": 3.146133719828796, ""elevation"": 0.0}, {""range"": 2.8024326894947276, ""doppler"": 0.0, ""angle"": -3.1273074317307237, ""elevation"": 0.0}, {""range"": 1.8905142846712006, ""doppler"": 0.0, ""angle"": 40.09283513696087, ""elevation"": 0.0}, {""range"": 1.9126573097500017, ""doppler"": 0.0, ""angle"": 39.10737014181065, ""elevation"": 0.0}]",1785091941595.5908
10,"[{""range"": 0.24953572628633874, ""doppler"": 0.0, ""angle"": -21.656550206085022, ""elevation"": 0.0}, {""range"": 0.25906924182555713, ""doppler"": 0.0, ""angle"": -22.139217140628194, ""elevation"": 0.0}, {""range"": 0.2955013204817005, ""doppler"": 0.0, ""angle"": -19.476575498931986, ""elevation"": 0.0}, {""range"": 2.8050543929541507, ""doppler"": 0.0, ""angle"": -3.717135153033023, ""elevation"": 0.0}, {""range"": 2.8196023698929116, ""doppler"": 0.0, ""angle"": -4.4884415628524605, ""elevation"": 0.0}, {""range"": 0.3821718564102714, ""doppler"": 0.0, ""angle"": -3.1649596868960015, ""elevation"": 0.0}, {""range"": 0.4055222496749246, ""doppler"": 0.0, ""angle"": -3.3367891075566187, ""elevation"": 0.0}, {""range"": 0.48177664143702253, ""doppler"": 0.0, ""angle"": 34.964145824930455, ""elevation"": 0.0}, {""range"": 1.884220598596598, ""doppler"": 0.0, ""angle"": 47.39602796199007, ""elevation"": 0.0}, {""range"": 1.9093965417829593, ""doppler"": 0.0, ""angle"": 46.16867483657901, ""elevation"": 0.0}]",1785091941595.977
6,"[{""range"": 1.150495523522951, ""doppler"": 0.0, ""angle"": -5.350837789824943, ""elevation"": 0.0}, {""range"": 2.812112470296277, ""doppler"": 0.0, ""angle"": -3.956090137718633, ""elevation"": 0.0}, {""range"": 2.820669838912667, ""doppler"": 0.0, ""angle"": -4.7126646644731744, ""elevation"": 0.0}, {""range"": 0.31190091745577586, ""doppler"": 0.0, ""angle"": 27.299572211332805, ""elevation"": 0.0}, {""range"": 1.8837797538249466, ""doppler"": 0.0, ""angle"": 35.68309182130274, ""elevation"": 0.0}, {""range"": 1.9124569510429796, ""doppler"": 0.0, ""angle"": 37.386332134349004, ""elevation"": 0.0}]",1785091941596.323
12,"[{""range"": 0.3027970454803099, ""doppler"": 0.0, ""angle"": -31.74715045739109, ""elevation"": 0.0}, {""range"": 0.26295092161041883, ""doppler"": 0.0, ""angle"": -21.62776451877791, ""elevation"": 0.0}, {""range"": 2.7671669930695235, ""doppler"": 0.0, ""angle"": -5.2983420885763035, ""elevation"": 0.0}, {""range"": 2.800476517031777, ""doppler"": 0.0, ""angle"": -4.166939834518845, ""elevation"": 0.0}, {""range"": 2.8176824643406975, ""doppler"": 0.0, ""angle"": -3.7988371743558558, ""elevation"": 0.0}, {""range"": 1.149291171644043, ""doppler"": 0.0, ""angle"": -1.836688572515155, ""elevation"": 0.0}, {""range"": 1.1678223194289956, ""doppler"": 0.0, ""angle"": 1.3950419118470745, ""elevation"": 0.0}, {""range"": 2.852506133347838, ""doppler"": 0.0, ""angle"": -0.98776039963981, ""elevation"": 0.0}, {""range"": 2.0046471302136757, ""doppler"": 0.0, ""angle"": 32.17603161847465, ""elevation"": 0.0}, {""range"": 1.9516327203598756, ""doppler"": 0.0, ""angle"": 40.15374275022142, ""elevation"": 0.0}, {""range"": 1.8925249504388926, ""doppler"": 0.0, ""angle"": 45.86515181293717, ""elevation"": 0.0}, {""range"": 1.9151053842536863, ""doppler"": 0.0, ""angle"": 45.355587886328365, ""elevation"": 0.0}]",1785091941596.693
9,"[{""range"": 0.2512071678765499, ""doppler"": 0.0, ""angle"": -16.500016513369243, ""elevation"": 0.0}, {""range"": 0.25762837497526214, ""doppler"": 0.0, ""angle"": -16.69924423399362, ""elevation"": 0.0}, {""range"": 2.7703432845033347, ""doppler"": 0.0, ""angle"": -6.3107870973663855, ""elevation"": 0.0}, {""range"": 2.7997919831637055, ""doppler"": 0.0, ""angle"": -4.696482323193863, ""elevation"": 0.0}, {""range"": 2.8176015819224056, ""doppler"": 0.0, ""angle"": -4.291056972587432, ""elevation"": 0.0}, {""range"": 1.148572024334481, ""doppler"": 0.0, ""angle"": -3.543505860519289, ""elevation"": 0.0}, {""range"": 1.1633233836848007, ""doppler"": 0.0, ""angle"": -1.3387720614587881, ""elevation"": 0.0}, {""range"": 2.8552904497185305, ""doppler"": 0.0, ""angle"": -0.8934919581396481, ""elevation"": 0.0}, {""range"": 1.8830329904232073, ""doppler"": 0.0, ""angle"": 52.47718726139597, ""elevation"": 0.0}]",1785091941597.037
11,"[{""range"": 0.2709717356753282, ""doppler"": 0.0, ""angle"": -32.22180440135847, ""elevation"": 0.0}, {""range"": 1.151175014758351, ""doppler"": 0.0, ""angle"": -4.4990457328650555, ""elevation"": 0.0}, {""range"": 2.8044687894723324, ""doppler"": 0.0, ""angle"": -3.868022443028519, ""elevation"": 0.0}, {""range"": 2.817820909453146, ""doppler"": 0.0, ""angle"": -3.948063031789258, ""elevation"": 0.0}, {""range"": 2.1749180804738004, ""doppler"": 0.0, ""angle"": 5.927145741398094, ""elevation"": 0.0}, {""range"": 2.180989752577169, ""doppler"": 0.0, ""angle"": 6.482331136217217, ""elevation"": 0.0}, {""range"": 0.44715616248704176, ""doppler"": 0.0, ""angle"": 29.9381305520779, ""elevation"": 0.0}, {""range"": 0.4692563489366082, ""doppler"": 0.0, ""angle"": 30.933801872921567, ""elevation"": 0.0}, {""range"": 2.0573117889721404, ""doppler"": 0.0, ""angle"": 38.64503127856937, ""elevation"": 0.0}, {""range"": 1.884737039266352, ""doppler"": 0.0, ""angle"": 44.77706034880248, ""elevation"": 0.0}, {""range"": 1.9036318973360231, ""doppler"": 0.0, ""angle"": 45.82204325655968, ""elevation"": 0.0}]",1785091941597.377
