num_points,points,timestamp_ms
5,"[{""range"": 1.3274838421773072, ""doppler"": 0.0, ""angle"": -46.74661422940754, ""elevation"": 0.0}, {""range"": 1.2900852227318431, ""doppler"": 0.0, ""angle"": -40.52549294833806, ""elevation"": 0.0}, {""range"": 0.6274650004108353, ""doppler"": 0.0, ""angle"": 2.384584538645965, ""elevation"": 0.0}, {""range"": 1.8784730956974798, ""doppler"": 0.0, ""angle"": 49.389240160692104, ""elevation"": 0.0}, {""range"": 1.910113522068455, ""doppler"": 0.0, ""angle"": 47.62167841862088, ""elevation"": 0.0}]",1785103510471.2288
7,"[{""range"": 1.3317665445424565, ""doppler"": 0.0, ""angle"": -32.932597907613825, ""elevation"": 0.0}, {""range"": 1.3633465761882606, ""doppler"": 0.0, ""angle"": -11.699011939073282, ""elevation"": 0.0}, {""range"": 1.333290845846689, ""doppler"": 0.0, ""angle"": -10.306221061623912, ""elevation"": 0.0}, {""range"": 0.6289954439790142, ""doppler"": 0.0, ""angle"": 1.726824123061571, ""elevation"": 0.0}, {""range"": 0.6574385320715064, ""doppler"": 0.0, ""angle"": 10.072074062396172, ""elevation"": 0.0}, {""range"": 1.8787839165505207, ""doppler"": 0.0, ""angle"": 51.44920152530874, ""elevation"": 0.0}, {""range"": 1.9044805547435992, ""doppler"": 0.0, ""angle"": 50.12692814082629, ""elevation"": 0.0}]",1785103510471.773
8,"[{""range"": 1.332232514312319, ""doppler"": 0.0, ""angle"": -43.537053531096966, ""elevation"": 0.0}, {""range"": 1.2735313944039444, ""doppler"": 0.0, ""angle"": -20.730236055440518, ""elevation"": 0.0}, {""range"": 1.2341077216439817, ""doppler"": 0.0, ""angle"": -13.848989865055339, ""elevation"": 0.0}, {""range"": 0.6544067213409458, ""doppler"": 0.0, ""angle"": -8.231949602074884, ""elevation"": 0.0}, {""range"": 1.3693496487397583, ""doppler"": 0.0, ""angle"": -4.808999131361302, ""elevation"": 0.0}, {""range"": 1.8794358911866662, ""doppler"": 0.0, ""angle"": 47.911490308510835, ""elevation"": 0.0}, {""range"": 1.911194799599205, ""doppler"": 0.0, ""angle"": 47.22182835478302, ""elevation"": 0.0}, {""range"": 1.9535913423043791, ""doppler"": 0.0, ""angle"": 46.68381215304791, ""elevation"": 0.0}]",1785103510499.225
6,"[{""range"": 0.6629989067553491, ""doppler"": 0.0, ""angle"": -2.2103189243539045, ""elevation"": 0.0}, {""range"": 0.9197716358765087, ""doppler"": 0.0, ""angle"": -0.9691342457728199, ""elevation"": 0.0}, {""range"": 1.8526829671820662, ""doppler"": 0.0, ""angle"": 43.036655104667105, ""elevation"": 0.0}, {""range"": 1.93575895712704, ""doppler"": 0.0, ""angle"": 40.92851511745959, ""elevation"": 0.0}, {""range"": 1.877518764361901, ""doppler"": 0.0, ""angle"": 44.89581895467983, ""elevation"": 0.0}, {""range"": 1.9037749900527912, ""doppler"": 0.0, ""angle"": 44.14376680808242, ""elevation"": 0.0}]",1785103510609.237
8,"[{""range"": 1.3420119195969922, ""doppler"": 0.0, ""angle"": -12.715948028593388, ""elevation"": 0.0}, {""range"": 1.3780622398225668, ""doppler"": 0.0, ""angle"": -12.431234345712232, ""elevation"": 0.0}, {""range"": 1.2916427096678142, ""doppler"": 0.0, ""angle"": -8.22993827278532, ""elevation"": 0.0}, {""range"": 1.3612074246450294, ""doppler"": 0.0, ""angle"": -10.498055487680933, ""elevation"": 0.0}, {""range"": 0.6551623717499448, ""doppler"": 0.0, ""angle"": 5.827294498669029, ""elevation"": 0.0}, {""range"": 1.8585913882521434, ""doppler"": 0.0, ""angle"": 47.148218383960845, ""elevation"": 0.0}, {""range"": 1.8789035881001244, ""doppler"": 0.0, ""angle"": 48.452951286648194, ""elevation"": 0.0}, {""range"": 1.8980427322232305, ""doppler"": 0.0, ""angle"": 49.40514558278558, ""elevation"": 0.0}]",1785103510700.7732
6,"[{""range"": 1.3326492921065334, ""doppler"": 0.0, ""angle"": -51.64155612219077, ""elevation"": 0.0}, {""range"": 1.5556410463668449, ""doppler"": 0.0, ""angle"": -4.661365997096652, ""elevation"": 0.0}, {""range"": 1.3670061441349157, ""doppler"": 0.0, ""angle"": -2.909188585013035, ""elevation"": 0.0}, {""range"": 0.6693368864811177, ""doppler"": 0.0, ""angle"": 9.394379596503706, ""elevation"": 0.0}, {""range"": 1.882849322782221, ""doppler"": 0.0, ""angle"": 48.056468540654386, ""elevation"": 0.0}, {""range"": 1.8994914068476076, ""doppler"": 0.0, ""angle"": 48.72883219690473, ""elevation"": 0.0}]",1785103510800.228
4,"[{""range"": 1.3286755763372842, ""doppler"": 0.0, ""angle"": -50.20331442332022, ""elevation"": 0.0}, {""range"": 1.2886900790425997, ""doppler"": 0.0, ""angle"": -41.7827501970835, ""elevation"": 0.0}, {""range"": 1.8877422193026745, ""doppler"": 0.0, ""angle"": 48.102343602848, ""elevation"": 0.0}, {""range"": 1.9029890105131029, ""doppler"": 0.0, ""angle"": 49.35549279366511, ""elevation"": 0.0}]",1785103510909.769
3,"[{""range"": 0.6320708364167278, ""doppler"": 0.0, ""angle"": 5.063821230451719, ""elevation"": 0.0}, {""range"": 1.8872802742242165, ""doppler"": 0.0, ""angle"": 48.70683209043712, ""elevation"": 0.0}, {""range"": 1.9042485243045804, ""doppler"": 0.0, ""angle"": 48.582267162775146, ""elevation"": 0.0}]",1785103511003.9822
6,"[{""range"": 1.3594682952546668, ""doppler"": 0.0, ""angle"": -0.7762568014750142, ""elevation"": 0.0}, {""range"": 0.6416633826055832, ""doppler"": 0.0, ""angle"": 9.900687923760364, ""elevation"": 0.0}, {""range"": 0.6552153461493275, ""doppler"": 0.0, ""angle"": 14.089337238351648, ""elevation"": 0.0}, {""range"": 0.6851377174824035, ""doppler"": 0.0, ""angle"": 18.945660303988326, ""elevation"": 0.0}, {""range"": 1.8762340046667687, ""doppler"": 0.0, ""angle"": 47.56469136547639, ""elevation"": 0.0}, {""range"": 1.894005835936954, ""doppler"": 0.0, ""angle"": 46.224082522176225, ""elevation"": 0.0}]",1785103511100.5461
7,"[{""range"": 1.1919535138185526, ""doppler"": 0.0, ""angle"": -13.03971432196878, ""elevation"": 0.0}, {""range"": 1.2382012813043866, ""doppler"": 0.0, ""angle"": -17.610700113641794, ""elevation"": 0.0}, {""range"": 1.2969872160604703, ""doppler"": 0.0, ""angle"": -6.189278286409383, ""elevation"": 0.0}, {""range"": 1.3336501973915167, ""doppler"": 0.0, ""angle"": -5.809965345734833, ""elevation"": 0.0}, {""range"": 1.3541139111052403, ""doppler"": 0.0, ""angle"": -7.893631676497113, ""elevation"": 0.0}, {""range"": 0.6513786178953471, ""doppler"": 0.0, ""angle"": 14.856442637210474, ""elevation"": 0.0}, {""range"": 0.6610774126469522, ""doppler"": 0.0, ""angle"": 19.728883988274927, ""elevation"": 0.0}]",1785103511200.0042
