ax,ay,az,gx,gy,gz,timestamp_ms
-0.897,-0.305,-0.21,0.73,1.68,3.66,1785103671534.4697
-0.895,-0.299,-0.213,-2.11,2.01,3.66,1785103671534.962
-0.897,-0.298,-0.221,-5.95,2.78,3.78,1785103671535.441
-0.9,-0.303,-0.225,-9.92,3.75,3.78,1785103671535.9429
-0.906,-0.315,-0.218,-12.57,4.21,3.72,1785103671536.417
-0.908,-0.33,-0.208,-12.85,3.81,3.85,1785103671536.8818
-0.909,-0.338,-0.202,-10.96,2.96,4.3,1785103671537.332
-0.907,-0.341,-0.197,-7.66,1.89,4.97,1785103671537.7368
-0.906,-0.342,-0.2,-3.81,0.7,5.4,1785103671538.1172
-0.903,-0.337,-0.21,-0.52,0.0,5.58,1785103671538.525
-0.901,-0.328,-0.219,1.1,-0.12,5.28,1785103671538.91
-0.901,-0.323,-0.23,1.19,0.09,4.76,1785103671539.2917
-0.9,-0.323,-0.231,0.27,0.46,4.21,1785103671539.66
-0.9,-0.324,-0.231,-0.95,0.85,3.81,1785103671540.04
-0.903,-0.327,-0.227,-1.34,0.98,3.66,1785103671540.4138
-0.903,-0.328,-0.225,-1.31,0.98,3.85,1785103671540.7888
-0.9,-0.326,-0.225,-1.56,1.1,4.12,1785103671541.191
-0.897,-0.327,-0.225,-1.98,1.22,4.18,1785103671541.571
-0.895,-0.333,-0.228,-2.26,1.43,4.06,1785103671541.961
-0.892,-0.335,-0.23,-2.56,1.74,4.0,1785103671542.337
-0.89,-0.332,-0.23,-2.99,1.92,3.85,1785103671542.742
-0.892,-0.328,-0.234,-3.6,2.2,4.03,1785103671543.124
-0.896,-0.328,-0.233,-4.24,2.69,4.09,1785103671543.479
-0.897,-0.333,-0.232,-4.64,3.14,4.15,1785103671543.803
-0.897,-0.338,-0.231,-4.3,3.23,4.3,1785103671544.1433
-0.899,-0.342,-0.23,-3.08,3.3,4.46,1785103671544.559
-0.899,-0.339,-0.231,-1.86,3.3,4.39,1785103671544.9211
-0.898,-0.338,-0.233,-0.67,3.3,4.36,1785103671545.254
-0.9,-0.341,-0.23,0.21,3.42,4.3,1785103671545.5842
-0.901,-0.34,-0.23,1.19,3.17,4.06,1785103671545.908
-0.899,-0.334,-0.235,1.92,3.08,3.69,1785103671546.2551
-0.9,-0.329,-0.244,1.53,3.54,3.27,1785103671546.585
-0.901,-0.326,-0.247,0.31,3.97,2.66,1785103671546.931
-0.903,-0.325,-0.241,-0.67,4.3,2.23,1785103671547.2642
-0.904,-0.33,-0.234,-0.79,4.21,1.59,1785103671547.627
-0.904,-0.332,-0.232,-0.34,4.06,1.13,1785103671547.956
-0.906,-0.331,-0.233,0.03,3.91,0.92,1785103671548.2712
-0.904,-0.326,-0.235,0.12,3.94,0.89,1785103671548.5999
-0.904,-0.319,-0.234,-0.09,3.78,0.85,1785103671548.938
-0.903,-0.316,-0.232,-0.27,3.81,0.7,1785103671549.265
-0.899,-0.312,-0.231,-0.89,3.91,0.52,1785103671549.592
-0.897,-0.314,-0.231,-1.59,4.0,0.21,1785103671549.924
-0.902,-0.319,-0.232,-2.08,4.15,-0.12,1785103671550.2532
-0.902,-0.321,-0.229,-2.17,4.21,-0.4,1785103671550.57
-0.902,-0.32,-0.23,-1.34,4.09,-0.49,1785103671550.898
-0.906,-0.313,-0.23,-0.55,3.75,-0.4,1785103671551.215
-0.904,-0.304,-0.232,-0.64,3.57,0.03,1785103671551.5032
-0.901,-0.303,-0.233,-1.13,3.48,0.06,1785103671551.783
-0.9,-0.299,-0.233,-2.29,3.36,-0.06,1785103671552.0671
-0.899,-0.297,-0.232,-3.66,3.39,0.09,1785103671552.352
-0.895,-0.297,-0.232,-4.91,3.39,0.09,1785103671552.632
-0.895,-0.297,-0.237,-6.16,3.42,-0.34,1785103671552.917
-0.894,-0.3,-0.234,-7.29,3.42,-0.61,1785103671553.208
-0.895,-0.307,-0.228,-7.54,3.27,-0.73,1785103671553.4878
-0.897,-0.308,-0.229,-6.53,2.66,-0.61,1785103671553.7742
-0.899,-0.305,-0.236,-5.52,2.32,-0.37,1785103671554.062
-0.898,-0.301,-0.242,-5.43,2.23,-0.03,1785103671554.341
-0.897,-0.298,-0.245,-5.98,2.32,0.31,1785103671554.6218
