distance_cm,timestamp_ms
103.0,1785093273505.428
103.0,1785093273510.9912
104.0,1785093273526.821
113.0,1785093273538.906
109.0,1785093273557.4011
108.0,1785093273572.99
103.0,1785093273593.9797
99.0,1785093273607.23
106.0,1785093273623.401
107.0,1785093273633.945
106.0,1785093273647.125
99.0,1785093273663.334
97.0,1785093273687.1611
96.0,1785093273692.9521
93.0,1785093273713.682
95.0,1785093273724.177
94.0,1785093273737.4302
92.0,1785093273753.95
83.0,1785093273777.591
82.0,1785093273783.509
88.0,1785093273804.1978
73.0,1785093273814.484
78.0,1785093273827.8357
68.0,1785093273894.2468
51.0,1785093274078.266
57.0,1785093274083.445
77.0,1785093275224.194
74.0,1785093275237.412
145.0,1785093276247.678
155.0,1785093276304.404
134.0,1785093276317.74
126.0,1785093276333.92
146.0,1785093276347.658
153.0,1785093276363.907
147.0,1785093276387.874
152.0,1785093276393.343
149.0,1785093276417.966
147.0,1785093276423.441
148.0,1785093276447.789
152.0,1785093276453.4578
150.0,1785093276477.718
138.0,1785093276484.695
144.0,1785093276507.779
155.0,1785093276514.045
148.0,1785093276537.565
