ax,ay,az,gx,gy,gz,timestamp_ms
-0.912,-0.292,-0.267,-1.43,-2.66,-1.07,1785093320482.306
-0.91,-0.29,-0.268,0.12,-2.87,-1.62,1785093320482.5898
-0.91,-0.29,-0.272,1.71,-2.99,-2.35,1785093320482.8643
-0.91,-0.284,-0.274,2.78,-3.27,-2.72,1785093320483.129
-0.907,-0.28,-0.275,3.17,-3.6,-3.02,1785093320483.393
-0.904,-0.278,-0.281,3.17,-3.88,-3.08,1785093320483.653
-0.901,-0.278,-0.28,2.72,-3.97,-3.11,1785093320483.9019
-0.899,-0.279,-0.279,2.01,-4.15,-3.2,1785093320484.156
-0.898,-0.277,-0.278,1.07,-4.67,-2.99,1785093320484.417
-0.896,-0.275,-0.277,-0.18,-5.16,-2.32,1785093320484.671
-0.893,-0.278,-0.276,-1.19,-5.46,-1.89,1785093320484.9338
-0.894,-0.277,-0.276,-2.01,-5.74,-1.59,1785093320485.197
-0.893,-0.278,-0.273,-2.69,-6.26,-1.07,1785093320485.46
-0.894,-0.279,-0.277,-3.05,-6.74,-0.4,1785093320485.706
-0.896,-0.279,-0.28,-3.72,-7.23,0.06,1785093320485.966
-0.896,-0.279,-0.28,-4.76,-7.6,0.73,1785093320486.227
-0.896,-0.286,-0.28,-5.58,-7.84,1.5,1785093320486.4797
-0.895,-0.289,-0.281,-5.89,-8.0,2.11,1785093320486.718
-0.894,-0.285,-0.281,-5.83,-8.03,2.69,1785093320486.957
-0.895,-0.287,-0.282,-6.23,-8.09,3.23,1785093320487.2131
-0.897,-0.288,-0.281,-6.96,-8.15,3.45,1785093320487.4539
-0.897,-0.29,-0.278,-7.66,-8.3,3.91,1785093320487.6968
-0.899,-0.288,-0.278,-8.03,-8.27,4.15,1785093320487.936
-0.901,-0.29,-0.279,-8.61,-8.06,4.64,1785093320488.1711
-0.901,-0.287,-0.278,-9.58,-7.87,4.82,1785093320488.425
-0.901,-0.291,-0.274,-10.44,-7.69,4.76,1785093320488.666
-0.899,-0.293,-0.273,-10.99,-7.32,4.64,1785093320488.914
-0.901,-0.293,-0.271,-11.29,-7.17,4.82,1785093320489.192
-0.904,-0.296,-0.266,-11.69,-7.17,4.58,1785093320489.477
-0.906,-0.29,-0.263,-11.81,-7.14,4.3,1785093320489.762
-0.906,-0.295,-0.263,-11.93,-6.99,4.12,1785093320490.066
-0.906,-0.293,-0.263,-11.93,-6.93,3.42,1785093320490.3418
-0.904,-0.292,-0.26,-12.27,-6.78,3.27,1785093320490.6082
-0.904,-0.292,-0.26,-12.57,-6.84,2.62,1785093320490.896
-0.902,-0.285,-0.26,-12.73,-6.71,2.08,1785093320491.1912
-0.902,-0.288,-0.256,-13.28,-6.53,1.65,1785093320491.441
-0.896,-0.285,-0.257,-13.64,-6.16,0.98,1785093320491.6821
-0.912,-0.278,-0.244,-13.89,-6.04,0.27,1785093320491.9197
-0.9,-0.295,-0.241,-12.36,-6.04,0.49,1785093320492.165
-0.901,-0.292,-0.247,-11.41,-6.01,-0.55,1785093320492.393
-0.904,-0.276,-0.243,-11.81,-6.47,-1.46,1785093320492.6138
-0.903,-0.277,-0.244,-11.84,-6.29,-2.01,1785093320492.836
-0.906,-0.272,-0.24,-12.51,-6.01,-3.39,1785093320493.0562
-0.912,-0.272,-0.236,-12.82,-5.95,-3.72,1785093320493.2742
-0.909,-0.276,-0.234,-12.67,-6.2,-4.06,1785093320493.522
-0.911,-0.271,-0.233,-12.79,-6.5,-4.39,1785093320493.74
-0.908,-0.268,-0.234,-12.57,-6.78,-4.58,1785093320493.9521
-0.907,-0.268,-0.234,-11.87,-6.71,-5.07,1785093320494.175
-0.912,-0.272,-0.23,-10.53,-6.56,-5.43,1785093320494.397
-0.915,-0.272,-0.231,-9.43,-6.81,-5.68,1785093320494.6099
-0.915,-0.269,-0.232,-8.91,-7.17,-5.8,1785093320494.825
-0.915,-0.267,-0.227,-8.79,-7.45,-5.77,1785093320495.041
-0.914,-0.268,-0.226,-8.42,-7.45,-5.86,1785093320495.251
-0.915,-0.271,-0.227,-8.0,-7.63,-5.86,1785093320495.46
-0.916,-0.267,-0.228,-7.63,-7.97,-5.62,1785093320495.669
-0.917,-0.265,-0.23,-7.45,-8.24,-5.19,1785093320495.88
-0.918,-0.266,-0.23,-7.45,-8.39,-5.01,1785093320496.0889
-0.918,-0.266,-0.229,-7.6,-8.55,-4.82,1785093320496.307
-0.918,-0.267,-0.228,-7.84,-8.73,-4.67,1785093320496.552
-0.919,-0.265,-0.226,-8.42,-8.94,-4.46,1785093320496.765
-0.919,-0.265,-0.224,-8.94,-9.22,-4.09,1785093320496.981
-0.922,-0.266,-0.224,-9.49,-9.43,-3.97,1785093320497.196
-0.922,-0.267,-0.224,-9.67,-9.7,-3.66,1785093320497.4092
-0.923,-0.267,-0.224,-9.95,-9.83,-3.39,1785093320497.642
-0.923,-0.266,-0.225,-10.22,-10.07,-3.14,1785093320497.8672
-0.922,-0.265,-0.225,-10.38,-10.13,-2.87,1785093320498.095
-0.924,-0.265,-0.225,-10.56,-10.28,-2.66,1785093320498.312
-0.926,-0.265,-0.226,-10.74,-10.5,-2.2,1785093320498.521
-0.925,-0.266,-0.232,-11.14,-10.62,-2.01,1785093320498.7368
-0.924,-0.267,-0.235,-11.72,-10.56,-1.8,1785093320498.943
-0.92,-0.268,-0.234,-12.21,-10.38,-1.46,1785093320499.157
-0.919,-0.27,-0.234,-12.51,-10.28,-1.25,1785093320499.367
-0.917,-0.27,-0.232,-12.51,-9.95,-1.28,1785093320499.5698
-0.915,-0.266,-0.23,-12.42,-9.74,-1.04,1785093320499.7803
-0.91,-0.265,-0.229,-12.51,-9.58,-0.76,1785093320499.99
-0.91,-0.265,-0.232,-12.42,-9.22,-0.82,1785093320500.198
-0.91,-0.264,-0.231,-12.27,-8.82,-0.98,1785093320500.4001
-0.909,-0.263,-0.233,-12.15,-8.33,-1.01,1785093320500.609
-0.909,-0.263,-0.233,-12.39,-7.97,-1.1,1785093320500.8262
-0.911,-0.263,-0.232,-13.03,-7.63,-1.1,1785093320501.039
-0.913,-0.26,-0.232,-13.52,-6.96,-0.98,1785093320501.2832
-0.918,-0.263,-0.236,-13.82,-6.35,-0.92,1785093320501.493
-0.924,-0.264,-0.235,-13.82,-6.35,-0.92,1785093320501.6938
-0.925,-0.267,-0.232,-13.89,-5.74,-0.73,1785093320501.902
-0.924,-0.268,-0.229,-14.07,-5.13,-0.76,1785093320502.109
-0.925,-0.27,-0.227,-13.98,-4.46,-0.58,1785093320502.312
-0.929,-0.271,-0.226,-13.37,-3.91,-0.21,1785093320502.523
-0.931,-0.272,-0.226,-12.57,-3.33,-0.09,1785093320502.733
-0.933,-0.274,-0.223,-11.44,-2.75,0.37,1785093320502.942
-0.935,-0.274,-0.221,-10.16,-2.14,0.76,1785093320503.1418
-0.937,-0.276,-0.22,-8.85,-1.4,1.1,1785093320503.351
-0.936,-0.276,-0.219,-7.42,-0.76,1.22,1785093320503.5571
-0.936,-0.279,-0.216,-5.68,-0.18,1.25,1785093320503.775
-0.934,-0.279,-0.211,-3.75,0.24,1.34,1785093320503.977
-0.932,-0.276,-0.209,-2.04,0.55,1.43,1785093320504.201
-0.932,-0.273,-0.209,-0.64,0.82,1.37,1785093320504.3982
-0.93,-0.271,-0.208,0.67,0.92,1.04,1785093320504.603
-0.93,-0.269,-0.209,1.4,1.04,0.52,1785093320504.8289
-0.928,-0.266,-0.212,1.65,1.16,0.24,1785093320505.065
-0.929,-0.262,-0.212,1.43,1.1,-0.09,1785093320505.2942
-0.93,-0.26,-0.211,0.85,1.13,-0.34,1785093320505.4998
-0.93,-0.264,-0.21,0.21,1.01,-0.52,1785093320505.697
-0.93,-0.265,-0.209,-0.61,0.92,-0.61,1785093320505.92
-0.929,-0.263,-0.206,-1.43,0.76,-0.58,1785093320506.1719
-0.929,-0.266,-0.204,-2.01,0.52,-0.49,1785093320506.3901
-0.925,-0.266,-0.203,-2.56,0.31,-0.49,1785093320506.613
-0.923,-0.263,-0.202,-2.78,0.03,-0.21,1785093320506.825
-0.924,-0.263,-0.201,-2.99,-0.18,-0.03,1785093320507.019
-0.922,-0.265,-0.202,-3.11,-0.4,0.03,1785093320507.2078
-0.919,-0.262,-0.2,-3.27,-0.82,0.06,1785093320507.405
-0.918,-0.262,-0.204,-3.48,-1.07,0.27,1785093320507.5981
-0.919,-0.263,-0.202,-3.39,-1.37,0.76,1785093320507.785
-0.919,-0.262,-0.203,-3.42,-1.74,1.01,1785093320507.981
-0.918,-0.262,-0.204,-3.66,-2.04,1.1,1785093320508.1711
-0.917,-0.261,-0.201,-3.72,-2.23,1.19,1785093320508.3552
-0.917,-0.263,-0.2,-3.69,-2.41,1.46,1785093320508.5518
-0.916,-0.261,-0.2,-3.85,-2.75,1.71,1785093320508.743
-0.916,-0.26,-0.202,-4.21,-2.99,2.04,1785093320508.93
-0.915,-0.259,-0.204,-4.67,-3.27,2.2,1785093320509.1292
-0.919,-0.26,-0.206,-5.19,-3.51,2.04,1785093320509.3271
-0.921,-0.26,-0.209,-5.8,-3.66,2.14,1785093320509.518
-0.922,-0.258,-0.209,-6.56,-3.66,1.86,1785093320509.716
-0.925,-0.261,-0.21,-7.32,-3.81,1.74,1785093320509.9158
-0.928,-0.263,-0.213,-8.12,-4.0,1.68,1785093320510.109
-0.927,-0.264,-0.213,-8.7,-3.94,1.65,1785093320510.3008
-0.925,-0.264,-0.212,-8.76,-3.75,1.68,1785093320510.497
-0.925,-0.269,-0.212,-8.15,-3.6,1.56,1785093320510.693
-0.923,-0.268,-0.211,-7.29,-3.63,1.43,1785093320510.878
-0.92,-0.264,-0.212,-6.65,-3.54,1.25,1785093320511.07
-0.917,-0.265,-0.215,-6.35,-3.33,1.04,1785093320511.281
