num_points,points,timestamp_ms
8,"[{""range"": 0.7732798614472364, ""doppler"": 0.0, ""angle"": -41.15601220979539, ""elevation"": 0.0}, {""range"": 1.5723811226333206, ""doppler"": 0.0, ""angle"": -10.994302204752039, ""elevation"": 0.0}, {""range"": 1.5867896947202988, ""doppler"": 0.0, ""angle"": -10.334876305904611, ""elevation"": 0.0}, {""range"": 1.6046272085534183, ""doppler"": 0.0, ""angle"": -10.445902683302029, ""elevation"": 0.0}, {""range"": 0.6262604177083808, ""doppler"": 0.0, ""angle"": 0.7525569083529995, ""elevation"": 0.0}, {""range"": 0.641561122220166, ""doppler"": 0.0, ""angle"": 1.261676874302549, ""elevation"": 0.0}, {""range"": 0.6615444983830503, ""doppler"": 0.0, ""angle"": 1.0531695598957962, ""elevation"": 0.0}, {""range"": 0.6907665833938864, ""doppler"": 0.0, ""angle"": -0.28180456446507124, ""elevation"": 0.0}]",1785093401073.5933
11,"[{""range"": 0.7710319584834929, ""doppler"": 0.0, ""angle"": -36.43671270623371, ""elevation"": 0.0}, {""range"": 1.5492119366441748, ""doppler"": 0.0, ""angle"": -12.329396592026772, ""elevation"": 0.0}, {""range"": 1.5733099254991278, ""doppler"": 0.0, ""angle"": -11.465738195103667, ""elevation"": 0.0}, {""range"": 1.5851510353983087, ""doppler"": 0.0, ""angle"": -10.963887970164068, ""elevation"": 0.0}, {""range"": 1.606981259014946, ""doppler"": 0.0, ""angle"": -11.092373602651206, ""elevation"": 0.0}, {""range"": 0.6173256051991993, ""doppler"": 0.0, ""angle"": 1.593444415722231, ""elevation"": 0.0}, {""range"": 0.6269524838575191, ""doppler"": 0.0, ""angle"": 2.795489047964161, ""elevation"": 0.0}, {""range"": 0.6517304543323226, ""doppler"": 0.0, ""angle"": 8.361311756795507, ""elevation"": 0.0}, {""range"": 2.0695026652850776, ""doppler"": 0.0, ""angle"": 28.458345586142027, ""elevation"": 0.0}, {""range"": 2.0832726761871214, ""doppler"": 0.0, ""angle"": 27.480016554567573, ""elevation"": 0.0}, {""range"": 1.9129505333975718, ""doppler"": 0.0, ""angle"": 53.828509376829444, ""elevation"": 0.0}]",1785093401073.8828
9,"[{""range"": 0.7367729754926654, ""doppler"": 0.0, ""angle"": -8.316925067848281, ""elevation"": 0.0}, {""range"": 1.583369036452438, ""doppler"": 0.0, ""angle"": -7.651512397777139, ""elevation"": 0.0}, {""range"": 1.5886818664974909, ""doppler"": 0.0, ""angle"": -8.798624624520938, ""elevation"": 0.0}, {""range"": 1.5985419776893768, ""doppler"": 0.0, ""angle"": -9.95860066295534, ""elevation"": 0.0}, {""range"": 0.6544068434913572, ""doppler"": 0.0, ""angle"": 1.1272926494864566, ""elevation"": 0.0}, {""range"": 0.6713718412361929, ""doppler"": 0.0, ""angle"": 2.503473018093437, ""elevation"": 0.0}, {""range"": 0.6920734319083288, ""doppler"": 0.0, ""angle"": 1.9989120485813585, ""elevation"": 0.0}, {""range"": 2.0651246590127705, ""doppler"": 0.0, ""angle"": 47.5968277183979, ""elevation"": 0.0}, {""range"": 2.0884805003976292, ""doppler"": 0.0, ""angle"": 46.606262236525346, ""elevation"": 0.0}]",1785093401074.134
11,"[{""range"": 0.7638344623308361, ""doppler"": 0.0, ""angle"": -19.202692615404562, ""elevation"": 0.0}, {""range"": 0.8030075096454415, ""doppler"": 0.0, ""angle"": -19.391202003388713, ""elevation"": 0.0}, {""range"": 0.7304389880670881, ""doppler"": 0.0, ""angle"": -11.422713881002773, ""elevation"": 0.0}, {""range"": 1.5888587675738242, ""doppler"": 0.0, ""angle"": -11.91821488279554, ""elevation"": 0.0}, {""range"": 1.5938898476656436, ""doppler"": 0.0, ""angle"": -11.361617284538156, ""elevation"": 0.0}, {""range"": 0.6961704371132551, ""doppler"": 0.0, ""angle"": -4.906633356549315, ""elevation"": 0.0}, {""range"": 1.6123030851135864, ""doppler"": 0.0, ""angle"": -10.764084990811613, ""elevation"": 0.0}, {""range"": 1.9196261088089825, ""doppler"": 0.0, ""angle"": 52.56222299765241, ""elevation"": 0.0}, {""range"": 1.9591652158927846, ""doppler"": 0.0, ""angle"": 48.42986542489364, ""elevation"": 0.0}, {""range"": 2.010685988477503, ""doppler"": 0.0, ""angle"": 45.95844375754124, ""elevation"": 0.0}, {""range"": 2.0548979364523277, ""doppler"": 0.0, ""angle"": 50.2001741894369, ""elevation"": 0.0}]",1785093401074.393
8,"[{""range"": 0.7264556789078191, ""doppler"": 0.0, ""angle"": -23.346736995428007, ""elevation"": 0.0}, {""range"": 0.758147569676424, ""doppler"": 0.0, ""angle"": -22.433793093521032, ""elevation"": 0.0}, {""range"": 1.5988331438077934, ""doppler"": 0.0, ""angle"": -10.934174265937026, ""elevation"": 0.0}, {""range"": 1.6112135797611988, ""doppler"": 0.0, ""angle"": -11.361061570472042, ""elevation"": 0.0}, {""range"": 1.5965478305052245, ""doppler"": 0.0, ""angle"": -9.619513328049143, ""elevation"": 0.0}, {""range"": 0.6440893800155646, ""doppler"": 0.0, ""angle"": -0.12725304898173662, ""elevation"": 0.0}, {""range"": 0.6523985408931555, ""doppler"": 0.0, ""angle"": -0.9265779308210086, ""elevation"": 0.0}, {""range"": 2.0644170554138297, ""doppler"": 0.0, ""angle"": 54.61116605542722, ""elevation"": 0.0}]",1785093401074.6519
12,"[{""range"": 0.7660633121333501, ""doppler"": 0.0, ""angle"": -30.138027787266243, ""elevation"": 0.0}, {""range"": 1.6022029163688165, ""doppler"": 0.0, ""angle"": -10.917407282600157, ""elevation"": 0.0}, {""range"": 1.5941958531231641, ""doppler"": 0.0, ""angle"": -9.308068776376592, ""elevation"": 0.0}, {""range"": 1.59488327112435, ""doppler"": 0.0, ""angle"": -9.727397651827166, ""elevation"": 0.0}, {""range"": 0.6476492839933746, ""doppler"": 0.0, ""angle"": 4.021373761963512, ""elevation"": 0.0}, {""range"": 0.65915313068988, ""doppler"": 0.0, ""angle"": 4.06014657680135, ""elevation"": 0.0}, {""range"": 0.6884360158557518, ""doppler"": 0.0, ""angle"": 4.334787224359074, ""elevation"": 0.0}, {""range"": 2.089978564813237, ""doppler"": 0.0, ""angle"": 35.486390606474345, ""elevation"": 0.0}, {""range"": 1.9677250984250345, ""doppler"": 0.0, ""angle"": 52.86664421904027, ""elevation"": 0.0}, {""range"": 2.0188896565083483, ""doppler"": 0.0, ""angle"": 49.06184037122355, ""elevation"": 0.0}, {""range"": 2.054747278014245, ""doppler"": 0.0, ""angle"": 44.171421653664055, ""elevation"": 0.0}, {""range"": 1.9181028006788228, ""doppler"": 0.0, ""angle"": 56.733624632987485, ""elevation"": 0.0}]",1785093401074.9053
11,"[{""range"": 0.7626099848329851, ""doppler"": 0.0, ""angle"": -17.56400109522576, ""elevation"": 0.0}, {""range"": 1.5947467275072666, ""doppler"": 0.0, ""angle"": -11.054166317143466, ""elevation"": 0.0}, {""range"": 1.6047255621865284, ""doppler"": 0.0, ""angle"": -11.277378057345514, ""elevation"": 0.0}, {""range"": 1.5887052129327093, ""doppler"": 0.0, ""angle"": -10.53210648046975, ""elevation"": 0.0}, {""range"": 0.6406157375247107, ""doppler"": 0.0, ""angle"": 4.803485759069079, ""elevation"": 0.0}, {""range"": 0.6571144468346667, ""doppler"": 0.0, ""angle"": 6.531308972180486, ""elevation"": 0.0}, {""range"": 0.6938273983461782, ""doppler"": 0.0, ""angle"": 4.538006159375391, ""elevation"": 0.0}, {""range"": 2.086304779825316, ""doppler"": 0.0, ""angle"": 37.712609649568996, ""elevation"": 0.0}, {""range"": 2.0231410675264856, ""doppler"": 0.0, ""angle"": 51.52762861341689, ""elevation"": 0.0}, {""range"": 2.0553323286083085, ""doppler"": 0.0, ""angle"": 44.63694947353099, ""elevation"": 0.0}, {""range"": 1.922707511500332, ""doppler"": 0.0, ""angle"": 54.42825334631307, ""elevation"": 0.0}]",1785093401075.1792
9,"[{""range"": 0.7573393936202383, ""doppler"": 0.0, ""angle"": -27.170052761438804, ""elevation"": 0.0}, {""range"": 0.7232846816675261, ""doppler"": 0.0, ""angle"": -14.503476980243759, ""elevation"": 0.0}, {""range"": 1.590986768796142, ""doppler"": 0.0, ""angle"": -11.494316950556922, ""elevation"": 0.0}, {""range"": 1.5966444789691878, ""doppler"": 0.0, ""angle"": -12.121647033743972, ""elevation"": 0.0}, {""range"": 1.6188371030319015, ""doppler"": 0.0, ""angle"": -12.101829429448829, ""elevation"": 0.0}, {""range"": 1.725729231804465, ""doppler"": 0.0, ""angle"": -15.320725721210101, ""elevation"": 0.0}, {""range"": 0.6314012187294797, ""doppler"": 0.0, ""angle"": 6.259556612966597, ""elevation"": 0.0}, {""range"": 0.6565917403745929, ""doppler"": 0.0, ""angle"": 7.196626358972938, ""elevation"": 0.0}, {""range"": 2.0596056367567566, ""doppler"": 0.0, ""angle"": 44.074876866655885, ""elevation"": 0.0}]",1785093401075.4868
7,"[{""range"": 0.7423031634301581, ""doppler"": 0.0, ""angle"": -24.780924418553656, ""elevation"": 0.0}, {""range"": 0.7533936961191608, ""doppler"": 0.0, ""angle"": -23.900355056432346, ""elevation"": 0.0}, {""range"": 1.599060241770269, ""doppler"": 0.0, ""angle"": -11.56626523068809, ""elevation"": 0.0}, {""range"": 1.6177188227113046, ""doppler"": 0.0, ""angle"": -13.25284954260891, ""elevation"": 0.0}, {""range"": 0.6316553824840636, ""doppler"": 0.0, ""angle"": -1.6546430900046367, ""elevation"": 0.0}, {""range"": 0.6611586886278201, ""doppler"": 0.0, ""angle"": 3.1162226076428263, ""elevation"": 0.0}, {""range"": 1.9248125436332195, ""doppler"": 0.0, ""angle"": 45.67749045139945, ""elevation"": 0.0}]",1785093401075.7551
5,"[{""range"": 0.7073695724756662, ""doppler"": 0.0, ""angle"": -17.051615771879867, ""elevation"": 0.0}, {""range"": 0.7105822992785878, ""doppler"": 0.0, ""angle"": -16.46032906802402, ""elevation"": 0.0}, {""range"": 1.5912741331980838, ""doppler"": 0.0, ""angle"": -12.110495822313041, ""elevation"": 0.0}, {""range"": 1.8861504764185273, ""doppler"": 0.0, ""angle"": 48.770641077104614, ""elevation"": 0.0}, {""range"": 1.9128813833714962, ""doppler"": 0.0, ""angle"": 57.94863075190478, ""elevation"": 0.0}]",1785093401076.076
