ax,ay,az,gx,gy,gz,timestamp_ms
-0.891,-0.22,-0.33,-2.78,1.13,1.16,1785103884429.4587
-0.893,-0.229,-0.316,-4.46,1.04,1.01,1785103884429.866
-0.889,-0.247,-0.314,-4.12,1.16,1.43,1785103884430.253
-0.898,-0.271,-0.315,-1.62,0.98,0.7,1785103884430.657
-0.903,-0.283,-0.305,1.4,0.34,0.21,1785103884431.0378
-0.902,-0.284,-0.302,4.09,-0.67,0.15,1785103884431.4329
-0.896,-0.27,-0.317,6.41,-1.25,0.18,1785103884431.816
-0.896,-0.27,-0.317,8.0,-1.46,0.18,1785103884432.195
-0.89,-0.249,-0.341,8.12,-1.8,0.0,1785103884432.584
-0.889,-0.227,-0.357,7.97,-2.2,-0.49,1785103884432.966
-0.888,-0.236,-0.355,9.58,-2.72,-1.4,1785103884433.3398
-0.895,-0.279,-0.34,15.26,-3.72,-1.4,1785103884433.7092
-0.899,-0.307,-0.315,15.26,-3.72,-1.4,1785103884434.0422
-0.898,-0.312,-0.311,24.66,-5.92,-1.1,1785103884434.408
-0.892,-0.289,-0.329,33.27,-7.63,-0.64,1785103884434.7588
-0.894,-0.252,-0.346,38.03,-8.7,0.24,1785103884435.0999
-0.887,-0.223,-0.368,38.39,-10.35,2.35,1785103884435.4429
-0.859,-0.188,-0.396,34.88,-8.73,2.72,1785103884435.841
-0.873,-0.156,-0.429,25.42,-4.46,-0.67,1785103884436.241
-0.876,-0.156,-0.429,10.07,-1.86,-0.67,1785103884436.612
-0.873,-0.173,-0.415,-5.01,0.55,-0.46,1785103884436.996
-0.884,-0.194,-0.402,-16.48,2.59,-1.37,1785103884437.3691
-0.89,-0.203,-0.375,-25.94,3.33,-1.62,1785103884437.699
-0.892,-0.233,-0.349,-31.37,2.93,-1.8,1785103884438.028
-0.898,-0.264,-0.322,-32.5,2.35,-2.75,1785103884438.357
-0.905,-0.284,-0.306,-29.05,1.25,-3.39,1785103884438.687
-0.905,-0.294,-0.304,-21.91,0.0,-3.57,1785103884439.012
-0.904,-0.294,-0.309,-13.55,-0.89,-3.63,1785103884439.353
-0.901,-0.283,-0.323,-5.58,-1.37,-3.66,1785103884439.6812
-0.895,-0.263,-0.336,0.21,-1.5,-3.14,1785103884440.0178
-0.894,-0.257,-0.34,4.64,-1.13,-3.02,1785103884440.346
-0.897,-0.268,-0.332,9.37,-1.16,-3.23,1785103884440.664
-0.904,-0.284,-0.323,16.27,-1.56,-3.23,1785103884440.999
-0.902,-0.274,-0.326,23.5,-2.44,-2.59,1785103884441.3372
-0.892,-0.244,-0.348,28.32,-3.11,-1.34,1785103884441.649
-0.882,-0.209,-0.368,28.66,-2.9,-0.34,1785103884441.9429
-0.874,-0.184,-0.379,24.11,-1.98,0.46,1785103884442.2358
-0.874,-0.182,-0.383,16.08,-0.64,0.85,1785103884442.531
-0.878,-0.19,-0.374,6.5,0.79,0.27,1785103884442.81
-0.886,-0.209,-0.36,-2.01,1.74,-0.64,1785103884443.0972
-0.888,-0.222,-0.351,-8.21,2.14,-1.34,1785103884443.389
-0.888,-0.221,-0.349,-12.73,2.04,-1.98,1785103884443.672
-0.888,-0.212,-0.351,-16.91,2.01,-2.66,1785103884443.9668
-0.89,-0.202,-0.351,-21.97,2.44,-3.17,1785103884444.252
-0.888,-0.211,-0.345,-26.55,2.84,-3.17,1785103884444.538
-0.893,-0.234,-0.333,-28.66,2.84,-3.08,1785103884444.818
-0.897,-0.242,-0.318,-27.99,2.14,-2.69,1785103884445.13
-0.893,-0.242,-0.311,-24.66,1.1,-2.17,1785103884445.4192
-0.888,-0.24,-0.309,-20.6,0.12,-2.04,1785103884445.698
-0.889,-0.239,-0.308,-16.54,-0.52,-2.26,1785103884445.989
-0.893,-0.244,-0.306,-12.51,-1.04,-2.38,1785103884446.271
-0.895,-0.245,-0.31,-7.97,-1.62,-1.83,1785103884446.552
-0.894,-0.238,-0.316,-2.93,-2.2,-1.1,1785103884446.8533
-0.892,-0.225,-0.324,1.07,-2.59,-0.4,1785103884447.139
-0.889,-0.217,-0.338,3.51,-2.62,0.24,1785103884447.44
-0.891,-0.217,-0.342,4.33,-2.47,1.04,1785103884447.773
-0.889,-0.222,-0.342,4.43,-2.29,1.89,1785103884448.142
-0.885,-0.221,-0.341,4.61,-2.41,2.56,1785103884448.458
-0.887,-0.211,-0.343,4.43,-2.81,3.14,1785103884448.745
-0.883,-0.203,-0.347,3.54,-3.02,3.48,1785103884449.022
-0.884,-0.209,-0.35,1.83,-2.96,3.05,1785103884449.3088
-0.892,-0.226,-0.34,0.12,-2.78,1.71,1785103884449.582
-0.895,-0.245,-0.336,0.15,-2.96,0.73,1785103884449.827
-0.895,-0.249,-0.339,2.04,-3.2,0.31,1785103884450.0842
-0.894,-0.236,-0.345,4.27,-3.66,0.21,1785103884450.337
-0.892,-0.22,-0.356,5.46,-4.03,0.24,1785103884450.5862
-0.887,-0.209,-0.363,4.76,-4.21,0.55,1785103884450.842
-0.886,-0.203,-0.363,2.41,-4.15,1.01,1785103884451.1008
-0.881,-0.215,-0.361,0.18,-3.94,1.37,1785103884451.354
-0.882,-0.235,-0.355,-1.4,-3.6,1.43,1785103884451.62
-0.881,-0.241,-0.357,-1.46,-3.39,1.68,1785103884451.8862
-0.884,-0.233,-0.359,-0.58,-3.36,1.98,1785103884452.165
-0.887,-0.23,-0.36,0.24,-3.23,2.14,1785103884452.409
