distance_cm,timestamp_ms
57.0,1785103955833.619
61.0,1785103955834.162
58.0,1785103955844.7349
58.0,1785103955860.794
59.0,1785103955876.606
62.0,1785103955886.98
59.0,1785103955907.781
61.0,1785103955920.997
62.0,1785103955926.461
58.0,1785103955947.1519
61.0,1785103955957.542
56.0,1785103955967.8552
60.0,1785103955981.052
55.0,1785103955997.058
56.0,1785103956007.6091
61.0,1785103956026.476
57.0,1785103956036.853
60.0,1785103956047.2598
60.0,1785103956071.079
61.0,1785103956077.212
61.0,1785103956087.509
62.0,1785103956111.369
62.0,1785103956117.2722
62.0,1785103956127.836
66.0,1785103956146.9922
61.0,1785103956157.592
66.0,1785103956168.226
62.0,1785103956181.639
64.0,1785103956198.2131
69.0,1785103956211.473
63.0,1785103956228.186
61.0,1785103956241.501
66.0,1785103956247.427
68.0,1785103956271.589
71.0,1785103956277.2212
68.0,1785103956290.8
72.0,1785103956308.023
78.0,1785103956321.237
81.0,1785103956327.183
82.0,1785103956351.2212
89.0,1785103956357.3088
84.0,1785103956367.889
85.0,1785103956381.242
107.0,1785103956397.839
81.0,1785103956411.12
85.0,1785103956427.567
158.0,1785103956501.494
158.0,1785103956548.221
99.0,1785103956561.661
114.0,1785103956640.9932
175.0,1785103956681.5413
147.0,1785103956687.4348
183.0,1785103956711.435
169.0,1785103956717.385
181.0,1785103956728.168
168.0,1785103956741.407
169.0,1785103956757.9363
175.0,1785103956771.1948
179.0,1785103956787.9119
180.0,1785103956801.158
184.0,1785103956807.1418
190.0,1785103956831.005
198.0,1785103956836.9338
199.0,1785103956847.4187
198.0,1785103956871.377
188.0,1785103956877.316
186.0,1785103956888.298
181.0,1785103956902.082
178.0,1785103956921.0
176.0,1785103956927.031
183.0,1785103956950.842
181.0,1785103956956.705
180.0,1785103956967.899
228.0,1785103956987.1572
201.0,1785103956998.039
141.0,1785103957011.3289
211.0,1785103957028.3442
217.0,1785103957041.702
198.0,1785103957047.5479
205.0,1785103957066.663
189.0,1785103957077.8098
167.0,1785103957091.267
175.0,1785103957107.9949
162.0,1785103957121.161
166.0,1785103957127.146
169.0,1785103957151.0881
170.0,1785103957157.114
162.0,1785103957167.889
185.0,1785103957187.0762
165.0,1785103957197.676
189.0,1785103957211.135
165.0,1785103957227.7188
177.0,1785103957241.048
167.0,1785103957246.9592
167.0,1785103957271.1948
160.0,1785103957277.187
167.0,1785103957288.198
160.0,1785103957301.435
164.0,1785103957320.859
162.0,1785103957326.857
161.0,1785103957351.094
164.0,1785103957357.141
158.0,1785103957368.0398
153.0,1785103957381.3398
155.0,1785103957398.272
151.0,1785103957411.6118
152.0,1785103957430.972
148.0,1785103957436.8809
147.0,1785103957447.9192
146.0,1785103957461.2742
142.0,1785103957477.88
142.0,1785103957491.436
140.0,1785103957508.164
138.0,1785103957521.2952
139.0,1785103957527.231
139.0,1785103957551.205
132.0,1785103957557.2832
118.0,1785103957567.631
113.0,1785103957587.0369
124.0,1785103957597.892
136.0,1785103957611.161
130.0,1785103957627.765
123.0,1785103957641.0
117.0,1785103957646.9287
109.0,1785103957668.321
104.0,1785103957681.564
100.0,1785103957687.4958
103.0,1785103957707.1099
88.0,1785103957782.5068
82.0,1785103957806.737
73.0,1785103957831.306
79.0,1785103957837.25
76.0,1785103957850.8489
68.0,1785103957867.873
66.0,1785103957881.132
63.0,1785103957887.074
58.0,1785103957911.438
48.0,1785103957988.457
35.0,1785103958031.585
35.0,1785103958037.4558
29.0,1785103958048.178
33.0,1785103958061.5698
31.0,1785103958078.019
44.0,1785103958091.315
49.0,1785103958108.203
33.0,1785103958121.377
34.0,1785103958127.382
31.0,1785103958151.232
39.0,1785103958157.1929
35.0,1785103958167.9858
33.0,1785103958181.385
37.0,1785103958198.102
37.0,1785103958211.3809
36.0,1785103958228.18
36.0,1785103958241.463
37.0,1785103958247.3591
45.0,1785103958271.441
50.0,1785103958276.98
46.0,1785103958287.96
40.0,1785103958301.206
39.0,1785103958317.5293
32.0,1785103958331.0232
50.0,1785103958347.913
52.0,1785103958361.1882
50.0,1785103958367.0872
51.0,1785103958391.948
58.0,1785103958397.3708
59.0,1785103958408.436
48.0,1785103958421.265
65.0,1785103958438.091
75.0,1785103958451.6191
70.0,1785103958467.9028
67.0,1785103958481.153
65.0,1785103958487.658
66.0,1785103958511.5762
69.0,1785103958517.458
69.0,1785103958528.316
70.0,1785103958541.528
73.0,1785103958558.075
80.0,1785103958571.2969
80.0,1785103958587.721
78.0,1785103958600.993
77.0,1785103958606.93
77.0,1785103958628.0608
77.0,1785103958641.3289
76.0,1785103958647.208
74.0,1785103958668.19
76.0,1785103958681.406
71.0,1785103958687.306
73.0,1785103958708.152
75.0,1785103958721.4038
73.0,1785103958727.336
78.0,1785103958747.962
70.0,1785103958761.181
71.0,1785103958766.8591
65.0,1785103958787.2441
64.0,1785103958797.611
59.0,1785103958808.049
60.0,1785103958821.31
64.0,1785103958836.985
58.0,1785103958847.392
57.0,1785103958868.189
58.0,1785103958881.406
61.0,1785103958887.266
56.0,1785103958907.6118
56.0,1785103958921.077
61.0,1785103958927.051
58.0,1785103958947.773
61.0,1785103958958.2231
60.0,1785103958971.435
61.0,1785103958987.521
60.0,1785103958997.839
63.0,1785103959011.2852
62.0,1785103959027.393
60.0,1785103959039.9841
63.0,1785103959051.1812
65.0,1785103959067.368
69.0,1785103959077.885
69.0,1785103959091.203
73.0,1785103959107.4077
72.0,1785103959117.975
68.0,1785103959131.2268
58.0,1785103959147.6108
47.0,1785103959158.207
50.0,1785103959171.3918
84.0,1785103959187.905
85.0,1785103959201.11
80.0,1785103959207.1528
77.0,1785103959228.253
72.0,1785103959241.615
71.0,1785103959247.401
67.0,1785103959271.216
64.0,1785103959277.2
63.0,1785103959287.719
65.0,1785103959311.721
74.0,1785103959317.4531
77.0,1785103959328.041
74.0,1785103959341.335
72.0,1785103959357.666
74.0,1785103959368.145
67.0,1785103959381.5042
62.0,1785103959397.7249
68.0,1785103959408.3882
68.0,1785103959421.531
68.0,1785103959438.0579
69.0,1785103959451.253
67.0,1785103959467.555
67.0,1785103959478.0212
64.0,1785103959491.3699
