num_points,points,timestamp_ms
4,"[{""range"": 1.3268077790954087, ""doppler"": 0.0, ""angle"": -18.171229913560193, ""elevation"": 0.0}, {""range"": 0.611339841517272, ""doppler"": 0.0, ""angle"": 6.4826952481389695, ""elevation"": 0.0}, {""range"": 0.625839190750379, ""doppler"": 0.0, ""angle"": 5.640549432156823, ""elevation"": 0.0}, {""range"": 0.6519344417816985, ""doppler"": 0.0, ""angle"": 7.216630261337854, ""elevation"": 0.0}]",1785104035298.1748
3,"[{""range"": 1.3319183689949021, ""doppler"": 0.0, ""angle"": -20.454311804316326, ""elevation"": 0.0}, {""range"": 0.7639313421039943, ""doppler"": 0.0, ""angle"": 39.700825725385975, ""elevation"": 0.0}, {""range"": 0.7182608299384904, ""doppler"": 0.0, ""angle"": 45.84727018628536, ""elevation"": 0.0}]",1785104035298.699
5,"[{""range"": 1.3299319513664287, ""doppler"": 0.0, ""angle"": -14.792967906338818, ""elevation"": 0.0}, {""range"": 0.5932504431290594, ""doppler"": 0.0, ""angle"": 11.33364060393104, ""elevation"": 0.0}, {""range"": 0.615136489742401, ""doppler"": 0.0, ""angle"": 11.502648866652496, ""elevation"": 0.0}, {""range"": 0.6291062779892889, ""doppler"": 0.0, ""angle"": 12.258546602657374, ""elevation"": 0.0}, {""range"": 0.6426071265238322, ""doppler"": 0.0, ""angle"": 12.829706356449828, ""elevation"": 0.0}]",1785104035299.0051
3,"[{""range"": 0.6731275695882312, ""doppler"": 0.0, ""angle"": -2.7711966122012197, ""elevation"": 0.0}, {""range"": 0.7166170041102913, ""doppler"": 0.0, ""angle"": 5.67076094046139, ""elevation"": 0.0}, {""range"": 0.6426854895608042, ""doppler"": 0.0, ""angle"": 49.943374945350335, ""elevation"": 0.0}]",1785104035299.2917
4,"[{""range"": 0.6115561251874784, ""doppler"": 0.0, ""angle"": 11.280363005023327, ""elevation"": 0.0}, {""range"": 0.6334188769248097, ""doppler"": 0.0, ""angle"": 13.600796081563805, ""elevation"": 0.0}, {""range"": 0.6715939536640138, ""doppler"": 0.0, ""angle"": 21.311326513866174, ""elevation"": 0.0}, {""range"": 0.7055940071344069, ""doppler"": 0.0, ""angle"": 25.21426168851172, ""elevation"": 0.0}]",1785104035299.587
5,"[{""range"": 1.317200923569539, ""doppler"": 0.0, ""angle"": -12.417445790076302, ""elevation"": 0.0}, {""range"": 0.6471167333818381, ""doppler"": 0.0, ""angle"": 3.5486819739044466, ""elevation"": 0.0}, {""range"": 0.6088115549862595, ""doppler"": 0.0, ""angle"": 8.189599507757965, ""elevation"": 0.0}, {""range"": 0.6262835457008371, ""doppler"": 0.0, ""angle"": 5.718731973706312, ""elevation"": 0.0}, {""range"": 0.6985512302976435, ""doppler"": 0.0, ""angle"": 46.80481130702253, ""elevation"": 0.0}]",1785104035299.891
4,"[{""range"": 0.580777528749642, ""doppler"": 0.0, ""angle"": 9.856739242245363, ""elevation"": 0.0}, {""range"": 0.7109515427775688, ""doppler"": 0.0, ""angle"": 9.87691807354588, ""elevation"": 0.0}, {""range"": 0.5964437888882671, ""doppler"": 0.0, ""angle"": 11.464894811227454, ""elevation"": 0.0}, {""range"": 0.619452144243125, ""doppler"": 0.0, ""angle"": 11.556448120165873, ""elevation"": 0.0}]",1785104035300.1921
4,"[{""range"": 1.5462267544685515, ""doppler"": 0.0, ""angle"": -2.3263618035750597, ""elevation"": 0.0}, {""range"": 0.6657602026142689, ""doppler"": 0.0, ""angle"": 7.422782985611723, ""elevation"": 0.0}, {""range"": 0.6713373832989168, ""doppler"": 0.0, ""angle"": 10.54371968665802, ""elevation"": 0.0}, {""range"": 0.6981501482184748, ""doppler"": 0.0, ""angle"": 14.022006723403207, ""elevation"": 0.0}]",1785104035300.485
4,"[{""range"": 0.6123776040883531, ""doppler"": 0.0, ""angle"": 8.040193292609647, ""elevation"": 0.0}, {""range"": 0.6266463340789069, ""doppler"": 0.0, ""angle"": 10.206870064753035, ""elevation"": 0.0}, {""range"": 0.6450453376812434, ""doppler"": 0.0, ""angle"": 15.087954248085785, ""elevation"": 0.0}, {""range"": 0.687916750502562, ""doppler"": 0.0, ""angle"": 20.177785962481188, ""elevation"": 0.0}]",1785104035300.779
4,"[{""range"": 1.3225057911315141, ""doppler"": 0.0, ""angle"": -15.672981491783778, ""elevation"": 0.0}, {""range"": 0.6143674416604591, ""doppler"": 0.0, ""angle"": 11.058106079026022, ""elevation"": 0.0}, {""range"": 0.6293227304936663, ""doppler"": 0.0, ""angle"": 13.37288985882409, ""elevation"": 0.0}, {""range"": 0.6443101535105696, ""doppler"": 0.0, ""angle"": 18.947851526196075, ""elevation"": 0.0}]",1785104035301.0671
