ax,ay,az,gx,gy,gz,timestamp_ms
0.347,-0.328,-0.916,0.73,5.37,4.49,1784845334941.4202
0.358,-0.335,-0.908,0.43,5.55,5.1,1784845334942.2651
0.369,-0.342,-0.893,0.76,6.07,5.31,1784845334943.1272
0.376,-0.349,-0.881,1.59,6.74,4.88,1784845334943.8027
0.373,-0.355,-0.875,3.27,7.6,3.85,1784845334944.6243
0.364,-0.358,-0.872,5.71,8.45,2.78,1784845334945.586
0.353,-0.358,-0.877,8.12,8.82,1.68,1784845334946.287
0.356,-0.344,-0.887,9.52,8.58,1.04,1784845334946.989
0.365,-0.33,-0.899,9.16,8.21,1.07,1784845334948.075
0.367,-0.321,-0.906,6.56,7.78,0.67,1784845334948.686
0.372,-0.323,-0.907,2.93,7.14,0.03,1784845334949.454
0.382,-0.332,-0.903,0.06,6.71,-0.7,1784845334950.951
0.382,-0.337,-0.905,-1.71,6.23,-1.4,1784845334952.4
0.377,-0.341,-0.913,-2.75,6.01,-2.11,1784845334953.068
0.373,-0.345,-0.911,-3.75,6.01,-2.75,1784845334953.55
0.373,-0.351,-0.907,-4.43,6.1,-3.11,1784845334954.2698
0.371,-0.349,-0.901,-4.33,6.68,-3.42,1784845334955.342
0.374,-0.346,-0.899,-3.08,7.51,-3.33,1784845334955.898
0.381,-0.336,-0.9,-2.23,8.27,-3.36,1784845334956.379
0.383,-0.328,-0.899,-2.04,8.85,-3.48,1784845334956.8708
0.382,-0.321,-0.907,-1.59,9.64,-3.85,1784845334957.429
0.385,-0.313,-0.91,-1.68,10.19,-4.09,1784845334957.952
0.382,-0.309,-0.901,-2.53,10.59,-3.94,1784845334958.4329
0.386,-0.308,-0.889,-3.57,10.9,-3.91,1784845334958.908
0.388,-0.311,-0.883,-3.36,11.08,-4.0,1784845334959.384
0.382,-0.308,-0.878,-2.14,11.72,-4.21,1784845334959.852
0.381,-0.3,-0.87,-0.79,12.57,-4.27,1784845334960.331
0.38,-0.291,-0.862,0.73,13.03,-3.85,1784845334960.8152
0.376,-0.286,-0.855,1.86,13.34,-3.45,1784845334961.6648
0.372,-0.281,-0.85,2.08,13.52,-2.96,1784845334962.2458
0.374,-0.281,-0.834,1.95,13.52,-2.38,1784845334962.827
0.379,-0.283,-0.823,2.93,13.4,-2.26,1784845334963.31
0.381,-0.285,-0.822,4.0,13.06,-2.75,1784845334963.794
0.384,-0.283,-0.83,4.03,12.57,-3.02,1784845334964.295
0.386,-0.282,-0.837,3.88,12.12,-3.23,1784845334964.801
0.381,-0.283,-0.845,3.3,11.47,-3.02,1784845334965.2202
0.379,-0.284,-0.842,2.35,10.86,-2.72,1784845334965.62
0.384,-0.291,-0.831,1.53,10.35,-2.69,1784845334966.025
0.392,-0.299,-0.817,1.77,9.86,-2.62,1784845334966.424
0.4,-0.296,-0.807,3.05,9.52,-2.44,1784845334966.982
0.413,-0.286,-0.812,4.24,9.28,-2.44,1784845334967.953
0.415,-0.279,-0.831,4.3,8.82,-2.75,1784845334968.3699
0.407,-0.276,-0.849,2.62,8.27,-3.08,1784845334968.769
0.408,-0.276,-0.851,0.46,7.81,-3.17,1784845334969.16
0.412,-0.277,-0.845,-0.4,7.32,-2.81,1784845334969.5571
0.411,-0.283,-0.838,-0.4,6.99,-2.59,1784845334969.957
0.414,-0.291,-0.83,-0.79,6.68,-2.38,1784845334970.368
0.427,-0.301,-0.824,-0.4,6.29,-1.8,1784845334970.788
0.439,-0.298,-0.83,1.8,6.04,-1.22,1784845334971.2131
0.439,-0.285,-0.844,3.63,6.16,-0.55,1784845334971.694
0.44,-0.276,-0.857,3.54,6.16,-0.21,1784845334972.112
0.439,-0.271,-0.865,1.83,5.68,0.18,1784845334972.5298
0.442,-0.274,-0.857,-0.15,5.46,0.82,1784845334972.935
0.449,-0.286,-0.845,-1.53,5.68,1.31,1784845334973.3499
0.45,-0.298,-0.83,-1.19,6.1,1.59,1784845334973.763
0.446,-0.302,-0.821,0.34,6.5,1.83,1784845334974.1702
0.445,-0.305,-0.818,2.2,6.74,2.41,1784845334974.612
0.451,-0.303,-0.832,3.69,6.74,3.05,1784845334978.34
0.457,-0.296,-0.847,4.24,6.81,3.88,1784845334979.465
0.458,-0.294,-0.85,3.66,7.02,4.58,1784845334982.613
0.457,-0.295,-0.845,2.69,6.74,4.82,1784845334985.846
0.452,-0.299,-0.835,1.74,6.32,4.88,1784845334986.447
0.455,-0.308,-0.831,1.4,5.89,4.88,1784845334987.003
0.449,-0.309,-0.829,1.4,5.86,4.36,1784845334987.3691
0.441,-0.298,-0.825,1.71,5.86,4.0,1784845334987.8171
0.439,-0.29,-0.832,1.53,5.62,4.49,1784845335012.554
0.428,-0.294,-0.829,0.0,5.37,5.07,1784845335013.109
0.431,-0.302,-0.829,-1.65,5.04,5.77,1784845335014.2
0.433,-0.315,-0.828,-2.01,5.1,6.35,1784845335014.7788
0.423,-0.328,-0.826,-0.67,5.43,6.62,1784845335015.1191
0.424,-0.333,-0.821,1.13,5.92,6.93,1784845335015.435
0.435,-0.334,-0.818,2.93,6.29,6.93,1784845335015.752
0.436,-0.331,-0.823,4.7,6.44,6.71,1784845335016.0608
0.433,-0.323,-0.833,5.55,6.38,6.87,1784845335016.649
0.437,-0.317,-0.837,4.91,5.92,6.99,1784845335017.3398
