ax,ay,az,gx,gy,gz,timestamp_ms
0.37,-0.327,-0.691,38.97,-15.87,0.09,1784845246893.443
0.336,-0.337,-0.674,27.22,-20.33,-1.31,1784845246893.922
0.306,-0.357,-0.637,18.86,-24.02,-1.56,1784845246894.245
0.288,-0.392,-0.596,17.67,-27.07,-2.56,1784845246894.5642
0.27,-0.414,-0.566,22.28,-28.99,-4.49,1784845246894.878
0.271,-0.423,-0.57,30.21,-30.18,-5.22,1784845246895.194
0.257,-0.42,-0.574,37.08,-30.43,-7.11,1784845246895.515
0.231,-0.429,-0.579,43.0,-30.21,-8.21,1784845246895.8289
0.198,-0.448,-0.582,48.8,-30.24,-8.82,1784845246896.1401
0.151,-0.461,-0.563,54.81,-30.58,-10.65,1784845246896.477
0.1,-0.46,-0.53,62.93,-31.53,-13.79,1784845246896.7969
0.07,-0.452,-0.533,74.86,-33.27,-16.66,1784845246897.302
0.052,-0.439,-0.551,87.92,-34.06,-17.0,1784845246897.634
0.052,-0.405,-0.557,95.68,-35.13,-13.64,1784845246897.966
0.076,-0.359,-0.566,96.65,-38.09,-8.24,1784845246898.366
0.091,-0.334,-0.571,88.5,-42.12,-1.71,1784845246898.8381
0.093,-0.353,-0.561,74.01,-46.57,4.85,1784845246899.689
0.092,-0.41,-0.548,60.79,-51.97,9.49,1784845246900.0608
0.079,-0.483,-0.516,54.87,-57.28,11.66,1784845246900.411
0.073,-0.54,-0.517,60.37,-62.23,12.94,1784845246900.728
0.087,-0.574,-0.552,75.96,-64.58,15.84,1784845246901.052
0.091,-0.575,-0.615,92.35,-65.1,19.71,1784845246901.3782
0.111,-0.536,-0.697,100.25,-64.97,26.52,1784845246901.696
0.149,-0.509,-0.761,94.97,-64.94,37.75,1784845246902.013
0.132,-0.512,-0.776,75.23,-66.26,47.82,1784845246902.3318
0.104,-0.55,-0.74,48.95,-68.61,58.11,1784845246902.6619
0.087,-0.626,-0.673,27.99,-70.71,67.6,1784845246902.984
0.075,-0.731,-0.591,22.19,-71.35,74.31,1784845246903.767
0.087,-0.837,-0.538,35.19,-69.31,78.04,1784845246904.633
0.154,-0.922,-0.536,63.23,-65.03,79.62,1784845246905.109
0.195,-0.996,-0.576,97.35,-59.91,81.21,1784845246905.429
0.15,-1.031,-0.619,121.89,-53.62,82.03,1784845246905.7522
0.069,-1.013,-0.641,132.57,-48.68,82.58,1784845246906.072
0.005,-0.976,-0.624,133.64,-45.2,85.91,1784845246906.4
-0.028,-0.948,-0.568,129.92,-43.15,89.48,1784845246906.7212
-0.082,-0.933,-0.504,123.66,-43.43,88.72,1784845246907.048
-0.115,-0.942,-0.418,115.24,-41.75,88.53,1784845246907.37
-0.129,-0.964,-0.33,111.15,-39.83,89.42,1784845246907.692
-0.153,-0.987,-0.241,112.67,-37.84,89.6,1784845246908.0059
-0.183,-0.999,-0.194,119.88,-35.92,90.12,1784845246908.329
-0.203,-0.99,-0.179,128.94,-32.84,90.98,1784845246908.648
-0.221,-0.967,-0.183,136.81,-29.15,92.1,1784845246908.976
-0.233,-0.945,-0.171,141.7,-25.7,94.42,1784845246909.2932
-0.205,-0.916,-0.175,142.19,-24.17,99.4,1784845246909.626
-0.138,-0.91,-0.211,138.22,-23.83,106.78,1784845246909.9531
-0.119,-0.938,-0.239,128.09,-23.83,114.66,1784845246910.275
-0.144,-0.996,-0.261,114.14,-24.14,121.8,1784845246910.594
-0.166,-1.039,-0.269,98.73,-23.93,127.32,1784845246910.915
-0.176,-1.059,-0.255,84.51,-22.74,131.2,1784845246911.233
-0.194,-1.06,-0.224,74.43,-20.45,133.46,1784845246911.553
-0.227,-1.077,-0.15,71.54,-17.09,136.36,1784845246911.9912
-0.237,-1.159,-0.063,77.94,-13.64,138.92,1784845246912.3252
-0.242,-1.235,0.008,90.18,-11.2,138.55,1784845246912.647
-0.228,-1.274,-0.038,107.94,-10.22,139.35,1784845246912.9758
-0.226,-1.276,-0.122,124.24,-7.81,142.98,1784845246913.292
-0.279,-1.248,-0.208,131.47,-5.89,147.65,1784845246913.615
-0.316,-1.237,-0.305,127.6,-5.92,152.26,1784845246913.9358
-0.347,-1.204,-0.365,110.2,-8.88,153.75,1784845246914.261
-0.366,-1.166,-0.417,82.8,-13.86,153.97,1784845246914.5752
-0.385,-1.158,-0.448,50.87,-18.4,152.87,1784845246914.893
-0.389,-1.161,-0.433,19.62,-21.85,151.46,1784845246915.209
-0.381,-1.208,-0.401,-3.3,-24.51,149.6,1784845246915.521
-0.372,-1.277,-0.377,-15.56,-25.45,146.79,1784845246915.91
-0.373,-1.322,-0.342,-16.85,-22.52,143.1,1784845246916.42
-0.386,-1.346,-0.3,-7.29,-16.3,138.92,1784845246916.7947
-0.399,-1.349,-0.285,9.8,-8.51,134.8,1784845246917.122
-0.413,-1.313,-0.295,28.53,0.89,131.14,1784845246917.445
-0.436,-1.261,-0.315,44.59,10.47,128.82,1784845246917.7651
-0.462,-1.242,-0.338,57.19,19.04,127.2,1784845246918.0842
-0.491,-1.224,-0.344,64.82,26.92,124.42,1784845246918.4001
-0.513,-1.203,-0.343,67.72,33.54,120.7,1784845246918.72
-0.534,-1.175,-0.334,65.31,38.82,117.74,1784845246919.039
-0.54,-1.132,-0.314,57.59,41.93,114.41,1784845246919.403
-0.558,-1.079,-0.281,47.06,42.3,108.92,1784845246919.734
-0.58,-1.038,-0.25,36.96,40.16,103.24,1784845246920.053
-0.606,-1.014,-0.222,26.86,36.13,97.93,1784845246920.3682
-0.644,-0.978,-0.203,16.05,30.79,93.05,1784845246920.682
-0.674,-0.943,-0.192,5.52,24.93,89.33,1784845246921.001
-0.694,-0.92,-0.191,-2.59,18.89,85.91,1784845246921.325
-0.704,-0.897,-0.195,-7.66,13.58,82.61,1784845246921.64
-0.71,-0.871,-0.206,-12.09,9.19,79.07,1784845246921.953
-0.72,-0.854,-0.22,-17.24,5.8,74.95,1784845246922.266
-0.725,-0.847,-0.23,-22.25,2.81,70.19,1784845246922.576
-0.726,-0.845,-0.234,-25.97,-0.18,64.7,1784845246922.887
-0.73,-0.835,-0.231,-27.86,-2.59,58.66,1784845246923.1912
-0.741,-0.818,-0.228,-28.66,-4.27,52.67,1784845246923.5042
-0.744,-0.807,-0.215,-29.45,-4.73,48.92,1784845246923.816
-0.75,-0.774,-0.207,-30.12,-5.52,45.5,1784845246924.1282
-0.747,-0.744,-0.199,-31.07,-6.13,41.87,1784845246924.433
-0.738,-0.731,-0.194,-31.53,-6.71,37.75,1784845246924.741
-0.731,-0.721,-0.199,-31.95,-7.26,32.9,1784845246925.051
-0.729,-0.71,-0.204,-32.01,-6.56,28.41,1784845246925.36
-0.731,-0.712,-0.211,-29.45,-4.52,24.81,1784845246925.667
-0.731,-0.712,-0.211,-24.29,-1.25,21.97,1784845246926.005
-0.735,-0.721,-0.217,-16.48,2.5,19.56,1784845246926.318
-0.737,-0.732,-0.219,-5.83,7.08,17.06,1784845246926.626
-0.744,-0.736,-0.212,5.07,12.39,15.11,1784845246926.938
-0.747,-0.72,-0.209,5.07,12.39,15.11,1784845246927.251
-0.745,-0.703,-0.208,14.62,17.46,14.25,1784845246927.593
-0.746,-0.69,-0.203,22.43,21.12,13.89,1784845246927.907
-0.744,-0.681,-0.199,27.74,23.56,13.34,1784845246928.226
-0.741,-0.665,-0.195,30.3,25.51,12.05,1784845246928.544
-0.739,-0.645,-0.19,30.76,26.73,10.65,1784845246928.8582
-0.742,-0.636,-0.188,30.52,27.04,9.4,1784845246929.1638
-0.747,-0.626,-0.182,30.12,27.13,8.0,1784845246929.4773
-0.745,-0.624,-0.173,31.28,27.44,6.9,1784845246929.79
-0.746,-0.619,-0.174,32.35,26.98,6.44,1784845246930.1008
-0.745,-0.611,-0.173,31.95,26.7,6.53,1784845246930.41
-0.748,-0.606,-0.16,30.88,26.06,7.26,1784845246930.722
-0.753,-0.6,-0.149,29.48,24.84,7.6,1784845246931.0469
-0.755,-0.593,-0.139,27.5,23.65,7.66,1784845246931.3547
-0.756,-0.592,-0.131,25.3,22.31,7.97,1784845246931.6667
-0.756,-0.59,-0.129,22.89,20.81,8.3,1784845246931.978
-0.753,-0.593,-0.123,21.15,19.38,8.7,1784845246932.2878
-0.752,-0.601,-0.123,20.33,17.79,8.58,1784845246932.7732
-0.754,-0.612,-0.126,19.59,16.14,7.75,1784845246933.099
-0.761,-0.616,-0.125,18.28,14.65,6.71,1784845246933.415
-0.769,-0.622,-0.126,16.51,12.79,5.8,1784845246933.731
-0.772,-0.625,-0.13,14.25,10.96,5.19,1784845246934.0422
-0.772,-0.622,-0.135,11.6,9.52,4.88,1784845246934.362
-0.764,-0.626,-0.145,9.31,7.81,4.49,1784845246934.668
-0.756,-0.629,-0.154,8.39,6.56,3.69,1784845246934.9702
-0.752,-0.628,-0.163,7.87,6.2,2.78,1784845246935.273
-0.752,-0.625,-0.167,7.54,6.29,1.98,1784845246935.5789
-0.755,-0.623,-0.165,8.09,6.32,1.56,1784845246935.882
-0.759,-0.62,-0.17,9.52,6.56,1.5,1784845246936.184
-0.767,-0.615,-0.171,10.86,7.51,1.71,1784845246936.4932
-0.772,-0.617,-0.164,12.42,7.69,1.92,1784845246936.7979
-0.773,-0.626,-0.163,15.81,7.93,1.8,1784845246937.103
-0.776,-0.629,-0.174,19.59,9.46,1.19,1784845246937.4133
-0.78,-0.614,-0.176,20.97,11.41,0.98,1784845246937.727
-0.775,-0.607,-0.178,20.78,11.9,1.22,1784845246938.039
-0.774,-0.606,-0.185,19.9,11.47,0.37,1784845246938.3418
-0.776,-0.604,-0.185,18.59,11.17,-1.22,1784845246938.6519
-0.778,-0.604,-0.183,17.79,10.9,-2.17,1784845246938.9592
-0.777,-0.602,-0.187,17.58,10.59,-2.78,1784845246939.2751
-0.777,-0.598,-0.188,17.49,10.41,-3.27,1784845246939.58
-0.782,-0.596,-0.188,17.46,10.1,-3.45,1784845246939.889
-0.785,-0.595,-0.183,17.73,9.4,-3.69,1784845246940.2083
-0.782,-0.596,-0.184,18.19,8.7,-4.15,1784845246940.5132
-0.78,-0.595,-0.182,18.4,8.61,-4.27,1784845246940.819
-0.783,-0.594,-0.174,18.25,8.36,-4.06,1784845246941.1252
-0.782,-0.597,-0.166,17.76,7.54,-4.09,1784845246941.4312
-0.776,-0.601,-0.162,17.27,6.47,-4.15,1784845246941.736
-0.768,-0.602,-0.158,16.88,6.04,-4.58,1784845246942.044
-0.76,-0.597,-0.158,16.33,5.95,-4.67,1784845246942.3518
-0.752,-0.593,-0.156,15.69,5.71,-4.33,1784845246942.6538
-0.747,-0.591,-0.155,15.05,5.28,-3.69,1784845246942.96
-0.743,-0.59,-0.159,13.86,4.76,-3.11,1784845246943.27
-0.74,-0.588,-0.167,12.09,4.43,-2.56,1784845246943.5908
-0.741,-0.587,-0.171,9.74,4.12,-1.68,1784845246943.895
-0.74,-0.589,-0.169,7.32,3.57,-0.61,1784845246944.201
-0.738,-0.588,-0.163,5.65,3.05,0.7,1784845246944.5078
-0.738,-0.586,-0.167,4.55,3.02,2.35,1784845246944.809
-0.741,-0.588,-0.18,3.72,3.33,4.39,1784845246945.1133
-0.744,-0.588,-0.187,2.23,3.72,5.89,1784845246945.4192
-0.747,-0.588,-0.194,0.4,3.94,6.9,1784845246945.7942
-0.748,-0.589,-0.202,-0.89,4.76,7.51,1784845246946.1
-0.756,-0.586,-0.204,-2.08,6.23,8.39,1784845246946.409
-0.764,-0.586,-0.199,-3.33,7.78,9.37,1784845246946.7148
-0.772,-0.588,-0.187,-3.33,9.25,10.19,1784845246947.02
