num_points,points,timestamp_ms
6,"[{""range"": 0.8314695279965622, ""doppler"": 0.0, ""angle"": -11.348596849096323, ""elevation"": 0.0}, {""range"": 0.8768647730437805, ""doppler"": 0.0, ""angle"": -5.276938835227207, ""elevation"": 0.0}, {""range"": 0.7093058563292323, ""doppler"": 0.0, ""angle"": -1.6902046743213603, ""elevation"": 0.0}, {""range"": 0.715023889814324, ""doppler"": 0.0, ""angle"": -1.0747072260502735, ""elevation"": 0.0}, {""range"": 0.7528540838148217, ""doppler"": 0.0, ""angle"": 6.02610130748903, ""elevation"": 0.0}, {""range"": 2.666712364129361, ""doppler"": 9.453816057852237, ""angle"": 54.87767650643101, ""elevation"": 0.0}]",1785093658220.125
9,"[{""range"": 2.6966846674429217, ""doppler"": 0.0, ""angle"": -69.0713233569971, ""elevation"": 0.0}, {""range"": 0.7389238488839837, ""doppler"": 0.0, ""angle"": -3.8574227267507917, ""elevation"": 0.0}, {""range"": 0.7926144219761929, ""doppler"": 0.0, ""angle"": -5.917668368995528, ""elevation"": 0.0}, {""range"": 1.6410841201290056, ""doppler"": 0.0, ""angle"": -7.456439361511863, ""elevation"": 0.0}, {""range"": 1.659088923200705, ""doppler"": 0.0, ""angle"": -8.34755751287396, ""elevation"": 0.0}, {""range"": 1.6640706608707214, ""doppler"": 0.0, ""angle"": -9.331752795010905, ""elevation"": 0.0}, {""range"": 0.6951858264898291, ""doppler"": 0.0, ""angle"": -1.7245449576735579, ""elevation"": 0.0}, {""range"": 0.7100656977452291, ""doppler"": 0.0, ""angle"": -1.2698244465662782, ""elevation"": 0.0}, {""range"": 0.7194734360933407, ""doppler"": 0.0, ""angle"": -1.6093287793141704, ""elevation"": 0.0}]",1785093658220.4658
8,"[{""range"": 2.6958969967958057, ""doppler"": 0.0, ""angle"": -68.93465853793909, ""elevation"": 0.0}, {""range"": 1.6603179911101047, ""doppler"": 0.0, ""angle"": -7.6745662602064275, ""elevation"": 0.0}, {""range"": 1.6615771897836895, ""doppler"": 0.0, ""angle"": -10.384814537250199, ""elevation"": 0.0}, {""range"": 0.6968171617300786, ""doppler"": 0.0, ""angle"": -1.2204390272516845, ""elevation"": 0.0}, {""range"": 0.7117269909862504, ""doppler"": 0.0, ""angle"": -0.6621830427336899, ""elevation"": 0.0}, {""range"": 0.719018034032038, ""doppler"": 0.0, ""angle"": 0.2564827511575648, ""elevation"": 0.0}, {""range"": 0.7332967375100528, ""doppler"": 0.0, ""angle"": 2.152122989032906, ""elevation"": 0.0}, {""range"": 1.6458140299685875, ""doppler"": 0.0, ""angle"": -2.9332823363519043, ""elevation"": 0.0}]",1785093658220.8052
9,"[{""range"": 2.6960277842103775, ""doppler"": 0.0, ""angle"": -68.42581631243216, ""elevation"": 0.0}, {""range"": 1.6415857882021911, ""doppler"": 0.0, ""angle"": -8.311040438647225, ""elevation"": 0.0}, {""range"": 1.655642080410651, ""doppler"": 0.0, ""angle"": -8.596551754726267, ""elevation"": 0.0}, {""range"": 1.660670433089067, ""doppler"": 0.0, ""angle"": -8.16500156075096, ""elevation"": 0.0}, {""range"": 0.6965287749306192, ""doppler"": 0.0, ""angle"": -1.956685333604045, ""elevation"": 0.0}, {""range"": 0.7110879811790043, ""doppler"": 0.0, ""angle"": -1.6715533823041306, ""elevation"": 0.0}, {""range"": 0.71909907525704, ""doppler"": 0.0, ""angle"": -0.8976221812093776, ""elevation"": 0.0}, {""range"": 0.7354619075223967, ""doppler"": 0.0, ""angle"": 0.04179122491051724, ""elevation"": 0.0}, {""range"": 0.7916121954570436, ""doppler"": 0.0, ""angle"": -0.15530780895109794, ""elevation"": 0.0}]",1785093658221.056
8,"[{""range"": 0.7959251064250055, ""doppler"": 0.0, ""angle"": -26.39810925968102, ""elevation"": 0.0}, {""range"": 0.7370797350077398, ""doppler"": 0.0, ""angle"": -8.847613635462318, ""elevation"": 0.0}, {""range"": 1.6386521917558208, ""doppler"": 0.0, ""angle"": -10.519027984123067, ""elevation"": 0.0}, {""range"": 1.6552839994369675, ""doppler"": 0.0, ""angle"": -9.080742659122246, ""elevation"": 0.0}, {""range"": 1.6624107979425864, ""doppler"": 0.0, ""angle"": -7.7021591165789856, ""elevation"": 0.0}, {""range"": 0.6932360484133856, ""doppler"": 0.0, ""angle"": -2.868309420594606, ""elevation"": 0.0}, {""range"": 0.7053381314608358, ""doppler"": 0.0, ""angle"": -2.426458817436508, ""elevation"": 0.0}, {""range"": 0.7140354759323477, ""doppler"": 0.0, ""angle"": -3.186993286127099, ""elevation"": 0.0}]",1785093658221.311
8,"[{""range"": 0.8026351218547765, ""doppler"": 0.0, ""angle"": -40.3465438062771, ""elevation"": 0.0}, {""range"": 0.7352229067318584, ""doppler"": 0.0, ""angle"": -12.187216637551302, ""elevation"": 0.0}, {""range"": 0.7126681116671318, ""doppler"": 0.0, ""angle"": -4.893772321424425, ""elevation"": 0.0}, {""range"": 1.6372258705269669, ""doppler"": 0.0, ""angle"": -10.490109658316687, ""elevation"": 0.0}, {""range"": 1.6534624482986149, ""doppler"": 0.0, ""angle"": -8.67691158227991, ""elevation"": 0.0}, {""range"": 1.6603897160250163, ""doppler"": 0.0, ""angle"": -7.692911674857131, ""elevation"": 0.0}, {""range"": 0.6911736849072522, ""doppler"": 0.0, ""angle"": -1.986683218809237, ""elevation"": 0.0}, {""range"": 0.7021072604209165, ""doppler"": 0.0, ""angle"": -2.4084208238961837, ""elevation"": 0.0}]",1785093658221.5723
10,"[{""range"": 2.692336988096424, ""doppler"": 0.0, ""angle"": -67.27709783526349, ""elevation"": 0.0}, {""range"": 1.5814913831926591, ""doppler"": 0.0, ""angle"": -15.247732370816488, ""elevation"": 0.0}, {""range"": 1.6352304346982132, ""doppler"": 0.0, ""angle"": -9.364470596157204, ""elevation"": 0.0}, {""range"": 1.6523748678575136, ""doppler"": 0.0, ""angle"": -8.676394598626777, ""elevation"": 0.0}, {""range"": 1.6538215810143753, ""doppler"": 0.0, ""angle"": -7.342469715707351, ""elevation"": 0.0}, {""range"": 0.6923927913230512, ""doppler"": 0.0, ""angle"": -1.3910475412726258, ""elevation"": 0.0}, {""range"": 0.7041837127487656, ""doppler"": 0.0, ""angle"": -1.8626209493066788, ""elevation"": 0.0}, {""range"": 0.715656213106709, ""doppler"": 0.0, ""angle"": -2.305486712705874, ""elevation"": 0.0}, {""range"": 0.7445539318670755, ""doppler"": 0.0, ""angle"": -1.1559434226121976, ""elevation"": 0.0}, {""range"": 0.8018819523554696, ""doppler"": 0.0, ""angle"": -2.8247614303314075, ""elevation"": 0.0}]",1785093658221.792
9,"[{""range"": 2.6968085755275895, ""doppler"": 0.0, ""angle"": -63.77304827376168, ""elevation"": 0.0}, {""range"": 1.6406797733884995, ""doppler"": 0.0, ""angle"": -7.149801608993906, ""elevation"": 0.0}, {""range"": 1.6546778404621134, ""doppler"": 0.0, ""angle"": -8.908570168031268, ""elevation"": 0.0}, {""range"": 1.653113788622557, ""doppler"": 0.0, ""angle"": -10.804301655521957, ""elevation"": 0.0}, {""range"": 0.6927092339994518, ""doppler"": 0.0, ""angle"": -1.2424712223950825, ""elevation"": 0.0}, {""range"": 0.7029069997607567, ""doppler"": 0.0, ""angle"": -1.2536006973693379, ""elevation"": 0.0}, {""range"": 0.7110778189045039, ""doppler"": 0.0, ""angle"": -2.4501244897985526, ""elevation"": 0.0}, {""range"": 0.7386207123623102, ""doppler"": 0.0, ""angle"": -2.4142390956758515, ""elevation"": 0.0}, {""range"": 0.8034434817152716, ""doppler"": 0.0, ""angle"": 1.785529344353906, ""elevation"": 0.0}]",1785093658222.018
8,"[{""range"": 0.7984357538754747, ""doppler"": 0.0, ""angle"": -18.67841384273833, ""elevation"": 0.0}, {""range"": 0.7344431844829334, ""doppler"": 0.0, ""angle"": -8.611468695119742, ""elevation"": 0.0}, {""range"": 1.6282386540804787, ""doppler"": 0.0, ""angle"": -8.360576314041976, ""elevation"": 0.0}, {""range"": 1.6572208888855802, ""doppler"": 0.0, ""angle"": -8.375780338848145, ""elevation"": 0.0}, {""range"": 1.660794731773742, ""doppler"": 0.0, ""angle"": -9.175313269553879, ""elevation"": 0.0}, {""range"": 0.6934697164430431, ""doppler"": 0.0, ""angle"": -1.4036652213136322, ""elevation"": 0.0}, {""range"": 0.7038168472658968, ""doppler"": 0.0, ""angle"": -1.3102214163177353, ""elevation"": 0.0}, {""range"": 0.7105564927468739, ""doppler"": 0.0, ""angle"": -2.120029078388914, ""elevation"": 0.0}]",1785093658222.2432
8,"[{""range"": 0.7926379401101109, ""doppler"": 0.0, ""angle"": -20.053782029359002, ""elevation"": 0.0}, {""range"": 0.743170007741078, ""doppler"": 0.0, ""angle"": -6.174249869866563, ""elevation"": 0.0}, {""range"": 1.6357213876420225, ""doppler"": 0.0, ""angle"": -9.158557127815977, ""elevation"": 0.0}, {""range"": 1.65446444524565, ""doppler"": 0.0, ""angle"": -9.25464118757003, ""elevation"": 0.0}, {""range"": 1.661704576322587, ""doppler"": 0.0, ""angle"": -9.73903781132652, ""elevation"": 0.0}, {""range"": 0.6973960075314733, ""doppler"": 0.0, ""angle"": -2.292371526313478, ""elevation"": 0.0}, {""range"": 0.7122687614792053, ""doppler"": 0.0, ""angle"": -2.33085310324722, ""elevation"": 0.0}, {""range"": 0.721267455029573, ""doppler"": 0.0, ""angle"": -2.7425263976892036, ""elevation"": 0.0}]",1785093658222.4587
