ax,ay,az,gx,gy,gz,timestamp_ms
-0.917,-0.399,-0.233,-6.1,-1.43,38.85,1785093720701.787
-0.918,-0.399,-0.235,-3.17,-1.28,36.41,1785093720702.105
-0.92,-0.401,-0.235,0.18,-1.16,34.36,1785093720702.366
-0.923,-0.402,-0.236,4.15,-0.79,32.17,1785093720702.621
-0.925,-0.396,-0.239,8.42,-0.55,30.18,1785093720702.855
-0.923,-0.39,-0.245,12.42,-0.43,28.11,1785093720703.0999
-0.92,-0.382,-0.252,15.69,-0.34,25.79,1785093720703.348
-0.917,-0.375,-0.255,17.88,-0.37,23.62,1785093720703.5898
-0.913,-0.372,-0.255,19.53,-0.4,21.64,1785093720703.834
-0.915,-0.369,-0.256,20.42,-0.21,19.84,1785093720704.0908
-0.912,-0.361,-0.255,20.51,-0.21,18.4,1785093720704.338
-0.905,-0.358,-0.252,20.33,-0.12,17.03,1785093720704.58
-0.898,-0.354,-0.253,19.29,-0.18,15.38,1785093720704.849
-0.891,-0.349,-0.254,17.88,-0.15,14.13,1785093720705.0947
-0.885,-0.346,-0.258,16.33,-0.4,13.0,1785093720705.333
-0.883,-0.341,-0.255,14.37,-0.55,11.99,1785093720705.5781
-0.878,-0.342,-0.259,12.48,-0.52,11.2,1785093720705.8281
-0.875,-0.344,-0.261,10.86,-0.43,10.47,1785093720706.068
-0.874,-0.342,-0.259,9.64,-0.43,9.8,1785093720706.288
-0.87,-0.342,-0.26,8.76,-0.31,9.55,1785093720706.517
-0.869,-0.342,-0.258,8.12,-0.09,9.19,1785093720706.743
-0.869,-0.341,-0.256,7.87,0.12,8.85,1785093720707.0051
-0.871,-0.346,-0.256,7.69,0.24,8.64,1785093720707.274
-0.874,-0.35,-0.258,7.63,0.52,8.39,1785093720707.5278
-0.876,-0.349,-0.261,7.39,0.76,8.39,1785093720707.791
-0.875,-0.35,-0.262,7.29,0.98,8.3,1785093720708.0432
-0.877,-0.349,-0.261,7.26,1.1,8.27,1785093720708.2988
-0.881,-0.349,-0.261,7.26,1.4,8.0,1785093720708.547
-0.885,-0.349,-0.26,7.29,1.74,7.78,1785093720708.779
-0.885,-0.349,-0.257,7.54,2.01,7.45,1785093720709.056
-0.887,-0.348,-0.252,7.78,2.23,6.99,1785093720709.2979
-0.891,-0.347,-0.251,7.97,2.44,6.44,1785093720709.5107
-0.89,-0.348,-0.252,8.36,2.78,5.74,1785093720709.7312
-0.893,-0.35,-0.25,8.91,3.23,4.94,1785093720709.9521
-0.895,-0.35,-0.249,9.34,3.6,3.97,1785093720710.165
-0.897,-0.351,-0.251,9.64,3.69,2.96,1785093720710.3948
-0.898,-0.354,-0.251,9.77,3.97,1.89,1785093720710.6318
-0.901,-0.357,-0.251,10.1,4.0,0.92,1785093720710.862
-0.902,-0.354,-0.25,10.53,4.06,0.12,1785093720711.0798
-0.901,-0.352,-0.255,11.02,4.03,-0.7,1785093720711.304
-0.902,-0.348,-0.255,11.05,4.06,-1.86,1785093720711.5251
-0.902,-0.34,-0.256,10.41,4.0,-3.05,1785093720711.7388
-0.903,-0.333,-0.257,9.46,3.91,-4.15,1785093720711.96
-0.904,-0.33,-0.256,8.61,3.88,-5.16,1785093720712.1711
-0.902,-0.331,-0.255,7.51,3.69,-6.32,1785093720712.3762
-0.904,-0.329,-0.257,6.53,3.57,-7.45,1785093720712.589
-0.904,-0.316,-0.259,5.46,3.3,-8.42,1785093720712.815
-0.901,-0.315,-0.259,3.57,3.14,-8.97,1785093720713.032
-0.899,-0.322,-0.255,1.83,3.14,-9.74,1785093720713.2302
-0.902,-0.328,-0.254,1.28,3.2,-10.5,1785093720713.44
-0.904,-0.317,-0.26,1.5,3.02,-10.68,1785093720713.6472
-0.905,-0.297,-0.262,0.76,2.99,-10.83,1785093720713.8481
-0.903,-0.287,-0.266,-1.04,2.9,-11.2,1785093720714.06
-0.902,-0.285,-0.269,-3.57,3.02,-11.41,1785093720714.273
-0.901,-0.283,-0.268,-5.68,3.45,-12.3,1785093720714.472
-0.895,-0.304,-0.266,-5.77,3.33,-12.15,1785093720714.689
-0.902,-0.313,-0.262,-3.91,3.11,-11.72,1785093720714.8992
-0.907,-0.289,-0.269,-1.71,2.84,-10.38,1785093720715.1301
-0.909,-0.259,-0.275,-2.14,3.11,-9.25,1785093720715.33
-0.909,-0.256,-0.272,-4.03,3.17,-8.33,1785093720715.5469
-0.903,-0.276,-0.269,-5.34,2.96,-7.72,1785093720715.7742
-0.903,-0.276,-0.269,-5.89,3.02,-7.17,1785093720715.9722
-0.903,-0.27,-0.268,-6.44,3.17,-6.26,1785093720716.1829
-0.903,-0.269,-0.268,-6.81,3.05,-5.4,1785093720716.39
-0.902,-0.26,-0.27,-7.87,2.81,-3.57,1785093720716.591
-0.898,-0.263,-0.27,-8.18,2.72,-2.9,1785093720716.8079
-0.903,-0.283,-0.266,-8.18,2.72,-2.9,1785093720717.026
-0.901,-0.275,-0.267,-7.17,2.62,-2.17,1785093720717.231
-0.898,-0.269,-0.264,-7.11,2.75,-0.4,1785093720717.437
-0.9,-0.263,-0.262,-7.57,2.66,1.1,1785093720717.6462
-0.886,-0.274,-0.263,-8.42,2.56,2.53,1785093720717.8518
-0.907,-0.284,-0.24,-7.32,2.93,2.44,1785093720718.0522
-0.904,-0.311,-0.245,-1.5,2.69,4.76,1785093720718.2651
-0.898,-0.307,-0.25,1.86,1.89,6.04,1785093720718.4739
-0.893,-0.293,-0.247,3.08,1.68,6.13,1785093720718.6758
-0.892,-0.296,-0.249,5.16,1.65,5.77,1785093720718.888
-0.892,-0.292,-0.252,7.14,2.2,4.88,1785093720719.0972
-0.897,-0.289,-0.25,8.3,2.5,4.39,1785093720719.3
-0.896,-0.291,-0.247,8.55,2.29,4.61,1785093720719.5288
-0.896,-0.297,-0.246,8.21,1.89,5.01,1785093720719.733
-0.892,-0.307,-0.243,8.27,1.77,5.77,1785093720719.9358
-0.891,-0.311,-0.244,9.37,2.01,5.4,1785093720720.1282
-0.893,-0.304,-0.245,10.62,2.04,4.67,1785093720720.328
-0.89,-0.306,-0.246,10.99,1.98,4.55,1785093720720.553
-0.893,-0.308,-0.248,11.11,1.86,4.39,1785093720720.765
-0.89,-0.303,-0.248,10.77,1.5,4.27,1785093720720.968
-0.887,-0.311,-0.246,10.28,1.1,4.49,1785093720721.171
-0.888,-0.316,-0.249,10.13,0.67,4.49,1785093720721.3691
-0.885,-0.31,-0.252,9.98,0.43,4.03,1785093720721.591
-0.882,-0.317,-0.252,9.64,0.21,4.15,1785093720721.793
-0.886,-0.318,-0.252,9.55,0.03,4.06,1785093720721.996
-0.888,-0.305,-0.255,9.09,-0.12,4.09,1785093720722.189
