ax,ay,az,gx,gy,gz,timestamp_ms
0.536,0.381,0.747,0.52,0.43,0.21,1784841989947.747
0.534,0.383,0.743,-0.21,0.18,0.27,1784841989948.3672
0.537,0.384,0.754,-1.22,-0.09,0.43,1784841989948.9631
0.536,0.383,0.766,-0.27,-0.24,-0.06,1784841989949.543
0.533,0.382,0.758,1.71,0.46,-0.31,1784841989950.104
0.532,0.383,0.751,2.66,0.85,-0.46,1784841989950.6782
0.529,0.385,0.745,2.56,0.73,-0.06,1784841989951.72
0.532,0.387,0.746,1.5,0.31,0.34,1784841989952.3662
0.533,0.387,0.751,0.98,0.03,0.73,1784841989952.957
0.532,0.383,0.752,0.89,-0.09,1.04,1784841989953.539
0.533,0.384,0.75,0.61,-0.12,1.19,1784841989954.0632
0.531,0.383,0.748,0.21,-0.37,1.28,1784841989954.525
0.534,0.382,0.749,-0.37,-0.85,1.37,1784841989954.9949
0.538,0.382,0.753,-0.95,-0.89,1.4,1784841989955.4592
0.538,0.383,0.758,-1.01,-0.79,1.07,1784841989955.9229
0.538,0.383,0.758,-0.37,-0.55,0.64,1784841989956.4019
0.536,0.381,0.758,0.58,-0.09,0.4,1784841989956.8809
0.535,0.381,0.756,1.22,0.4,0.21,1784841989957.3582
0.535,0.381,0.751,1.65,0.55,0.12,1784841989957.824
0.533,0.382,0.748,1.8,0.4,0.21,1784841989958.297
0.535,0.384,0.748,1.59,0.12,0.4,1784841989958.772
0.533,0.388,0.748,1.04,-0.09,0.55,1784841989959.2449
0.533,0.387,0.747,0.4,-0.12,0.58,1784841989959.719
0.535,0.385,0.75,-0.15,-0.18,0.52,1784841989960.19
0.535,0.385,0.752,-0.52,-0.18,0.43,1784841989960.663
0.535,0.384,0.754,-0.55,-0.21,0.34,1784841989961.133
0.537,0.382,0.753,-0.27,-0.27,0.24,1784841989961.614
0.538,0.383,0.752,0.03,-0.18,0.09,1784841989962.084
0.539,0.383,0.751,0.27,-0.15,0.03,1784841989962.546
0.538,0.382,0.75,0.37,-0.12,0.12,1784841989963.0188
0.536,0.381,0.751,0.34,-0.24,0.34,1784841989963.4858
0.534,0.382,0.752,0.21,-0.27,0.21,1784841989963.959
0.533,0.382,0.754,0.03,-0.27,0.21,1784841989964.4329
0.531,0.382,0.755,-0.03,-0.18,0.18,1784841989964.921
0.531,0.382,0.755,0.12,-0.15,0.09,1784841989965.415
0.532,0.385,0.754,0.34,-0.15,0.03,1784841989965.8281
0.532,0.385,0.752,0.43,-0.12,-0.06,1784841989966.2312
0.536,0.385,0.751,0.34,-0.24,0.12,1784841989966.6318
0.537,0.386,0.751,0.21,0.0,0.18,1784841989967.032
0.537,0.384,0.752,0.34,0.0,0.12,1784841989967.426
0.536,0.382,0.751,0.37,-0.03,0.27,1784841989967.824
0.536,0.382,0.75,0.37,-0.03,0.18,1784841989968.2468
0.536,0.382,0.75,0.27,-0.15,0.24,1784841989968.641
0.536,0.381,0.751,0.24,-0.09,0.31,1784841989969.0417
0.537,0.382,0.754,0.27,0.31,0.21,1784841989969.443
0.537,0.382,0.756,0.76,0.58,0.06,1784841989969.842
0.533,0.382,0.756,0.76,0.58,0.06,1784841989970.2358
0.532,0.381,0.753,1.34,0.52,-0.03,1784841989970.638
0.533,0.385,0.752,1.68,0.49,-0.03,1784841989971.046
0.534,0.387,0.751,1.83,0.58,0.0,1784841989971.4548
0.534,0.385,0.749,1.68,0.46,0.09,1784841989971.8599
0.535,0.385,0.747,1.43,0.37,0.03,1784841989972.275
0.536,0.385,0.747,0.98,0.46,-0.03,1784841989972.6929
0.535,0.386,0.748,0.58,0.37,0.03,1784841989973.1418
0.535,0.385,0.75,0.31,0.15,0.03,1784841989973.5579
0.534,0.383,0.751,0.0,0.27,0.06,1784841989973.9678
0.535,0.385,0.753,-0.06,0.15,0.09,1784841989974.382
0.536,0.387,0.755,0.21,0.12,0.09,1784841989974.794
0.533,0.385,0.753,0.64,0.31,-0.03,1784841989975.2012
0.533,0.385,0.752,1.07,0.46,-0.06,1784841989975.56
0.535,0.385,0.747,1.28,0.49,0.06,1784841989975.911
0.532,0.384,0.747,1.07,0.52,0.03,1784841989976.268
0.534,0.386,0.748,0.64,0.24,0.09,1784841989976.6282
0.533,0.387,0.749,0.24,-0.03,0.15,1784841989976.986
0.535,0.386,0.749,0.12,-0.12,0.18,1784841989977.34
0.533,0.386,0.749,-0.21,-0.06,0.18,1784841989977.803
0.532,0.385,0.753,-0.49,-0.09,0.09,1784841989978.163
0.531,0.383,0.753,-0.55,-0.12,0.12,1784841989978.515
0.532,0.382,0.755,-0.46,-0.21,0.06,1784841989978.875
0.532,0.382,0.755,0.0,-0.34,0.09,1784841989979.23
0.534,0.384,0.754,0.37,-0.49,0.15,1784841989979.5789
0.535,0.385,0.753,0.4,-0.43,0.27,1784841989979.931
0.534,0.385,0.752,0.49,-0.06,0.21,1784841989980.284
0.534,0.384,0.753,0.67,-0.09,0.21,1784841989980.755
0.534,0.385,0.753,1.28,-0.06,0.46,1784841989981.125
0.533,0.386,0.748,1.77,0.09,0.82,1784841989981.485
0.526,0.383,0.746,1.74,0.21,1.4,1784841989981.854
0.522,0.381,0.745,0.95,0.67,2.69,1784841989982.2112
0.539,0.393,0.746,0.49,0.82,3.94,1784841989982.566
0.544,0.394,0.744,0.27,0.24,3.05,1784841989982.934
0.537,0.388,0.745,-1.1,-0.4,2.01,1784841989983.306
0.535,0.384,0.75,-2.04,-0.85,1.53,1784841989983.67
0.535,0.383,0.753,-2.01,-0.95,0.95,1784841989984.05
0.535,0.381,0.758,-1.65,-1.04,0.34,1784841989984.4128
0.537,0.38,0.76,-0.98,-1.01,-0.15,1784841989984.7722
0.538,0.381,0.749,-0.4,-0.82,-0.27,1784841989985.681
0.537,0.383,0.746,-0.67,-0.92,-0.31,1784841989986.722
0.536,0.381,0.751,-1.19,-1.34,-0.49,1784841989987.301
0.537,0.384,0.761,-0.27,-1.77,-0.12,1784841989987.621
0.54,0.388,0.749,1.19,-1.28,0.55,1784841989987.946
0.537,0.388,0.739,0.4,-0.55,0.27,1784841989988.269
0.533,0.384,0.745,-0.89,-0.43,-0.03,1784841989988.5818
0.533,0.384,0.753,-0.89,-0.95,0.24,1784841989988.9011
0.537,0.383,0.756,-0.64,-1.04,0.21,1784841989989.2202
0.535,0.383,0.753,-0.43,-0.46,0.0,1784841989989.533
0.536,0.382,0.749,-0.49,-0.06,-0.18,1784841989989.845
0.536,0.382,0.752,-0.46,-0.18,-0.18,1784841989990.161
0.535,0.382,0.751,-0.34,-0.31,-0.09,1784841989990.4731
0.536,0.381,0.751,-0.55,-0.37,0.0,1784841989990.782
0.537,0.381,0.748,-0.76,-0.4,0.06,1784841989991.0981
0.535,0.382,0.749,-1.13,-0.46,0.06,1784841989991.414
0.538,0.384,0.746,-2.04,-0.4,0.09,1784841989991.731
0.539,0.385,0.757,-2.9,-0.31,-0.43,1784841989992.0408
0.537,0.38,0.768,-1.8,-0.34,-1.1,1784841989992.352
0.536,0.38,0.759,0.58,0.21,-1.5,1784841989992.667
0.536,0.383,0.747,1.89,0.34,-1.53,1784841989992.979
