distance_cm,timestamp_ms
57.0,1785104457512.4878
67.0,1785104457513.281
64.0,1785104457520.638
67.0,1785104457540.192
57.0,1785104457560.31
65.0,1785104457585.2532
63.0,1785104457608.9558
62.0,1785104457624.861
62.0,1785104457645.824
61.0,1785104457664.612
64.0,1785104457685.3088
60.0,1785104457706.0781
57.0,1785104457724.9192
58.0,1785104457745.918
65.0,1785104457769.66
65.0,1785104457785.711
67.0,1785104457809.59
69.0,1785104457826.03
68.0,1785104457845.227
68.0,1785104457869.022
72.0,1785104457885.5989
77.0,1785104457909.693
78.0,1785104457926.2678
73.0,1785104457945.46
80.0,1785104457969.6528
84.0,1785104457986.3547
91.0,1785104458005.5098
95.0,1785104458029.4468
94.0,1785104458046.209
102.0,1785104458065.422
92.0,1785104458084.954
101.0,1785104458109.037
113.0,1785104458125.667
100.0,1785104458149.585
112.0,1785104458166.114
107.0,1785104458185.3208
110.0,1785104458209.233
113.0,1785104458225.802
121.0,1785104458244.9868
113.0,1785104458266.15
119.0,1785104458285.4167
115.0,1785104458309.18
121.0,1785104458325.586
118.0,1785104458349.5
122.0,1785104458365.929
128.0,1785104458385.0723
139.0,1785104458406.2998
133.0,1785104458425.422
131.0,1785104458449.2412
134.0,1785104458465.6692
137.0,1785104458489.6152
133.0,1785104458506.1682
140.0,1785104458525.196
148.0,1785104458546.477
162.0,1785104458565.564
179.0,1785104458589.2239
137.0,1785104458605.57
139.0,1785104458629.466
155.0,1785104458645.9402
180.0,1785104458665.095
185.0,1785104458686.203
190.0,1785104458705.3271
193.0,1785104458726.0151
197.0,1785104458745.232
145.0,1785104458766.304
168.0,1785104458785.522
172.0,1785104458809.133
173.0,1785104458825.651
144.0,1785104458849.589
202.0,1785104458865.982
162.0,1785104458885.123
171.0,1785104458906.092
141.0,1785104458925.5627
159.0,1785104458949.353
155.0,1785104458965.8052
134.0,1785104458989.716
143.0,1785104459006.1172
137.0,1785104459025.3271
138.0,1785104459049.0088
132.0,1785104459065.601
132.0,1785104459089.6057
127.0,1785104459106.3052
127.0,1785104459125.52
127.0,1785104459149.52
132.0,1785104459166.2131
124.0,1785104459185.42
122.0,1785104459209.3381
120.0,1785104459225.8088
123.0,1785104459244.961
117.0,1785104459265.97
116.0,1785104459285.346
113.0,1785104459305.9998
103.0,1785104459325.179
141.0,1785104459349.0
121.0,1785104459365.812
115.0,1785104459385.1873
113.0,1785104459409.343
101.0,1785104459426.082
107.0,1785104459445.3162
99.0,1785104459469.5208
96.0,1785104459486.115
102.0,1785104459505.159
94.0,1785104459526.289
76.0,1785104459545.46
75.0,1785104459569.37
101.0,1785104459585.927
95.0,1785104459609.588
86.0,1785104459626.0103
83.0,1785104459645.202
77.0,1785104459666.168
83.0,1785104459685.472
81.0,1785104459708.9631
80.0,1785104459725.7312
85.0,1785104459744.946
87.0,1785104459766.3792
80.0,1785104459785.7559
83.0,1785104459805.0562
82.0,1785104459829.063
88.0,1785104459845.715
80.0,1785104459864.9229
79.0,1785104459886.3909
82.0,1785104459905.1453
81.0,1785104459929.429
77.0,1785104459945.824
84.0,1785104459965.075
78.0,1785104459986.4268
81.0,1785104460005.269
80.0,1785104460029.286
76.0,1785104460045.614
78.0,1785104460069.634
69.0,1785104460085.8062
64.0,1785104460105.032
80.0,1785104460126.134
102.0,1785104460145.3792
87.0,1785104460166.336
76.0,1785104460185.405
76.0,1785104460206.177
69.0,1785104460225.3308
61.0,1785104460246.392
66.0,1785104460265.562
63.0,1785104460289.491
65.0,1785104460305.8591
56.0,1785104460324.9863
61.0,1785104460346.138
54.0,1785104460365.343
49.0,1785104460389.156
54.0,1785104460405.597
54.0,1785104460429.59
52.0,1785104460446.378
48.0,1785104460465.5503
48.0,1785104460484.985
40.0,1785104460509.27
44.0,1785104460526.216
42.0,1785104460545.434
43.0,1785104460569.734
35.0,1785104460586.383
39.0,1785104460605.437
37.0,1785104460629.292
37.0,1785104460645.987
39.0,1785104460665.152
25.0,1785104460689.1938
42.0,1785104460705.67
38.0,1785104460729.755
36.0,1785104460745.995
47.0,1785104460765.0293
48.0,1785104460785.711
45.0,1785104460809.675
42.0,1785104460826.098
44.0,1785104460845.215
40.0,1785104460866.136
44.0,1785104460885.3372
41.0,1785104460905.933
38.0,1785104460925.3499
44.0,1785104460946.1519
60.0,1785104460965.3772
50.0,1785104460986.495
50.0,1785104461005.6108
49.0,1785104461029.081
42.0,1785104461045.54
45.0,1785104461069.5242
50.0,1785104461085.986
52.0,1785104461105.1462
54.0,1785104461126.384
57.0,1785104461145.5469
64.0,1785104461169.755
57.0,1785104461186.4167
59.0,1785104461205.6538
61.0,1785104461229.5798
65.0,1785104461246.2249
59.0,1785104461265.407
66.0,1785104461289.259
61.0,1785104461305.752
62.0,1785104461329.607
61.0,1785104461345.8838
63.0,1785104461365.0059
56.0,1785104461386.039
64.0,1785104461405.128
60.0,1785104461425.861
60.0,1785104461445.1157
68.0,1785104461465.87
64.0,1785104461485.0618
60.0,1785104461505.9531
66.0,1785104461525.074
66.0,1785104461545.862
66.0,1785104461565.103
68.0,1785104461586.1602
68.0,1785104461605.0552
66.0,1785104461625.927
65.0,1785104461644.825
62.0,1785104461666.1602
61.0,1785104461689.434
69.0,1785104461705.171
67.0,1785104461725.992
60.0,1785104461749.6782
66.0,1785104461765.043
69.0,1785104461786.182
69.0,1785104461805.207
68.0,1785104461825.57
59.0,1785104461846.3218
64.0,1785104461865.236
68.0,1785104461885.661
64.0,1785104461906.101
60.0,1785104461925.333
65.0,1785104461945.6538
57.0,1785104461966.553
67.0,1785104461985.175
66.0,1785104462006.1108
64.0,1785104462024.4292
62.0,1785104462045.022
62.0,1785104462065.77
68.0,1785104462085.0771
64.0,1785104462105.6663
61.0,1785104462129.051
66.0,1785104462145.106
