num_points,points,timestamp_ms
9,"[{""range"": 0.7042462345386581, ""doppler"": 0.0, ""angle"": -52.51035094121441, ""elevation"": 0.0}, {""range"": 0.6693072443543086, ""doppler"": 0.0, ""angle"": -38.85105644275998, ""elevation"": 0.0}, {""range"": 1.3472730868274243, ""doppler"": 0.0, ""angle"": -28.871428405421256, ""elevation"": 0.0}, {""range"": 1.2971422238788275, ""doppler"": 0.0, ""angle"": -25.17674121195937, ""elevation"": 0.0}, {""range"": 1.3208918881471892, ""doppler"": 0.0, ""angle"": -25.343962353732067, ""elevation"": 0.0}, {""range"": 0.5769274956990187, ""doppler"": 9.453816057852237, ""angle"": 4.604368358039152, ""elevation"": 0.0}, {""range"": 9.121899479503355, ""doppler"": 3.024231019546278, ""angle"": 44.530579666094205, ""elevation"": 35.028715065647845}, {""range"": 2.1352874428473774, ""doppler"": 6.340401528461371, ""angle"": 45.0, ""elevation"": 12.615073652073445}, {""range"": 5.067383441814987, ""doppler"": 6.380079089984065, ""angle"": 53.1488212210617, ""elevation"": 81.3027802463285}]",1785104603908.78
9,"[{""range"": 0.7081223705610099, ""doppler"": 0.0, ""angle"": -26.791515529419176, ""elevation"": 0.0}, {""range"": 1.2511779140837862, ""doppler"": 0.0, ""angle"": -31.62520500324538, ""elevation"": 0.0}, {""range"": 1.2909584033282875, ""doppler"": 0.0, ""angle"": -32.89544441784809, ""elevation"": 0.0}, {""range"": 1.3199577604913444, ""doppler"": 0.0, ""angle"": -32.55334440267012, ""elevation"": 0.0}, {""range"": 1.3472810609898092, ""doppler"": 0.0, ""angle"": -33.896758317234465, ""elevation"": 0.0}, {""range"": 0.6756908932784306, ""doppler"": 0.0, ""angle"": -19.317237919676266, ""elevation"": 0.0}, {""range"": 0.618447813088259, ""doppler"": 0.0, ""angle"": -2.6183590113865796, ""elevation"": 0.0}, {""range"": 0.5822957096203989, ""doppler"": 0.0, ""angle"": 6.099258661840328, ""elevation"": 0.0}, {""range"": 0.5944527449754795, ""doppler"": 0.0, ""angle"": 3.82897859235648, ""elevation"": 0.0}]",1785104603909.041
7,"[{""range"": 1.2510646088357487, ""doppler"": 0.0, ""angle"": -27.374456338169445, ""elevation"": 0.0}, {""range"": 1.2870089539401441, ""doppler"": 0.0, ""angle"": -29.424967469821613, ""elevation"": 0.0}, {""range"": 1.316652945755912, ""doppler"": 0.0, ""angle"": -31.72576909057841, ""elevation"": 0.0}, {""range"": 0.5799416677392121, ""doppler"": 0.0, ""angle"": 8.457389036212094, ""elevation"": 0.0}, {""range"": 0.5977835673852003, ""doppler"": 0.0, ""angle"": 12.244385326414985, ""elevation"": 0.0}, {""range"": 0.6194637580180171, ""doppler"": 0.0, ""angle"": 19.229946046120315, ""elevation"": 0.0}, {""range"": 0.6654133818084204, ""doppler"": 0.0, ""angle"": 34.00180268531836, ""elevation"": 0.0}]",1785104603909.2668
8,"[{""range"": 1.2922242682392455, ""doppler"": 0.0, ""angle"": -32.02303181362975, ""elevation"": 0.0}, {""range"": 1.322751214803147, ""doppler"": 0.0, ""angle"": -26.537340264777328, ""elevation"": 0.0}, {""range"": 0.5797681630923799, ""doppler"": 0.0, ""angle"": 10.304846468766033, ""elevation"": 0.0}, {""range"": 0.5969711432501995, ""doppler"": 0.0, ""angle"": 14.09451739721057, ""elevation"": 0.0}, {""range"": 0.6679340747412275, ""doppler"": 0.0, ""angle"": 17.319253342115932, ""elevation"": 0.0}, {""range"": 0.6234778300030737, ""doppler"": 0.0, ""angle"": 19.780941468113244, ""elevation"": 0.0}, {""range"": 0.7177383060954914, ""doppler"": 0.0, ""angle"": 18.520714126449075, ""elevation"": 0.0}, {""range"": 1.8709031580882172, ""doppler"": 0.0, ""angle"": 46.281804838476454, ""elevation"": 0.0}]",1785104603909.497
8,"[{""range"": 1.3510668872289642, ""doppler"": 0.0, ""angle"": -35.122479087893595, ""elevation"": 0.0}, {""range"": 1.2931827315648077, ""doppler"": 0.0, ""angle"": -32.239684403779606, ""elevation"": 0.0}, {""range"": 1.3217393104613213, ""doppler"": 0.0, ""angle"": -32.458113234575215, ""elevation"": 0.0}, {""range"": 0.5800610753886591, ""doppler"": 0.0, ""angle"": 10.066299741160975, ""elevation"": 0.0}, {""range"": 0.5942020131328078, ""doppler"": 0.0, ""angle"": 13.291858436352994, ""elevation"": 0.0}, {""range"": 0.624916736530249, ""doppler"": 0.0, ""angle"": 21.74965454550133, ""elevation"": 0.0}, {""range"": 0.66196283313449, ""doppler"": 0.0, ""angle"": 24.411932372272663, ""elevation"": 0.0}, {""range"": 0.7059742838936462, ""doppler"": 0.0, ""angle"": 24.41633078237244, ""elevation"": 0.0}]",1785104603909.7322
12,"[{""range"": 0.7348266765145796, ""doppler"": 0.0, ""angle"": -27.413076536775428, ""elevation"": 0.0}, {""range"": 0.7512647574239842, ""doppler"": 0.0, ""angle"": -27.19324244995029, ""elevation"": 0.0}, {""range"": 1.2541745744354589, ""doppler"": 0.0, ""angle"": -29.10855789976498, ""elevation"": 0.0}, {""range"": 1.292553317693765, ""doppler"": 0.0, ""angle"": -28.174597563997846, ""elevation"": 0.0}, {""range"": 1.3203326678045726, ""doppler"": 0.0, ""angle"": -28.7275046757961, ""elevation"": 0.0}, {""range"": 1.3485115067937592, ""doppler"": 0.0, ""angle"": -29.433903968405463, ""elevation"": 0.0}, {""range"": 1.8734666916401574, ""doppler"": 0.0, ""angle"": -5.323156549434735, ""elevation"": 0.0}, {""range"": 1.8265114379680671, ""doppler"": 0.0, ""angle"": 0.6170248777597463, ""elevation"": 0.0}, {""range"": 0.5803030954072327, ""doppler"": 0.0, ""angle"": 9.793206010038352, ""elevation"": 0.0}, {""range"": 0.5982955520369208, ""doppler"": 0.0, ""angle"": 12.935575462957704, ""elevation"": 0.0}, {""range"": 0.6222942005267585, ""doppler"": 0.0, ""angle"": 14.970656498289836, ""elevation"": 0.0}, {""range"": 0.655961486105286, ""doppler"": 0.0, ""angle"": 12.532195886878148, ""elevation"": 0.0}]",1785104603909.9773
7,"[{""range"": 0.6871625696899388, ""doppler"": 0.0, ""angle"": -29.460087630366402, ""elevation"": 0.0}, {""range"": 0.7117739811144311, ""doppler"": 0.0, ""angle"": -33.690067525979785, ""elevation"": 0.0}, {""range"": 1.2953783597366155, ""doppler"": 0.0, ""angle"": -31.05463539403492, ""elevation"": 0.0}, {""range"": 1.3202939080157747, ""doppler"": 0.0, ""angle"": -26.89473252063416, ""elevation"": 0.0}, {""range"": 0.5786282150358081, ""doppler"": 0.0, ""angle"": 10.667513235269727, ""elevation"": 0.0}, {""range"": 0.5943344802974763, ""doppler"": 0.0, ""angle"": 14.35399263615665, ""elevation"": 0.0}, {""range"": 0.6185397307871391, ""doppler"": 0.0, ""angle"": 19.927916472751885, ""elevation"": 0.0}]",1785104603910.197
9,"[{""range"": 1.2568270745675905, ""doppler"": 0.0, ""angle"": -25.518719200739312, ""elevation"": 0.0}, {""range"": 1.2934844447988798, ""doppler"": 0.0, ""angle"": -24.44985446594706, ""elevation"": 0.0}, {""range"": 1.3170698346264207, ""doppler"": 0.0, ""angle"": -23.474372968098248, ""elevation"": 0.0}, {""range"": 1.3426002267875137, ""doppler"": 0.0, ""angle"": -23.18456265702975, ""elevation"": 0.0}, {""range"": 0.6949656640254578, ""doppler"": 0.0, ""angle"": 4.01314369696892, ""elevation"": 0.0}, {""range"": 0.5806631142048713, ""doppler"": 0.0, ""angle"": 11.15075871649069, ""elevation"": 0.0}, {""range"": 0.5974465763797376, ""doppler"": 0.0, ""angle"": 12.497187524992421, ""elevation"": 0.0}, {""range"": 0.6206698631611092, ""doppler"": 0.0, ""angle"": 13.579840651088148, ""elevation"": 0.0}, {""range"": 0.6536888893447388, ""doppler"": 0.0, ""angle"": 12.93000591012834, ""elevation"": 0.0}]",1785104603910.442
10,"[{""range"": 1.2620157086841177, ""doppler"": 0.0, ""angle"": -29.692520535175888, ""elevation"": 0.0}, {""range"": 1.2931321919184235, ""doppler"": 0.0, ""angle"": -31.318394222254863, ""elevation"": 0.0}, {""range"": 1.316131937465365, ""doppler"": 0.0, ""angle"": -32.5673150397857, ""elevation"": 0.0}, {""range"": 1.3431503069983062, ""doppler"": 0.0, ""angle"": -34.15338272480916, ""elevation"": 0.0}, {""range"": 0.6978822884836784, ""doppler"": 0.0, ""angle"": 1.1892085308537934, ""elevation"": 0.0}, {""range"": 0.597950053260349, ""doppler"": 0.0, ""angle"": 10.684912400002716, ""elevation"": 0.0}, {""range"": 0.6223705487848201, ""doppler"": 0.0, ""angle"": 5.589380942792078, ""elevation"": 0.0}, {""range"": 0.6591036503275697, ""doppler"": 0.0, ""angle"": 4.80882253712255, ""elevation"": 0.0}, {""range"": 0.5799904867180711, ""doppler"": 0.0, ""angle"": 13.187923444160443, ""elevation"": 0.0}, {""range"": 0.09144387954336951, ""doppler"": 0.0, ""angle"": 65.13878279903342, ""elevation"": 0.0}]",1785104603910.676
9,"[{""range"": 0.6879010168167795, ""doppler"": 0.0, ""angle"": -31.446510135290314, ""elevation"": 0.0}, {""range"": 0.7120305751510482, ""doppler"": 0.0, ""angle"": -30.100041689656166, ""elevation"": 0.0}, {""range"": 1.2611259876370013, ""doppler"": 0.0, ""angle"": -28.432808955564127, ""elevation"": 0.0}, {""range"": 1.2952400262266899, ""doppler"": 0.0, ""angle"": -30.22170555146321, ""elevation"": 0.0}, {""range"": 1.3188053177206462, ""doppler"": 0.0, ""angle"": -28.719580180639866, ""elevation"": 0.0}, {""range"": 1.34371176242226, ""doppler"": 0.0, ""angle"": -29.225675560262975, ""elevation"": 0.0}, {""range"": 0.5576951771589189, ""doppler"": 0.0, ""angle"": 3.198172594804705, ""elevation"": 0.0}, {""range"": 0.6104892080972428, ""doppler"": 0.0, ""angle"": 31.660274949148715, ""elevation"": 0.0}, {""range"": 0.6460442276237719, ""doppler"": 0.0, ""angle"": 28.06875552722827, ""elevation"": 0.0}]",1785104603910.898
