ax,ay,az,gx,gy,gz,timestamp_ms
1.387,0.342,-0.04,-117.68,-36.38,-27.16,1785097133522.2341
1.353,0.354,-0.038,-116.37,-37.51,-13.12,1785097133522.471
1.256,0.332,-0.031,-109.96,-40.07,3.88,1785097133522.688
1.187,0.293,-0.049,-101.99,-43.95,22.22,1785097133522.904
1.153,0.282,-0.05,-97.78,-46.27,38.51,1785097133523.118
1.083,0.284,-0.024,-93.81,-48.65,54.38,1785097133523.326
0.953,0.254,-0.024,-87.56,-53.53,73.4,1785097133523.5369
0.812,0.199,-0.046,-81.3,-58.11,91.22,1785097133523.746
0.711,0.184,-0.058,-74.95,-62.04,103.27,1785097133523.959
0.635,0.171,-0.056,-66.1,-69.58,115.24,1785097133524.1768
0.525,0.14,-0.053,-55.51,-81.39,126.47,1785097133524.3872
0.411,0.079,-0.052,-42.39,-96.04,139.62,1785097133524.599
0.239,-0.026,-0.037,-29.39,-115.6,156.8,1785097133524.8142
0.054,-0.13,-0.054,-20.08,-140.29,175.79,1785097133525.028
-0.139,-0.221,-0.129,-12.54,-163.4,193.7,1785097133525.243
-0.349,-0.306,-0.247,-8.18,-179.63,210.64,1785097133525.455
-0.504,-0.381,-0.354,-10.83,-189.64,227.03,1785097133525.6672
-0.624,-0.487,-0.489,-16.42,-196.78,237.56,1785097133525.877
-0.693,-0.685,-0.792,-19.5,-197.76,236.18,1785097133526.0852
-0.775,-0.923,-1.116,-29.27,-180.94,220.89,1785097133526.291
-0.876,-1.089,-1.291,-47.27,-156.41,196.81,1785097133526.503
-0.894,-1.159,-1.389,-60.91,-131.2,172.46,1785097133526.716
-0.82,-1.228,-1.4,-58.66,-102.54,151.49,1785097133526.927
-0.687,-1.259,-1.344,-44.4,-75.87,130.59,1785097133527.1309
-0.537,-1.153,-1.169,-26.49,-52.19,107.82,1785097133527.3381
-0.404,-1.004,-0.914,-0.73,-31.68,84.72,1785097133527.539
-0.326,-0.939,-0.673,36.35,-13.61,58.93,1785097133527.7458
-0.289,-0.881,-0.509,70.13,-0.61,29.02,1785097133527.95
-0.229,-0.776,-0.4,97.72,8.09,-3.6,1785097133528.154
-0.161,-0.68,-0.378,127.14,12.24,-40.44,1785097133528.358
-0.115,-0.614,-0.458,152.62,12.3,-77.88,1785097133528.5671
-0.07,-0.571,-0.579,159.86,10.5,-106.11,1785097133528.779
-0.04,-0.542,-0.652,143.38,9.7,-121.28,1785097133529.0051
-0.025,-0.535,-0.679,110.66,9.95,-124.39,1785097133529.216
-0.013,-0.554,-0.669,73.89,11.99,-121.1,1785097133529.4248
-0.01,-0.593,-0.612,41.29,15.23,-115.09,1785097133529.6418
-0.009,-0.613,-0.543,16.75,17.06,-106.45,1785097133529.8518
0.024,-0.617,-0.501,5.92,17.88,-94.7,1785097133530.0547
0.058,-0.644,-0.456,10.19,19.04,-82.64,1785097133530.266
0.051,-0.668,-0.432,21.73,18.46,-73.58,1785097133530.472
0.072,-0.668,-0.449,38.67,18.22,-65.34,1785097133530.678
0.113,-0.667,-0.489,60.91,18.4,-58.53,1785097133530.882
0.169,-0.608,-0.548,80.2,18.28,-50.75,1785097133531.0872
0.272,-0.51,-0.58,96.22,19.2,-37.93,1785097133531.292
0.392,-0.395,-0.613,105.81,18.16,-23.16,1785097133531.4949
0.509,-0.288,-0.644,106.72,16.82,-7.23,1785097133531.699
