num_points,points,timestamp_ms
9,"[{""range"": 0.8255474314573117, ""doppler"": 0.0, ""angle"": -33.4973154204681, ""elevation"": 0.0}, {""range"": 0.8914460191174691, ""doppler"": 0.0, ""angle"": -13.230648707650388, ""elevation"": 0.0}, {""range"": 0.9148453965696026, ""doppler"": 0.0, ""angle"": -6.7235760181104895, ""elevation"": 0.0}, {""range"": 2.807433676790146, ""doppler"": 0.0, ""angle"": -3.6189029949442584, ""elevation"": 0.0}, {""range"": 0.7197287734200659, ""doppler"": 0.0, ""angle"": 0.15658434920785755, ""elevation"": 0.0}, {""range"": 0.7293194352096439, ""doppler"": 0.0, ""angle"": 1.629756640897434, ""elevation"": 0.0}, {""range"": 0.7399351931519925, ""doppler"": 0.0, ""angle"": 2.1882300485434434, ""elevation"": 0.0}, {""range"": 2.824110749105553, ""doppler"": 0.0, ""angle"": -1.7742733925604544, ""elevation"": 0.0}, {""range"": 2.8668190147875348, ""doppler"": 0.0, ""angle"": 7.396741062080064, ""elevation"": 0.0}]",1785097213249.3179
14,"[{""range"": 0.80797752438696, ""doppler"": 0.0, ""angle"": -11.4889812021592, ""elevation"": 0.0}, {""range"": 0.8739220008169162, ""doppler"": 0.0, ""angle"": -8.471638055964666, ""elevation"": 0.0}, {""range"": 1.7140953022313894, ""doppler"": 0.0, ""angle"": -7.022707861125078, ""elevation"": 0.0}, {""range"": 0.7212364005775507, ""doppler"": 0.0, ""angle"": -0.8523414767152521, ""elevation"": 0.0}, {""range"": 0.7302867034438605, ""doppler"": 0.0, ""angle"": -0.30864225192321587, ""elevation"": 0.0}, {""range"": 0.7480864252889136, ""doppler"": 0.0, ""angle"": -0.9724144755847759, ""elevation"": 0.0}, {""range"": 1.666280388663531, ""doppler"": 0.0, ""angle"": -0.6025734466180677, ""elevation"": 0.0}, {""range"": 1.684602060936778, ""doppler"": 0.0, ""angle"": -3.121467986151861, ""elevation"": 0.0}, {""range"": 2.8043128503707786, ""doppler"": 0.0, ""angle"": -2.5765170846323096, ""elevation"": 0.0}, {""range"": 2.818498863780836, ""doppler"": 0.0, ""angle"": 0.2798972165684854, ""elevation"": 0.0}, {""range"": 2.8667511072636165, ""doppler"": 0.0, ""angle"": 13.424284223330469, ""elevation"": 0.0}, {""range"": 1.9149480105077077, ""doppler"": 0.0, ""angle"": 47.63777779702854, ""elevation"": 0.0}, {""range"": 2.019551560849172, ""doppler"": 0.0, ""angle"": 44.25743145052674, ""elevation"": 0.0}, {""range"": 2.05378314948294, ""doppler"": 0.0, ""angle"": 46.11472794470971, ""elevation"": 0.0}]",1785097213249.888
9,"[{""range"": 0.8402893153918547, ""doppler"": 0.0, ""angle"": -14.42954509293225, ""elevation"": 0.0}, {""range"": 1.6912739549782798, ""doppler"": 0.0, ""angle"": -11.328940777051162, ""elevation"": 0.0}, {""range"": 0.8822745478336735, ""doppler"": 0.0, ""angle"": -10.462720017559258, ""elevation"": 0.0}, {""range"": 0.9104969549005194, ""doppler"": 0.0, ""angle"": -5.997226397727704, ""elevation"": 0.0}, {""range"": 2.8079304468185735, ""doppler"": 0.0, ""angle"": -4.8439387536624725, ""elevation"": 0.0}, {""range"": 2.8599548115457765, ""doppler"": 0.0, ""angle"": -4.622628545623767, ""elevation"": 0.0}, {""range"": 0.7221272719842381, ""doppler"": 0.0, ""angle"": 8.114050868509773, ""elevation"": 0.0}, {""range"": 0.7353515154644981, ""doppler"": 0.0, ""angle"": 12.299105967638965, ""elevation"": 0.0}, {""range"": 0.7469547543708017, ""doppler"": 0.0, ""angle"": 11.320692244694305, ""elevation"": 0.0}]",1785097213250.412
12,"[{""range"": 1.5396326254640194, ""doppler"": 0.0, ""angle"": -18.443366008040403, ""elevation"": 0.0}, {""range"": 0.8721499656231206, ""doppler"": 0.0, ""angle"": -14.218586456937512, ""elevation"": 0.0}, {""range"": 0.7951860685735083, ""doppler"": 0.0, ""angle"": -10.324437132571909, ""elevation"": 0.0}, {""range"": 1.6758913661316528, ""doppler"": 0.0, ""angle"": -5.633339080927521, ""elevation"": 0.0}, {""range"": 0.7235144123395986, ""doppler"": 0.0, ""angle"": 2.6064201577513995, ""elevation"": 0.0}, {""range"": 0.7330721006395047, ""doppler"": 0.0, ""angle"": 2.0548860386710537, ""elevation"": 0.0}, {""range"": 0.7464996696178341, ""doppler"": 0.0, ""angle"": 1.0705679681538438, ""elevation"": 0.0}, {""range"": 1.6641406293021703, ""doppler"": 0.0, ""angle"": -3.092064266477379, ""elevation"": 0.0}, {""range"": 2.805888374878621, ""doppler"": 0.0, ""angle"": -2.6408618471369736, ""elevation"": 0.0}, {""range"": 2.819832115553075, ""doppler"": 0.0, ""angle"": -1.231782109318526, ""elevation"": 0.0}, {""range"": 2.0255718014556146, ""doppler"": 0.0, ""angle"": 56.38007393141892, ""elevation"": 0.0}, {""range"": 2.052314736135746, ""doppler"": 0.0, ""angle"": 55.58994801052611, ""elevation"": 0.0}]",1785097213250.935
14,"[{""range"": 0.8219207340041291, ""doppler"": 0.0, ""angle"": -23.162582201263596, ""elevation"": 0.0}, {""range"": 0.7818926305802401, ""doppler"": 0.0, ""angle"": -11.022119712530333, ""elevation"": 0.0}, {""range"": 0.8770491727918511, ""doppler"": 0.0, ""angle"": -11.752087935276329, ""elevation"": 0.0}, {""range"": 0.9177474279296571, ""doppler"": 0.0, ""angle"": -6.342657353082546, ""elevation"": 0.0}, {""range"": 0.9351453336129555, ""doppler"": 0.0, ""angle"": -4.848256033486789, ""elevation"": 0.0}, {""range"": 1.6618035635449815, ""doppler"": 0.0, ""angle"": -4.4866547708609845, ""elevation"": 0.0}, {""range"": 1.6658968119470428, ""doppler"": 0.0, ""angle"": -5.401557409896611, ""elevation"": 0.0}, {""range"": 2.8049389201227157, ""doppler"": 0.0, ""angle"": -4.358084958283723, ""elevation"": 0.0}, {""range"": 2.8264548904468203, ""doppler"": 0.0, ""angle"": -2.1064730422669573, ""elevation"": 0.0}, {""range"": 2.861486179506066, ""doppler"": 0.0, ""angle"": 3.543280109101494, ""elevation"": 0.0}, {""range"": 0.7258915489242661, ""doppler"": 0.0, ""angle"": 14.844137099136184, ""elevation"": 0.0}, {""range"": 0.7396978970665756, ""doppler"": 0.0, ""angle"": 14.103428919676434, ""elevation"": 0.0}, {""range"": 1.868238752459679, ""doppler"": 0.0, ""angle"": 40.74999864413633, ""elevation"": 0.0}, {""range"": 2.0202321776271988, ""doppler"": 0.0, ""angle"": 36.56764439460044, ""elevation"": 0.0}]",1785097213251.4739
12,"[{""range"": 0.8165772226353455, ""doppler"": 0.0, ""angle"": -43.198727944448336, ""elevation"": 0.0}, {""range"": 0.89651450626682, ""doppler"": 0.0, ""angle"": -10.852723472069638, ""elevation"": 0.0}, {""range"": 0.7240563053970684, ""doppler"": 0.0, ""angle"": -5.28538468030478, ""elevation"": 0.0}, {""range"": 0.7288316016636515, ""doppler"": 0.0, ""angle"": -7.28716884786996, ""elevation"": 0.0}, {""range"": 0.7463798361707258, ""doppler"": 0.0, ""angle"": -8.2368705813508, ""elevation"": 0.0}, {""range"": 0.9191284090533107, ""doppler"": 0.0, ""angle"": -6.703324813750412, ""elevation"": 0.0}, {""range"": 1.550863468254615, ""doppler"": 0.0, ""angle"": -3.9933652513680054, ""elevation"": 0.0}, {""range"": 1.7069435808366147, ""doppler"": 0.0, ""angle"": -4.686880505095193, ""elevation"": 0.0}, {""range"": 2.8134118352125377, ""doppler"": 0.0, ""angle"": -4.8673708928331285, ""elevation"": 0.0}, {""range"": 1.6592306936572987, ""doppler"": 0.0, ""angle"": 0.2531643142815092, ""elevation"": 0.0}, {""range"": 1.6803243692260228, ""doppler"": 0.0, ""angle"": -2.3724910399872674, ""elevation"": 0.0}, {""range"": 1.8733826946031216, ""doppler"": 0.0, ""angle"": 39.068922650812006, ""elevation"": 0.0}]",1785097213251.963
10,"[{""range"": 0.8950254755326331, ""doppler"": 0.0, ""angle"": -9.196978742350696, ""elevation"": 0.0}, {""range"": 0.9157030150790334, ""doppler"": 0.0, ""angle"": -6.7961167075821, ""elevation"": 0.0}, {""range"": 2.8042764496502706, ""doppler"": 0.0, ""angle"": -4.828266438459814, ""elevation"": 0.0}, {""range"": 0.7186506215077901, ""doppler"": 0.0, ""angle"": -1.2689125559889833, ""elevation"": 0.0}, {""range"": 1.6027366648508055, ""doppler"": 0.0, ""angle"": -2.858574590170802, ""elevation"": 0.0}, {""range"": 1.6335150087867243, ""doppler"": 0.0, ""angle"": -1.2795790805261964, ""elevation"": 0.0}, {""range"": 0.7346120396562483, ""doppler"": 0.0, ""angle"": 4.047858129454482, ""elevation"": 0.0}, {""range"": 0.7439466436129687, ""doppler"": 0.0, ""angle"": 9.364969058774415, ""elevation"": 0.0}, {""range"": 0.7820177550574642, ""doppler"": 0.0, ""angle"": 20.589779282732742, ""elevation"": 0.0}, {""range"": 1.8782750231221932, ""doppler"": 0.0, ""angle"": 44.94985897384554, ""elevation"": 0.0}]",1785097213252.376
10,"[{""range"": 0.8223041412469643, ""doppler"": 0.0, ""angle"": -15.565460521991017, ""elevation"": 0.0}, {""range"": 0.8961411202335668, ""doppler"": 0.0, ""angle"": -7.6482833052592705, ""elevation"": 0.0}, {""range"": 0.9107236455886629, ""doppler"": 0.0, ""angle"": -6.131482977828124, ""elevation"": 0.0}, {""range"": 1.6732760960258029, ""doppler"": 0.0, ""angle"": -3.8971617206640863, ""elevation"": 0.0}, {""range"": 1.659297012209912, ""doppler"": 0.0, ""angle"": -3.5154801876832646, ""elevation"": 0.0}, {""range"": 0.7208016530254069, ""doppler"": 0.0, ""angle"": 6.996317469858464, ""elevation"": 0.0}, {""range"": 0.7282317946071565, ""doppler"": 0.0, ""angle"": 9.81156956610924, ""elevation"": 0.0}, {""range"": 0.742928537246564, ""doppler"": 0.0, ""angle"": 14.795504407040532, ""elevation"": 0.0}, {""range"": 2.870612873193887, ""doppler"": 0.0, ""angle"": 18.36497410433771, ""elevation"": 0.0}, {""range"": 2.0603666874645308, ""doppler"": 0.0, ""angle"": 43.874767234595, ""elevation"": 0.0}]",1785097213252.779
11,"[{""range"": 0.813079071604889, ""doppler"": 0.0, ""angle"": -25.967713458313277, ""elevation"": 0.0}, {""range"": 0.7114932970514622, ""doppler"": 0.0, ""angle"": -4.800712400493065, ""elevation"": 0.0}, {""range"": 0.718825366039262, ""doppler"": 0.0, ""angle"": -5.853832287867949, ""elevation"": 0.0}, {""range"": 0.8896065656568458, ""doppler"": 0.0, ""angle"": -5.976454280859356, ""elevation"": 0.0}, {""range"": 0.9196236534034019, ""doppler"": 0.0, ""angle"": -6.385712421779926, ""elevation"": 0.0}, {""range"": 1.6666821312299571, ""doppler"": 0.0, ""angle"": -4.00503143581685, ""elevation"": 0.0}, {""range"": 1.6884513678673843, ""doppler"": 0.0, ""angle"": -7.625518473359921, ""elevation"": 0.0}, {""range"": 1.7230251748697178, ""doppler"": 0.0, ""angle"": -10.742019530619048, ""elevation"": 0.0}, {""range"": 1.7614902675195518, ""doppler"": 0.0, ""angle"": -10.40420892567245, ""elevation"": 0.0}, {""range"": 0.7557856030633624, ""doppler"": 0.0, ""angle"": 26.30436960696014, ""elevation"": 0.0}, {""range"": 1.8732509269571032, ""doppler"": 0.0, ""angle"": 39.83008040735492, ""elevation"": 0.0}]",1785097213253.1929
7,"[{""range"": 0.7180608564607452, ""doppler"": 0.0, ""angle"": -3.769467484607077, ""elevation"": 0.0}, {""range"": 0.9015906558644099, ""doppler"": 0.0, ""angle"": -4.983522625755813, ""elevation"": 0.0}, {""range"": 0.9227154726279813, ""doppler"": 0.0, ""angle"": -4.8134344279810515, ""elevation"": 0.0}, {""range"": 0.935755802210997, ""doppler"": 0.0, ""angle"": -4.900027482909752, ""elevation"": 0.0}, {""range"": 1.661229011021088, ""doppler"": 0.0, ""angle"": -7.489903962157131, ""elevation"": 0.0}, {""range"": 1.6741445314420051, ""doppler"": 0.0, ""angle"": -7.703427573624289, ""elevation"": 0.0}, {""range"": 1.8654444954553437, ""doppler"": 0.0, ""angle"": 36.593092674603426, ""elevation"": 0.0}]",1785097213253.6042
