distance_cm,timestamp_ms
77.0,1785097485287.242
81.0,1785097485288.0903
84.0,1785097485304.085
84.0,1785097485324.157
83.0,1785097485347.924
82.0,1785097485366.82
87.0,1785097485387.924
93.0,1785097485406.847
88.0,1785097485430.849
86.0,1785097485447.385
85.0,1785097485471.295
86.0,1785097485487.586
83.0,1785097485511.5928
77.0,1785097485528.069
81.0,1785097485547.3162
79.0,1785097485568.393
73.0,1785097485587.531
73.0,1785097485611.255
62.0,1785097485627.694
65.0,1785097485651.521
60.0,1785097485667.957
64.0,1785097485691.743
61.0,1785097485707.953
60.0,1785097485731.909
58.0,1785097485748.043
54.0,1785097485767.2078
43.0,1785097485788.1611
46.0,1785097485807.184
43.0,1785097485828.4531
58.0,1785097485847.617
49.0,1785097485868.296
48.0,1785097485887.177
46.0,1785097485907.706
52.0,1785097485931.647
52.0,1785097485948.0671
53.0,1785097485967.2793
54.0,1785097485988.4897
56.0,1785097486007.736
56.0,1785097486027.359
57.0,1785097486051.198
59.0,1785097486068.212
54.0,1785097486087.39
53.0,1785097486111.626
60.0,1785097486128.322
65.0,1785097486147.4968
64.0,1785097486171.498
71.0,1785097486188.222
74.0,1785097486207.391
72.0,1785097486228.1658
77.0,1785097486247.4019
80.0,1785097486271.31
87.0,1785097486288.3682
85.0,1785097486307.61
83.0,1785097486327.127
79.0,1785097486348.429
101.0,1785097486367.667
114.0,1785097486388.298
96.0,1785097486407.572
84.0,1785097486431.29
84.0,1785097486448.207
91.0,1785097486467.1472
87.0,1785097486491.724
82.0,1785097486511.2441
78.0,1785097486528.023
72.0,1785097486547.2168
73.0,1785097486568.398
69.0,1785097486587.5808
69.0,1785097486611.35
70.0,1785097486627.9502
71.0,1785097486647.155
76.0,1785097486668.554
73.0,1785097486688.171
71.0,1785097486711.318
71.0,1785097486727.5579
89.0,1785097486751.273
106.0,1785097486767.688
117.0,1785097486791.478
75.0,1785097486807.72
80.0,1785097486831.924
90.0,1785097486848.5288
95.0,1785097486867.736
95.0,1785097486887.1418
86.0,1785097486911.4639
91.0,1785097486928.4321
96.0,1785097486947.774
97.0,1785097486967.188
96.0,1785097486991.167
89.0,1785097487007.7551
90.0,1785097487031.668
91.0,1785097487048.346
89.0,1785097487067.54
84.0,1785097487091.7917
84.0,1785097487111.244
88.0,1785097487128.175
85.0,1785097487147.3533
77.0,1785097487171.484
76.0,1785097487188.238
71.0,1785097487207.3928
79.0,1785097487228.5627
69.0,1785097487247.731
61.0,1785097487271.492
45.0,1785097487288.1401
48.0,1785097487307.3987
70.0,1785097487331.282
68.0,1785097487347.5159
70.0,1785097487371.4922
83.0,1785097487387.9512
83.0,1785097487411.767
85.0,1785097487428.082
90.0,1785097487447.274
86.0,1785097487468.197
82.0,1785097487487.7231
93.0,1785097487511.868
99.0,1785097487531.1638
93.0,1785097487548.1658
97.0,1785097487567.384
99.0,1785097487593.927
99.0,1785097487608.491
99.0,1785097487627.746
102.0,1785097487651.266
103.0,1785097487667.753
101.0,1785097487691.711
101.0,1785097487708.522
103.0,1785097487727.818
90.0,1785097487747.2078
93.0,1785097487771.3909
81.0,1785097487788.471
83.0,1785097487807.6648
84.0,1785097487831.6719
76.0,1785097487848.39
77.0,1785097487867.5898
79.0,1785097487891.318
70.0,1785097487907.735
75.0,1785097487931.5132
92.0,1785097487947.669
91.0,1785097487971.4739
88.0,1785097487987.958
82.0,1785097488011.8289
83.0,1785097488027.89
83.0,1785097488051.775
79.0,1785097488068.279
71.0,1785097488087.4062
81.0,1785097488111.34
85.0,1785097488128.178
86.0,1785097488147.383
89.0,1785097488171.551
89.0,1785097488188.3281
96.0,1785097488207.594
94.0,1785097488231.864
96.0,1785097488251.18
97.0,1785097488268.039
93.0,1785097488287.245
96.0,1785097488308.4631
95.0,1785097488327.656
93.0,1785097488351.4
93.0,1785097488368.148
92.0,1785097488387.3323
97.0,1785097488411.351
92.0,1785097488428.18
93.0,1785097488447.373
89.0,1785097488471.6648
90.0,1785097488491.104
84.0,1785097488508.0168
80.0,1785097488527.3708
79.0,1785097488551.1501
77.0,1785097488568.075
78.0,1785097488587.319
75.0,1785097488611.823
78.0,1785097488628.411
83.0,1785097488647.624
81.0,1785097488671.293
93.0,1785097488687.695
77.0,1785097488711.848
74.0,1785097488728.253
92.0,1785097488747.353
65.0,1785097488768.4539
78.0,1785097488787.6028
79.0,1785097488811.429
78.0,1785097488827.918
78.0,1785097488851.642
82.0,1785097488868.1199
83.0,1785097488887.316
82.0,1785097488911.5159
88.0,1785097488928.427
85.0,1785097488947.644
95.0,1785097488967.0452
93.0,1785097488991.3062
92.0,1785097489008.27
97.0,1785097489027.633
94.0,1785097489051.718
93.0,1785097489068.136
93.0,1785097489087.3599
90.0,1785097489108.152
91.0,1785097489127.4722
88.0,1785097489151.2861
92.0,1785097489167.9512
91.0,1785097489191.906
92.0,1785097489208.3462
91.0,1785097489227.604
85.0,1785097489251.7278
85.0,1785097489268.58
83.0,1785097489287.7542
77.0,1785097489307.141
75.0,1785097489328.293
74.0,1785097489347.489
74.0,1785097489371.341
72.0,1785097489387.879
75.0,1785097489411.762
