num_points,points,timestamp_ms
5,"[{""range"": 1.105826848491739, ""doppler"": 0.0, ""angle"": -5.279147450688255, ""elevation"": 0.0}, {""range"": 1.1221022758415988, ""doppler"": 0.0, ""angle"": -4.716630712844522, ""elevation"": 0.0}, {""range"": 0.6789639493651587, ""doppler"": 0.0, ""angle"": 19.556380623856242, ""elevation"": 0.0}, {""range"": 0.7995507662396791, ""doppler"": 0.0, ""angle"": 28.055150617693343, ""elevation"": 0.0}, {""range"": 0.8139602826849158, ""doppler"": 0.0, ""angle"": 31.745210415935517, ""elevation"": 0.0}]",1785107789257.029
7,"[{""range"": 1.1067433472846164, ""doppler"": 0.0, ""angle"": -6.382105256731248, ""elevation"": 0.0}, {""range"": 1.1206578981539619, ""doppler"": 0.0, ""angle"": -5.530475536638137, ""elevation"": 0.0}, {""range"": 0.6314689972941947, ""doppler"": 0.0, ""angle"": -2.1259003691920104, ""elevation"": 0.0}, {""range"": 0.6592440047976623, ""doppler"": 0.0, ""angle"": -3.203105666953714, ""elevation"": 0.0}, {""range"": 0.7360901180816217, ""doppler"": 0.0, ""angle"": 28.924822931924528, ""elevation"": 0.0}, {""range"": 0.77036749430506, ""doppler"": 0.0, ""angle"": 27.85578742807468, ""elevation"": 0.0}, {""range"": 0.8078007108464313, ""doppler"": 0.0, ""angle"": 32.73675035950302, ""elevation"": 0.0}]",1785107789257.538
5,"[{""range"": 0.6615057100220613, ""doppler"": 0.0, ""angle"": -3.626571783879617, ""elevation"": 0.0}, {""range"": 0.7020786603083301, ""doppler"": 0.0, ""angle"": -4.718802683784377, ""elevation"": 0.0}, {""range"": 1.1055360027264285, ""doppler"": 0.0, ""angle"": -6.8089128379586334, ""elevation"": 0.0}, {""range"": 1.1212217450344313, ""doppler"": 0.0, ""angle"": -5.151410339846177, ""elevation"": 0.0}, {""range"": 0.6307774257362349, ""doppler"": 0.0, ""angle"": -1.70569469539403, ""elevation"": 0.0}]",1785107789257.954
6,"[{""range"": 1.1064360391838297, ""doppler"": 0.0, ""angle"": -5.704143504068791, ""elevation"": 0.0}, {""range"": 1.1202928166915829, ""doppler"": 0.0, ""angle"": -4.238083724419244, ""elevation"": 0.0}, {""range"": 0.713070713345354, ""doppler"": 0.0, ""angle"": 10.811181831155514, ""elevation"": 0.0}, {""range"": 0.6898038329405227, ""doppler"": 0.0, ""angle"": 18.420858542155216, ""elevation"": 0.0}, {""range"": 0.7962034341595914, ""doppler"": 0.0, ""angle"": 45.245668821119246, ""elevation"": 0.0}, {""range"": 0.8132712503634693, ""doppler"": 0.0, ""angle"": 45.213789229877115, ""elevation"": 0.0}]",1785107789258.377
5,"[{""range"": 1.1055250556572818, ""doppler"": 0.0, ""angle"": -6.146767414567049, ""elevation"": 0.0}, {""range"": 1.1198835191990644, ""doppler"": 0.0, ""angle"": -4.2029418530383165, ""elevation"": 0.0}, {""range"": 0.6326529485749919, ""doppler"": 0.0, ""angle"": -3.06215399044848, ""elevation"": 0.0}, {""range"": 0.6554912513183896, ""doppler"": 0.0, ""angle"": -2.924066441446428, ""elevation"": 0.0}, {""range"": 0.7816798116456573, ""doppler"": 0.0, ""angle"": 36.54484844246667, ""elevation"": 0.0}]",1785107789258.799
5,"[{""range"": 1.1101621170418627, ""doppler"": 0.0, ""angle"": -6.706062808434331, ""elevation"": 0.0}, {""range"": 1.1214000649401987, ""doppler"": 0.0, ""angle"": -5.251502165307685, ""elevation"": 0.0}, {""range"": 0.6293313931421853, ""doppler"": 0.0, ""angle"": -2.1494156005590495, ""elevation"": 0.0}, {""range"": 0.6467740295675936, ""doppler"": 0.0, ""angle"": -1.362419331192283, ""elevation"": 0.0}, {""range"": 0.7869430803755725, ""doppler"": 0.0, ""angle"": 35.58610783338614, ""elevation"": 0.0}]",1785107789259.1638
5,"[{""range"": 1.1060470971688607, ""doppler"": 0.0, ""angle"": -6.637864021464355, ""elevation"": 0.0}, {""range"": 1.1232922985642289, ""doppler"": 0.0, ""angle"": -3.3766368676540908, ""elevation"": 0.0}, {""range"": 0.7382954510206695, ""doppler"": 0.0, ""angle"": 31.13748775059984, ""elevation"": 0.0}, {""range"": 0.7871447883156372, ""doppler"": 0.0, ""angle"": 34.542040264073165, ""elevation"": 0.0}, {""range"": 0.8191206166933026, ""doppler"": 0.0, ""angle"": 35.52895387494597, ""elevation"": 0.0}]",1785107789259.522
5,"[{""range"": 0.7281729569428043, ""doppler"": 0.0, ""angle"": -5.9905947179247905, ""elevation"": 0.0}, {""range"": 1.1042250543211904, ""doppler"": 0.0, ""angle"": -5.081866971051147, ""elevation"": 0.0}, {""range"": 1.1254910114612406, ""doppler"": 0.0, ""angle"": -1.1197336174137473, ""elevation"": 0.0}, {""range"": 0.6758016155348806, ""doppler"": 0.0, ""angle"": 19.796594108777757, ""elevation"": 0.0}, {""range"": 0.77367286743226, ""doppler"": 0.0, ""angle"": 42.71462948935454, ""elevation"": 0.0}]",1785107789259.884
4,"[{""range"": 1.106844387368164, ""doppler"": 0.0, ""angle"": -3.5567030420884787, ""elevation"": 0.0}, {""range"": 1.1213987676002586, ""doppler"": 0.0, ""angle"": -0.5755880529622495, ""elevation"": 0.0}, {""range"": 0.6485928466225203, ""doppler"": 0.0, ""angle"": 10.098569555417024, ""elevation"": 0.0}, {""range"": 0.7801666708938179, ""doppler"": 0.0, ""angle"": 5.207507149806938, ""elevation"": 0.0}]",1785107789260.245
3,"[{""range"": 1.110328419309962, ""doppler"": 0.0, ""angle"": -4.646400487179583, ""elevation"": 0.0}, {""range"": 0.7320825475959336, ""doppler"": 0.0, ""angle"": 1.3296168904762846, ""elevation"": 0.0}, {""range"": 1.1277124584737153, ""doppler"": 0.0, ""angle"": -2.626488899492256, ""elevation"": 0.0}]",1785107789260.6133
8,"[{""range"": 1.0903950702962386, ""doppler"": 0.0, ""angle"": -6.222941994062441, ""elevation"": 0.0}, {""range"": 1.1084596318939888, ""doppler"": 0.0, ""angle"": -4.5986131083705, ""elevation"": 0.0}, {""range"": 1.1255628705170386, ""doppler"": 0.0, ""angle"": -2.996043165565671, ""elevation"": 0.0}, {""range"": 1.148116483631017, ""doppler"": 0.0, ""angle"": -0.8656180314763005, ""elevation"": 0.0}, {""range"": 0.6872949844129649, ""doppler"": 0.0, ""angle"": 20.594428500969638, ""elevation"": 0.0}, {""range"": 0.7164960775934208, ""doppler"": 0.0, ""angle"": 21.737682628381858, ""elevation"": 0.0}, {""range"": 0.7609853828759215, ""doppler"": 0.0, ""angle"": 26.27604591307257, ""elevation"": 0.0}, {""range"": 0.8046539822741489, ""doppler"": 0.0, ""angle"": 32.83544443994014, ""elevation"": 0.0}]",1785107789260.97
6,"[{""range"": 0.6184887589923159, ""doppler"": 0.0, ""angle"": -7.007901851164186, ""elevation"": 0.0}, {""range"": 0.6314599335668595, ""doppler"": 0.0, ""angle"": -6.307940700744067, ""elevation"": 0.0}, {""range"": 0.666172722251295, ""doppler"": 0.0, ""angle"": -7.092587658406556, ""elevation"": 0.0}, {""range"": 1.1106968911844666, ""doppler"": 0.0, ""angle"": -5.487557060091255, ""elevation"": 0.0}, {""range"": 1.1253655205426811, ""doppler"": 0.0, ""angle"": -3.7535161755818427, ""elevation"": 0.0}, {""range"": 0.8025342287913854, ""doppler"": 0.0, ""angle"": 29.5580341264894, ""elevation"": 0.0}]",1785107789261.353
7,"[{""range"": 0.6359368686650662, ""doppler"": 0.0, ""angle"": -4.386349137910165, ""elevation"": 0.0}, {""range"": 0.6650705868691601, ""doppler"": 0.0, ""angle"": -3.83866793483521, ""elevation"": 0.0}, {""range"": 1.1068220423427861, ""doppler"": 0.0, ""angle"": -6.335080706021138, ""elevation"": 0.0}, {""range"": 1.1220497438843307, ""doppler"": 0.0, ""angle"": -4.2131241232664305, ""elevation"": 0.0}, {""range"": 0.7400693988952866, ""doppler"": 0.0, ""angle"": 12.219485280489991, ""elevation"": 0.0}, {""range"": 0.7767612268639258, ""doppler"": 0.0, ""angle"": 23.555363926098327, ""elevation"": 0.0}, {""range"": 0.8055313706494015, ""doppler"": 0.0, ""angle"": 31.35420027432952, ""elevation"": 0.0}]",1785107789261.712
5,"[{""range"": 1.1076152095498197, ""doppler"": 0.0, ""angle"": -6.200249398932865, ""elevation"": 0.0}, {""range"": 0.6551649095434037, ""doppler"": 0.0, ""angle"": 5.5129793428954805, ""elevation"": 0.0}, {""range"": 0.6700626016028326, ""doppler"": 0.0, ""angle"": 10.626230093860274, ""elevation"": 0.0}, {""range"": 0.6978259320907811, ""doppler"": 0.0, ""angle"": 17.00018388160026, ""elevation"": 0.0}, {""range"": 0.7366228033453758, ""doppler"": 0.0, ""angle"": 23.03605232164951, ""elevation"": 0.0}]",1785107789262.069
6,"[{""range"": 1.1018157986177777, ""doppler"": 0.0, ""angle"": -6.757097544505894, ""elevation"": 0.0}, {""range"": 0.668710683215589, ""doppler"": 0.0, ""angle"": 13.326492908682441, ""elevation"": 0.0}, {""range"": 0.6770828051736961, ""doppler"": 0.0, ""angle"": 16.20936283539561, ""elevation"": 0.0}, {""range"": 0.7010108328280586, ""doppler"": 0.0, ""angle"": 17.63999547481743, ""elevation"": 0.0}, {""range"": 0.7748806886579711, ""doppler"": 0.0, ""angle"": 31.140622790061425, ""elevation"": 0.0}, {""range"": 0.8193840805009661, ""doppler"": 0.0, ""angle"": 39.18119717218634, ""elevation"": 0.0}]",1785107789262.4158
5,"[{""range"": 0.6316633804003452, ""doppler"": 0.0, ""angle"": -8.793021895726872, ""elevation"": 0.0}, {""range"": 1.1033600038837907, ""doppler"": 0.0, ""angle"": -5.59879573501857, ""elevation"": 0.0}, {""range"": 0.7796448508512545, ""doppler"": 0.0, ""angle"": 32.03881375174108, ""elevation"": 0.0}, {""range"": 0.7993430286724215, ""doppler"": 0.0, ""angle"": 31.805666678707507, ""elevation"": 0.0}, {""range"": 0.7672524198239291, ""doppler"": 0.0, ""angle"": 34.5270915731386, ""elevation"": 0.0}]",1785107789262.769
