ax,ay,az,gx,gy,gz,timestamp_ms
-0.452,-1.308,-1.03,-14.92,9.61,88.56,1785107860094.9558
-0.425,-1.453,-0.828,-32.87,10.1,49.26,1785107860122.69
-0.33,-1.252,-0.582,-36.41,2.99,13.15,1785107860123.193
-0.26,-0.991,-0.699,-7.02,-5.52,-14.65,1785107860123.6072
-0.356,-0.737,-0.955,23.53,-8.27,-44.56,1785107860124.0398
-0.472,-0.505,-1.058,29.6,-9.8,-65.49,1785107860124.4878
-0.483,-0.43,-1.029,19.1,-10.35,-68.0,1785107860124.912
-0.462,-0.439,-0.934,3.72,-4.12,-57.99,1785107860125.345
-0.467,-0.467,-0.847,-4.67,3.08,-42.24,1785107860125.7559
-0.499,-0.489,-0.803,-0.09,5.55,-30.18,1785107860126.1719
-0.554,-0.517,-0.803,13.55,2.44,-26.46,1785107860126.578
-0.578,-0.59,-0.828,28.87,-2.84,-29.54,1785107860127.008
-0.559,-0.678,-0.864,43.46,-7.84,-37.29,1785107860127.378
-0.516,-0.756,-0.931,58.11,-11.47,-48.28,1785107860127.7617
-0.517,-0.802,-0.975,67.57,-12.76,-62.01,1785107860128.1172
-0.55,-0.8,-0.959,64.33,-13.25,-76.08,1785107860128.481
-0.576,-0.78,-0.902,51.15,-12.3,-90.12,1785107860128.86
-0.591,-0.778,-0.841,33.88,-10.53,-104.1,1785107860129.2312
-0.576,-0.816,-0.812,18.37,-7.57,-117.98,1785107860129.598
-0.588,-0.831,-0.774,7.9,-3.72,-132.51,1785107860129.958
-0.582,-0.843,-0.742,7.51,-0.7,-143.99,1785107860130.319
-0.539,-0.878,-0.71,16.51,1.34,-152.56,1785107860130.672
-0.488,-0.92,-0.691,31.28,2.87,-159.98,1785107860131.0332
-0.451,-0.962,-0.682,49.44,4.73,-166.81,1785107860131.387
-0.427,-0.956,-0.645,64.09,7.51,-170.66,1785107860131.7817
-0.415,-0.924,-0.6,75.32,12.05,-171.7,1785107860132.139
-0.423,-0.869,-0.52,84.6,17.94,-173.5,1785107860132.524
-0.38,-0.789,-0.397,95.68,21.3,-173.86,1785107860132.962
-0.216,-0.791,-0.323,115.51,20.87,-171.45,1785107860133.389
-0.059,-0.826,-0.305,139.59,18.77,-169.9,1785107860133.7722
0.05,-0.822,-0.328,161.72,17.3,-165.38,1785107860134.135
0.133,-0.817,-0.377,180.03,16.66,-159.31,1785107860134.5278
0.167,-0.763,-0.44,188.06,15.96,-155.22,1785107860134.939
0.232,-0.659,-0.49,182.65,18.52,-149.33,1785107860135.2861
0.318,-0.577,-0.472,166.23,23.07,-145.3,1785107860135.6218
0.441,-0.522,-0.456,142.12,27.62,-143.5,1785107860135.946
0.536,-0.521,-0.44,119.3,34.36,-141.24,1785107860136.271
0.506,-0.545,-0.406,98.91,40.71,-140.78,1785107860136.59
0.454,-0.531,-0.36,78.71,46.72,-139.65,1785107860136.92
0.446,-0.519,-0.338,65.95,53.5,-137.52,1785107860137.249
0.467,-0.499,-0.294,61.46,60.27,-134.07,1785107860137.571
0.499,-0.465,-0.206,64.36,64.03,-129.76,1785107860137.8933
0.499,-0.465,-0.206,75.75,64.67,-124.3,1785107860138.226
0.573,-0.448,-0.142,89.48,64.21,-118.63,1785107860138.556
0.649,-0.433,-0.163,99.4,64.39,-111.55,1785107860138.887
0.716,-0.383,-0.207,104.89,62.75,-105.44,1785107860139.209
0.746,-0.354,-0.249,98.82,60.46,-99.46,1785107860139.5378
0.768,-0.314,-0.294,98.82,60.46,-99.46,1785107860139.867
0.828,-0.274,-0.313,83.99,59.24,-91.31,1785107860140.185
0.904,-0.234,-0.269,63.54,58.11,-83.99,1785107860140.513
0.963,-0.249,-0.225,41.6,56.18,-77.85,1785107860140.84
1.004,-0.293,-0.174,22.34,55.12,-71.08,1785107860141.1682
1.04,-0.368,-0.172,11.93,53.41,-65.03,1785107860141.49
