distance_cm,timestamp_ms
60.0,1785108156554.0679
59.0,1785108156554.739
61.0,1785108156568.331
65.0,1785108156587.8809
62.0,1785108156616.01
69.0,1785108156639.7341
61.0,1785108156655.7542
65.0,1785108156679.583
64.0,1785108156695.519
63.0,1785108156716.489
68.0,1785108156729.769
70.0,1785108156756.2969
64.0,1785108156780.135
69.0,1785108156795.9958
58.0,1785108156819.561
66.0,1785108156835.8003
72.0,1785108156856.933
72.0,1785108156870.177
73.0,1785108156899.9932
76.0,1785108156916.4019
76.0,1785108156940.2517
69.0,1785108156956.679
69.0,1785108156969.982
68.0,1785108156996.9102
68.0,1785108157010.0159
67.0,1785108157036.9001
73.0,1785108157050.157
72.0,1785108157077.01
72.0,1785108157090.307
75.0,1785108157116.997
70.0,1785108157130.4373
75.0,1785108157156.925
77.0,1785108157170.222
75.0,1785108157199.889
79.0,1785108157216.0408
83.0,1785108157239.8223
77.0,1785108157256.311
83.0,1785108157280.3882
80.0,1785108157296.062
79.0,1785108157320.055
73.0,1785108157336.543
74.0,1785108157360.05
77.0,1785108157375.9502
74.0,1785108157397.085
77.0,1785108157409.907
75.0,1785108157436.857
69.0,1785108157450.043
75.0,1785108157476.3643
72.0,1785108157489.9622
72.0,1785108157516.8728
71.0,1785108157530.1912
75.0,1785108157556.514
74.0,1785108157580.4128
75.0,1785108157596.298
77.0,1785108157620.044
72.0,1785108157636.1877
72.0,1785108157659.8552
76.0,1785108157676.1228
73.0,1785108157699.9568
73.0,1785108157716.0088
78.0,1785108157739.79
75.0,1785108157755.986
77.0,1785108157779.905
76.0,1785108157796.2
74.0,1785108157819.953
77.0,1785108157836.284
70.0,1785108157860.143
76.0,1785108157876.6458
77.0,1785108157889.86
76.0,1785108157917.0078
70.0,1785108157930.332
69.0,1785108157959.969
81.0,1785108157976.668
82.0,1785108157989.96
48.0,1785108158020.141
73.0,1785108158039.656
74.0,1785108158056.8599
80.0,1785108158070.014
73.0,1785108158100.3079
72.0,1785108158119.7441
77.0,1785108158136.743
74.0,1785108158149.896
70.0,1785108158180.054
74.0,1785108158196.668
77.0,1785108158209.7422
77.0,1785108158239.886
74.0,1785108158256.585
80.0,1785108158269.912
79.0,1785108158297.067
79.0,1785108158310.199
85.0,1785108158339.8699
95.0,1785108158356.3352
80.0,1785108158380.295
80.0,1785108158396.333
84.0,1785108158420.164
81.0,1785108158436.288
81.0,1785108158460.139
81.0,1785108158476.5142
77.0,1785108158489.7642
80.0,1785108158516.9412
78.0,1785108158530.3208
77.0,1785108158556.917
74.0,1785108158570.252
78.0,1785108158597.172
77.0,1785108158610.2842
88.0,1785108158639.961
78.0,1785108158656.333
77.0,1785108158680.2183
76.0,1785108158699.302
79.0,1785108158716.301
80.0,1785108158740.277
76.0,1785108158759.5762
72.0,1785108158776.4822
80.0,1785108158789.782
81.0,1785108158820.061
104.0,1785108158839.69
87.0,1785108158856.8267
55.0,1785108158870.002
67.0,1785108158900.33
86.0,1785108158919.825
82.0,1785108158936.69
81.0,1785108158949.949
72.0,1785108158979.8247
85.0,1785108158996.585
82.0,1785108159009.9001
90.0,1785108159039.798
94.0,1785108159056.2087
101.0,1785108159069.385
89.0,1785108159096.8499
78.0,1785108159109.995
79.0,1785108159139.738
81.0,1785108159156.116
89.0,1785108159180.1018
90.0,1785108159195.976
84.0,1785108159219.887
85.0,1785108159236.099
79.0,1785108159259.9521
109.0,1785108159276.173
105.0,1785108159299.906
108.0,1785108159315.879
105.0,1785108159336.994
92.0,1785108159350.228
87.0,1785108159376.941
82.0,1785108159390.167
79.0,1785108159419.758
86.0,1785108159436.137
79.0,1785108159459.92
80.0,1785108159476.2239
83.0,1785108159500.252
77.0,1785108159516.7898
81.0,1785108159530.205
