ax,ay,az,gx,gy,gz,timestamp_ms
0.122,-0.155,-0.971,22.13,-3.6,-5.1,1785100119748.7239
0.125,-0.145,-0.982,21.42,-3.39,-4.33,1785100119749.1682
0.138,-0.131,-0.996,18.13,-2.29,-3.6,1785100119749.618
0.144,-0.12,-1.006,12.82,-0.98,-3.02,1785100119750.0889
0.142,-0.12,-1.012,6.23,-0.27,-2.87,1785100119750.499
0.142,-0.125,-1.01,-0.4,0.31,-2.93,1785100119750.9019
0.141,-0.13,-1.006,-5.31,0.76,-3.14,1785100119751.3333
0.14,-0.133,-0.989,-8.0,1.34,-3.05,1785100119751.742
0.14,-0.133,-0.989,-7.69,1.65,-3.11,1785100119752.148
0.137,-0.133,-0.974,-5.49,1.5,-2.9,1785100119752.586
0.133,-0.133,-0.961,-2.69,0.95,-2.62,1785100119752.9988
0.13,-0.13,-0.956,-0.43,0.49,-2.35,1785100119753.458
0.126,-0.125,-0.951,0.98,0.0,-1.98,1785100119753.9001
0.127,-0.127,-0.96,0.98,0.0,-1.98,1785100119754.2961
0.129,-0.133,-0.976,1.4,-0.15,-1.95,1785100119754.688
0.124,-0.136,-0.99,0.76,-0.4,-2.26,1785100119755.031
0.122,-0.138,-1.004,-0.64,-0.89,-2.41,1785100119755.371
0.123,-0.13,-1.005,-3.2,-1.01,-2.32,1785100119755.72
0.128,-0.119,-0.996,-5.37,-1.13,-1.77,1785100119756.0508
0.131,-0.118,-0.981,-5.46,-1.13,-1.31,1785100119756.416
0.131,-0.117,-0.97,-4.76,-1.53,-1.56,1785100119756.746
0.134,-0.113,-0.967,-4.09,-2.11,-1.71,1785100119757.07
0.138,-0.112,-0.985,-4.0,-2.53,-1.77,1785100119757.3992
0.136,-0.108,-0.996,-4.64,-2.29,-1.95,1785100119757.7378
0.134,-0.106,-1.001,-5.22,-1.83,-1.89,1785100119758.065
0.133,-0.113,-1.002,-6.07,-1.65,-1.68,1785100119758.406
0.133,-0.12,-0.998,-6.71,-1.56,-1.46,1785100119758.7422
