num_points,points,timestamp_ms
6,"[{""range"": 1.1604799647205952, ""doppler"": 0.0, ""angle"": -14.363852359887233, ""elevation"": 0.0}, {""range"": 1.0844981974717822, ""doppler"": 0.0, ""angle"": -10.151907118521821, ""elevation"": 0.0}, {""range"": 1.0993544814379412, ""doppler"": 0.0, ""angle"": -10.193150806622397, ""elevation"": 0.0}, {""range"": 1.1177660321983296, ""doppler"": 0.0, ""angle"": -8.824908282434277, ""elevation"": 0.0}, {""range"": 1.879993784927085, ""doppler"": 0.0, ""angle"": 46.071328559763884, ""elevation"": 0.0}, {""range"": 1.8978792095045478, ""doppler"": 0.0, ""angle"": 47.650054170696954, ""elevation"": 0.0}]",1785100297228.878
7,"[{""range"": 1.2969858355004888, ""doppler"": 0.0, ""angle"": -56.40852178013206, ""elevation"": 0.0}, {""range"": 1.3254014253480755, ""doppler"": 0.0, ""angle"": -54.455133502625856, ""elevation"": 0.0}, {""range"": 1.1610774302312448, ""doppler"": 0.0, ""angle"": -14.26523703453101, ""elevation"": 0.0}, {""range"": 1.0841948766310046, ""doppler"": 0.0, ""angle"": -9.953239324810434, ""elevation"": 0.0}, {""range"": 1.0994362064783743, ""doppler"": 0.0, ""angle"": -9.842256031124531, ""elevation"": 0.0}, {""range"": 1.1184311302120136, ""doppler"": 0.0, ""angle"": -8.745465809748405, ""elevation"": 0.0}, {""range"": 1.8800117535059444, ""doppler"": 0.0, ""angle"": 50.70867598020448, ""elevation"": 0.0}]",1785100297229.481
9,"[{""range"": 1.2923625163260883, ""doppler"": 0.0, ""angle"": -51.26838325220204, ""elevation"": 0.0}, {""range"": 1.3213500534704588, ""doppler"": 0.0, ""angle"": -45.92660948804404, ""elevation"": 0.0}, {""range"": 1.1643051468893564, ""doppler"": 0.0, ""angle"": -13.092889665209364, ""elevation"": 0.0}, {""range"": 1.0832534858825187, ""doppler"": 0.0, ""angle"": -8.400287751312344, ""elevation"": 0.0}, {""range"": 1.1007838227005888, ""doppler"": 0.0, ""angle"": -7.804987932720135, ""elevation"": 0.0}, {""range"": 1.1217626340158098, ""doppler"": 0.0, ""angle"": -7.547567327632436, ""elevation"": 0.0}, {""range"": 0.7422954961090584, ""doppler"": 0.0, ""angle"": 18.046494016435165, ""elevation"": 0.0}, {""range"": 1.880303963291745, ""doppler"": 0.0, ""angle"": 52.00650055116713, ""elevation"": 0.0}, {""range"": 1.9005088245146753, ""doppler"": 0.0, ""angle"": 52.62335951978237, ""elevation"": 0.0}]",1785100297230.0378
6,"[{""range"": 1.323708106258117, ""doppler"": 0.0, ""angle"": -50.13496982932009, ""elevation"": 0.0}, {""range"": 1.1654937237009981, ""doppler"": 0.0, ""angle"": -13.530950136213786, ""elevation"": 0.0}, {""range"": 1.0826312505728801, ""doppler"": 0.0, ""angle"": -7.764739812019775, ""elevation"": 0.0}, {""range"": 1.0995149446991135, ""doppler"": 0.0, ""angle"": -6.930848960556581, ""elevation"": 0.0}, {""range"": 1.1196699331517155, ""doppler"": 0.0, ""angle"": -7.072808573449257, ""elevation"": 0.0}, {""range"": 1.8787765899943016, ""doppler"": 0.0, ""angle"": 47.73878286561026, ""elevation"": 0.0}]",1785100297230.573
7,"[{""range"": 1.2910094738788032, ""doppler"": 0.0, ""angle"": -52.920594911068655, ""elevation"": 0.0}, {""range"": 1.320064353120373, ""doppler"": 0.0, ""angle"": -51.307465156559026, ""elevation"": 0.0}, {""range"": 1.0821902034617272, ""doppler"": 0.0, ""angle"": -7.519570325189477, ""elevation"": 0.0}, {""range"": 1.0991803228501464, ""doppler"": 0.0, ""angle"": -6.379305702565452, ""elevation"": 0.0}, {""range"": 1.1212365455109115, ""doppler"": 0.0, ""angle"": -6.0051797342865445, ""elevation"": 0.0}, {""range"": 1.8813299899435205, ""doppler"": 0.0, ""angle"": 48.6491157403326, ""elevation"": 0.0}, {""range"": 1.9034325372005714, ""doppler"": 0.0, ""angle"": 52.14720406983964, ""elevation"": 0.0}]",1785100297231.081
6,"[{""range"": 1.162883602670738, ""doppler"": 0.0, ""angle"": -13.063954127386307, ""elevation"": 0.0}, {""range"": 1.0828118654043601, ""doppler"": 0.0, ""angle"": -8.174259395413095, ""elevation"": 0.0}, {""range"": 1.100091750139809, ""doppler"": 0.0, ""angle"": -7.3213922436020535, ""elevation"": 0.0}, {""range"": 1.1199522264240138, ""doppler"": 0.0, ""angle"": -6.812981818906835, ""elevation"": 0.0}, {""range"": 1.8799231675137598, ""doppler"": 0.0, ""angle"": 47.49022248423342, ""elevation"": 0.0}, {""range"": 1.8984873807818423, ""doppler"": 0.0, ""angle"": 51.74305329949481, ""elevation"": 0.0}]",1785100297231.562
8,"[{""range"": 1.3256982902474905, ""doppler"": 0.0, ""angle"": -49.244468493382016, ""elevation"": 0.0}, {""range"": 1.1642347865138862, ""doppler"": 0.0, ""angle"": -15.436494916557473, ""elevation"": 0.0}, {""range"": 1.0835221460698228, ""doppler"": 0.0, ""angle"": -9.17318756896138, ""elevation"": 0.0}, {""range"": 1.0993284212151857, ""doppler"": 0.0, ""angle"": -9.011871288909633, ""elevation"": 0.0}, {""range"": 1.1190788755391712, ""doppler"": 0.0, ""angle"": -8.28676454754428, ""elevation"": 0.0}, {""range"": 1.8509893469327894, ""doppler"": 0.0, ""angle"": 45.735825546412144, ""elevation"": 0.0}, {""range"": 1.8799928069824652, ""doppler"": 0.0, ""angle"": 48.08813027459793, ""elevation"": 0.0}, {""range"": 1.899400530915371, ""doppler"": 0.0, ""angle"": 50.76903883521832, ""elevation"": 0.0}]",1785100297232.0378
7,"[{""range"": 1.1637761040229684, ""doppler"": 0.0, ""angle"": -13.442658820547797, ""elevation"": 0.0}, {""range"": 0.6860994658197431, ""doppler"": 0.0, ""angle"": -6.269283204789368, ""elevation"": 0.0}, {""range"": 1.0835700245146798, ""doppler"": 0.0, ""angle"": -9.594447347090261, ""elevation"": 0.0}, {""range"": 1.0990018016573644, ""doppler"": 0.0, ""angle"": -9.37343221081883, ""elevation"": 0.0}, {""range"": 1.1182161801733383, ""doppler"": 0.0, ""angle"": -8.043288670226511, ""elevation"": 0.0}, {""range"": 1.8809982736244306, ""doppler"": 0.0, ""angle"": 49.28291230368111, ""elevation"": 0.0}, {""range"": 1.8999459232582407, ""doppler"": 0.0, ""angle"": 54.08244547255447, ""elevation"": 0.0}]",1785100297232.517
6,"[{""range"": 1.1639158870057742, ""doppler"": 0.0, ""angle"": -15.313020501893932, ""elevation"": 0.0}, {""range"": 1.084073365260165, ""doppler"": 0.0, ""angle"": -8.996209976195997, ""elevation"": 0.0}, {""range"": 1.1002033695047337, ""doppler"": 0.0, ""angle"": -8.882096734686613, ""elevation"": 0.0}, {""range"": 1.1205369166550871, ""doppler"": 0.0, ""angle"": -8.47922600588013, ""elevation"": 0.0}, {""range"": 1.878547818580664, ""doppler"": 0.0, ""angle"": 48.268177826842546, ""elevation"": 0.0}, {""range"": 1.8997652624510948, ""doppler"": 0.0, ""angle"": 54.311235682174214, ""elevation"": 0.0}]",1785100297232.9578
6,"[{""range"": 1.080631014725413, ""doppler"": 0.0, ""angle"": -6.785164001186024, ""elevation"": 0.0}, {""range"": 1.096776544506081, ""doppler"": 0.0, ""angle"": -5.135228589811643, ""elevation"": 0.0}, {""range"": 1.1193836411032072, ""doppler"": 0.0, ""angle"": -4.351673140673861, ""elevation"": 0.0}, {""range"": 0.753180932950656, ""doppler"": 0.0, ""angle"": 20.39683761691095, ""elevation"": 0.0}, {""range"": 1.8794386727735957, ""doppler"": 0.0, ""angle"": 48.27048792318357, ""elevation"": 0.0}, {""range"": 1.8979316380415387, ""doppler"": 0.0, ""angle"": 53.173287406851095, ""elevation"": 0.0}]",1785100297233.3582
11,"[{""range"": 0.35137939074869234, ""doppler"": 0.0, ""angle"": -44.85567844247734, ""elevation"": 0.0}, {""range"": 0.35542817433511936, ""doppler"": 0.0, ""angle"": -45.26497325633301, ""elevation"": 0.0}, {""range"": 1.3268543491330946, ""doppler"": 0.0, ""angle"": -48.05353677453834, ""elevation"": 0.0}, {""range"": 1.162523200523912, ""doppler"": 0.0, ""angle"": -12.58902948095423, ""elevation"": 0.0}, {""range"": 1.0825585945136185, ""doppler"": 0.0, ""angle"": -8.91309369752915, ""elevation"": 0.0}, {""range"": 1.0971252037496637, ""doppler"": 0.0, ""angle"": -8.189530939000438, ""elevation"": 0.0}, {""range"": 1.1160321003531397, ""doppler"": 0.0, ""angle"": -7.132986905828691, ""elevation"": 0.0}, {""range"": 1.8809109410550626, ""doppler"": 0.0, ""angle"": 51.50777502173761, ""elevation"": 0.0}, {""range"": 1.892409418128987, ""doppler"": 0.0, ""angle"": 49.72167701596949, ""elevation"": 0.0}, {""range"": 2.031903524366235, ""doppler"": 0.0, ""angle"": 69.62099886610493, ""elevation"": 0.0}, {""range"": 2.0439882317770803, ""doppler"": 0.0, ""angle"": 64.68362599545006, ""elevation"": 0.0}]",1785100297233.7559
7,"[{""range"": 1.2903803875772266, ""doppler"": 0.0, ""angle"": -54.31003099942439, ""elevation"": 0.0}, {""range"": 1.3231027957625656, ""doppler"": 0.0, ""angle"": -49.769098171783256, ""elevation"": 0.0}, {""range"": 1.0833117214127321, ""doppler"": 0.0, ""angle"": -10.23040784473221, ""elevation"": 0.0}, {""range"": 1.0966712384968245, ""doppler"": 0.0, ""angle"": -9.829391071585293, ""elevation"": 0.0}, {""range"": 1.1146724411977587, ""doppler"": 0.0, ""angle"": -7.595858124392798, ""elevation"": 0.0}, {""range"": 1.880263423119553, ""doppler"": 0.0, ""angle"": 49.54350329296166, ""elevation"": 0.0}, {""range"": 1.9006339919811015, ""doppler"": 0.0, ""angle"": 52.29994309659085, ""elevation"": 0.0}]",1785100297234.1619
7,"[{""range"": 1.2918378992988513, ""doppler"": 0.0, ""angle"": -49.60343672285248, ""elevation"": 0.0}, {""range"": 1.3217100267231165, ""doppler"": 0.0, ""angle"": -49.90065277936971, ""elevation"": 0.0}, {""range"": 0.6671830410702261, ""doppler"": 0.0, ""angle"": -20.095934665077678, ""elevation"": 0.0}, {""range"": 1.0834945541406935, ""doppler"": 0.0, ""angle"": -8.092659381696754, ""elevation"": 0.0}, {""range"": 1.0989542609369198, ""doppler"": 0.0, ""angle"": -7.150455955482265, ""elevation"": 0.0}, {""range"": 1.1211807931796216, ""doppler"": 0.0, ""angle"": -4.47299527114337, ""elevation"": 0.0}, {""range"": 1.8793080868627756, ""doppler"": 0.0, ""angle"": 47.50261365894334, ""elevation"": 0.0}]",1785100297234.56
7,"[{""range"": 1.3276794943411911, ""doppler"": 0.0, ""angle"": -37.77278709875776, ""elevation"": 0.0}, {""range"": 1.3462638912593872, ""doppler"": 0.0, ""angle"": -38.50173657840368, ""elevation"": 0.0}, {""range"": 1.0812169332552775, ""doppler"": 0.0, ""angle"": -9.365738875642112, ""elevation"": 0.0}, {""range"": 1.0965716228833635, ""doppler"": 0.0, ""angle"": -6.667262477899158, ""elevation"": 0.0}, {""range"": 1.1166734918974448, ""doppler"": 0.0, ""angle"": -3.957495548422749, ""elevation"": 0.0}, {""range"": 0.6663160024733655, ""doppler"": 0.0, ""angle"": -0.7380690534580425, ""elevation"": 0.0}, {""range"": 1.8782635579004208, ""doppler"": 0.0, ""angle"": 48.04076296695312, ""elevation"": 0.0}]",1785100297234.9482
5,"[{""range"": 1.2284347322695797, ""doppler"": 0.0, ""angle"": -29.061084605710118, ""elevation"": 0.0}, {""range"": 1.1701038718495418, ""doppler"": 0.0, ""angle"": -19.692108015681406, ""elevation"": 0.0}, {""range"": 1.0808637932267517, ""doppler"": 0.0, ""angle"": -10.311628940673279, ""elevation"": 0.0}, {""range"": 1.0925388715705278, ""doppler"": 0.0, ""angle"": -9.277323697373646, ""elevation"": 0.0}, {""range"": 1.1129713825315783, ""doppler"": 0.0, ""angle"": -7.1341506075299925, ""elevation"": 0.0}]",1785100297235.353
