ax,ay,az,gx,gy,gz,timestamp_ms
-0.491,-0.425,-0.697,12.24,18.74,-16.6,1785112118675.544
-0.527,-0.412,-0.668,10.47,15.11,-18.86,1785112118675.885
-0.538,-0.364,-0.624,4.61,9.55,-16.45,1785112118676.175
-0.524,-0.346,-0.606,-0.49,6.68,-10.9,1785112118676.4832
-0.5,-0.318,-0.548,-5.71,4.18,-7.57,1785112118676.781
-0.492,-0.297,-0.546,-4.91,-0.12,-6.04,1785112118677.065
-0.503,-0.307,-0.61,-3.27,-1.8,-6.35,1785112118677.362
-0.513,-0.313,-0.678,-8.85,-0.61,-4.52,1785112118677.66
-0.506,-0.365,-0.711,-12.85,1.71,-0.09,1785112118677.95
-0.478,-0.42,-0.712,-9.06,1.46,1.8,1785112118678.2432
-0.481,-0.424,-0.704,-0.95,-0.15,2.75,1785112118678.529
-0.488,-0.41,-0.733,8.64,-1.68,5.92,1785112118678.814
-0.5,-0.408,-0.759,13.06,-3.85,6.78,1785112118679.0881
-0.521,-0.402,-0.753,7.75,-4.43,6.35,1785112118679.355
-0.517,-0.424,-0.716,0.85,-3.33,7.78,1785112118679.62
-0.517,-0.454,-0.65,2.53,-4.76,8.39,1785112118679.889
-0.499,-0.444,-0.685,11.78,-9.61,9.28,1785112118680.161
-0.527,-0.378,-0.668,13.31,-11.66,8.79,1785112118680.427
-0.533,-0.377,-0.629,12.18,-13.58,10.25,1785112118680.707
-0.537,-0.367,-0.643,8.06,-14.77,10.77,1785112118680.9868
-0.527,-0.368,-0.716,2.72,-12.88,11.38,1785112118681.261
-0.55,-0.386,-0.767,-3.63,-9.19,10.53,1785112118681.531
-0.575,-0.451,-0.771,-8.91,-5.4,9.37,1785112118681.793
-0.581,-0.529,-0.741,-10.62,-2.9,7.54,1785112118682.067
-0.577,-0.563,-0.716,-5.62,-2.04,5.4,1785112118682.3572
-0.567,-0.535,-0.709,4.36,-2.87,3.36,1785112118682.621
-0.551,-0.499,-0.72,14.19,-3.81,1.19,1785112118682.892
-0.547,-0.482,-0.724,20.33,-4.18,-1.43,1785112118683.1638
-0.552,-0.49,-0.749,22.37,-3.66,-3.33,1785112118683.442
-0.552,-0.477,-0.761,18.74,-1.74,-4.39,1785112118683.708
-0.546,-0.46,-0.744,13.92,-0.85,-6.04,1785112118683.981
-0.542,-0.448,-0.744,9.64,-0.46,-7.42,1785112118684.2593
-0.541,-0.454,-0.741,3.94,1.46,-7.93,1785112118684.563
-0.536,-0.48,-0.721,-1.5,1.83,-9.4,1785112118684.8472
-0.54,-0.499,-0.686,-1.8,1.34,-10.86,1785112118685.153
-0.535,-0.514,-0.66,3.45,-0.34,-10.47,1785112118685.424
-0.526,-0.516,-0.701,11.51,-2.32,-10.83,1785112118685.694
-0.53,-0.499,-0.779,17.76,-0.76,-10.62,1785112118685.966
-0.536,-0.495,-0.825,19.29,2.66,-9.92,1785112118686.2532
-0.542,-0.485,-0.819,17.27,3.3,-10.07,1785112118686.509
-0.519,-0.473,-0.77,17.3,4.73,-7.69,1785112118686.757
-0.509,-0.457,-0.72,19.07,5.37,-5.74,1785112118687.0242
-0.542,-0.452,-0.674,21.36,3.91,-5.98,1785112118687.283
-0.566,-0.425,-0.632,23.8,1.28,-4.24,1785112118687.5642
-0.547,-0.376,-0.599,23.1,-2.17,-0.89,1785112118687.822
-0.532,-0.391,-0.618,21.27,-8.73,-2.14,1785112118688.077
-0.563,-0.429,-0.668,16.91,-8.67,-5.37,1785112118688.3352
-0.589,-0.449,-0.632,7.63,-3.78,-4.15,1785112118688.583
-0.586,-0.431,-0.637,0.7,-0.64,-2.72,1785112118688.8372
-0.614,-0.348,-0.624,-3.57,-0.21,-2.11,1785112118689.093
-0.579,-0.441,-0.606,-3.36,-3.3,-4.24,1785112118689.3398
-0.54,-0.489,-0.624,-4.09,-4.09,-7.08,1785112118689.587
-0.56,-0.549,-0.709,-4.73,2.66,-6.65,1785112118689.835
-0.608,-0.549,-0.716,0.73,5.95,-8.79,1785112118690.086
-0.581,-0.504,-0.702,11.38,3.42,-7.02,1785112118690.345
-0.551,-0.471,-0.68,17.79,1.62,-5.07,1785112118690.5999
-0.543,-0.438,-0.682,20.05,3.85,-3.33,1785112118690.902
-0.558,-0.417,-0.695,15.47,6.13,-3.11,1785112118691.1711
-0.588,-0.451,-0.694,4.64,8.12,-5.52,1785112118691.426
-0.595,-0.501,-0.664,-3.02,8.67,-6.74,1785112118691.675
-0.558,-0.534,-0.679,-2.66,7.42,-4.91,1785112118691.921
-0.579,-0.468,-0.686,-4.58,7.81,-4.94,1785112118692.163
-0.563,-0.453,-0.683,-6.23,7.17,-4.0,1785112118692.4082
-0.544,-0.444,-0.666,-9.4,6.87,-3.45,1785112118692.6667
-0.546,-0.435,-0.637,-11.02,7.11,-2.04,1785112118692.9011
-0.549,-0.437,-0.662,-10.16,7.2,-0.73,1785112118693.1519
-0.561,-0.409,-0.672,-14.31,8.88,-1.22,1785112118693.395
-0.572,-0.447,-0.668,-17.55,11.05,-0.52,1785112118693.654
-0.582,-0.466,-0.668,-16.51,13.0,-1.04,1785112118693.92
-0.579,-0.482,-0.667,-14.1,13.21,-0.95,1785112118694.1672
-0.589,-0.516,-0.662,-10.04,13.79,0.15,1785112118694.4102
-0.594,-0.51,-0.67,-5.95,13.79,0.06,1785112118694.649
-0.573,-0.499,-0.694,2.66,14.53,1.46,1785112118694.8909
-0.563,-0.481,-0.73,14.16,14.37,1.25,1785112118695.1401
-0.561,-0.421,-0.73,21.03,14.37,1.59,1785112118695.382
-0.579,-0.375,-0.701,24.75,14.74,2.78,1785112118695.642
-0.614,-0.347,-0.675,27.62,15.72,3.2,1785112118695.8909
-0.643,-0.333,-0.627,30.92,16.36,3.72,1785112118696.1401
-0.658,-0.338,-0.608,36.68,16.57,3.97,1785112118696.377
-0.672,-0.333,-0.598,45.72,16.48,4.06,1785112118696.6208
-0.683,-0.329,-0.611,55.76,15.66,5.34,1785112118696.8638
-0.688,-0.333,-0.643,62.84,15.96,5.62,1785112118697.1099
-0.707,-0.319,-0.666,65.77,16.36,5.52,1785112118697.361
-0.728,-0.38,-0.664,68.33,18.74,11.63,1785112118697.622
-0.759,-0.4,-0.707,74.92,22.13,10.44,1785112118697.923
-0.778,-0.324,-0.668,71.63,21.61,9.7,1785112118698.184
-0.748,-0.367,-0.596,73.4,22.64,17.09,1785112118698.4302
-0.689,-0.381,-0.57,78.59,18.04,16.72,1785112118698.6602
-0.639,-0.372,-0.522,79.47,12.18,17.79,1785112118698.9219
-0.595,-0.4,-0.546,79.96,8.67,20.17,1785112118699.1702
-0.585,-0.398,-0.569,73.98,4.27,19.56,1785112118699.402
-0.589,-0.397,-0.605,66.9,0.46,20.48,1785112118699.632
-0.593,-0.404,-0.628,58.57,-2.81,21.67,1785112118699.8542
-0.588,-0.42,-0.621,48.98,-5.49,22.61,1785112118700.0818
-0.562,-0.458,-0.617,40.77,-7.72,23.29,1785112118700.311
-0.54,-0.475,-0.631,33.33,-8.79,23.74,1785112118700.5388
-0.52,-0.483,-0.628,26.67,-8.82,26.03,1785112118700.765
-0.492,-0.518,-0.618,23.44,-9.43,28.57,1785112118700.996
-0.465,-0.562,-0.603,22.64,-10.41,29.6,1785112118701.243
-0.452,-0.603,-0.598,23.87,-10.77,30.3,1785112118701.4712
-0.456,-0.624,-0.586,26.7,-10.07,31.5,1785112118701.697
-0.449,-0.645,-0.582,31.8,-10.16,33.08,1785112118701.928
-0.429,-0.671,-0.606,38.54,-10.38,34.0,1785112118702.163
-0.411,-0.679,-0.621,43.0,-9.61,33.75,1785112118702.383
-0.392,-0.685,-0.639,45.69,-8.79,33.57,1785112118702.61
-0.392,-0.68,-0.661,45.53,-7.45,32.35,1785112118702.841
-0.407,-0.667,-0.666,40.68,-4.3,29.94,1785112118703.083
-0.415,-0.665,-0.664,33.08,-1.07,27.65,1785112118703.3337
-0.427,-0.667,-0.647,26.7,1.77,25.57,1785112118703.585
-0.441,-0.682,-0.616,23.35,3.81,23.56,1785112118703.868
-0.462,-0.702,-0.592,21.49,4.0,22.31,1785112118704.115
-0.491,-0.735,-0.571,21.33,4.36,21.76,1785112118704.339
-0.522,-0.765,-0.554,24.14,4.27,21.12,1785112118704.559
-0.547,-0.781,-0.542,28.32,3.66,20.72,1785112118704.7761
-0.547,-0.781,-0.542,32.01,2.47,20.11,1785112118704.9868
-0.564,-0.777,-0.527,34.49,0.24,19.9,1785112118705.2031
-0.566,-0.777,-0.496,35.95,-2.56,18.65,1785112118705.4238
-0.559,-0.786,-0.458,36.96,-5.83,16.36,1785112118705.638
-0.551,-0.792,-0.426,36.96,-5.83,16.36,1785112118705.861
-0.543,-0.79,-0.408,37.87,-9.61,14.07,1785112118706.079
-0.538,-0.777,-0.404,38.7,-13.61,11.41,1785112118706.3071
-0.53,-0.75,-0.411,37.17,-17.98,9.19,1785112118706.524
-0.525,-0.724,-0.413,32.07,-21.67,6.59,1785112118706.748
-0.519,-0.71,-0.412,26.03,-24.29,3.85,1785112118706.9702
-0.51,-0.711,-0.408,20.84,-26.95,1.07,1785112118707.188
-0.514,-0.708,-0.391,15.29,-30.09,-1.77,1785112118707.4128
-0.524,-0.703,-0.364,10.16,-33.66,-3.63,1785112118707.634
-0.512,-0.714,-0.375,7.35,-37.81,-3.88,1785112118707.854
-0.528,-0.688,-0.411,1.19,-40.59,-5.49,1785112118708.0671
-0.548,-0.671,-0.405,-12.57,-41.02,-6.44,1785112118708.291
-0.55,-0.706,-0.371,-29.11,-42.33,-6.38,1785112118708.516
-0.553,-0.747,-0.376,-43.76,-44.16,-7.63,1785112118708.732
-0.549,-0.766,-0.387,-53.22,-44.92,-7.87,1785112118708.9731
-0.551,-0.767,-0.382,-55.54,-46.97,-7.9,1785112118709.208
-0.551,-0.763,-0.402,-54.02,-49.44,-8.42,1785112118709.431
-0.551,-0.738,-0.408,-52.06,-50.94,-9.31,1785112118709.644
-0.549,-0.716,-0.401,-48.28,-52.58,-9.98,1785112118709.864
-0.543,-0.703,-0.386,-42.76,-54.51,-10.22,1785112118710.0881
-0.54,-0.69,-0.381,-35.95,-56.55,-10.38,1785112118710.301
-0.539,-0.681,-0.372,-29.63,-58.72,-10.1,1785112118710.5159
-0.548,-0.679,-0.383,-24.45,-60.3,-9.64,1785112118710.7341
-0.564,-0.666,-0.404,-21.42,-60.82,-8.79,1785112118710.947
-0.579,-0.651,-0.422,-20.69,-60.43,-8.06,1785112118711.156
-0.595,-0.637,-0.437,-21.82,-58.93,-6.96,1785112118711.375
-0.618,-0.627,-0.455,-24.05,-56.52,-5.71,1785112118711.5881
-0.644,-0.621,-0.471,-27.41,-53.1,-4.36,1785112118711.8179
-0.672,-0.624,-0.47,-31.28,-48.86,-3.11,1785112118712.032
-0.695,-0.634,-0.452,-33.75,-44.89,-2.35,1785112118712.2441
-0.704,-0.639,-0.441,-34.09,-40.83,-1.56,1785112118712.459
-0.715,-0.625,-0.434,-33.14,-36.5,-0.58,1785112118712.666
-0.724,-0.604,-0.438,-31.59,-32.41,0.55,1785112118712.8809
-0.736,-0.588,-0.445,-30.37,-28.47,1.5,1785112118713.0999
-0.75,-0.581,-0.461,-29.42,-24.51,2.17,1785112118713.3062
-0.763,-0.586,-0.463,-28.87,-20.11,2.72,1785112118713.522
-0.771,-0.599,-0.452,-27.1,-16.11,3.72,1785112118713.738
-0.768,-0.605,-0.431,-22.19,-12.63,4.97,1785112118713.9531
-0.771,-0.601,-0.407,-14.16,-10.07,6.59,1785112118714.1702
-0.774,-0.598,-0.393,-3.75,-8.64,8.55,1785112118714.3809
-0.767,-0.595,-0.389,7.78,-7.63,10.07,1785112118714.5999
-0.76,-0.585,-0.395,18.98,-6.47,11.41,1785112118714.804
-0.762,-0.566,-0.401,27.68,-4.94,12.48,1785112118715.022
-0.761,-0.548,-0.408,32.75,-3.23,13.64,1785112118715.2388
-0.76,-0.541,-0.405,34.67,-1.46,14.53,1785112118715.449
-0.759,-0.537,-0.396,34.49,0.21,15.14,1785112118715.662
-0.764,-0.547,-0.381,34.06,1.62,15.93,1785112118715.8762
-0.779,-0.555,-0.356,33.88,2.69,16.14,1785112118716.085
-0.788,-0.57,-0.335,34.85,3.33,17.33,1785112118716.2913
-0.803,-0.595,-0.328,37.81,2.47,18.71,1785112118716.501
-0.822,-0.63,-0.335,38.54,0.98,18.31,1785112118716.707
-0.836,-0.639,-0.354,33.27,0.67,16.6,1785112118716.912
-0.801,-0.649,-0.419,18.83,5.46,17.27,1785112118717.3218
-0.78,-0.622,-0.436,14.56,7.08,16.6,1785112118717.527
-0.859,-0.533,-0.235,-14.5,-3.69,-14.53,1785112118717.913
-0.859,-0.53,-0.249,-17.03,-3.27,-14.71,1785112118718.112
-0.854,-0.539,-0.259,-19.71,-2.11,-15.02,1785112118718.3108
-0.852,-0.557,-0.264,-21.97,-0.24,-15.05,1785112118725.3298
-0.847,-0.568,-0.26,-22.43,1.62,-14.65,1785112118731.071
-0.84,-0.572,-0.253,-21.36,3.17,-14.47,1785112118741.5427
-0.833,-0.573,-0.244,-19.99,4.55,-14.34,1785112118752.1028
-0.829,-0.587,-0.252,-18.92,6.35,-14.1,1785112118765.347
-0.837,-0.61,-0.281,-17.98,8.79,-13.76,1785112118771.054
-0.847,-0.637,-0.307,-16.79,11.84,-13.43,1785112118781.6218
-0.853,-0.651,-0.329,-16.05,15.14,-13.92,1785112118792.2869
-0.856,-0.666,-0.358,-16.6,18.83,-15.05,1785112118805.4941
-0.862,-0.687,-0.389,-19.75,23.9,-17.0,1785112118811.208
-0.869,-0.711,-0.385,-24.63,29.42,-19.56,1785112118822.003
-0.87,-0.741,-0.36,-28.93,33.78,-22.92,1785112118835.2407
-0.865,-0.776,-0.352,-31.46,37.54,-26.86,1785112118840.996
-0.862,-0.786,-0.366,-30.82,41.05,-31.04,1785112118851.71
-0.872,-0.76,-0.389,-27.47,43.92,-35.19,1785112118865.022
-0.874,-0.743,-0.403,-23.9,46.48,-39.4,1785112118870.733
-0.864,-0.728,-0.394,-22.31,48.8,-43.89,1785112118881.511
-0.853,-0.717,-0.421,-22.4,50.84,-48.13,1785112118892.1467
-0.858,-0.688,-0.424,-27.47,54.66,-53.16,1785112118905.376
-0.829,-0.697,-0.418,-32.29,57.28,-55.09,1785112118911.2
-0.816,-0.698,-0.406,-34.33,58.08,-56.89,1785112118921.969
-0.787,-0.698,-0.383,-35.92,57.74,-57.44,1785112118935.357
-0.753,-0.708,-0.366,-38.48,56.73,-57.28,1785112118940.954
-0.72,-0.712,-0.356,-41.96,56.31,-56.89,1785112118951.779
-0.681,-0.704,-0.359,-45.11,55.7,-55.82,1785112118962.4363
-0.65,-0.682,-0.346,-46.57,54.51,-54.17,1785112118975.862
-0.607,-0.663,-0.349,-45.66,52.83,-52.37,1785112118981.481
-0.555,-0.631,-0.352,-44.77,51.42,-50.05,1785112118992.0198
-0.508,-0.61,-0.332,-45.29,50.14,-46.42,1785112119005.127
-0.461,-0.619,-0.318,-48.43,49.01,-43.21,1785112119011.093
-0.424,-0.654,-0.326,-54.45,48.52,-40.99,1785112119021.608
-0.405,-0.723,-0.367,-61.25,48.28,-39.49,1785112119032.272
-0.405,-0.778,-0.428,-63.69,48.16,-39.31,1785112119045.561
-0.423,-0.768,-0.467,-59.18,47.43,-39.43,1785112119051.208
-0.442,-0.717,-0.467,-50.69,45.38,-37.66,1785112119061.8901
-0.433,-0.639,-0.454,-46.08,42.6,-34.3,1785112119075.331
-0.404,-0.591,-0.459,-48.62,41.84,-31.56,1785112119080.927
-0.396,-0.569,-0.435,-54.35,42.27,-29.88,1785112119091.662
-0.389,-0.546,-0.455,-56.83,41.75,-27.07,1785112119102.24
-0.39,-0.527,-0.483,-54.02,43.03,-24.75,1785112119115.52
-0.408,-0.528,-0.513,-48.19,44.62,-23.5,1785112119121.349
-0.429,-0.535,-0.509,-44.04,46.36,-20.66,1785112119132.4312
-0.429,-0.535,-0.509,-41.69,46.85,-16.39,1785112119145.601
-0.443,-0.559,-0.463,-40.99,46.05,-12.82,1785112119151.4958
-0.447,-0.601,-0.443,-39.98,46.08,-10.74,1785112119161.928
-0.454,-0.657,-0.474,-36.29,46.69,-10.38,1785112119172.6138
-0.465,-0.683,-0.531,-36.29,46.69,-10.38,1785112119185.817
-0.468,-0.672,-0.579,-31.37,46.21,-9.55,1785112119191.9
-0.459,-0.684,-0.652,-25.48,45.23,-8.73,1785112119202.107
