num_points,points,timestamp_ms
4,"[{""range"": 0.5454465464991676, ""doppler"": 0.0, ""angle"": 3.063136143896313, ""elevation"": 0.0}, {""range"": 0.5936043600490237, ""doppler"": 0.0, ""angle"": 21.76615449417734, ""elevation"": 0.0}, {""range"": 0.612713975974127, ""doppler"": 0.0, ""angle"": 25.645226685545076, ""elevation"": 0.0}, {""range"": 0.6576711843368759, ""doppler"": 0.0, ""angle"": 30.867577938159144, ""elevation"": 0.0}]",1785112202554.171
6,"[{""range"": 0.4672573707483864, ""doppler"": 0.0, ""angle"": -14.22237166810662, ""elevation"": 0.0}, {""range"": 0.49966673613148876, ""doppler"": 0.0, ""angle"": -9.121861796147932, ""elevation"": 0.0}, {""range"": 0.5353220936358838, ""doppler"": 0.0, ""angle"": -1.9525090493996085, ""elevation"": 0.0}, {""range"": 0.595266672519758, ""doppler"": 0.0, ""angle"": 29.653085164036796, ""elevation"": 0.0}, {""range"": 0.627838437623704, ""doppler"": 0.0, ""angle"": 30.121355724438327, ""elevation"": 0.0}, {""range"": 0.6528151937169965, ""doppler"": 0.0, ""angle"": 27.168659500717585, ""elevation"": 0.0}]",1785112202554.446
4,"[{""range"": 0.5495871506707978, ""doppler"": 0.0, ""angle"": -3.7309926021339215, ""elevation"": 0.0}, {""range"": 0.5752646867618947, ""doppler"": 0.0, ""angle"": 0.4808671820482415, ""elevation"": 0.0}, {""range"": 0.5535003010859062, ""doppler"": 0.0, ""angle"": 10.856164324759629, ""elevation"": 0.0}, {""range"": 0.516108561853924, ""doppler"": 0.0, ""angle"": 29.74488129694222, ""elevation"": 0.0}]",1785112202554.698
1,"[{""range"": 0.45230955527587074, ""doppler"": 0.0, ""angle"": -16.041848113092147, ""elevation"": 0.0}]",1785112202554.959
4,"[{""range"": 0.45632296536979583, ""doppler"": 0.0, ""angle"": -23.118992620588035, ""elevation"": 0.0}, {""range"": 0.5447495708094697, ""doppler"": 0.0, ""angle"": -4.971369999703941, ""elevation"": 0.0}, {""range"": 0.5952445417541455, ""doppler"": 0.0, ""angle"": 20.155156570769616, ""elevation"": 0.0}, {""range"": 0.6163409985349524, ""doppler"": 0.0, ""angle"": 23.456146949592593, ""elevation"": 0.0}]",1785112202555.2012
5,"[{""range"": 0.5712451472064811, ""doppler"": 0.0, ""angle"": -12.657199218278388, ""elevation"": 0.0}, {""range"": 0.4985192989103832, ""doppler"": 0.0, ""angle"": -4.8353232457599615, ""elevation"": 0.0}, {""range"": 0.5170304959177222, ""doppler"": 0.0, ""angle"": -5.0993456648963456, ""elevation"": 0.0}, {""range"": 0.5358839114271554, ""doppler"": 0.0, ""angle"": -7.535264288240021, ""elevation"": 0.0}, {""range"": 0.6284046775356499, ""doppler"": 0.0, ""angle"": 26.97336236779866, ""elevation"": 0.0}]",1785112202555.445
5,"[{""range"": 0.48248187972712914, ""doppler"": 0.0, ""angle"": -11.71805076366896, ""elevation"": 0.0}, {""range"": 0.576281829405194, ""doppler"": 0.0, ""angle"": -14.721845494759688, ""elevation"": 0.0}, {""range"": 0.6086664528270873, ""doppler"": 0.0, ""angle"": -18.17945094228085, ""elevation"": 0.0}, {""range"": 0.5077230772454268, ""doppler"": 0.0, ""angle"": -5.3551972058252995, ""elevation"": 0.0}, {""range"": 0.5373021022352932, ""doppler"": 0.0, ""angle"": -7.515260205704437, ""elevation"": 0.0}]",1785112202555.683
3,"[{""range"": 0.5429926478344688, ""doppler"": 0.0, ""angle"": 8.407613274106781, ""elevation"": 0.0}, {""range"": 0.6155806492654541, ""doppler"": 0.0, ""angle"": 23.668450392841734, ""elevation"": 0.0}, {""range"": 0.5982157837554797, ""doppler"": 0.0, ""angle"": 29.768248253033786, ""elevation"": 0.0}]",1785112202555.921
3,"[{""range"": 0.569218568747479, ""doppler"": 0.0, ""angle"": 1.6381191714962073, ""elevation"": 0.0}, {""range"": 0.598580172651057, ""doppler"": 0.0, ""angle"": 3.836845590389444, ""elevation"": 0.0}, {""range"": 0.6124412491272382, ""doppler"": 0.0, ""angle"": 11.008102254455661, ""elevation"": 0.0}]",1785112202556.155
1,"[{""range"": 0.5360969686826595, ""doppler"": 0.0, ""angle"": 10.998850968759962, ""elevation"": 0.0}]",1785112202556.386
5,"[{""range"": 0.457674954802844, ""doppler"": 0.0, ""angle"": -16.664937955921, ""elevation"": 0.0}, {""range"": 0.4924081553392486, ""doppler"": 0.0, ""angle"": -17.52034713553718, ""elevation"": 0.0}, {""range"": 0.6069337160471397, ""doppler"": 0.0, ""angle"": 4.2239249631355715, ""elevation"": 0.0}, {""range"": 0.6193092511831814, ""doppler"": 0.0, ""angle"": 11.491617236106856, ""elevation"": 0.0}, {""range"": 0.6420967618193844, ""doppler"": 0.0, ""angle"": 15.092784360835015, ""elevation"": 0.0}]",1785112202556.6233
5,"[{""range"": 0.41644364098381875, ""doppler"": 0.0, ""angle"": -10.489685119305971, ""elevation"": 0.0}, {""range"": 0.4717674160366867, ""doppler"": 0.0, ""angle"": -9.776503293599115, ""elevation"": 0.0}, {""range"": 0.5177977622427249, ""doppler"": 0.0, ""angle"": -9.621711668336884, ""elevation"": 0.0}, {""range"": 0.5400734104934068, ""doppler"": 0.0, ""angle"": -3.9869522260458132, ""elevation"": 0.0}, {""range"": 0.5641692979583727, ""doppler"": 0.0, ""angle"": 2.5250497175965343, ""elevation"": 0.0}]",1785112202556.8599
4,"[{""range"": 0.5884807872540401, ""doppler"": 0.0, ""angle"": 8.24582140256708, ""elevation"": 0.0}, {""range"": 0.614680487412518, ""doppler"": 0.0, ""angle"": 11.120341928438265, ""elevation"": 0.0}, {""range"": 0.625681096844782, ""doppler"": 0.0, ""angle"": 14.075957733080129, ""elevation"": 0.0}, {""range"": 0.6435302582925744, ""doppler"": 0.0, ""angle"": 16.19907021373717, ""elevation"": 0.0}]",1785112202557.0923
