num_points,points,timestamp_ms
9,"[{""range"": 0.4308432228373892, ""doppler"": 0.0, ""angle"": -38.71551452981552, ""elevation"": 0.0}, {""range"": 0.4432285268863431, ""doppler"": 0.0, ""angle"": -33.997796179018536, ""elevation"": 0.0}, {""range"": 0.6194371750565202, ""doppler"": 0.0, ""angle"": -7.564040154791826, ""elevation"": 0.0}, {""range"": 0.6414472561366312, ""doppler"": 0.0, ""angle"": -4.73313417141272, ""elevation"": 0.0}, {""range"": 0.6774595462864955, ""doppler"": 0.0, ""angle"": -1.0435511152445598, ""elevation"": 0.0}, {""range"": 0.7993991079364536, ""doppler"": 9.453816057852237, ""angle"": 0.909990669052567, ""elevation"": 0.0}, {""range"": 9.121899479503355, ""doppler"": 3.024231019546278, ""angle"": 44.530579666094205, ""elevation"": 35.028715065647845}, {""range"": 2.1352874428473774, ""doppler"": 6.340401528461371, ""angle"": 45.0, ""elevation"": 12.615073652073445}, {""range"": 5.067383441814987, ""doppler"": 6.380079089984065, ""angle"": 53.1488212210617, ""elevation"": 81.3027802463285}]",1785086306517.2732
7,"[{""range"": 0.45534447871206274, ""doppler"": 0.0, ""angle"": -27.682041480454995, ""elevation"": 0.0}, {""range"": 0.4803389622866681, ""doppler"": 0.0, ""angle"": -28.263196135782206, ""elevation"": 0.0}, {""range"": 0.6239869745803857, ""doppler"": 0.0, ""angle"": -7.9559515849493865, ""elevation"": 0.0}, {""range"": 0.6485807931144768, ""doppler"": 0.0, ""angle"": -5.886635799411947, ""elevation"": 0.0}, {""range"": 0.6675233381477993, ""doppler"": 0.0, ""angle"": -1.3661195108222843, ""elevation"": 0.0}, {""range"": 0.7007692762968151, ""doppler"": 0.0, ""angle"": 7.551167951961169, ""elevation"": 0.0}, {""range"": 1.925933922534385, ""doppler"": 0.0, ""angle"": 42.93069399312416, ""elevation"": 0.0}]",1785086306517.381
9,"[{""range"": 0.4256857154551508, ""doppler"": 0.0, ""angle"": -35.04525622187942, ""elevation"": 0.0}, {""range"": 0.44805305867590384, ""doppler"": 0.0, ""angle"": -33.144651519733756, ""elevation"": 0.0}, {""range"": 0.47641092860688, ""doppler"": 0.0, ""angle"": -32.461296077086615, ""elevation"": 0.0}, {""range"": 0.6128035709123928, ""doppler"": 0.0, ""angle"": -15.017572941197415, ""elevation"": 0.0}, {""range"": 0.709847740486046, ""doppler"": 0.0, ""angle"": -14.575333690215341, ""elevation"": 0.0}, {""range"": 0.761000613933765, ""doppler"": 0.0, ""angle"": -16.574161370662623, ""elevation"": 0.0}, {""range"": 0.6494252785117265, ""doppler"": 0.0, ""angle"": -9.013634179833275, ""elevation"": 0.0}, {""range"": 0.6728830123088632, ""doppler"": 0.0, ""angle"": -10.33344532952497, ""elevation"": 0.0}, {""range"": 1.92569926337179, ""doppler"": 0.0, ""angle"": 42.62548884540885, ""elevation"": 0.0}]",1785086306517.464
11,"[{""range"": 0.7766235835923475, ""doppler"": 0.0, ""angle"": -62.08969831667001, ""elevation"": 0.0}, {""range"": 0.42952238555537936, ""doppler"": 0.0, ""angle"": -30.579226872489016, ""elevation"": 0.0}, {""range"": 0.45873835758666137, ""doppler"": 0.0, ""angle"": -28.573028924058143, ""elevation"": 0.0}, {""range"": 0.5628263386169564, ""doppler"": 0.0, ""angle"": -29.146543183737663, ""elevation"": 0.0}, {""range"": 0.4896849546111034, ""doppler"": 0.0, ""angle"": -25.82585218238571, ""elevation"": 0.0}, {""range"": 0.5273533367631184, ""doppler"": 0.0, ""angle"": -24.43591552418852, ""elevation"": 0.0}, {""range"": 0.6416304936163297, ""doppler"": 0.0, ""angle"": -1.517096999647918, ""elevation"": 0.0}, {""range"": 0.8128545925576584, ""doppler"": 0.0, ""angle"": 6.226056877929038, ""elevation"": 0.0}, {""range"": 0.7476329275050067, ""doppler"": 0.0, ""angle"": 23.30295429533699, ""elevation"": 0.0}, {""range"": 0.7751077706387917, ""doppler"": 0.0, ""angle"": 19.304393399962567, ""elevation"": 0.0}, {""range"": 1.926021554384438, ""doppler"": 0.0, ""angle"": 42.09119961517887, ""elevation"": 0.0}]",1785086306517.55
7,"[{""range"": 0.4519694721907572, ""doppler"": 0.0, ""angle"": -29.952942394558594, ""elevation"": 0.0}, {""range"": 0.6164026522321207, ""doppler"": 0.0, ""angle"": -9.787490300384368, ""elevation"": 0.0}, {""range"": 0.6352924650957791, ""doppler"": 0.0, ""angle"": -6.204842027427924, ""elevation"": 0.0}, {""range"": 0.655781302202062, ""doppler"": 0.0, ""angle"": -3.877467740973123, ""elevation"": 0.0}, {""range"": 0.7432692153219139, ""doppler"": 0.0, ""angle"": 13.665153340850207, ""elevation"": 0.0}, {""range"": 0.769797455550565, ""doppler"": 0.0, ""angle"": 14.171816326995016, ""elevation"": 0.0}, {""range"": 0.7936774666229417, ""doppler"": 0.0, ""angle"": 15.016231999146088, ""elevation"": 0.0}]",1785086306517.591
8,"[{""range"": 0.7871138753068052, ""doppler"": 0.0, ""angle"": -66.24764615093675, ""elevation"": 0.0}, {""range"": 0.8038259964185668, ""doppler"": 0.0, ""angle"": -65.69844841393201, ""elevation"": 0.0}, {""range"": 0.471246406722042, ""doppler"": 0.0, ""angle"": -36.9177274575039, ""elevation"": 0.0}, {""range"": 0.47142692299891337, ""doppler"": 0.0, ""angle"": -28.450890794894793, ""elevation"": 0.0}, {""range"": 0.6339286874818452, ""doppler"": 0.0, ""angle"": -6.267017099215539, ""elevation"": 0.0}, {""range"": 0.6490548029052365, ""doppler"": 0.0, ""angle"": -6.422120000549666, ""elevation"": 0.0}, {""range"": 0.6518210388202867, ""doppler"": 0.0, ""angle"": -9.234928435213424, ""elevation"": 0.0}, {""range"": 0.7416831684846654, ""doppler"": 0.0, ""angle"": 21.1267690740382, ""elevation"": 0.0}]",1785086306517.632
7,"[{""range"": 0.4650969681265484, ""doppler"": 0.0, ""angle"": -28.949764857027215, ""elevation"": 0.0}, {""range"": 0.4879376529765788, ""doppler"": 0.0, ""angle"": -29.242231096758516, ""elevation"": 0.0}, {""range"": 0.5470936442881187, ""doppler"": 0.0, ""angle"": -22.138725971091734, ""elevation"": 0.0}, {""range"": 0.6125405670749182, ""doppler"": 0.0, ""angle"": -11.142641213274777, ""elevation"": 0.0}, {""range"": 0.6371979791317101, ""doppler"": 0.0, ""angle"": -7.4979551722746685, ""elevation"": 0.0}, {""range"": 0.6468238104857028, ""doppler"": 0.0, ""angle"": -8.345145321002546, ""elevation"": 0.0}, {""range"": 0.7866934028195666, ""doppler"": 0.0, ""angle"": 11.897377531192541, ""elevation"": 0.0}]",1785086306517.668
8,"[{""range"": 0.7872194863573087, ""doppler"": 0.0, ""angle"": -67.69348621110534, ""elevation"": 0.0}, {""range"": 0.7986129392335276, ""doppler"": 0.0, ""angle"": -60.91549075144167, ""elevation"": 0.0}, {""range"": 0.4722509858885023, ""doppler"": 0.0, ""angle"": -27.855540681798395, ""elevation"": 0.0}, {""range"": 0.48724316612592544, ""doppler"": 0.0, ""angle"": -27.59009609744348, ""elevation"": 0.0}, {""range"": 0.5441954369380402, ""doppler"": 0.0, ""angle"": -21.836369381649053, ""elevation"": 0.0}, {""range"": 0.6254218467569467, ""doppler"": 0.0, ""angle"": -10.59349144308008, ""elevation"": 0.0}, {""range"": 0.6466796478749517, ""doppler"": 0.0, ""angle"": -5.9517873178038805, ""elevation"": 0.0}, {""range"": 0.6528757293097098, ""doppler"": 0.0, ""angle"": -4.272331085631514, ""elevation"": 0.0}]",1785086306517.7058
9,"[{""range"": 0.7875886684279171, ""doppler"": 0.0, ""angle"": -60.7520816573915, ""elevation"": 0.0}, {""range"": 0.7993661288457816, ""doppler"": 0.0, ""angle"": -63.65275886027887, ""elevation"": 0.0}, {""range"": 0.46766308716857213, ""doppler"": 0.0, ""angle"": -30.820987016316604, ""elevation"": 0.0}, {""range"": 0.48811700765166455, ""doppler"": 0.0, ""angle"": -31.075345834024084, ""elevation"": 0.0}, {""range"": 0.5510648012837472, ""doppler"": 0.0, ""angle"": -21.211036991390944, ""elevation"": 0.0}, {""range"": 0.6127194031806319, ""doppler"": 0.0, ""angle"": -11.054149443280949, ""elevation"": 0.0}, {""range"": 0.6359706805558032, ""doppler"": 0.0, ""angle"": -8.11415458501072, ""elevation"": 0.0}, {""range"": 0.6546481681855076, ""doppler"": 0.0, ""angle"": -5.533067576585254, ""elevation"": 0.0}, {""range"": 0.6943768721188225, ""doppler"": 0.0, ""angle"": 3.2477606896915563, ""elevation"": 0.0}]",1785086306517.749
10,"[{""range"": 0.4776816378060825, ""doppler"": 0.0, ""angle"": -30.10668296119386, ""elevation"": 0.0}, {""range"": 0.48882150383983797, ""doppler"": 0.0, ""angle"": -30.9278118821385, ""elevation"": 0.0}, {""range"": 0.5359643957577929, ""doppler"": 0.0, ""angle"": -26.086315130515473, ""elevation"": 0.0}, {""range"": 0.6160274989971094, ""doppler"": 0.0, ""angle"": -12.454847453019726, ""elevation"": 0.0}, {""range"": 0.6423913424556822, ""doppler"": 0.0, ""angle"": -8.61278114934691, ""elevation"": 0.0}, {""range"": 0.6599753677819956, ""doppler"": 0.0, ""angle"": -7.879827339916555, ""elevation"": 0.0}, {""range"": 0.7139174264095972, ""doppler"": 0.0, ""angle"": -1.5787874055652127, ""elevation"": 0.0}, {""range"": 0.7752327322386847, ""doppler"": 0.0, ""angle"": 3.570563743141643, ""elevation"": 0.0}, {""range"": 0.8026068372210747, ""doppler"": 0.0, ""angle"": 5.061524479747975, ""elevation"": 0.0}, {""range"": 1.9085641848872474, ""doppler"": 0.0, ""angle"": 48.20151703490576, ""elevation"": 0.0}]",1785086306517.803
