ax,ay,az,gx,gy,gz,timestamp_ms
-0.077,-0.043,0.041,-117.59,73.55,250.4,1784916270609.484
-0.048,-0.098,0.102,-115.54,62.99,264.69,1784916270609.822
0.002,-0.152,0.11,-111.18,49.38,279.31,1784916270610.1538
0.03,-0.172,0.093,-108.28,35.68,294.2,1784916270610.49
0.045,-0.187,0.067,-106.27,23.29,308.94,1784916270610.821
0.048,-0.217,0.041,-108.19,11.35,322.24,1784916270611.145
0.04,-0.215,0.05,-116.82,-2.62,334.97,1784916270611.472
0.02,-0.271,0.057,-126.74,-19.87,347.0,1784916270611.806
-0.009,-0.382,0.065,-139.44,-41.32,356.58,1784916270612.132
-0.063,-0.522,0.097,-156.13,-68.18,362.62,1784916270612.4622
-0.132,-0.616,0.099,-176.15,-99.67,365.73,1784916270612.792
-0.164,-0.757,0.041,-190.16,-128.88,370.25,1784916270613.124
-0.229,-0.951,-0.056,-196.57,-158.12,371.84,1784916270613.472
-0.329,-1.103,-0.132,-194.22,-188.3,366.53,1784916270613.8352
-0.392,-1.227,-0.217,-177.71,-216.19,355.45,1784916270614.166
-0.42,-1.325,-0.311,-152.62,-242.44,339.3,1784916270614.511
-0.455,-1.378,-0.418,-127.69,-269.39,321.7,1784916270614.8381
-0.478,-1.399,-0.573,-108.68,-292.89,305.28,1784916270615.1628
-0.5,-1.398,-0.772,-99.73,-310.95,289.38,1784916270615.489
-0.55,-1.432,-0.908,-100.44,-326.06,274.12,1784916270615.8171
-0.624,-1.483,-0.964,-107.33,-344.46,256.69,1784916270616.143
-0.68,-1.496,-0.975,-115.18,-364.27,235.85,1784916270616.467
-0.718,-1.449,-1.007,-117.47,-382.92,212.78,1784916270616.795
-0.698,-1.434,-1.148,-110.72,-396.68,187.29,1784916270617.1218
-0.718,-1.439,-1.278,-102.79,-401.65,155.92,1784916270617.454
-0.787,-1.425,-1.394,-96.07,-402.57,124.85,1784916270617.785
-0.824,-1.447,-1.536,-90.52,-400.62,99.55,1784916270618.107
-0.875,-1.467,-1.592,-90.61,-396.37,74.1,1784916270618.43
-0.892,-1.402,-1.571,-92.68,-392.22,52.03,1784916270618.747
-0.875,-1.302,-1.537,-92.56,-387.16,35.0,1784916270619.078
-0.873,-1.192,-1.566,-92.04,-380.63,17.58,1784916270619.4702
-0.871,-1.124,-1.631,-92.26,-370.1,-0.98,1784916270619.801
-0.895,-1.07,-1.661,-94.12,-355.94,-23.56,1784916270620.148
-0.97,-1.083,-1.646,-94.39,-343.97,-44.47,1784916270620.472
-1.008,-1.125,-1.579,-92.81,-336.38,-60.82,1784916270620.7979
-0.994,-1.108,-1.506,-86.06,-324.63,-75.93,1784916270621.1292
-0.978,-1.094,-1.428,-72.12,-311.35,-89.02,1784916270621.448
-1.037,-1.035,-1.396,-56.31,-302.22,-104.28,1784916270621.783
-1.053,-0.953,-1.389,-41.63,-291.88,-114.78,1784916270622.109
-1.092,-0.84,-1.425,-31.59,-278.7,-122.96,1784916270622.432
-1.148,-0.739,-1.474,-31.34,-267.4,-128.67,1784916270622.753
-1.224,-0.678,-1.471,-46.88,-255.44,-137.52,1784916270623.078
-1.295,-0.681,-1.402,-76.2,-241.77,-145.97,1784916270623.4062
-1.354,-0.736,-1.311,-110.63,-227.97,-152.71,1784916270623.734
-1.428,-0.778,-1.227,-143.68,-217.35,-164.98,1784916270624.0598
-1.464,-0.807,-1.182,-170.69,-203.92,-179.63,1784916270624.4048
