num_points,points,timestamp_ms
3,"[{""range"": 2.683572571580463, ""doppler"": 0.0, ""angle"": -47.29255218467136, ""elevation"": 0.0}, {""range"": 0.6473381784862955, ""doppler"": 0.0, ""angle"": -8.754585281156148, ""elevation"": 0.0}, {""range"": 5.302005152099554, ""doppler"": 10.287408864154713, ""angle"": -1.1522526671128168, ""elevation"": 83.16122883395668}]",1785100524808.228
9,"[{""range"": 2.6834151953393506, ""doppler"": 0.0, ""angle"": -46.736195224599676, ""elevation"": 0.0}, {""range"": 2.6684048437383794, ""doppler"": 0.0, ""angle"": -37.808308212224475, ""elevation"": 0.0}, {""range"": 0.7152222089061611, ""doppler"": 0.0, ""angle"": -32.855721950433, ""elevation"": 0.0}, {""range"": 1.082473099259248, ""doppler"": 0.0, ""angle"": -7.632170072364169, ""elevation"": 0.0}, {""range"": 1.0946028206373122, ""doppler"": 0.0, ""angle"": -7.924931790098691, ""elevation"": 0.0}, {""range"": 1.1282217397160856, ""doppler"": 0.0, ""angle"": -8.632244694202848, ""elevation"": 0.0}, {""range"": 1.169735443805924, ""doppler"": 0.0, ""angle"": -6.389520443061799, ""elevation"": 0.0}, {""range"": 1.2135215392908096, ""doppler"": 0.0, ""angle"": 8.94321963249012, ""elevation"": 0.0}, {""range"": 1.91585539288133, ""doppler"": 0.0, ""angle"": 55.322095370327894, ""elevation"": 0.0}]",1785100524808.604
6,"[{""range"": 2.6825918222481957, ""doppler"": 0.0, ""angle"": -48.20724357792048, ""elevation"": 0.0}, {""range"": 1.0807325582338572, ""doppler"": 0.0, ""angle"": -7.367240583164227, ""elevation"": 0.0}, {""range"": 1.0916780633000334, ""doppler"": 0.0, ""angle"": -7.633714163723042, ""elevation"": 0.0}, {""range"": 1.123821891612461, ""doppler"": 0.0, ""angle"": -7.294630357611802, ""elevation"": 0.0}, {""range"": 1.1768147009643797, ""doppler"": 0.0, ""angle"": 5.213345688925989, ""elevation"": 0.0}, {""range"": 1.218108095778416, ""doppler"": 0.0, ""angle"": 14.268795288947091, ""elevation"": 0.0}]",1785100524808.961
5,"[{""range"": 2.6789738516037045, ""doppler"": 0.0, ""angle"": -45.90053922329598, ""elevation"": 0.0}, {""range"": 1.1672321825771348, ""doppler"": 0.0, ""angle"": -16.922036677808247, ""elevation"": 0.0}, {""range"": 1.0803225977045874, ""doppler"": 0.0, ""angle"": -7.637884985153493, ""elevation"": 0.0}, {""range"": 1.090448555421961, ""doppler"": 0.0, ""angle"": -8.126116191073908, ""elevation"": 0.0}, {""range"": 1.1224354623901531, ""doppler"": 0.0, ""angle"": -10.649373001453455, ""elevation"": 0.0}]",1785100524809.312
7,"[{""range"": 2.679471251863603, ""doppler"": 0.0, ""angle"": -50.82842795167766, ""elevation"": 0.0}, {""range"": 1.0833265528202667, ""doppler"": 0.0, ""angle"": -7.893371915407588, ""elevation"": 0.0}, {""range"": 1.0958922372261386, ""doppler"": 0.0, ""angle"": -8.331065128121756, ""elevation"": 0.0}, {""range"": 1.127148426048335, ""doppler"": 0.0, ""angle"": -9.164952280903627, ""elevation"": 0.0}, {""range"": 1.1695314131232606, ""doppler"": 0.0, ""angle"": -2.7429781292740154, ""elevation"": 0.0}, {""range"": 1.2144676466675308, ""doppler"": 0.0, ""angle"": 10.777194693655279, ""elevation"": 0.0}, {""range"": 1.91002706875386, ""doppler"": 0.0, ""angle"": 52.40916886886629, ""elevation"": 0.0}]",1785100524809.65
5,"[{""range"": 1.0815854636491808, ""doppler"": 0.0, ""angle"": -7.848783275144436, ""elevation"": 0.0}, {""range"": 1.094309035578884, ""doppler"": 0.0, ""angle"": -7.813656716758092, ""elevation"": 0.0}, {""range"": 1.1295657548893498, ""doppler"": 0.0, ""angle"": -7.284767759842053, ""elevation"": 0.0}, {""range"": 1.1769033000180604, ""doppler"": 0.0, ""angle"": -3.562758849128288, ""elevation"": 0.0}, {""range"": 1.2152801181970077, ""doppler"": 0.0, ""angle"": 5.234117990408353, ""elevation"": 0.0}]",1785100524809.979
10,"[{""range"": 1.3241408844693456, ""doppler"": 0.0, ""angle"": -43.76343499202105, ""elevation"": 0.0}, {""range"": 2.678801291087524, ""doppler"": 0.0, ""angle"": -49.24977988946234, ""elevation"": 0.0}, {""range"": 2.6649652868492275, ""doppler"": 0.0, ""angle"": -42.71047645871176, ""elevation"": 0.0}, {""range"": 1.1703664329409935, ""doppler"": 0.0, ""angle"": -14.348345901925338, ""elevation"": 0.0}, {""range"": 1.081171878422082, ""doppler"": 0.0, ""angle"": -6.944009913815349, ""elevation"": 0.0}, {""range"": 1.0901835672249935, ""doppler"": 0.0, ""angle"": -7.397779173583141, ""elevation"": 0.0}, {""range"": 1.1238441404683983, ""doppler"": 0.0, ""angle"": -8.859830463660371, ""elevation"": 0.0}, {""range"": 0.7193538787325964, ""doppler"": 0.0, ""angle"": 15.691071374074138, ""elevation"": 0.0}, {""range"": 1.88502330064178, ""doppler"": 0.0, ""angle"": 39.04772172185539, ""elevation"": 0.0}, {""range"": 1.9174806488792677, ""doppler"": 0.0, ""angle"": 45.94835634812212, ""elevation"": 0.0}]",1785100524810.3162
6,"[{""range"": 1.0825861807623764, ""doppler"": 0.0, ""angle"": -7.087453818288915, ""elevation"": 0.0}, {""range"": 1.0921513627203603, ""doppler"": 0.0, ""angle"": -7.318165761400192, ""elevation"": 0.0}, {""range"": 1.1275168175829338, ""doppler"": 0.0, ""angle"": -2.17221549422299, ""elevation"": 0.0}, {""range"": 1.1745227725495, ""doppler"": 0.0, ""angle"": 7.64652186460721, ""elevation"": 0.0}, {""range"": 0.7217017447695097, ""doppler"": 0.0, ""angle"": 21.313719083174462, ""elevation"": 0.0}, {""range"": 1.993468056717159, ""doppler"": 0.0, ""angle"": 65.16132470900413, ""elevation"": 0.0}]",1785100524810.651
8,"[{""range"": 2.6752416239365293, ""doppler"": 0.0, ""angle"": -46.37578771628208, ""elevation"": 0.0}, {""range"": 2.664774096845982, ""doppler"": 0.0, ""angle"": -39.69382693923878, ""elevation"": 0.0}, {""range"": 1.2182605287561985, ""doppler"": 0.0, ""angle"": -19.855214369321057, ""elevation"": 0.0}, {""range"": 1.1303590299429795, ""doppler"": 0.0, ""angle"": -11.432583258857719, ""elevation"": 0.0}, {""range"": 1.1747302096311187, ""doppler"": 0.0, ""angle"": -16.346720959140047, ""elevation"": 0.0}, {""range"": 1.082391112582343, ""doppler"": 0.0, ""angle"": -7.670953463104141, ""elevation"": 0.0}, {""range"": 1.093765094249306, ""doppler"": 0.0, ""angle"": -8.281117422575248, ""elevation"": 0.0}, {""range"": 1.9139147127560336, ""doppler"": 0.0, ""angle"": 53.61723589662285, ""elevation"": 0.0}]",1785100524810.98
6,"[{""range"": 2.677762458533177, ""doppler"": 0.0, ""angle"": -42.77015952901807, ""elevation"": 0.0}, {""range"": 1.0820597942053616, ""doppler"": 0.0, ""angle"": -7.539583175684468, ""elevation"": 0.0}, {""range"": 1.0939730697960701, ""doppler"": 0.0, ""angle"": -7.891702428235704, ""elevation"": 0.0}, {""range"": 1.124443498870738, ""doppler"": 0.0, ""angle"": -9.168730717915654, ""elevation"": 0.0}, {""range"": 1.1640712961936306, ""doppler"": 0.0, ""angle"": -4.9171317393898715, ""elevation"": 0.0}, {""range"": 2.006918675847296, ""doppler"": 0.0, ""angle"": 49.87545778680206, ""elevation"": 0.0}]",1785100524811.315
