ax,ay,az,gx,gy,gz,timestamp_ms
-0.132,-0.438,-0.926,4.73,-8.03,3.45,1785100575511.761
-0.13,-0.436,-0.911,3.94,-8.03,2.66,1785100575512.1611
-0.131,-0.429,-0.901,2.56,-8.09,1.16,1785100575512.4988
-0.145,-0.426,-0.896,0.85,-7.9,-0.46,1785100575512.833
-0.17,-0.421,-0.892,-1.19,-8.03,-1.59,1785100575513.1687
-0.185,-0.41,-0.872,-3.11,-7.97,-0.95,1785100575513.498
-0.175,-0.407,-0.873,-3.66,-7.2,0.52,1785100575513.855
-0.177,-0.405,-0.886,-3.05,-6.16,1.34,1785100575514.199
-0.176,-0.417,-0.901,-2.23,-4.73,1.65,1785100575514.5312
-0.172,-0.425,-0.895,-1.71,-4.18,2.01,1785100575514.892
-0.169,-0.443,-0.918,-0.76,-4.43,1.86,1785100575515.2422
-0.171,-0.47,-0.935,-1.31,-2.99,0.85,1785100575515.5872
-0.175,-0.481,-0.929,-2.47,-1.25,0.31,1785100575515.906
-0.18,-0.481,-0.926,-2.44,-0.37,0.58,1785100575516.2449
-0.179,-0.472,-0.923,-2.38,0.15,1.46,1785100575516.593
-0.175,-0.455,-0.905,-2.78,0.49,2.62,1785100575516.9219
-0.17,-0.437,-0.894,-2.14,0.52,3.23,1785100575517.2578
-0.173,-0.423,-0.893,-1.19,0.61,3.3,1785100575517.611
-0.176,-0.411,-0.882,-0.49,0.49,3.05,1785100575517.941
-0.172,-0.405,-0.875,0.37,0.06,2.66,1785100575518.262
-0.173,-0.401,-0.87,1.13,-0.46,2.04,1785100575518.5918
-0.175,-0.403,-0.871,1.71,-0.85,1.56,1785100575518.925
-0.176,-0.407,-0.869,1.92,-1.28,1.37,1785100575519.255
-0.175,-0.41,-0.874,2.47,-1.68,1.25,1785100575519.588
-0.171,-0.412,-0.888,3.39,-2.17,1.04,1785100575519.928
-0.173,-0.414,-0.897,3.51,-2.26,0.52,1785100575520.221
-0.172,-0.416,-0.903,2.96,-1.98,0.4,1785100575520.501
-0.17,-0.418,-0.904,2.35,-1.37,0.64,1785100575520.8
-0.173,-0.412,-0.893,2.29,-1.31,1.31,1785100575521.091
-0.169,-0.411,-0.893,2.5,-1.5,2.2,1785100575521.3708
-0.167,-0.408,-0.888,2.26,-0.98,2.87,1785100575521.67
-0.171,-0.409,-0.883,2.23,-0.46,3.36,1785100575521.978
-0.175,-0.413,-0.882,2.23,-0.4,3.23,1785100575522.297
-0.177,-0.42,-0.893,1.62,-0.21,2.75,1785100575522.6409
-0.173,-0.425,-0.895,0.34,0.31,2.32,1785100575522.9321
-0.176,-0.432,-0.897,-0.34,1.22,2.26,1785100575523.214
-0.182,-0.434,-0.903,-0.46,2.29,2.2,1785100575523.4922
-0.184,-0.431,-0.899,0.06,3.05,2.41,1785100575523.78
-0.177,-0.427,-0.894,1.68,4.18,2.44,1785100575524.099
-0.175,-0.427,-0.885,3.66,5.34,2.59,1785100575524.38
-0.174,-0.419,-0.867,5.37,6.16,3.51,1785100575524.672
-0.171,-0.412,-0.846,7.29,7.17,4.91,1785100575524.957
-0.171,-0.403,-0.827,10.04,8.15,6.32,1785100575525.244
-0.174,-0.398,-0.813,13.03,8.36,7.48,1785100575525.532
-0.17,-0.396,-0.808,15.44,7.63,8.12,1785100575525.82
-0.162,-0.396,-0.816,17.06,6.68,8.33,1785100575526.109
-0.162,-0.399,-0.82,17.0,6.26,8.79,1785100575526.389
-0.166,-0.396,-0.816,16.33,5.68,9.61,1785100575526.677
-0.166,-0.395,-0.81,16.39,4.85,10.62,1785100575526.967
-0.17,-0.394,-0.797,16.75,3.78,11.44,1785100575527.282
-0.171,-0.39,-0.785,17.3,2.72,12.48,1785100575527.58
-0.173,-0.381,-0.774,18.65,1.83,13.82,1785100575527.883
-0.178,-0.374,-0.762,21.76,1.07,15.84,1785100575528.153
-0.186,-0.365,-0.751,26.28,-0.46,17.82,1785100575528.409
-0.185,-0.36,-0.747,30.24,-2.84,19.93,1785100575528.6829
-0.184,-0.357,-0.733,31.65,-5.16,22.86,1785100575528.9888
-0.19,-0.348,-0.727,31.74,-7.45,26.52,1785100575529.259
-0.198,-0.34,-0.723,31.34,-8.88,31.22,1785100575529.539
-0.202,-0.349,-0.709,32.2,-9.58,34.97,1785100575529.81
-0.206,-0.379,-0.699,35.28,-10.19,37.11,1785100575530.0857
-0.217,-0.401,-0.699,38.94,-11.57,38.97,1785100575530.351
-0.226,-0.4,-0.691,41.51,-13.52,41.41,1785100575530.617
-0.231,-0.396,-0.682,43.15,-16.14,44.59,1785100575530.896
-0.238,-0.388,-0.674,43.43,-19.14,48.01,1785100575531.1658
-0.236,-0.395,-0.672,41.9,-21.49,51.82,1785100575531.4272
-0.242,-0.415,-0.67,38.73,-22.89,55.02,1785100575531.7012
-0.252,-0.43,-0.669,34.64,-23.87,57.25,1785100575531.9849
-0.275,-0.436,-0.671,30.03,-24.93,59.72,1785100575532.267
-0.293,-0.457,-0.676,26.18,-27.07,63.11,1785100575532.523
-0.305,-0.502,-0.692,23.68,-29.73,64.18,1785100575532.8052
-0.326,-0.538,-0.711,20.51,-32.26,63.78,1785100575533.075
-0.349,-0.554,-0.721,15.66,-34.49,63.91,1785100575533.3408
-0.359,-0.551,-0.731,10.13,-36.59,65.0,1785100575533.5989
-0.362,-0.539,-0.758,5.37,-38.06,66.23,1785100575533.86
-0.36,-0.524,-0.769,2.38,-37.39,67.72,1785100575534.1282
-0.356,-0.536,-0.757,3.39,-35.55,67.51,1785100575534.385
-0.373,-0.563,-0.737,9.0,-34.94,64.58,1785100575534.6738
-0.401,-0.567,-0.723,16.88,-36.38,61.92,1785100575534.951
-0.416,-0.56,-0.702,26.64,-38.36,61.37,1785100575535.288
-0.423,-0.548,-0.685,38.51,-39.95,62.23,1785100575535.624
-0.42,-0.54,-0.681,52.37,-40.99,63.45,1785100575535.926
-0.417,-0.536,-0.684,66.01,-41.47,64.7,1785100575536.178
-0.416,-0.521,-0.682,76.97,-40.93,66.26,1785100575536.436
-0.406,-0.508,-0.694,87.83,-37.97,68.24,1785100575536.738
-0.42,-0.546,-0.678,101.47,-34.67,68.3,1785100575537.012
-0.438,-0.578,-0.637,111.55,-35.13,66.93,1785100575537.266
-0.458,-0.584,-0.625,115.73,-36.87,66.41,1785100575537.503
-0.473,-0.605,-0.638,116.37,-38.21,67.23,1785100575537.7869
-0.492,-0.662,-0.689,115.02,-38.85,66.59,1785100575538.069
-0.518,-0.695,-0.729,106.42,-38.97,63.54,1785100575538.3208
-0.531,-0.699,-0.746,91.83,-38.12,60.91,1785100575538.557
-0.537,-0.679,-0.756,73.95,-36.35,59.36,1785100575538.799
-0.537,-0.641,-0.742,54.78,-34.79,58.2,1785100575539.0542
-0.534,-0.605,-0.71,37.08,-33.88,56.49,1785100575539.287
-0.532,-0.574,-0.668,22.64,-33.3,54.66,1785100575539.526
-0.534,-0.55,-0.643,11.41,-33.51,53.96,1785100575539.777
-0.534,-0.55,-0.643,0.37,-34.64,55.09,1785100575540.04
-0.542,-0.524,-0.622,-7.81,-36.87,56.46,1785100575540.271
-0.555,-0.517,-0.598,-9.7,-39.86,56.37,1785100575540.5078
-0.56,-0.557,-0.607,-7.78,-41.66,54.29,1785100575540.782
-0.576,-0.607,-0.636,-5.65,-42.51,53.29,1785100575541.014
-0.604,-0.61,-0.663,-5.65,-42.51,53.29,1785100575541.2512
-0.614,-0.582,-0.694,-2.08,-42.48,55.85,1785100575541.4873
-0.615,-0.545,-0.712,2.2,-40.65,59.08,1785100575541.727
-0.625,-0.48,-0.706,4.33,-39.09,61.95,1785100575541.949
-0.623,-0.433,-0.674,4.55,-36.93,64.52,1785100575542.1707
-0.635,-0.414,-0.619,4.52,-34.06,66.26,1785100575542.393
-0.654,-0.415,-0.552,6.01,-32.47,69.06,1785100575542.609
-0.674,-0.438,-0.504,10.32,-33.48,72.88,1785100575542.835
-0.693,-0.462,-0.497,15.78,-36.74,76.94,1785100575543.0588
-0.711,-0.464,-0.511,19.84,-39.49,80.26,1785100575543.314
-0.721,-0.452,-0.516,22.71,-41.32,84.02,1785100575543.551
-0.733,-0.445,-0.534,23.96,-42.73,87.19,1785100575543.7761
-0.752,-0.422,-0.556,20.75,-43.37,89.45,1785100575544.0051
-0.767,-0.383,-0.576,13.92,-43.4,91.4,1785100575544.231
-0.789,-0.35,-0.593,5.28,-43.18,92.72,1785100575544.4648
-0.819,-0.311,-0.598,-7.02,-42.94,93.87,1785100575544.6938
-0.842,-0.285,-0.59,-22.06,-42.02,96.35,1785100575544.925
-0.854,-0.306,-0.587,-37.08,-40.44,99.03,1785100575545.145
-0.883,-0.36,-0.569,-49.38,-38.91,99.37,1785100575545.3748
-0.906,-0.424,-0.533,-55.7,-38.18,98.57,1785100575545.602
-0.935,-0.448,-0.485,-55.94,-39.06,98.24,1785100575545.8281
-0.949,-0.427,-0.45,-49.35,-40.41,100.34,1785100575546.0479
-0.939,-0.423,-0.43,-35.83,-41.35,102.27,1785100575546.2798
-0.928,-0.422,-0.431,-19.14,-42.57,100.8,1785100575546.519
-0.921,-0.416,-0.445,-1.16,-43.43,97.2,1785100575546.7363
-0.921,-0.395,-0.457,16.17,-44.1,92.87,1785100575546.968
-0.918,-0.366,-0.48,31.46,-45.05,88.66,1785100575547.2
