distance_cm,timestamp_ms
77.0,1785100784961.705
75.0,1785100784964.306
76.0,1785100784979.604
66.0,1785100785022.701
64.0,1785100785043.904
65.0,1785100785083.9482
60.0,1785100785102.839
66.0,1785100785143.289
64.0,1785100785167.176
61.0,1785100785203.392
61.0,1785100785227.4072
53.0,1785100785267.794
51.0,1785100785284.23
43.0,1785100785326.977
46.0,1785100785343.768
37.0,1785100785383.989
40.0,1785100785403.1802
38.0,1785100785443.5
30.0,1785100785464.266
29.0,1785100785504.31
30.0,1785100785523.4739
27.0,1785100785563.752
29.0,1785100785587.549
32.0,1785100785623.272
30.0,1785100785644.189
35.0,1785100785687.358
38.0,1785100785703.837
32.0,1785100785743.884
39.0,1785100785763.3127
36.0,1785100785807.631
29.0,1785100785823.3691
31.0,1785100785867.72
30.0,1785100785883.383
28.0,1785100785927.9338
29.0,1785100785943.5989
28.0,1785100785982.965
31.0,1785100786003.541
32.0,1785100786043.2808
32.0,1785100786063.3691
33.0,1785100786102.955
36.0,1785100786123.2158
39.0,1785100786163.748
39.0,1785100786184.556
34.0,1785100786224.586
33.0,1785100786243.796
34.0,1785100786283.7188
40.0,1785100786304.5151
35.0,1785100786344.6619
32.0,1785100786363.741
36.0,1785100786403.674
37.0,1785100786424.578
39.0,1785100786467.525
36.0,1785100786483.783
36.0,1785100786524.053
42.0,1785100786543.644
46.0,1785100786583.4602
42.0,1785100786604.2812
43.0,1785100786644.707
41.0,1785100786663.852
21.0,1785100786703.849
31.0,1785100786727.791
41.0,1785100786767.8071
46.0,1785100786784.01
54.0,1785100786823.96
46.0,1785100786847.8132
39.0,1785100786887.758
43.0,1785100786903.842
42.0,1785100786943.416
42.0,1785100786964.016
41.0,1785100787003.315
37.0,1785100787023.7761
37.0,1785100787063.425
44.0,1785100787084.148
50.0,1785100787123.5251
51.0,1785100787144.578
44.0,1785100787183.844
34.0,1785100787204.586
44.0,1785100787243.9648
31.0,1785100787267.4912
42.0,1785100787304.491
40.0,1785100787323.749
41.0,1785100787363.584
44.0,1785100787384.31
45.0,1785100787424.149
43.0,1785100787443.348
37.0,1785100787487.605
38.0,1785100787503.553
38.0,1785100787543.608
32.0,1785100787563.9329
33.0,1785100787603.98
31.0,1785100787627.864
29.0,1785100787667.7603
31.0,1785100787683.9402
29.0,1785100787724.16
37.0,1785100787743.817
35.0,1785100787787.7288
29.0,1785100787803.6978
32.0,1785100787843.4019
35.0,1785100787864.195
32.0,1785100787903.7703
36.0,1785100787927.5562
37.0,1785100787964.28
30.0,1785100787983.168
31.0,1785100788024.331
32.0,1785100788043.5122
29.0,1785100788084.405
31.0,1785100788103.284
28.0,1785100788144.58
28.0,1785100788163.383
28.0,1785100788204.546
33.0,1785100788223.469
30.0,1785100788267.456
33.0,1785100788283.19
31.0,1785100788327.5808
34.0,1785100788343.32
30.0,1785100788387.573
34.0,1785100788403.004
31.0,1785100788447.744
32.0,1785100788463.351
34.0,1785100788507.7769
33.0,1785100788523.184
36.0,1785100788567.831
36.0,1785100788583.482
30.0,1785100788623.1702
32.0,1785100788643.674
37.0,1785100788683.223
34.0,1785100788703.667
31.0,1785100788743.4822
37.0,1785100788763.714
29.0,1785100788803.362
32.0,1785100788823.842
33.0,1785100788863.477
30.0,1785100788883.858
29.0,1785100788923.511
31.0,1785100788943.756
26.0,1785100788983.231
32.0,1785100789003.973
31.0,1785100789043.4238
28.0,1785100789064.0828
28.0,1785100789103.394
28.0,1785100789123.747
29.0,1785100789163.439
27.0,1785100789184.16
33.0,1785100789223.515
32.0,1785100789244.316
27.0,1785100789283.576
31.0,1785100789304.3032
32.0,1785100789343.7249
35.0,1785100789364.3809
32.0,1785100789404.216
33.0,1785100789423.6082
33.0,1785100789463.543
24.0,1785100789486.948
51.0,1785100789527.4592
40.0,1785100789543.5269
76.0,1785100789587.725
69.0,1785100789603.453
38.0,1785100789647.887
48.0,1785100789663.5361
47.0,1785100789703.1492
51.0,1785100789723.6301
50.0,1785100789763.277
59.0,1785100789783.676
55.0,1785100789823.356
53.0,1785100789843.549
50.0,1785100789883.435
52.0,1785100789903.805
