distance_cm,timestamp_ms
80.0,1785112424751.6138
81.0,1785112424752.434
78.0,1785112424772.254
77.0,1785112424792.112
78.0,1785112424817.0261
79.0,1785112424840.664
78.0,1785112424856.3708
78.0,1785112424877.1008
77.0,1785112424895.952
77.0,1785112424916.7458
77.0,1785112424940.5679
78.0,1785112424956.516
75.0,1785112424977.4211
75.0,1785112424996.9731
74.0,1785112425017.697
81.0,1785112425036.53
74.0,1785112425060.738
77.0,1785112425076.949
79.0,1785112425100.716
76.0,1785112425116.8608
72.0,1785112425137.929
73.0,1785112425157.1829
73.0,1785112425177.841
68.0,1785112425197.05
69.0,1785112425217.761
69.0,1785112425237.0989
80.0,1785112425260.624
69.0,1785112425276.5652
61.0,1785112425297.4248
93.0,1785112425316.574
92.0,1785112425337.068
100.0,1785112425361.103
68.0,1785112425377.4841
63.0,1785112425396.6921
61.0,1785112425417.433
56.0,1785112425436.3489
47.0,1785112425457.8171
50.0,1785112425476.824
49.0,1785112425497.353
46.0,1785112425521.219
48.0,1785112425536.942
48.0,1785112425557.919
46.0,1785112425577.079
48.0,1785112425597.708
51.0,1785112425616.983
54.0,1785112425637.624
60.0,1785112425656.4
63.0,1785112425677.6052
58.0,1785112425696.8472
67.0,1785112425717.686
53.0,1785112425737.0188
57.0,1785112425760.736
53.0,1785112425777.128
109.0,1785112425800.822
53.0,1785112425816.705
74.0,1785112425837.583
77.0,1785112425856.8142
78.0,1785112425877.218
80.0,1785112425900.938
77.0,1785112425917.068
79.0,1785112425941.0142
78.0,1785112425956.986
80.0,1785112425980.702
82.0,1785112425996.528
80.0,1785112426017.3628
81.0,1785112426041.099
81.0,1785112426056.848
78.0,1785112426077.3918
82.0,1785112426096.6567
81.0,1785112426117.353
83.0,1785112426141.0618
83.0,1785112426156.9229
83.0,1785112426180.6897
84.0,1785112426196.612
84.0,1785112426217.527
83.0,1785112426236.276
84.0,1785112426257.229
80.0,1785112426280.8389
77.0,1785112426296.4858
80.0,1785112426317.245
79.0,1785112426340.985
76.0,1785112426356.5813
79.0,1785112426377.562
77.0,1785112426396.581
76.0,1785112426417.045
73.0,1785112426440.9402
76.0,1785112426457.3472
71.0,1785112426481.091
69.0,1785112426497.121
69.0,1785112426520.971
80.0,1785112426536.819
78.0,1785112426557.887
79.0,1785112426577.0923
71.0,1785112426597.579
70.0,1785112426616.865
68.0,1785112426637.507
57.0,1785112426656.801
50.0,1785112426677.262
65.0,1785112426701.028
82.0,1785112426717.557
76.0,1785112426736.871
69.0,1785112426760.6653
73.0,1785112426776.9722
64.0,1785112426800.802
53.0,1785112426817.085
53.0,1785112426840.895
51.0,1785112426857.167
50.0,1785112426880.824
54.0,1785112426896.58
55.0,1785112426917.5059
67.0,1785112426936.7449
69.0,1785112426957.1882
35.0,1785112426980.981
98.0,1785112426997.476
89.0,1785112427016.706
87.0,1785112427037.951
96.0,1785112427057.145
94.0,1785112427077.865
69.0,1785112427097.124
58.0,1785112427117.7751
73.0,1785112427136.98
81.0,1785112427157.7979
79.0,1785112427177.047
90.0,1785112427197.813
85.0,1785112427217.048
84.0,1785112427237.896
85.0,1785112427256.595
82.0,1785112427277.616
79.0,1785112427296.839
82.0,1785112427317.589
81.0,1785112427336.9
76.0,1785112427360.632
80.0,1785112427376.8718
79.0,1785112427400.7449
77.0,1785112427417.008
80.0,1785112427440.947
76.0,1785112427457.083
81.0,1785112427477.8362
84.0,1785112427497.0342
81.0,1785112427517.3271
75.0,1785112427541.0618
77.0,1785112427556.6667
72.0,1785112427577.3818
72.0,1785112427601.0999
71.0,1785112427616.916
76.0,1785112427640.844
79.0,1785112427657.1362
76.0,1785112427681.0
76.0,1785112427697.147
69.0,1785112427721.081
