num_points,points,timestamp_ms
3,"[{""range"": 0.7230702447416401, ""doppler"": 0.0, ""angle"": -4.169406094047282, ""elevation"": 0.0}, {""range"": 0.7414452243460715, ""doppler"": 0.0, ""angle"": -6.717102108884835, ""elevation"": 0.0}, {""range"": 0.7162314182742232, ""doppler"": 0.0, ""angle"": -2.9909845999899005, ""elevation"": 0.0}]",1785112557127.304
5,"[{""range"": 1.1608168998087458, ""doppler"": 0.0, ""angle"": -6.732008300058912, ""elevation"": 0.0}, {""range"": 1.1800805511615753, ""doppler"": 0.0, ""angle"": -5.77452001049596, ""elevation"": 0.0}, {""range"": 0.7192723549975116, ""doppler"": 0.0, ""angle"": 0.8689146207316524, ""elevation"": 0.0}, {""range"": 0.7194938788573666, ""doppler"": 0.0, ""angle"": 1.6662646034935977, ""elevation"": 0.0}, {""range"": 0.7364261443858648, ""doppler"": 0.0, ""angle"": 3.8705256833752135, ""elevation"": 0.0}]",1785112557127.6292
4,"[{""range"": 1.9226762054690316, ""doppler"": 0.0, ""angle"": -15.204644441363461, ""elevation"": 0.0}, {""range"": 1.6902091819947132, ""doppler"": 0.0, ""angle"": -8.229541352187294, ""elevation"": 0.0}, {""range"": 0.7377300594083609, ""doppler"": 0.0, ""angle"": 13.24131511559121, ""elevation"": 0.0}, {""range"": 0.7486775647351956, ""doppler"": 0.0, ""angle"": 22.03773703664851, ""elevation"": 0.0}]",1785112557127.8909
5,"[{""range"": 0.7119389386241096, ""doppler"": 0.0, ""angle"": -4.711058131274776, ""elevation"": 0.0}, {""range"": 1.1621115941013653, ""doppler"": 0.0, ""angle"": -4.925444108524242, ""elevation"": 0.0}, {""range"": 0.7314200107419578, ""doppler"": 0.0, ""angle"": -0.7984469488239053, ""elevation"": 0.0}, {""range"": 0.7473015980856202, ""doppler"": 0.0, ""angle"": 1.8648489916342095, ""elevation"": 0.0}, {""range"": 1.1748558572303835, ""doppler"": 0.0, ""angle"": -2.6956165329677515, ""elevation"": 0.0}]",1785112557128.178
3,"[{""range"": 0.8219876039530862, ""doppler"": 0.0, ""angle"": -13.114196917944188, ""elevation"": 0.0}, {""range"": 0.7398856484029724, ""doppler"": 0.0, ""angle"": -1.661887157922057, ""elevation"": 0.0}, {""range"": 0.76737328553588, ""doppler"": 0.0, ""angle"": -0.8411500305458472, ""elevation"": 0.0}]",1785112557128.468
4,"[{""range"": 0.6936448581878037, ""doppler"": 0.0, ""angle"": 7.495086903245515, ""elevation"": 0.0}, {""range"": 0.7570223650369158, ""doppler"": 0.0, ""angle"": 34.091701959407224, ""elevation"": 0.0}, {""range"": 0.7920193181128189, ""doppler"": 0.0, ""angle"": 26.92950850995032, ""elevation"": 0.0}, {""range"": 0.7424763247233147, ""doppler"": 0.0, ""angle"": 36.65739560868044, ""elevation"": 0.0}]",1785112557128.753
4,"[{""range"": 1.8793677112474285, ""doppler"": 0.0, ""angle"": -3.638563951224045, ""elevation"": 0.0}, {""range"": 0.7635724340166946, ""doppler"": 0.0, ""angle"": 0.5635468708140111, ""elevation"": 0.0}, {""range"": 2.8866276356174043, ""doppler"": 0.0, ""angle"": 7.743106863867817, ""elevation"": 0.0}, {""range"": 0.6794915622772292, ""doppler"": 0.0, ""angle"": 25.66819191577366, ""elevation"": 0.0}]",1785112557129.051
8,"[{""range"": 1.1594669587441409, ""doppler"": 0.0, ""angle"": -6.304087320251415, ""elevation"": 0.0}, {""range"": 0.7097916133702602, ""doppler"": 0.0, ""angle"": 1.5446479556772406, ""elevation"": 0.0}, {""range"": 1.1768003685372903, ""doppler"": 0.0, ""angle"": -1.4627754288300852, ""elevation"": 0.0}, {""range"": 0.7273294750476746, ""doppler"": 0.0, ""angle"": 5.006959245124198, ""elevation"": 0.0}, {""range"": 0.7475614167537202, ""doppler"": 0.0, ""angle"": 9.44429758274116, ""elevation"": 0.0}, {""range"": 1.2023739473334887, ""doppler"": 0.0, ""angle"": 8.165048352848654, ""elevation"": 0.0}, {""range"": 0.7876653946666772, ""doppler"": 0.0, ""angle"": 15.632727138215627, ""elevation"": 0.0}, {""range"": 2.097721838294187, ""doppler"": 0.0, ""angle"": 51.28069696848552, ""elevation"": 0.0}]",1785112557129.3188
4,"[{""range"": 1.9144770308528403, ""doppler"": 0.0, ""angle"": -11.622688421981193, ""elevation"": 0.0}, {""range"": 0.7075591236959968, ""doppler"": 0.0, ""angle"": -7.171712165387088, ""elevation"": 0.0}, {""range"": 0.7249524664807782, ""doppler"": 0.0, ""angle"": -0.6077025486578843, ""elevation"": 0.0}, {""range"": 0.7474506727911682, ""doppler"": 0.0, ""angle"": 16.15438684175337, ""elevation"": 0.0}]",1785112557129.583
5,"[{""range"": 1.158618398733652, ""doppler"": 0.0, ""angle"": -6.406594433003487, ""elevation"": 0.0}, {""range"": 0.7105142598094442, ""doppler"": 0.0, ""angle"": -0.8940473216923214, ""elevation"": 0.0}, {""range"": 0.7211779010864628, ""doppler"": 0.0, ""angle"": -0.4404002443152007, ""elevation"": 0.0}, {""range"": 1.180766914782141, ""doppler"": 0.0, ""angle"": -2.5083977376309927, ""elevation"": 0.0}, {""range"": 0.7492976610824089, ""doppler"": 0.0, ""angle"": 6.0548099360057455, ""elevation"": 0.0}]",1785112557129.8418
4,"[{""range"": 1.6810100529609606, ""doppler"": 0.0, ""angle"": -11.100759283887589, ""elevation"": 0.0}, {""range"": 0.7082728070768664, ""doppler"": 0.0, ""angle"": 3.140513347622344, ""elevation"": 0.0}, {""range"": 0.7167597023861196, ""doppler"": 0.0, ""angle"": 1.9872490097709155, ""elevation"": 0.0}, {""range"": 0.7348721243096228, ""doppler"": 0.0, ""angle"": 1.0596210238550363, ""elevation"": 0.0}]",1785112557130.109
3,"[{""range"": 0.7166106013174637, ""doppler"": 0.0, ""angle"": 0.9722333556651702, ""elevation"": 0.0}, {""range"": 0.7347965867437753, ""doppler"": 0.0, ""angle"": -0.6692801966820573, ""elevation"": 0.0}, {""range"": 0.7019101100247156, ""doppler"": 0.0, ""angle"": 3.9587436757799015, ""elevation"": 0.0}]",1785112557130.376
5,"[{""range"": 0.704749884149238, ""doppler"": 0.0, ""angle"": 22.08756205571988, ""elevation"": 0.0}, {""range"": 0.7301848999804387, ""doppler"": 0.0, ""angle"": 20.81387366595556, ""elevation"": 0.0}, {""range"": 0.7490270043832028, ""doppler"": 0.0, ""angle"": 20.20864708624584, ""elevation"": 0.0}, {""range"": 2.09712939486818, ""doppler"": 0.0, ""angle"": 53.94892069310649, ""elevation"": 0.0}, {""range"": 2.085287162488147, ""doppler"": 0.0, ""angle"": 56.726909094892385, ""elevation"": 0.0}]",1785112557130.634
6,"[{""range"": 1.1631603287905268, ""doppler"": 0.0, ""angle"": -6.266266769224336, ""elevation"": 0.0}, {""range"": 0.7531786617378031, ""doppler"": 0.0, ""angle"": 17.81981392771299, ""elevation"": 0.0}, {""range"": 0.7801316492006006, ""doppler"": 0.0, ""angle"": 14.386613558319782, ""elevation"": 0.0}, {""range"": 0.7105595301815733, ""doppler"": 0.0, ""angle"": 24.94633757262139, ""elevation"": 0.0}, {""range"": 0.7334306103342025, ""doppler"": 0.0, ""angle"": 21.73656007145822, ""elevation"": 0.0}, {""range"": 2.0938825009799604, ""doppler"": 0.0, ""angle"": 48.28519299052454, ""elevation"": 0.0}]",1785112557130.9053
3,"[{""range"": 0.7321460933897006, ""doppler"": 0.0, ""angle"": 15.264937189725968, ""elevation"": 0.0}, {""range"": 0.7461168419384131, ""doppler"": 0.0, ""angle"": 11.894315694621556, ""elevation"": 0.0}, {""range"": 0.7041370788671547, ""doppler"": 0.0, ""angle"": 19.971918610831356, ""elevation"": 0.0}]",1785112557131.171
3,"[{""range"": 0.7065662408138925, ""doppler"": 0.0, ""angle"": 2.3787002637899914, ""elevation"": 0.0}, {""range"": 0.7201451879106715, ""doppler"": 0.0, ""angle"": 2.661348286025347, ""elevation"": 0.0}, {""range"": 0.7418248811177715, ""doppler"": 0.0, ""angle"": 2.6941219880615486, ""elevation"": 0.0}]",1785112557131.441
6,"[{""range"": 0.7931843083542519, ""doppler"": 0.0, ""angle"": -16.86626520794759, ""elevation"": 0.0}, {""range"": 0.6875082087584721, ""doppler"": 0.0, ""angle"": -5.6720400825691595, ""elevation"": 0.0}, {""range"": 0.7405229301250214, ""doppler"": 0.0, ""angle"": -4.4178053622744535, ""elevation"": 0.0}, {""range"": 0.7118631010962599, ""doppler"": 0.0, ""angle"": -2.8796543313145917, ""elevation"": 0.0}, {""range"": 0.7199520887622423, ""doppler"": 0.0, ""angle"": -1.9214786937580983, ""elevation"": 0.0}, {""range"": 2.0922844928401356, ""doppler"": 0.0, ""angle"": 53.54240782236235, ""elevation"": 0.0}]",1785112557131.7031
4,"[{""range"": 0.6883488794876006, ""doppler"": 0.0, ""angle"": -5.9194144247753, ""elevation"": 0.0}, {""range"": 0.7145872419396008, ""doppler"": 0.0, ""angle"": -2.9404462895891235, ""elevation"": 0.0}, {""range"": 0.7210007776342939, ""doppler"": 0.0, ""angle"": -1.8618126882407575, ""elevation"": 0.0}, {""range"": 0.7340354692797292, ""doppler"": 0.0, ""angle"": 0.19540506777433483, ""elevation"": 0.0}]",1785112557131.9622
7,"[{""range"": 1.1588025942465956, ""doppler"": 0.0, ""angle"": -8.090091341446808, ""elevation"": 0.0}, {""range"": 1.1801554126012002, ""doppler"": 0.0, ""angle"": -6.06217076925028, ""elevation"": 0.0}, {""range"": 0.7097474653293683, ""doppler"": 0.0, ""angle"": 1.9057861099857663, ""elevation"": 0.0}, {""range"": 0.7200365551960699, ""doppler"": 0.0, ""angle"": 1.0956873348815332, ""elevation"": 0.0}, {""range"": 0.7422378594409968, ""doppler"": 0.0, ""angle"": 2.139998981257855, ""elevation"": 0.0}, {""range"": 0.78892715930506, ""doppler"": 0.0, ""angle"": -0.025972699722814293, ""elevation"": 0.0}, {""range"": 2.0911328252660586, ""doppler"": 0.0, ""angle"": 55.754155161521474, ""elevation"": 0.0}]",1785112557132.226
7,"[{""range"": 0.8021731209108016, ""doppler"": 0.0, ""angle"": -6.180813896268844, ""elevation"": 0.0}, {""range"": 1.1592560871270856, ""doppler"": 0.0, ""angle"": -4.724742863482102, ""elevation"": 0.0}, {""range"": 1.1797743094841036, ""doppler"": 0.0, ""angle"": -2.180236424745942, ""elevation"": 0.0}, {""range"": 0.7196445374463162, ""doppler"": 0.0, ""angle"": 3.946655489724479, ""elevation"": 0.0}, {""range"": 0.7291484334991486, ""doppler"": 0.0, ""angle"": 10.684391365864633, ""elevation"": 0.0}, {""range"": 0.7442650317723228, ""doppler"": 0.0, ""angle"": 11.6149959383792, ""elevation"": 0.0}, {""range"": 2.0949116638908176, ""doppler"": 0.0, ""angle"": 48.10693720591191, ""elevation"": 0.0}]",1785112557132.474
5,"[{""range"": 0.7125735507256709, ""doppler"": 0.0, ""angle"": -0.014377861558448488, ""elevation"": 0.0}, {""range"": 1.1831159204763282, ""doppler"": 0.0, ""angle"": -2.1047506243662757, ""elevation"": 0.0}, {""range"": 0.7261822987944584, ""doppler"": 0.0, ""angle"": 10.58498834375682, ""elevation"": 0.0}, {""range"": 0.7378157841714175, ""doppler"": 0.0, ""angle"": 11.661235432143776, ""elevation"": 0.0}, {""range"": 2.0976939139374147, ""doppler"": 0.0, ""angle"": 55.864265477317325, ""elevation"": 0.0}]",1785112557132.73
6,"[{""range"": 1.1598906131252016, ""doppler"": 0.0, ""angle"": -6.568445031345095, ""elevation"": 0.0}, {""range"": 1.1839116515292192, ""doppler"": 0.0, ""angle"": -3.290235724568873, ""elevation"": 0.0}, {""range"": 0.7046177773393171, ""doppler"": 0.0, ""angle"": 23.670173637566297, ""elevation"": 0.0}, {""range"": 0.7200168383662302, ""doppler"": 0.0, ""angle"": 23.63019249388183, ""elevation"": 0.0}, {""range"": 0.7371160864424348, ""doppler"": 0.0, ""angle"": 23.685883995610446, ""elevation"": 0.0}, {""range"": 2.0969776307770536, ""doppler"": 0.0, ""angle"": 55.07402193568602, ""elevation"": 0.0}]",1785112557132.992
7,"[{""range"": 1.1592149342820957, ""doppler"": 0.0, ""angle"": -7.106380367243095, ""elevation"": 0.0}, {""range"": 1.1803950294018992, ""doppler"": 0.0, ""angle"": -3.6304758548411233, ""elevation"": 0.0}, {""range"": 0.7382653943525582, ""doppler"": 0.0, ""angle"": 24.497934792050202, ""elevation"": 0.0}, {""range"": 0.6780902837592089, ""doppler"": 0.0, ""angle"": 30.45328799089404, ""elevation"": 0.0}, {""range"": 0.6984692927506696, ""doppler"": 0.0, ""angle"": 29.071700511792272, ""elevation"": 0.0}, {""range"": 0.7157185591928807, ""doppler"": 0.0, ""angle"": 28.063224494356962, ""elevation"": 0.0}, {""range"": 2.1056716032732705, ""doppler"": 0.0, ""angle"": 51.9807786339126, ""elevation"": 0.0}]",1785112557133.25
5,"[{""range"": 1.1551126881087355, ""doppler"": 0.0, ""angle"": -7.051307796653083, ""elevation"": 0.0}, {""range"": 0.7157291693260167, ""doppler"": 0.0, ""angle"": -1.030697432428016, ""elevation"": 0.0}, {""range"": 0.72564183915986, ""doppler"": 0.0, ""angle"": 0.3670945991794498, ""elevation"": 0.0}, {""range"": 0.7414838628532708, ""doppler"": 0.0, ""angle"": 1.0363518623654884, ""elevation"": 0.0}, {""range"": 0.8026478097785805, ""doppler"": 0.0, ""angle"": 44.83753603226148, ""elevation"": 0.0}]",1785112557133.496
5,"[{""range"": 1.1566930378294378, ""doppler"": 0.0, ""angle"": -7.318374588515139, ""elevation"": 0.0}, {""range"": 0.7021059625111067, ""doppler"": 0.0, ""angle"": -2.028742292845849, ""elevation"": 0.0}, {""range"": 0.7177942572824582, ""doppler"": 0.0, ""angle"": -1.3989211545960791, ""elevation"": 0.0}, {""range"": 0.7356298551471706, ""doppler"": 0.0, ""angle"": 3.079399408500179, ""elevation"": 0.0}, {""range"": 0.8104801687337484, ""doppler"": 0.0, ""angle"": 48.03157947435623, ""elevation"": 0.0}]",1785112557133.7568
5,"[{""range"": 0.7318585210522053, ""doppler"": 0.0, ""angle"": -3.768446064074217, ""elevation"": 0.0}, {""range"": 1.1553974052294032, ""doppler"": 0.0, ""angle"": -4.882937154679211, ""elevation"": 0.0}, {""range"": 0.7203474457609101, ""doppler"": 0.0, ""angle"": -1.5504632404438379, ""elevation"": 0.0}, {""range"": 0.7529815920242839, ""doppler"": 0.0, ""angle"": -2.490734960691699, ""elevation"": 0.0}, {""range"": 0.7916340267748107, ""doppler"": 0.0, ""angle"": 0.45297278129435115, ""elevation"": 0.0}]",1785112557134.02
6,"[{""range"": 0.7352383018279205, ""doppler"": 0.0, ""angle"": -3.9466243279842446, ""elevation"": 0.0}, {""range"": 1.6944626743456745, ""doppler"": 0.0, ""angle"": -9.469280283954555, ""elevation"": 0.0}, {""range"": 0.6846464475977667, ""doppler"": 0.0, ""angle"": -2.5597539644848246, ""elevation"": 0.0}, {""range"": 0.7049216789750429, ""doppler"": 0.0, ""angle"": -2.3115221821733694, ""elevation"": 0.0}, {""range"": 0.715256296098014, ""doppler"": 0.0, ""angle"": -2.865981741682201, ""elevation"": 0.0}, {""range"": 2.0969488731143104, ""doppler"": 0.0, ""angle"": 55.86817248734856, ""elevation"": 0.0}]",1785112557134.28
6,"[{""range"": 0.714368135341828, ""doppler"": 0.0, ""angle"": -4.062115222096837, ""elevation"": 0.0}, {""range"": 0.7241525460119476, ""doppler"": 0.0, ""angle"": -6.465182340639768, ""elevation"": 0.0}, {""range"": 1.8388343869073192, ""doppler"": 0.0, ""angle"": 3.791467102029197, ""elevation"": 0.0}, {""range"": 1.8618130885389692, ""doppler"": 0.0, ""angle"": 4.351435798957152, ""elevation"": 0.0}, {""range"": 0.7666280570163786, ""doppler"": 0.0, ""angle"": 30.237197803088836, ""elevation"": 0.0}, {""range"": 0.7854271744763457, ""doppler"": 0.0, ""angle"": 30.874273894357753, ""elevation"": 0.0}]",1785112557134.5388
7,"[{""range"": 0.7122683574605186, ""doppler"": 0.0, ""angle"": 7.951091767228986, ""elevation"": 0.0}, {""range"": 0.7377406563607323, ""doppler"": 0.0, ""angle"": 13.184061488351768, ""elevation"": 0.0}, {""range"": 0.783309945826685, ""doppler"": 0.0, ""angle"": 17.31813285185055, ""elevation"": 0.0}, {""range"": 1.8817013167145262, ""doppler"": 0.0, ""angle"": 16.478646273066005, ""elevation"": 0.0}, {""range"": 1.9033710208466852, ""doppler"": 0.0, ""angle"": 17.388061792582977, ""elevation"": 0.0}, {""range"": 0.7579417939129572, ""doppler"": 0.0, ""angle"": 18.40075259928137, ""elevation"": 0.0}, {""range"": 2.0970855523590064, ""doppler"": 0.0, ""angle"": 57.61761158114978, ""elevation"": 0.0}]",1785112557134.809
5,"[{""range"": 0.8119161830362259, ""doppler"": 0.0, ""angle"": -10.673916297150678, ""elevation"": 0.0}, {""range"": 0.9220645898829749, ""doppler"": 0.0, ""angle"": -2.8901486771262523, ""elevation"": 0.0}, {""range"": 0.7495253270884114, ""doppler"": 0.0, ""angle"": 18.15398346523108, ""elevation"": 0.0}, {""range"": 0.7466494183218374, ""doppler"": 0.0, ""angle"": 21.9823214683085, ""elevation"": 0.0}, {""range"": 0.7281160467385182, ""doppler"": 0.0, ""angle"": 31.738400589676765, ""elevation"": 0.0}]",1785112557135.0532
