ax,ay,az,gx,gy,gz,timestamp_ms
-0.475,-0.459,-0.594,47.98,-13.49,3.85,1785112620751.2278
-0.453,-0.458,-0.568,47.58,-13.89,3.05,1785112620751.7388
-0.488,-0.5,-0.582,39.61,-13.21,0.43,1785112620752.165
-0.513,-0.523,-0.579,27.04,-12.12,-2.47,1785112620752.5818
-0.496,-0.524,-0.56,18.37,-10.96,-1.92,1785112620753.007
-0.454,-0.494,-0.608,10.53,-10.71,-0.21,1785112620753.4238
-0.434,-0.5,-0.647,-0.95,-8.36,-1.92,1785112620753.824
-0.451,-0.548,-0.636,-9.64,-5.34,-3.91,1785112620754.216
-0.451,-0.558,-0.645,-9.31,-5.07,-0.92,1785112620754.611
-0.444,-0.517,-0.667,-3.54,-5.98,3.48,1785112620755.008
-0.432,-0.486,-0.647,2.53,-6.74,6.47,1785112620755.4077
-0.427,-0.486,-0.631,9.83,-7.75,9.19,1785112620755.8037
-0.437,-0.485,-0.598,15.66,-7.26,11.2,1785112620756.235
-0.446,-0.493,-0.569,20.14,-7.05,13.4,1785112620756.667
-0.443,-0.468,-0.583,21.49,-7.05,15.38,1785112620757.085
-0.449,-0.457,-0.627,20.2,-5.01,14.04,1785112620757.466
-0.47,-0.459,-0.642,14.56,-1.5,10.38,1785112620757.839
-0.453,-0.462,-0.673,6.01,5.13,10.07,1785112620758.1929
-0.475,-0.468,-0.677,-1.4,11.9,13.43,1785112620758.5398
-0.492,-0.498,-0.641,-1.16,14.74,20.87,1785112620758.8953
-0.505,-0.466,-0.658,3.97,11.32,29.73,1785112620759.263
-0.511,-0.44,-0.662,4.03,7.97,37.84,1785112620759.642
-0.508,-0.44,-0.678,-4.36,5.86,44.47,1785112620759.988
-0.542,-0.442,-0.634,-17.49,3.57,46.6,1785112620760.338
-0.551,-0.456,-0.613,-26.61,1.22,46.88,1785112620760.695
-0.563,-0.444,-0.586,-31.07,0.09,45.99,1785112620761.044
-0.58,-0.47,-0.544,-29.73,-1.31,43.49,1785112620761.444
-0.618,-0.519,-0.534,-22.22,-4.36,39.98,1785112620761.803
-0.607,-0.533,-0.595,-10.8,-6.78,37.75,1785112620762.154
-0.591,-0.551,-0.684,0.82,-6.71,34.27,1785112620762.5
-0.616,-0.55,-0.712,-0.31,-3.94,30.95,1785112620762.847
-0.626,-0.574,-0.738,-6.23,-0.21,31.25,1785112620763.198
-0.582,-0.587,-0.754,-11.87,2.11,28.11,1785112620763.5469
-0.598,-0.559,-0.707,-15.53,3.14,22.77,1785112620763.905
-0.584,-0.587,-0.695,-11.17,1.16,22.22,1785112620764.3718
-0.553,-0.598,-0.662,-3.85,-1.16,18.8,1785112620764.776
-0.541,-0.567,-0.624,3.72,-4.36,14.53,1785112620765.1301
-0.558,-0.513,-0.624,11.63,-7.32,14.89,1785112620765.483
-0.538,-0.535,-0.633,19.2,-9.4,16.42,1785112620765.81
-0.565,-0.538,-0.591,21.03,-10.35,14.59,1785112620766.14
-0.588,-0.535,-0.565,19.9,-11.32,15.72,1785112620766.4548
-0.559,-0.5,-0.6,14.98,-11.41,16.72,1785112620766.769
-0.559,-0.469,-0.654,6.47,-9.67,13.61,1785112620767.0789
-0.579,-0.478,-0.672,-7.93,-6.13,9.25,1785112620767.3818
-0.595,-0.524,-0.649,-20.63,-3.2,5.25,1785112620767.684
-0.587,-0.583,-0.655,-21.39,-0.82,2.32,1785112620768.018
-0.586,-0.611,-0.664,-13.98,0.61,-0.76,1785112620768.321
-0.629,-0.594,-0.64,-5.55,-0.52,-3.05,1785112620768.616
-0.643,-0.582,-0.631,0.31,-3.66,-1.1,1785112620768.917
-0.632,-0.597,-0.636,4.91,-6.99,1.8,1785112620769.216
-0.588,-0.6,-0.64,6.9,-8.79,3.36,1785112620769.509
-0.567,-0.55,-0.671,7.9,-9.19,4.15,1785112620769.8071
-0.563,-0.522,-0.766,6.74,-7.35,5.07,1785112620770.118
-0.576,-0.515,-0.784,-0.64,-2.84,3.27,1785112620770.424
-0.582,-0.53,-0.683,-6.44,0.64,1.5,1785112620770.721
-0.583,-0.526,-0.575,-4.97,-0.06,0.85,1785112620771.029
-0.571,-0.491,-0.577,1.92,-2.08,0.95,1785112620771.353
-0.58,-0.441,-0.612,5.34,-3.51,0.4,1785112620771.6548
-0.592,-0.432,-0.641,1.43,-3.45,0.37,1785112620771.958
-0.602,-0.485,-0.654,-2.78,-1.77,2.53,1785112620772.265
-0.628,-0.483,-0.672,-2.47,-0.67,-0.27,1785112620772.5608
-0.616,-0.471,-0.675,-3.33,0.12,-0.58,1785112620772.883
-0.607,-0.481,-0.698,-3.63,1.65,-1.4,1785112620773.176
-0.62,-0.498,-0.681,-3.88,3.91,-2.53,1785112620773.4622
-0.616,-0.499,-0.654,-0.76,3.63,-3.33,1785112620773.7378
-0.601,-0.474,-0.597,-1.04,1.1,-3.2,1785112620774.0227
-0.587,-0.472,-0.633,1.5,-0.24,-1.68,1785112620774.302
-0.588,-0.447,-0.656,0.18,-0.67,-1.4,1785112620774.579
-0.587,-0.455,-0.653,-2.32,-0.31,-1.01,1785112620774.857
-0.587,-0.472,-0.615,-4.46,0.18,-1.1,1785112620775.135
-0.587,-0.468,-0.619,-4.7,-0.12,-0.49,1785112620775.412
-0.582,-0.457,-0.65,-3.42,-0.18,0.21,1785112620775.683
-0.588,-0.463,-0.657,-2.23,0.24,0.09,1785112620775.963
-0.594,-0.48,-0.641,-1.4,0.12,0.27,1785112620776.2507
-0.597,-0.491,-0.639,0.55,-0.21,0.92,1785112620776.533
-0.604,-0.48,-0.644,2.96,-0.46,1.83,1785112620776.827
-0.605,-0.465,-0.656,3.6,-0.34,2.75,1785112620777.1157
-0.609,-0.464,-0.672,2.26,0.21,2.99,1785112620777.3938
-0.618,-0.475,-0.669,-0.37,0.73,2.66,1785112620777.689
-0.614,-0.489,-0.669,-2.2,1.07,2.2,1785112620777.976
-0.607,-0.491,-0.675,-2.23,1.34,1.46,1785112620778.2578
-0.601,-0.486,-0.67,-1.71,1.46,0.73,1785112620778.534
-0.597,-0.486,-0.641,-0.15,1.04,0.31,1785112620778.825
-0.594,-0.471,-0.586,1.16,-0.55,0.37,1785112620779.1108
-0.576,-0.451,-0.584,2.53,-2.14,1.19,1785112620779.387
-0.57,-0.429,-0.605,3.27,-2.38,1.62,1785112620779.68
-0.58,-0.422,-0.613,1.22,-2.72,1.31,1785112620779.9622
-0.585,-0.455,-0.65,-0.43,-4.12,0.12,1785112620780.242
-0.595,-0.563,-0.803,2.01,-9.83,-4.55,1785112620780.5178
-0.608,-0.668,-0.948,7.32,-12.94,-13.82,1785112620780.8052
-0.641,-0.683,-0.892,13.37,-6.32,-20.17,1785112620781.104
-0.646,-0.682,-0.713,17.76,-2.14,-15.81,1785112620781.365
-0.581,-0.665,-0.618,23.56,-0.64,-7.72,1785112620781.631
-0.542,-0.622,-0.543,29.33,0.0,-4.43,1785112620781.898
-0.527,-0.554,-0.484,35.04,-0.52,-2.93,1785112620782.154
-0.524,-0.49,-0.412,40.5,-3.3,0.61,1785112620782.415
-0.532,-0.437,-0.489,41.63,-6.32,3.23,1785112620782.681
-0.562,-0.363,-0.532,38.24,-3.81,4.43,1785112620782.951
-0.602,-0.323,-0.53,31.95,-3.97,7.35,1785112620783.208
