num_points,points,timestamp_ms
7,"[{""range"": 0.5006665628451242, ""doppler"": 0.0, ""angle"": -22.489214615417186, ""elevation"": 0.0}, {""range"": 0.7762615025630504, ""doppler"": 0.0, ""angle"": -3.7245255598010627, ""elevation"": 0.0}, {""range"": 0.6171683612369171, ""doppler"": 0.0, ""angle"": -3.5048842523341794, ""elevation"": 0.0}, {""range"": 0.6174377831291723, ""doppler"": 0.0, ""angle"": -2.373509900745021, ""elevation"": 0.0}, {""range"": 0.7343136764287831, ""doppler"": 0.0, ""angle"": -0.9627463968995262, ""elevation"": 0.0}, {""range"": 0.6544400919856403, ""doppler"": 0.0, ""angle"": 3.9952713519118914, ""elevation"": 0.0}, {""range"": 0.5795208437006318, ""doppler"": 0.0, ""angle"": 16.528217619038525, ""elevation"": 0.0}]",1784843111513.7278
4,"[{""range"": 0.49573479397878617, ""doppler"": 0.0, ""angle"": -24.73472434571815, ""elevation"": 0.0}, {""range"": 0.6163511924409201, ""doppler"": 0.0, ""angle"": -10.785075434257896, ""elevation"": 0.0}, {""range"": 0.6121434336514182, ""doppler"": 0.0, ""angle"": -9.83928078922207, ""elevation"": 0.0}, {""range"": 0.7325829688134202, ""doppler"": 0.0, ""angle"": 23.07922830472374, ""elevation"": 0.0}]",1784843111513.7769
4,"[{""range"": 0.6115705291799597, ""doppler"": 0.0, ""angle"": -17.49193718601832, ""elevation"": 0.0}, {""range"": 0.6299697130745646, ""doppler"": 0.0, ""angle"": -10.681595555242591, ""elevation"": 0.0}, {""range"": 0.5931487846644022, ""doppler"": 0.0, ""angle"": 24.393922301854577, ""elevation"": 0.0}, {""range"": 0.7762786581221299, ""doppler"": 0.0, ""angle"": 27.06085063619001, ""elevation"": 0.0}]",1784843111557.125
8,"[{""range"": 0.6092358952280698, ""doppler"": 0.0, ""angle"": -20.030518951809416, ""elevation"": 0.0}, {""range"": 1.6954170645608573, ""doppler"": 0.0, ""angle"": -18.394819043612827, ""elevation"": 0.0}, {""range"": 0.5046207164119276, ""doppler"": 0.0, ""angle"": -16.701188902883114, ""elevation"": 0.0}, {""range"": 0.630564870002017, ""doppler"": 0.0, ""angle"": -15.62847794683162, ""elevation"": 0.0}, {""range"": 0.6526320099698802, ""doppler"": 0.0, ""angle"": -10.977429802252347, ""elevation"": 0.0}, {""range"": 0.5559543483096078, ""doppler"": 0.0, ""angle"": 9.329020085039165, ""elevation"": 0.0}, {""range"": 0.7402458471640417, ""doppler"": 0.0, ""angle"": 37.620067670018535, ""elevation"": 0.0}, {""range"": 0.755601188955925, ""doppler"": 0.0, ""angle"": 34.246648335613656, ""elevation"": 0.0}]",1784843111657.957
7,"[{""range"": 0.6282837959588742, ""doppler"": 0.0, ""angle"": -21.10190274872022, ""elevation"": 0.0}, {""range"": 0.5621096728723795, ""doppler"": 0.0, ""angle"": 6.392523996773558, ""elevation"": 0.0}, {""range"": 0.5851508072107078, ""doppler"": 0.0, ""angle"": 13.195405137492767, ""elevation"": 0.0}, {""range"": 0.7594655340723926, ""doppler"": 0.0, ""angle"": 32.85194453881446, ""elevation"": 0.0}, {""range"": 0.775741960550979, ""doppler"": 0.0, ""angle"": 30.73272641517805, ""elevation"": 0.0}, {""range"": 0.7452325735751456, ""doppler"": 0.0, ""angle"": 35.26119755656943, ""elevation"": 0.0}, {""range"": 0.7102069210241357, ""doppler"": 0.0, ""angle"": 43.500346186436246, ""elevation"": 0.0}]",1784843111757.8618
6,"[{""range"": 0.6302173512057527, ""doppler"": 0.0, ""angle"": -6.467655121578301, ""elevation"": 0.0}, {""range"": 0.6021857055168296, ""doppler"": 0.0, ""angle"": -1.1399794062863136, ""elevation"": 0.0}, {""range"": 0.5612204872714333, ""doppler"": 0.0, ""angle"": 8.261769078412868, ""elevation"": 0.0}, {""range"": 0.6835095920293249, ""doppler"": 0.0, ""angle"": 24.97614450707958, ""elevation"": 0.0}, {""range"": 0.7126629296486926, ""doppler"": 0.0, ""angle"": 33.04013980022186, ""elevation"": 0.0}, {""range"": 0.7461050783005461, ""doppler"": 0.0, ""angle"": 37.776226992684016, ""elevation"": 0.0}]",1784843111857.624
6,"[{""range"": 0.6500254706536608, ""doppler"": 0.0, ""angle"": -20.768189349581657, ""elevation"": 0.0}, {""range"": 0.6250322584398168, ""doppler"": 0.0, ""angle"": -14.175387815734226, ""elevation"": 0.0}, {""range"": 0.5701158069095724, ""doppler"": 0.0, ""angle"": 7.642144418488785, ""elevation"": 0.0}, {""range"": 0.5810752422963282, ""doppler"": 0.0, ""angle"": 7.337149072213383, ""elevation"": 0.0}, {""range"": 0.7965458331622088, ""doppler"": 0.0, ""angle"": 28.521153216545652, ""elevation"": 0.0}, {""range"": 0.8060293711275939, ""doppler"": 0.0, ""angle"": 30.12011039279208, ""elevation"": 0.0}]",1784843111957.5369
5,"[{""range"": 0.4945024914776971, ""doppler"": 0.0, ""angle"": -20.40085134278278, ""elevation"": 0.0}, {""range"": 0.6272232595838229, ""doppler"": 0.0, ""angle"": -12.764445660598131, ""elevation"": 0.0}, {""range"": 0.6496031646519618, ""doppler"": 0.0, ""angle"": -16.733989086537033, ""elevation"": 0.0}, {""range"": 0.5722265220700583, ""doppler"": 0.0, ""angle"": 6.891837138260722, ""elevation"": 0.0}, {""range"": 0.5779530256862829, ""doppler"": 0.0, ""angle"": 4.311691756453989, ""elevation"": 0.0}]",1784843112057.418
7,"[{""range"": 1.4026889911168028, ""doppler"": 0.0, ""angle"": -5.046302943819579, ""elevation"": 0.0}, {""range"": 0.7829074629095103, ""doppler"": 0.0, ""angle"": -1.8716594802042197, ""elevation"": 0.0}, {""range"": 0.57430573534462, ""doppler"": 0.0, ""angle"": 9.787862906684916, ""elevation"": 0.0}, {""range"": 0.5772714523782249, ""doppler"": 0.0, ""angle"": 8.604481593092656, ""elevation"": 0.0}, {""range"": 0.6091265899319268, ""doppler"": 0.0, ""angle"": 6.286326633699299, ""elevation"": 0.0}, {""range"": 0.6960006397988541, ""doppler"": 0.0, ""angle"": 24.53045086289577, ""elevation"": 0.0}, {""range"": 0.7160722944194831, ""doppler"": 0.0, ""angle"": 24.22252635072499, ""elevation"": 0.0}]",1784843112157.2712
5,"[{""range"": 0.5882120993922438, ""doppler"": 0.0, ""angle"": 27.75691815760202, ""elevation"": 0.0}, {""range"": 0.7086395314929105, ""doppler"": 0.0, ""angle"": 27.631948573645392, ""elevation"": 0.0}, {""range"": 0.7408700012583471, ""doppler"": 0.0, ""angle"": 27.622642189359954, ""elevation"": 0.0}, {""range"": 0.7505833906436585, ""doppler"": 0.0, ""angle"": 27.41969307492666, ""elevation"": 0.0}, {""range"": 0.7837585271772551, ""doppler"": 0.0, ""angle"": 28.553080444921246, ""elevation"": 0.0}]",1784843112257.101
