ax,ay,az,gx,gy,gz,timestamp_ms
0.72,0.278,-0.599,5.46,-6.62,12.79,1784844267302.7551
0.735,0.262,-0.565,6.13,-6.41,12.09,1784844267303.561
0.756,0.262,-0.535,9.0,-7.57,12.09,1784844267304.194
0.764,0.264,-0.555,11.6,-9.37,13.09,1784844267304.729
0.745,0.258,-0.6,11.41,-9.92,13.64,1784844267305.305
0.732,0.266,-0.623,8.85,-9.8,13.49,1784844267305.9648
0.735,0.271,-0.637,5.49,-9.74,13.98,1784844267306.4849
0.741,0.261,-0.648,2.08,-8.82,13.92,1784844267306.997
0.744,0.225,-0.643,0.24,-7.29,12.73,1784844267307.5042
0.748,0.205,-0.611,0.58,-5.86,11.02,1784844267308.121
0.76,0.221,-0.604,3.48,-5.22,10.65,1784844267308.436
0.767,0.229,-0.62,8.55,-4.06,11.75,1784844267308.7393
0.759,0.233,-0.625,12.48,-2.66,11.6,1784844267309.0508
0.747,0.248,-0.621,13.76,-2.14,11.02,1784844267309.3618
0.737,0.253,-0.626,13.18,-1.92,10.62,1784844267309.7441
0.736,0.256,-0.615,11.57,-1.34,10.38,1784844267310.067
0.745,0.273,-0.605,10.41,-0.85,11.2,1784844267310.382
0.738,0.284,-0.603,10.1,-0.4,12.85,1784844267310.7
0.724,0.278,-0.595,9.52,-0.12,13.92,1784844267311.006
0.718,0.276,-0.589,8.24,-0.46,14.8,1784844267311.383
0.715,0.282,-0.575,6.32,-0.7,16.63,1784844267311.74
0.706,0.274,-0.544,4.91,-1.19,19.01,1784844267312.054
0.694,0.252,-0.512,5.16,-2.78,20.78,1784844267312.364
0.679,0.211,-0.477,8.36,-4.79,21.91,1784844267312.733
0.675,0.172,-0.421,14.16,-7.32,22.83,1784844267313.059
0.68,0.156,-0.387,22.64,-12.09,24.84,1784844267313.3828
0.688,0.163,-0.407,31.86,-18.25,27.34,1784844267313.7012
0.691,0.191,-0.389,39.19,-24.14,29.27,1784844267314.0217
0.683,0.207,-0.408,42.91,-31.04,30.12,1784844267314.349
0.672,0.212,-0.435,42.94,-36.04,29.88,1784844267315.346
0.662,0.194,-0.432,45.01,-39.19,30.27,1784844267315.693
0.663,0.156,-0.427,51.18,-42.02,31.77,1784844267316.025
0.663,0.112,-0.452,60.27,-45.23,34.27,1784844267316.349
0.66,0.069,-0.485,70.47,-47.43,36.87,1784844267316.7
0.649,0.032,-0.472,80.6,-48.04,38.76,1784844267317.045
0.637,0.006,-0.499,90.85,-50.05,40.04,1784844267317.365
0.63,0.023,-0.683,98.48,-53.35,42.3,1784844267317.6829
0.63,0.082,-0.737,99.8,-50.17,46.39,1784844267318.0007
0.62,0.125,-0.663,98.36,-47.61,50.11,1784844267318.323
0.612,0.123,-0.601,94.88,-49.5,52.52,1784844267318.6401
0.614,0.108,-0.491,90.06,-51.0,54.48,1784844267318.959
0.619,0.094,-0.38,87.1,-54.35,58.11,1784844267319.2861
0.596,0.083,-0.42,87.89,-61.4,63.69,1784844267319.615
0.553,0.103,-0.54,89.82,-64.46,71.47,1784844267320.104
0.526,0.133,-0.641,93.75,-63.6,81.48,1784844267320.6
0.507,0.138,-0.917,96.59,-64.73,90.82,1784844267321.097
0.519,0.092,-1.12,91.68,-57.89,96.77,1784844267321.597
0.524,0.026,-1.07,78.46,-44.92,97.51,1784844267322.0962
0.532,-0.018,-0.991,61.28,-38.06,96.16,1784844267322.759
0.56,-0.077,-0.952,48.95,-34.49,96.56,1784844267323.257
0.571,-0.168,-0.829,42.51,-26.95,97.26,1784844267323.606
0.563,-0.218,-0.669,40.93,-21.06,95.49,1784844267323.932
0.565,-0.229,-0.518,44.89,-23.56,98.45,1784844267324.253
0.518,-0.212,-0.405,57.16,-30.76,107.3,1784844267324.573
0.485,-0.221,-0.334,81.3,-37.23,118.11,1784844267324.893
0.447,-0.292,-0.298,107.85,-44.16,126.35,1784844267325.223
0.394,-0.348,-0.27,123.87,-51.73,129.7,1784844267325.553
0.339,-0.378,-0.3,131.14,-61.74,130.83,1784844267325.8801
0.298,-0.442,-0.362,133.85,-70.83,132.57,1784844267326.21
0.26,-0.485,-0.346,125.77,-78.71,134.4,1784844267326.5422
0.219,-0.46,-0.314,115.05,-89.02,137.55,1784844267326.861
0.202,-0.405,-0.309,113.96,-100.34,143.59,1784844267327.184
0.185,-0.345,-0.267,124.58,-109.84,150.67,1784844267327.5571
0.156,-0.305,-0.224,142.22,-119.88,156.74,1784844267327.8877
0.103,-0.275,-0.211,159.89,-131.84,162.88,1784844267328.211
0.053,-0.303,-0.293,175.27,-142.52,172.22,1784844267328.559
0.015,-0.404,-0.401,181.62,-146.58,180.06,1784844267328.886
-0.044,-0.495,-0.494,174.02,-147.43,178.9,1784844267329.2183
-0.068,-0.534,-0.589,162.02,-147.16,177.53,1784844267329.548
-0.106,-0.639,-0.662,151.01,-148.29,186.5,1784844267329.877
-0.144,-0.761,-0.669,142.19,-142.98,192.57,1784844267330.198
-0.154,-0.81,-0.601,135.32,-136.33,188.02,1784844267330.518
-0.114,-0.754,-0.483,136.45,-130.86,188.67,1784844267330.836
-0.129,-0.643,-0.404,136.2,-131.63,201.18,1784844267331.158
-0.206,-0.45,-0.362,126.13,-135.59,219.98,1784844267331.479
-0.334,-0.316,-0.426,112.46,-143.8,243.96,1784844267331.8022
-0.488,-0.287,-0.526,92.44,-154.33,264.56,1784844267332.116
-0.607,-0.434,-0.584,63.91,-168.22,277.11,1784844267332.438
-0.592,-0.709,-0.66,29.33,-178.35,271.0,1784844267332.76
-0.575,-0.968,-0.643,-3.08,-180.18,248.57,1784844267333.0823
-0.607,-1.227,-0.694,-25.82,-180.97,221.17,1784844267333.395
-0.634,-1.404,-0.698,-38.3,-175.42,196.57,1784844267333.713
-0.751,-1.475,-0.616,-40.07,-175.42,187.69,1784844267334.029
-0.859,-1.356,-0.652,-20.51,-169.87,191.26,1784844267334.347
-0.981,-1.153,-0.696,13.92,-157.54,209.27,1784844267334.661
-1.012,-1.035,-0.802,38.58,-148.78,232.76,1784844267334.979
-1.074,-0.974,-0.888,38.21,-143.1,244.79,1784844267335.298
-1.122,-0.905,-0.894,20.33,-136.66,244.36,1784844267335.6162
-1.142,-0.883,-0.83,2.62,-129.03,237.53,1784844267335.928
-1.153,-0.934,-0.775,-7.23,-122.53,223.91,1784844267336.244
-1.149,-0.975,-0.737,-11.78,-116.15,205.73,1784844267336.561
-1.163,-0.966,-0.678,-9.06,-108.98,188.94,1784844267336.8782
-1.181,-0.947,-0.667,0.73,-104.46,177.62,1784844267337.192
-1.187,-0.918,-0.696,8.3,-100.59,168.03,1784844267337.514
-1.178,-0.882,-0.726,9.37,-94.67,155.06,1784844267337.8591
-1.17,-0.846,-0.748,5.98,-86.49,137.24,1784844267338.182
-1.157,-0.822,-0.739,0.7,-76.6,116.89,1784844267338.4958
-1.125,-0.811,-0.71,-3.81,-66.65,96.68,1784844267338.811
-1.079,-0.796,-0.653,-5.98,-56.73,78.04,1784844267339.124
-1.031,-0.77,-0.591,-4.15,-47.7,61.95,1784844267339.437
