ax,ay,az,gx,gy,gz,timestamp_ms
0.841,0.371,-0.539,11.29,-6.87,2.9,1784844311599.03
0.842,0.394,-0.541,13.55,-5.31,1.4,1784844311599.6953
0.833,0.418,-0.54,12.51,-3.72,0.03,1784844311600.427
0.82,0.425,-0.539,8.39,-2.38,-0.43,1784844311601.061
0.809,0.44,-0.525,2.99,-1.5,0.12,1784844311601.572
0.799,0.433,-0.516,-0.7,-1.37,1.5,1784844311602.0989
0.784,0.412,-0.523,-3.91,-1.43,1.53,1784844311606.809
0.772,0.383,-0.522,-7.54,-1.13,0.98,1784844311608.0278
0.772,0.348,-0.507,-8.67,-0.79,0.52,1784844311608.751
0.778,0.32,-0.493,-6.07,-0.85,0.03,1784844311609.3708
0.78,0.293,-0.481,-1.89,-1.19,-0.61,1784844311609.958
0.779,0.296,-0.465,1.46,-1.34,-1.62,1784844311610.541
0.78,0.316,-0.453,6.07,-1.71,-1.46,1784844311611.134
0.777,0.339,-0.462,11.66,-2.87,-1.5,1784844311612.2087
0.768,0.372,-0.499,14.01,-3.69,-1.31,1784844311612.8098
0.755,0.396,-0.531,10.47,-3.6,-0.55,1784844311613.419
0.748,0.408,-0.543,3.05,-3.57,0.27,1784844311614.259
0.753,0.399,-0.543,-3.08,-3.66,0.58,1784844311614.988
0.76,0.383,-0.528,-6.2,-3.42,0.49,1784844311615.3027
0.762,0.368,-0.514,-5.83,-3.11,0.95,1784844311615.62
0.762,0.351,-0.514,-3.6,-2.69,1.65,1784844311615.937
0.762,0.335,-0.52,-0.89,-2.17,2.11,1784844311616.256
0.765,0.339,-0.519,1.53,-1.77,2.32,1784844311616.5671
0.772,0.353,-0.524,4.7,-1.19,3.23,1784844311616.8872
0.774,0.371,-0.534,7.35,-0.4,3.63,1784844311617.2092
0.768,0.393,-0.542,6.65,0.43,3.78,1784844311617.537
0.767,0.404,-0.547,2.99,0.98,4.49,1784844311617.856
0.771,0.381,-0.549,-1.92,1.5,4.97,1784844311618.1782
0.776,0.35,-0.54,-6.41,1.8,4.09,1784844311618.503
0.779,0.346,-0.529,-7.63,2.17,3.69,1784844311618.8203
0.778,0.343,-0.522,-6.23,2.47,4.55,1784844311619.135
0.768,0.336,-0.522,-5.28,2.26,4.33,1784844311619.4492
0.764,0.333,-0.52,-5.8,2.17,3.05,1784844311619.759
0.769,0.323,-0.506,-5.92,2.47,2.5,1784844311620.07
0.779,0.32,-0.488,-3.54,2.38,2.81,1784844311620.38
0.79,0.335,-0.494,0.61,1.8,3.27,1784844311620.6929
0.788,0.34,-0.505,4.24,1.46,2.69,1784844311621.0051
0.778,0.347,-0.517,5.55,1.43,1.46,1784844311621.328
0.771,0.353,-0.529,5.65,1.59,1.43,1784844311621.6362
0.772,0.36,-0.52,5.8,1.62,2.08,1784844311621.966
0.776,0.384,-0.52,5.04,1.19,3.05,1784844311622.2908
0.775,0.393,-0.525,1.77,1.25,4.21,1784844311622.874
0.771,0.379,-0.526,-2.5,1.1,4.12,1784844311623.299
0.769,0.355,-0.514,-5.34,0.73,3.97,1784844311623.7
0.774,0.327,-0.504,-5.62,-0.34,3.54,1784844311624.0908
0.783,0.318,-0.5,-3.72,-1.07,2.84,1784844311624.486
0.788,0.327,-0.497,-0.27,-0.95,3.85,1784844311624.882
0.783,0.325,-0.502,4.18,-0.67,4.24,1784844311625.279
0.778,0.348,-0.516,6.9,-1.4,3.6,1784844311625.6719
0.778,0.356,-0.524,6.68,-1.8,4.21,1784844311626.121
0.787,0.342,-0.538,3.51,-1.89,3.91,1784844311626.5203
0.787,0.342,-0.538,-0.43,-1.68,2.81,1784844311626.912
0.796,0.329,-0.535,-2.11,-1.34,1.5,1784844311627.31
0.801,0.305,-0.524,-0.76,-1.1,-0.21,1784844311627.708
0.803,0.294,-0.51,3.63,-1.01,-1.01,1784844311628.105
