ax,ay,az,gx,gy,gz,timestamp_ms
0.87,-0.019,-0.509,2.35,-0.18,-1.43,1785101831339.2861
0.874,-0.021,-0.504,2.62,-0.12,-1.5,1785101831339.709
0.877,-0.017,-0.497,2.99,-0.15,-1.71,1785101831340.1448
0.873,-0.016,-0.488,3.14,-0.4,-1.74,1785101831340.564
0.873,-0.009,-0.478,3.27,-0.73,-1.59,1785101831340.971
0.871,-0.005,-0.481,3.17,-1.13,-1.62,1785101831341.3848
0.868,-0.001,-0.493,2.75,-1.16,-1.56,1785101831341.793
0.866,-0.011,-0.509,2.29,-0.7,-1.43,1785101831342.187
0.87,-0.024,-0.516,1.8,-0.09,-1.62,1785101831342.586
0.875,-0.03,-0.508,1.56,0.09,-1.68,1785101831342.9912
0.883,-0.03,-0.508,1.68,0.31,-1.28,1785101831343.409
0.882,-0.027,-0.501,1.71,0.67,-1.04,1785101831343.801
0.888,-0.023,-0.496,1.83,0.73,-0.85,1785101831344.2039
0.9,-0.021,-0.493,2.14,0.92,-0.67,1785101831344.5562
0.903,-0.023,-0.487,2.5,1.4,-0.49,1785101831344.8909
0.909,-0.026,-0.48,3.05,1.56,-0.43,1785101831345.227
0.914,-0.028,-0.49,3.57,2.01,-0.61,1785101831345.566
0.902,-0.029,-0.496,3.66,2.84,-0.95,1785101831345.906
0.893,-0.029,-0.504,3.78,3.57,-1.19,1785101831346.2778
0.884,-0.029,-0.51,4.0,4.55,-1.31,1785101831346.616
0.878,-0.027,-0.507,4.06,5.19,-1.43,1785101831346.9792
0.878,-0.022,-0.51,3.85,5.58,-1.59,1785101831347.32
0.87,-0.019,-0.506,3.14,6.23,-1.77,1785101831347.736
0.866,-0.017,-0.5,2.08,6.53,-1.77,1785101831348.0989
0.862,-0.018,-0.494,1.59,6.59,-1.53,1785101831348.4348
0.855,-0.021,-0.485,1.95,6.44,-1.19,1785101831348.786
0.848,-0.019,-0.47,3.08,5.86,-0.67,1785101831349.18
0.845,-0.011,-0.459,4.46,4.64,-0.06,1785101831349.54
0.842,-0.008,-0.461,5.58,3.69,0.79,1785101831349.8699
0.838,-0.009,-0.464,6.62,2.93,1.46,1785101831350.2322
0.837,-0.009,-0.472,8.0,1.77,2.17,1785101831350.5679
0.828,-0.011,-0.474,9.43,0.73,3.23,1785101831350.902
0.82,-0.015,-0.473,10.93,-0.37,4.58,1785101831351.235
0.82,-0.015,-0.473,12.48,-1.68,6.16,1785101831351.583
0.815,-0.017,-0.477,13.73,-2.5,7.54,1785101831351.926
0.807,-0.024,-0.478,14.5,-3.45,8.85,1785101831352.239
0.797,-0.028,-0.48,15.23,-4.46,10.41,1785101831352.54
0.797,-0.03,-0.477,16.45,-5.71,12.27,1785101831352.848
0.793,-0.034,-0.47,16.45,-5.71,12.27,1785101831353.146
0.793,-0.039,-0.464,18.49,-7.14,13.98,1785101831353.437
0.786,-0.043,-0.455,21.21,-8.51,15.38,1785101831353.7368
0.78,-0.047,-0.446,24.11,-9.89,17.21,1785101831354.037
0.774,-0.05,-0.428,27.25,-11.72,19.53,1785101831354.323
0.766,-0.057,-0.415,30.82,-14.04,22.16,1785101831354.6118
0.758,-0.062,-0.406,34.85,-16.45,24.87,1785101831354.9011
0.742,-0.072,-0.401,39.7,-18.89,27.71,1785101831355.194
0.723,-0.088,-0.395,44.89,-21.45,30.61,1785101831355.4822
0.712,-0.093,-0.388,50.54,-25.09,33.23,1785101831355.7817
0.704,-0.094,-0.393,56.76,-28.5,36.29,1785101831356.081
0.695,-0.097,-0.397,62.87,-31.4,39.83,1785101831356.396
0.685,-0.109,-0.411,68.03,-34.18,43.49,1785101831356.697
0.679,-0.123,-0.432,70.96,-36.07,47.12,1785101831356.986
0.67,-0.15,-0.449,71.6,-37.35,51.21,1785101831357.2747
0.665,-0.187,-0.445,70.56,-38.91,55.45,1785101831357.573
0.67,-0.224,-0.441,69.28,-41.23,59.94,1785101831357.861
0.671,-0.262,-0.457,69.77,-43.24,64.0,1785101831358.1619
0.672,-0.286,-0.495,71.84,-44.62,67.17,1785101831358.498
0.673,-0.288,-0.508,75.23,-45.56,69.86,1785101831358.79
0.678,-0.286,-0.507,80.81,-46.57,72.7,1785101831359.092
0.685,-0.294,-0.504,88.56,-46.91,75.87,1785101831359.394
0.681,-0.309,-0.481,97.42,-47.21,79.07,1785101831359.6953
0.676,-0.344,-0.459,106.85,-47.3,82.4,1785101831359.9858
0.673,-0.392,-0.451,114.96,-47.0,85.85,1785101831360.2612
0.666,-0.457,-0.439,120.91,-45.56,88.9,1785101831360.527
0.656,-0.515,-0.402,125.58,-45.56,91.31,1785101831360.7922
0.657,-0.556,-0.386,131.63,-48.4,94.49,1785101831361.054
0.663,-0.56,-0.375,140.54,-51.55,97.69,1785101831361.355
0.669,-0.531,-0.357,153.84,-54.72,100.96,1785101831361.63
0.681,-0.519,-0.359,172.52,-56.86,105.01,1785101831361.898
0.679,-0.515,-0.373,191.75,-57.13,108.43,1785101831362.161
0.67,-0.515,-0.389,208.72,-56.28,111.94,1785101831362.434
0.647,-0.527,-0.403,222.27,-54.6,114.38,1785101831362.7031
0.624,-0.551,-0.403,231.82,-51.79,117.56,1785101831362.9702
0.607,-0.582,-0.394,238.78,-49.07,122.35,1785101831363.242
0.599,-0.619,-0.389,244.61,-46.05,127.87,1785101831363.507
0.589,-0.651,-0.376,249.7,-42.33,133.12,1785101831363.778
0.581,-0.691,-0.373,254.62,-38.27,138.28,1785101831364.0361
0.574,-0.752,-0.367,257.97,-32.87,141.88,1785101831364.3047
0.542,-0.779,-0.344,255.93,-28.5,142.95,1785101831364.5881
0.51,-0.749,-0.327,250.28,-24.14,146.76,1785101831364.8699
0.495,-0.744,-0.331,245.64,-18.28,154.48,1785101831365.134
0.45,-0.745,-0.337,235.79,-13.89,164.04,1785101831365.4102
0.5,-0.773,-0.309,223.4,-8.97,173.35,1785101831365.677
0.487,-0.778,-0.291,208.29,-6.1,162.63,1785101831365.9412
0.406,-0.786,-0.213,187.35,-2.26,149.78,1785101831366.205
0.365,-0.887,-0.103,170.29,0.06,149.08,1785101831366.472
0.355,-1.039,-0.048,162.82,-1.07,150.85,1785101831366.74
0.316,-1.08,-0.004,160.16,-1.16,148.26,1785101831367.029
0.293,-1.086,0.028,163.27,0.34,146.82,1785101831367.285
0.287,-1.147,0.011,166.3,1.1,144.51,1785101831367.5872
0.268,-1.191,-0.002,158.15,1.71,137.82,1785101831367.889
0.24,-1.22,0.003,142.0,3.14,129.0,1785101831368.132
0.199,-1.248,0.008,121.43,4.55,120.98,1785101831368.3728
0.184,-1.284,0.043,100.56,6.5,116.31,1785101831368.6199
0.187,-1.346,0.091,85.33,7.51,110.45,1785101831368.9111
0.179,-1.404,0.145,74.71,7.69,100.74,1785101831369.146
0.162,-1.446,0.211,67.63,6.81,90.09,1785101831369.386
0.143,-1.464,0.278,64.0,5.04,79.9,1785101831369.623
0.131,-1.466,0.332,64.73,3.39,70.41,1785101831369.865
0.115,-1.457,0.35,69.12,1.16,61.1,1785101831370.105
0.104,-1.423,0.353,73.49,-0.61,52.52,1785101831370.343
0.103,-1.387,0.343,77.67,-2.44,44.34,1785101831370.594
0.108,-1.348,0.319,79.93,-4.24,36.1,1785101831370.827
0.122,-1.308,0.301,79.56,-5.52,27.65,1785101831371.064
0.131,-1.263,0.29,76.75,-6.93,16.72,1785101831371.318
0.133,-1.225,0.287,70.53,-8.12,6.13,1785101831371.5808
0.143,-1.197,0.302,61.8,-9.37,-1.4,1785101831371.812
0.149,-1.164,0.331,53.13,-10.5,-6.87,1785101831372.061
0.152,-1.138,0.355,47.18,-11.63,-10.77,1785101831372.318
0.156,-1.113,0.378,43.89,-12.94,-13.98,1785101831372.554
0.17,-1.089,0.398,43.82,-14.62,-17.24,1785101831372.795
0.174,-1.064,0.411,46.17,-16.69,-21.06,1785101831373.034
0.182,-1.046,0.433,50.87,-18.62,-23.65,1785101831373.271
0.183,-1.066,0.434,59.05,-20.94,-26.18,1785101831373.502
0.168,-1.063,0.422,68.06,-22.71,-28.69,1785101831373.7432
0.154,-1.026,0.401,76.82,-24.26,-28.75,1785101831373.9773
0.157,-0.988,0.378,83.38,-25.3,-27.56,1785101831374.2048
0.164,-0.94,0.378,85.3,-25.7,-27.62,1785101831374.424
0.169,-0.921,0.38,84.66,-26.52,-28.84,1785101831374.6528
0.167,-0.911,0.395,81.3,-27.38,-30.64,1785101831374.881
0.164,-0.9,0.436,76.82,-28.93,-32.11,1785101831375.102
