distance_cm,timestamp_ms
59.0,1785101831338.7861
60.0,1785101831347.765
61.0,1785101831367.614
61.0,1785101831390.3281
60.0,1785101831411.0442
59.0,1785101831431.715
59.0,1785101831450.4802
59.0,1785101831471.3
59.0,1785101831495.0789
58.0,1785101831510.972
58.0,1785101831532.002
58.0,1785101831550.859
59.0,1785101831571.905
57.0,1785101831595.551
60.0,1785101831611.516
57.0,1785101831635.3591
53.0,1785101831651.193
53.0,1785101831672.184
55.0,1785101831691.35
55.0,1785101831712.1658
52.0,1785101831731.277
55.0,1785101831752.2239
51.0,1785101831771.57
50.0,1785101831792.1929
53.0,1785101831811.237
49.0,1785101831831.975
49.0,1785101831851.1062
51.0,1785101831872.063
46.0,1785101831891.367
46.0,1785101831915.078
52.0,1785101831931.2498
51.0,1785101831955.263
53.0,1785101831971.615
53.0,1785101831995.594
56.0,1785101832012.1868
62.0,1785101832031.242
65.0,1785101832055.263
64.0,1785101832071.6382
65.0,1785101832095.187
65.0,1785101832111.8928
66.0,1785101832131.024
67.0,1785101832152.239
64.0,1785101832171.5461
59.0,1785101832192.3972
67.0,1785101832211.565
67.0,1785101832235.278
69.0,1785101832251.6338
72.0,1785101832275.497
68.0,1785101832291.688
67.0,1785101832315.5232
72.0,1785101832331.92
72.0,1785101832351.1099
73.0,1785101832372.363
77.0,1785101832391.4531
78.0,1785101832415.3962
78.0,1785101832431.958
81.0,1785101832451.123
86.0,1785101832472.401
91.0,1785101832491.382
92.0,1785101832515.236
92.0,1785101832531.705
86.0,1785101832555.7703
91.0,1785101832572.1282
92.0,1785101832591.292
93.0,1785101832615.0159
99.0,1785101832631.4812
96.0,1785101832655.6401
100.0,1785101832671.9238
90.0,1785101832691.082
135.0,1785101832712.186
117.0,1785101832731.3809
113.0,1785101832755.2869
108.0,1785101832771.6648
108.0,1785101832795.445
114.0,1785101832811.9521
110.0,1785101832831.116
107.0,1785101832852.337
111.0,1785101832871.618
114.0,1785101832895.225
111.0,1785101832911.7131
107.0,1785101832935.701
109.0,1785101832951.961
116.0,1785101832971.262
108.0,1785101832991.473
116.0,1785101833012.366
113.0,1785101833031.177
100.0,1785101833052.0288
98.0,1785101833071.223
93.0,1785101833091.5752
101.0,1785101833112.261
101.0,1785101833131.27
100.0,1785101833151.663
107.0,1785101833175.452
111.0,1785101833191.2441
111.0,1785101833212.147
104.0,1785101833231.1768
111.0,1785101833252.189
106.0,1785101833271.393
113.0,1785101833292.295
114.0,1785101833311.414
114.0,1785101833335.264
110.0,1785101833351.705
107.0,1785101833375.602
107.0,1785101833392.0122
108.0,1785101833411.186
103.0,1785101833432.3782
102.0,1785101833451.5059
103.0,1785101833475.346
108.0,1785101833491.7332
112.0,1785101833515.6692
106.0,1785101833532.09
106.0,1785101833551.296
106.0,1785101833575.126
100.0,1785101833591.5579
103.0,1785101833615.435
102.0,1785101833631.8872
107.0,1785101833651.0698
107.0,1785101833672.287
114.0,1785101833691.4812
113.0,1785101833715.1438
111.0,1785101833731.6038
114.0,1785101833755.6638
96.0,1785101833771.775
116.0,1785101833795.494
113.0,1785101833811.755
117.0,1785101833835.5542
114.0,1785101833851.99
112.0,1785101833871.287
111.0,1785101833892.4019
107.0,1785101833911.51
93.0,1785101833932.4382
91.0,1785101833951.541
98.0,1785101833972.409
108.0,1785101833991.719
99.0,1785101834012.392
92.0,1785101834031.538
88.0,1785101834052.4822
88.0,1785101834071.746
86.0,1785101834092.411
101.0,1785101834111.603
106.0,1785101834132.373
107.0,1785101834151.602
110.0,1785101834172.4658
107.0,1785101834191.642
108.0,1785101834212.2131
105.0,1785101834231.267
106.0,1785101834251.9749
102.0,1785101834275.655
105.0,1785101834291.5042
111.0,1785101834315.209
102.0,1785101834331.182
110.0,1785101834352.271
112.0,1785101834371.338
112.0,1785101834391.744
112.0,1785101834415.452
111.0,1785101834431.395
110.0,1785101834452.2778
112.0,1785101834471.311
111.0,1785101834491.5771
113.0,1785101834512.3442
111.0,1785101834531.2231
111.0,1785101834551.6968
112.0,1785101834572.4878
108.0,1785101834591.368
107.0,1785101834611.714
108.0,1785101834635.427
107.0,1785101834651.0022
107.0,1785101834671.8928
105.0,1785101834695.4219
105.0,1785101834711.071
104.0,1785101834731.83
105.0,1785101834755.6538
99.0,1785101834771.268
99.0,1785101834791.9731
104.0,1785101834815.521
100.0,1785101834831.1958
100.0,1785101834852.078
99.0,1785101834875.663
100.0,1785101834891.3547
95.0,1785101834912.086
98.0,1785101834930.927
103.0,1785101834951.377
99.0,1785101834972.186
101.0,1785101834991.144
100.0,1785101835011.441
100.0,1785101835032.165
101.0,1785101835051.075
106.0,1785101835071.5862
106.0,1785101835092.331
104.0,1785101835111.222
104.0,1785101835131.568
101.0,1785101835153.095
104.0,1785101835171.404
102.0,1785101835191.514
105.0,1785101835212.4001
105.0,1785101835231.2761
109.0,1785101835251.747
104.0,1785101835275.404
103.0,1785101835291.069
105.0,1785101835311.809
108.0,1785101835335.449
108.0,1785101835351.0552
105.0,1785101835371.871
108.0,1785101835395.4802
108.0,1785101835411.155
110.0,1785101835431.8872
102.0,1785101835455.6968
104.0,1785101835471.343
102.0,1785101835491.773
97.0,1785101835515.6428
104.0,1785101835531.5762
101.0,1785101835555.4602
99.0,1785101835571.342
98.0,1785101835592.184
100.0,1785101835611.2761
97.0,1785101835631.805
96.0,1785101835655.679
84.0,1785101835671.62
77.0,1785101835695.266
88.0,1785101835711.835
102.0,1785101835735.7812
111.0,1785101835752.1929
115.0,1785101835771.461
96.0,1785101835795.0469
106.0,1785101835811.84
115.0,1785101835830.94
109.0,1785101835855.246
108.0,1785101835871.857
106.0,1785101835895.7078
105.0,1785101835912.406
99.0,1785101835931.568
99.0,1785101835955.79
98.0,1785101835972.446
93.0,1785101835991.586
94.0,1785101836015.5352
88.0,1785101836032.295
88.0,1785101836051.498
88.0,1785101836075.5642
86.0,1785101836092.219
88.0,1785101836111.435
83.0,1785101836135.4749
80.0,1785101836152.1611
82.0,1785101836171.5122
83.0,1785101836195.335
83.0,1785101836211.804
77.0,1785101836235.72
77.0,1785101836251.825
74.0,1785101836275.5798
75.0,1785101836291.788
75.0,1785101836315.54
