num_points,points,timestamp_ms
3,"[{""range"": 0.7725732546999025, ""doppler"": 0.0, ""angle"": 3.808782084627516, ""elevation"": 0.0}, {""range"": 0.7837924077457273, ""doppler"": 0.0, ""angle"": 8.858461965853655, ""elevation"": 0.0}, {""range"": 0.8034952953866838, ""doppler"": 0.0, ""angle"": 13.893986197899155, ""elevation"": 0.0}]",1785101958016.8672
6,"[{""range"": 0.893418014983045, ""doppler"": 0.0, ""angle"": -11.67426718812302, ""elevation"": 0.0}, {""range"": 0.7747452907185747, ""doppler"": 0.0, ""angle"": -5.323732102367729, ""elevation"": 0.0}, {""range"": 0.7899404831367149, ""doppler"": 0.0, ""angle"": -5.6770392915857215, ""elevation"": 0.0}, {""range"": 0.8033559241389071, ""doppler"": 0.0, ""angle"": -6.91621456500034, ""elevation"": 0.0}, {""range"": 0.8354956274263807, ""doppler"": 0.0, ""angle"": -8.591399891621018, ""elevation"": 0.0}, {""range"": 1.9126120639031388, ""doppler"": 0.0, ""angle"": 54.15221439824532, ""elevation"": 0.0}]",1785101958017.431
6,"[{""range"": 0.7790997196538757, ""doppler"": 0.0, ""angle"": 0.24985377788019553, ""elevation"": 0.0}, {""range"": 0.7969332835713997, ""doppler"": 0.0, ""angle"": 3.7952612954248983, ""elevation"": 0.0}, {""range"": 0.8039078549459628, ""doppler"": 0.0, ""angle"": 6.37256144423706, ""elevation"": 0.0}, {""range"": 0.8286744932304813, ""doppler"": 0.0, ""angle"": 9.702162659722187, ""elevation"": 0.0}, {""range"": 1.8900247905342387, ""doppler"": 0.0, ""angle"": 48.309739764443556, ""elevation"": 0.0}, {""range"": 1.9091385297755268, ""doppler"": 0.0, ""angle"": 49.66878799784832, ""elevation"": 0.0}]",1785101958017.947
6,"[{""range"": 0.7724898141746751, ""doppler"": 0.0, ""angle"": -2.1623297943776323, ""elevation"": 0.0}, {""range"": 0.8054115665188925, ""doppler"": 0.0, ""angle"": 6.181454733626874, ""elevation"": 0.0}, {""range"": 0.8222144311088693, ""doppler"": 0.0, ""angle"": 6.230108247161253, ""elevation"": 0.0}, {""range"": 0.842069732011391, ""doppler"": 0.0, ""angle"": 4.603998800444945, ""elevation"": 0.0}, {""range"": 1.887819429223376, ""doppler"": 0.0, ""angle"": 44.190260259252604, ""elevation"": 0.0}, {""range"": 1.8986367049630362, ""doppler"": 0.0, ""angle"": 48.37497501776891, ""elevation"": 0.0}]",1785101958018.4487
6,"[{""range"": 0.7762510813540625, ""doppler"": 0.0, ""angle"": -0.409154336048429, ""elevation"": 0.0}, {""range"": 0.7927326510198256, ""doppler"": 0.0, ""angle"": 3.2844968512235035, ""elevation"": 0.0}, {""range"": 0.8062033606567772, ""doppler"": 0.0, ""angle"": 6.7892750258282195, ""elevation"": 0.0}, {""range"": 0.8345107040505939, ""doppler"": 0.0, ""angle"": 11.757772361443841, ""elevation"": 0.0}, {""range"": 1.8853462361047717, ""doppler"": 0.0, ""angle"": 46.98314420679275, ""elevation"": 0.0}, {""range"": 1.901695968713094, ""doppler"": 0.0, ""angle"": 50.37929341407136, ""elevation"": 0.0}]",1785101958018.953
6,"[{""range"": 0.8860908866299537, ""doppler"": 0.0, ""angle"": -12.967751137132499, ""elevation"": 0.0}, {""range"": 0.8404500303338316, ""doppler"": 0.0, ""angle"": -4.894234173684676, ""elevation"": 0.0}, {""range"": 0.7810764790631874, ""doppler"": 0.0, ""angle"": -0.3803922145195322, ""elevation"": 0.0}, {""range"": 0.796618405412554, ""doppler"": 0.0, ""angle"": 1.2218845678251156, ""elevation"": 0.0}, {""range"": 0.8082412381056329, ""doppler"": 0.0, ""angle"": 2.092008436681284, ""elevation"": 0.0}, {""range"": 1.8849372656442471, ""doppler"": 0.0, ""angle"": 48.091568696858694, ""elevation"": 0.0}]",1785101958019.4612
4,"[{""range"": 0.7814172203534661, ""doppler"": 0.0, ""angle"": 0.05244463479329224, ""elevation"": 0.0}, {""range"": 0.7974109112149531, ""doppler"": 0.0, ""angle"": 0.8094626489955458, ""elevation"": 0.0}, {""range"": 0.8070472116131615, ""doppler"": 0.0, ""angle"": 0.6982299744831822, ""elevation"": 0.0}, {""range"": 0.8303263115567092, ""doppler"": 0.0, ""angle"": -1.8881880067409305, ""elevation"": 0.0}]",1785101958019.918
6,"[{""range"": 0.8458482203535179, ""doppler"": 0.0, ""angle"": 1.356719790042656, ""elevation"": 0.0}, {""range"": 0.8110098845505324, ""doppler"": 0.0, ""angle"": 9.748923325406935, ""elevation"": 0.0}, {""range"": 0.8265040794643463, ""doppler"": 0.0, ""angle"": 4.7904067588023, ""elevation"": 0.0}, {""range"": 2.024546281340651, ""doppler"": 0.0, ""angle"": 40.432784589877684, ""elevation"": 0.0}, {""range"": 1.884346542574469, ""doppler"": 0.0, ""angle"": 44.8961964467361, ""elevation"": 0.0}, {""range"": 1.9067318112659712, ""doppler"": 0.0, ""angle"": 55.40679614678162, ""elevation"": 0.0}]",1785101958020.318
6,"[{""range"": 0.7814158291231154, ""doppler"": 0.0, ""angle"": -1.7309390745492024, ""elevation"": 0.0}, {""range"": 0.7944175054219366, ""doppler"": 0.0, ""angle"": -1.9993785493920175, ""elevation"": 0.0}, {""range"": 0.8015907977026695, ""doppler"": 0.0, ""angle"": -2.032635442925162, ""elevation"": 0.0}, {""range"": 0.8339254836114148, ""doppler"": 0.0, ""angle"": -3.2820526331928317, ""elevation"": 0.0}, {""range"": 1.8863051335858447, ""doppler"": 0.0, ""angle"": 52.34795600009932, ""elevation"": 0.0}, {""range"": 1.9113628541304584, ""doppler"": 0.0, ""angle"": 57.55881862637091, ""elevation"": 0.0}]",1785101958020.843
6,"[{""range"": 0.7044902752055197, ""doppler"": 0.0, ""angle"": -36.058380484655174, ""elevation"": 0.0}, {""range"": 0.7821874180379804, ""doppler"": 0.0, ""angle"": 0.6811248704140772, ""elevation"": 0.0}, {""range"": 0.792039583975887, ""doppler"": 0.0, ""angle"": 0.7761428069004709, ""elevation"": 0.0}, {""range"": 0.7977049743556034, ""doppler"": 0.0, ""angle"": 2.132504974384721, ""elevation"": 0.0}, {""range"": 0.8320035777317859, ""doppler"": 0.0, ""angle"": -1.637983780700222, ""elevation"": 0.0}, {""range"": 1.9112815848678089, ""doppler"": 0.0, ""angle"": 51.75877442662191, ""elevation"": 0.0}]",1785101958021.269
