ax,ay,az,gx,gy,gz,timestamp_ms
-0.815,0.319,0.442,1.28,-0.06,-0.21,1784838606213.804
-0.814,0.314,0.439,1.68,-0.34,0.7,1784838606214.507
-0.811,0.311,0.434,1.01,-0.27,1.83,1784838606215.093
-0.809,0.309,0.429,-0.46,0.34,2.69,1784838606215.5981
-0.798,0.305,0.425,-2.14,1.43,3.69,1784838606216.099
-0.786,0.297,0.422,-4.73,3.2,4.58,1784838606216.663
-0.776,0.281,0.427,-9.06,5.77,5.52,1784838606217.119
-0.773,0.265,0.428,-15.11,9.19,6.68,1784838606217.4312
-0.765,0.256,0.431,-23.62,12.94,8.24,1784838606218.104
-0.749,0.253,0.437,-33.69,16.3,10.19,1784838606218.438
-0.752,0.266,0.461,-43.98,19.07,12.02,1784838606218.7588
-0.795,0.293,0.496,-52.52,20.87,13.15,1784838606219.308
-0.814,0.302,0.502,-57.34,21.24,13.73,1784838606219.632
-0.803,0.301,0.482,-58.96,20.45,13.09,1784838606219.9512
-0.811,0.294,0.454,-57.92,19.23,11.51,1784838606220.269
-0.806,0.284,0.438,-54.23,17.82,9.74,1784838606220.592
-0.798,0.293,0.432,-50.97,15.66,8.09,1784838606221.001
-0.778,0.322,0.439,-46.48,13.03,6.65,1784838606221.366
-0.777,0.34,0.44,-41.2,8.85,4.97,1784838606221.71
-0.785,0.334,0.437,-35.34,6.53,2.5,1784838606222.054
-0.782,0.31,0.447,-30.95,5.71,-0.09,1784838606222.364
-0.81,0.295,0.452,-30.92,5.43,-2.04,1784838606222.676
-0.826,0.278,0.444,-35.04,8.39,0.03,1784838606222.979
-0.753,0.238,0.438,-44.22,14.71,5.46,1784838606223.5781
-0.768,0.214,0.442,-59.45,19.75,7.84,1784838606224.1467
-0.813,0.217,0.477,-78.89,24.75,10.04,1784838606224.5078
-0.777,0.255,0.555,-101.32,28.44,15.23,1784838606224.9111
-0.695,0.297,0.676,-124.39,28.87,21.42,1784838606225.2422
-0.659,0.324,0.767,-142.25,27.38,25.45,1784838606225.559
-0.665,0.353,0.802,-152.2,27.19,27.07,1784838606225.8718
-0.641,0.379,0.833,-155.06,28.66,28.78,1784838606226.1829
-0.626,0.391,0.876,-152.62,29.39,29.3,1784838606226.502
-0.645,0.4,0.924,-146.7,29.63,28.02,1784838606226.8313
-0.675,0.411,0.981,-140.96,29.48,25.64,1784838606227.167
-0.7,0.397,1.02,-137.36,28.6,21.67,1784838606227.498
-0.702,0.324,1.034,-137.91,25.82,17.24,1784838606227.818
-0.684,0.237,1.02,-140.96,20.75,12.73,1784838606228.1333
-0.652,0.229,0.989,-146.55,12.39,11.81,1784838606228.4448
-0.598,0.266,1.043,-155.98,0.43,17.12,1784838606228.758
-0.613,0.331,1.169,-163.52,-16.72,18.46,1784838606229.0728
-0.666,0.412,1.299,-162.14,-36.13,16.51,1784838606229.402
-0.695,0.482,1.396,-148.14,-53.53,15.47,1784838606229.722
-0.708,0.519,1.451,-121.77,-69.0,15.05,1784838606230.0369
-0.755,0.504,1.449,-89.48,-83.01,15.56,1784838606230.3481
-0.81,0.479,1.406,-59.08,-96.71,16.45,1784838606230.658
-0.846,0.442,1.358,-35.68,-110.66,18.49,1784838606230.9692
-0.887,0.396,1.281,-18.4,-123.23,20.66,1784838606231.284
-0.903,0.356,1.233,-7.9,-134.77,23.19,1784838606231.594
-0.92,0.319,1.222,-4.12,-146.46,26.37,1784838606231.909
-0.961,0.278,1.213,-2.84,-156.59,28.53,1784838606232.217
-0.997,0.242,1.215,-1.53,-165.2,29.02,1784838606232.527
-1.009,0.236,1.202,1.1,-172.77,29.3,1784838606232.838
-1.011,0.236,1.183,3.45,-178.26,29.24,1784838606233.15
-1.033,0.237,1.162,6.78,-181.22,27.99,1784838606233.4722
-1.038,0.235,1.126,10.38,-183.57,26.86,1784838606233.797
-1.018,0.243,1.106,11.32,-185.58,24.63,1784838606234.122
-0.996,0.253,1.122,9.7,-189.03,22.4,1784838606234.4429
-0.991,0.25,1.124,8.82,-191.5,21.94,1784838606234.76
-1.006,0.247,1.128,6.65,-193.85,22.95,1784838606235.08
-0.978,0.306,1.136,6.59,-195.32,26.25,1784838606235.4
-0.931,0.365,1.13,10.68,-197.21,31.43,1784838606235.725
-0.923,0.372,1.101,18.43,-198.16,32.56,1784838606236.043
-0.935,0.367,1.06,30.7,-197.03,30.0,1784838606236.367
-0.931,0.354,1.016,40.07,-194.4,31.04,1784838606236.692
-0.923,0.322,0.998,42.73,-190.01,35.07,1784838606237.011
-0.904,0.297,0.988,42.05,-185.37,39.64,1784838606237.343
-0.86,0.257,0.906,37.78,-178.99,45.14,1784838606237.67
