ax,ay,az,gx,gy,gz,timestamp_ms
-0.761,0.32,0.473,21.76,34.21,-99.49,1784838630893.734
-0.765,0.358,0.481,17.76,32.35,-96.32,1784838630894.35
-0.75,0.404,0.497,12.36,30.27,-94.42,1784838630894.947
-0.739,0.437,0.514,8.27,28.08,-95.03,1784838630895.542
-0.749,0.45,0.544,5.22,25.76,-98.18,1784838630896.126
-0.802,0.457,0.578,2.44,22.98,-102.97,1784838630896.98
-0.855,0.458,0.596,-0.52,19.96,-107.7,1784838630897.6892
-0.872,0.46,0.601,-2.14,19.07,-112.31,1784838630898.294
-0.861,0.454,0.581,-0.49,17.79,-115.3,1784838630898.903
-0.85,0.444,0.565,3.05,16.42,-117.56,1784838630899.476
-0.816,0.431,0.556,8.3,14.56,-118.69,1784838630899.961
-0.841,0.408,0.537,15.9,12.39,-122.04,1784838630900.4631
-0.871,0.353,0.535,22.92,11.47,-120.55,1784838630900.9568
-0.887,0.325,0.549,28.9,10.35,-115.7,1784838630901.44
-0.945,0.324,0.548,31.8,8.64,-112.83,1784838630901.9258
-0.958,0.314,0.554,31.95,6.5,-107.82,1784838630902.413
-0.96,0.305,0.541,33.42,4.12,-103.06,1784838630902.9
-0.975,0.296,0.54,34.3,3.2,-97.48,1784838630903.3752
-0.997,0.295,0.554,35.37,1.98,-88.99,1784838630903.965
-1.004,0.287,0.575,37.75,1.01,-77.46,1784838630904.4458
-0.986,0.271,0.591,42.21,0.49,-66.19,1784838630904.9248
-0.984,0.276,0.57,48.31,-1.04,-54.9,1784838630905.555
-0.967,0.301,0.536,52.16,-2.53,-40.04,1784838630906.1228
-0.927,0.329,0.502,52.22,-4.27,-25.57,1784838630906.61
-0.875,0.356,0.465,48.77,-5.71,-16.75,1784838630907.0962
-0.84,0.37,0.447,42.33,-5.65,-14.16,1784838630907.5781
-0.859,0.383,0.446,35.46,-4.97,-13.92,1784838630908.061
-0.884,0.393,0.464,28.75,-4.82,-11.96,1784838630908.54
-0.877,0.393,0.479,23.83,-5.55,-8.51,1784838630909.007
-0.857,0.385,0.479,21.12,-6.38,-4.03,1784838630909.482
-0.842,0.369,0.471,18.56,-6.93,1.04,1784838630910.2222
-0.839,0.35,0.467,14.95,-7.26,5.34,1784838630911.4111
-0.836,0.326,0.474,10.99,-7.39,9.0,1784838630911.969
-0.833,0.305,0.484,7.02,-7.69,13.09,1784838630912.3992
-0.829,0.294,0.482,3.81,-8.24,17.55,1784838630912.8079
-0.813,0.299,0.469,1.71,-8.15,21.49,1784838630913.237
-0.803,0.309,0.457,0.55,-7.75,23.87,1784838630914.3062
-0.793,0.319,0.456,0.15,-7.39,24.38,1784838630914.794
-0.788,0.321,0.46,0.49,-7.14,23.87,1784838630915.227
-0.785,0.317,0.464,1.22,-7.11,23.13,1784838630915.649
-0.785,0.315,0.469,1.74,-7.39,22.28,1784838630916.0671
-0.786,0.312,0.471,2.29,-7.54,21.3,1784838630916.509
-0.786,0.312,0.471,2.96,-7.29,20.33,1784838630916.9111
-0.787,0.31,0.476,3.81,-7.29,19.32,1784838630917.321
-0.788,0.31,0.481,4.97,-7.57,18.43,1784838630917.734
-0.79,0.305,0.479,6.35,-7.75,17.55,1784838630918.164
-0.79,0.299,0.475,6.35,-7.75,17.55,1784838630918.561
-0.792,0.294,0.469,7.57,-7.97,16.85,1784838630918.962
-0.793,0.291,0.466,8.45,-7.9,16.11,1784838630919.3652
-0.795,0.288,0.464,8.76,-7.54,15.69,1784838630919.769
-0.798,0.284,0.465,8.85,-7.26,15.66,1784838630920.1802
-0.8,0.279,0.466,8.73,-6.74,15.63,1784838630920.697
-0.807,0.276,0.469,8.45,-6.26,15.96,1784838630921.1663
-0.808,0.272,0.47,8.09,-5.46,16.33,1784838630921.63
-0.813,0.271,0.472,7.42,-4.64,16.36,1784838630922.2742
-0.819,0.271,0.476,6.53,-3.57,16.48,1784838630922.9583
-0.818,0.273,0.477,5.55,-2.26,16.57,1784838630923.315
-0.821,0.272,0.478,4.39,-0.82,16.27,1784838630923.662
-0.817,0.271,0.482,2.9,0.0,16.57,1784838630924.0151
-0.82,0.274,0.482,1.53,0.64,16.42,1784838630924.364
-0.817,0.27,0.479,-0.31,1.95,15.99,1784838630924.7097
-0.808,0.27,0.476,-2.35,3.3,15.72,1784838630925.059
-0.805,0.272,0.476,-3.72,3.94,15.11,1784838630925.408
-0.805,0.271,0.477,-4.52,4.15,14.56,1784838630925.761
-0.802,0.266,0.478,-5.04,4.64,13.95,1784838630926.105
-0.801,0.264,0.48,-5.83,5.13,13.46,1784838630926.577
-0.803,0.264,0.482,-6.65,5.4,12.7,1784838630926.927
-0.801,0.265,0.483,-7.39,5.55,12.02,1784838630927.271
-0.797,0.267,0.487,-8.03,5.62,11.2,1784838630927.6218
-0.796,0.268,0.489,-8.64,5.62,10.35,1784838630927.9712
-0.798,0.27,0.494,-8.94,5.58,9.28,1784838630928.3098
-0.801,0.274,0.499,-9.16,5.65,7.9,1784838630928.6558
-0.804,0.276,0.499,-9.16,5.31,6.53,1784838630929.002
-0.804,0.277,0.499,-8.73,4.55,5.16,1784838630929.349
-0.802,0.28,0.496,-7.93,3.78,3.75,1784838630929.691
-0.802,0.282,0.494,-6.71,2.9,2.38,1784838630930.0388
-0.803,0.282,0.493,-5.31,2.08,1.16,1784838630930.384
-0.804,0.282,0.492,-3.88,1.04,-0.12,1784838630930.725
-0.804,0.283,0.49,-2.59,0.03,-1.34,1784838630931.0688
-0.804,0.285,0.488,-1.5,-0.7,-2.38,1784838630931.4128
-0.804,0.284,0.488,-0.55,-1.59,-3.08,1784838630931.754
-0.803,0.286,0.483,0.06,-2.41,-3.6,1784838630932.0938
-0.801,0.287,0.477,0.46,-2.93,-3.97,1784838630932.4382
-0.801,0.285,0.476,0.52,-3.27,-4.43,1784838630932.7842
-0.798,0.286,0.474,0.43,-3.51,-4.79,1784838630933.125
-0.795,0.286,0.469,0.18,-3.66,-4.91,1784838630933.47
-0.794,0.288,0.466,-0.06,-3.88,-5.07,1784838630933.815
-0.795,0.288,0.464,-0.24,-3.81,-5.25,1784838630934.1628
-0.798,0.289,0.464,-0.43,-3.6,-5.52,1784838630934.4739
-0.8,0.291,0.466,-0.58,-3.72,-5.77,1784838630934.7898
-0.801,0.292,0.462,-0.64,-3.88,-5.92,1784838630935.103
-0.798,0.293,0.457,-0.64,-3.78,-6.01,1784838630935.405
