num_points,points,timestamp_ms
10,"[{""range"": 0.5957619017659993, ""doppler"": 0.0, ""angle"": -40.77663033735776, ""elevation"": 0.0}, {""range"": 1.2920141399376364, ""doppler"": 0.0, ""angle"": -14.318960101553627, ""elevation"": 0.0}, {""range"": 1.3168711493156189, ""doppler"": 0.0, ""angle"": -10.63399296101574, ""elevation"": 0.0}, {""range"": 1.406936329776243, ""doppler"": 0.0, ""angle"": -0.9831156882059798, ""elevation"": 0.0}, {""range"": 0.6461696545000675, ""doppler"": 0.0, ""angle"": 6.961786554370008, ""elevation"": 0.0}, {""range"": 0.6554316158764744, ""doppler"": 0.0, ""angle"": 5.9034603586368615, ""elevation"": 0.0}, {""range"": 1.365269623712422, ""doppler"": 0.0, ""angle"": 4.462015582834654, ""elevation"": 0.0}, {""range"": 0.7071458330673186, ""doppler"": 0.0, ""angle"": 36.0092650689183, ""elevation"": 0.0}, {""range"": 2.5275547152814344, ""doppler"": 0.0, ""angle"": 54.25216543166708, ""elevation"": 0.0}, {""range"": 2.5480115587036853, ""doppler"": 0.0, ""angle"": 56.098044888522224, ""elevation"": 0.0}]",1784935015829.233
10,"[{""range"": 1.4168686406437532, ""doppler"": 0.0, ""angle"": -22.71720449223331, ""elevation"": 0.0}, {""range"": 1.2933077988073887, ""doppler"": 0.0, ""angle"": -13.830662766445547, ""elevation"": 0.0}, {""range"": 1.3155786413544202, ""doppler"": 0.0, ""angle"": -10.755518835257952, ""elevation"": 0.0}, {""range"": 0.5849710312910439, ""doppler"": 0.0, ""angle"": 9.660995153487171, ""elevation"": 0.0}, {""range"": 0.6526892313266007, ""doppler"": 0.0, ""angle"": 7.952510425362109, ""elevation"": 0.0}, {""range"": 1.3634350845382706, ""doppler"": 0.0, ""angle"": 6.491218709387793, ""elevation"": 0.0}, {""range"": 0.6140754028172211, ""doppler"": 0.0, ""angle"": 13.23096663815809, ""elevation"": 0.0}, {""range"": 0.6316075194192903, ""doppler"": 0.0, ""angle"": 11.844380657336533, ""elevation"": 0.0}, {""range"": 2.525199269552034, ""doppler"": 0.0, ""angle"": 52.87693113143417, ""elevation"": 0.0}, {""range"": 2.546544492034527, ""doppler"": 0.0, ""angle"": 54.60356433394925, ""elevation"": 0.0}]",1784935015829.8071
10,"[{""range"": 1.4164721287442659, ""doppler"": 0.0, ""angle"": -20.41382404689437, ""elevation"": 0.0}, {""range"": 1.2916145259622136, ""doppler"": 0.0, ""angle"": -14.217083753663484, ""elevation"": 0.0}, {""range"": 1.3068307832541837, ""doppler"": 0.0, ""angle"": -14.072370626406489, ""elevation"": 0.0}, {""range"": 0.6516177028408648, ""doppler"": 0.0, ""angle"": 1.950009140051608, ""elevation"": 0.0}, {""range"": 0.5887394410079927, ""doppler"": 0.0, ""angle"": 6.697637131690243, ""elevation"": 0.0}, {""range"": 0.6145582850844366, ""doppler"": 0.0, ""angle"": 5.677416662045332, ""elevation"": 0.0}, {""range"": 0.6310891966436812, ""doppler"": 0.0, ""angle"": 3.931782793294093, ""elevation"": 0.0}, {""range"": 1.365400628122605, ""doppler"": 0.0, ""angle"": 15.947457270935027, ""elevation"": 0.0}, {""range"": 2.526541257926705, ""doppler"": 0.0, ""angle"": 53.890043425431365, ""elevation"": 0.0}, {""range"": 2.5456862700970873, ""doppler"": 0.0, ""angle"": 55.473858575714125, ""elevation"": 0.0}]",1784935015830.2861
8,"[{""range"": 1.4190641494671359, ""doppler"": 0.0, ""angle"": -20.876304706981863, ""elevation"": 0.0}, {""range"": 1.2926355546016872, ""doppler"": 0.0, ""angle"": -14.426475422156688, ""elevation"": 0.0}, {""range"": 1.3049429290856995, ""doppler"": 0.0, ""angle"": -14.603698401222967, ""elevation"": 0.0}, {""range"": 0.6172188981320548, ""doppler"": 0.0, ""angle"": 3.837262117327651, ""elevation"": 0.0}, {""range"": 0.7291076502460244, ""doppler"": 0.0, ""angle"": 30.59022467061933, ""elevation"": 0.0}, {""range"": 2.5281171436889727, ""doppler"": 0.0, ""angle"": 56.472908494559555, ""elevation"": 0.0}, {""range"": 2.5469198072860117, ""doppler"": 0.0, ""angle"": 60.216699991166635, ""elevation"": 0.0}, {""range"": 2.5879010709477104, ""doppler"": 0.0, ""angle"": 59.31325555373892, ""elevation"": 0.0}]",1784935015831.042
10,"[{""range"": 0.5888345300915463, ""doppler"": 0.0, ""angle"": -33.90722390873316, ""elevation"": 0.0}, {""range"": 0.6051084673959598, ""doppler"": 0.0, ""angle"": -31.021830482906875, ""elevation"": 0.0}, {""range"": 1.2929255250374927, ""doppler"": 0.0, ""angle"": -15.752738085372897, ""elevation"": 0.0}, {""range"": 1.3080024301909283, ""doppler"": 0.0, ""angle"": -16.071277924786372, ""elevation"": 0.0}, {""range"": 1.4137274593201805, ""doppler"": 0.0, ""angle"": -3.5460466565879143, ""elevation"": 0.0}, {""range"": 1.374413289702134, ""doppler"": 0.0, ""angle"": 16.7799253660686, ""elevation"": 0.0}, {""range"": 0.6421093852074237, ""doppler"": 0.0, ""angle"": 23.62389601751872, ""elevation"": 0.0}, {""range"": 0.6480273475858591, ""doppler"": 0.0, ""angle"": 21.751500283371456, ""elevation"": 0.0}, {""range"": 2.5287849965310567, ""doppler"": 0.0, ""angle"": 56.77401499251572, ""elevation"": 0.0}, {""range"": 2.546657041568198, ""doppler"": 0.0, ""angle"": 59.103858031118904, ""elevation"": 0.0}]",1784935015831.487
9,"[{""range"": 1.2976305573554845, ""doppler"": 0.0, ""angle"": -14.957355065313239, ""elevation"": 0.0}, {""range"": 1.3099740655664676, ""doppler"": 0.0, ""angle"": -14.360609421456918, ""elevation"": 0.0}, {""range"": 0.5859732627868652, ""doppler"": 0.0, ""angle"": 0.0, ""elevation"": 0.0}, {""range"": 0.6206315083206946, ""doppler"": 0.0, ""angle"": 9.218073017069857, ""elevation"": 0.0}, {""range"": 0.6424471118654058, ""doppler"": 0.0, ""angle"": 15.74605751206801, ""elevation"": 0.0}, {""range"": 0.6554497631865004, ""doppler"": 0.0, ""angle"": 18.944077453887463, ""elevation"": 0.0}, {""range"": 0.6775239914602401, ""doppler"": 0.0, ""angle"": 29.122166381466783, ""elevation"": 0.0}, {""range"": 2.5299729483789997, ""doppler"": 0.0, ""angle"": 59.05707829592199, ""elevation"": 0.0}, {""range"": 2.5459770480993082, ""doppler"": 0.0, ""angle"": 62.11569957717112, ""elevation"": 0.0}]",1784935015831.912
10,"[{""range"": 0.6020411042616185, ""doppler"": 0.0, ""angle"": -39.818644360865456, ""elevation"": 0.0}, {""range"": 1.2961578757720698, ""doppler"": 0.0, ""angle"": -14.835694328679457, ""elevation"": 0.0}, {""range"": 1.3116513405137677, ""doppler"": 0.0, ""angle"": -13.850587908454859, ""elevation"": 0.0}, {""range"": 1.4144410524563047, ""doppler"": 0.0, ""angle"": -13.793808612176548, ""elevation"": 0.0}, {""range"": 0.6339601855534134, ""doppler"": 0.0, ""angle"": 7.503868971397476, ""elevation"": 0.0}, {""range"": 1.3695414795559242, ""doppler"": 0.0, ""angle"": 6.552504454982058, ""elevation"": 0.0}, {""range"": 0.6695925759388816, ""doppler"": 0.0, ""angle"": 32.84554645959738, ""elevation"": 0.0}, {""range"": 0.6946927101913485, ""doppler"": 0.0, ""angle"": 36.94363734710365, ""elevation"": 0.0}, {""range"": 2.5291975362866106, ""doppler"": 0.0, ""angle"": 57.02673837630344, ""elevation"": 0.0}, {""range"": 2.546143289820957, ""doppler"": 0.0, ""angle"": 58.88097447311122, ""elevation"": 0.0}]",1784935015832.34
12,"[{""range"": 0.6122949444225617, ""doppler"": 0.0, ""angle"": -17.260195394804406, ""elevation"": 0.0}, {""range"": 0.6276659979152138, ""doppler"": 0.0, ""angle"": -16.875913608455992, ""elevation"": 0.0}, {""range"": 1.2948711510427555, ""doppler"": 0.0, ""angle"": -16.197540045923414, ""elevation"": 0.0}, {""range"": 1.3142107681284945, ""doppler"": 0.0, ""angle"": -13.349884170048476, ""elevation"": 0.0}, {""range"": 1.4163874199751554, ""doppler"": 0.0, ""angle"": -11.786582414604878, ""elevation"": 0.0}, {""range"": 1.4574072495946906, ""doppler"": 0.0, ""angle"": -12.441883925787375, ""elevation"": 0.0}, {""range"": 1.5014757337959848, ""doppler"": 0.0, ""angle"": -13.870749634198821, ""elevation"": 0.0}, {""range"": 1.3670708864243077, ""doppler"": 0.0, ""angle"": 4.561370878391106, ""elevation"": 0.0}, {""range"": 0.6815581246552616, ""doppler"": 0.0, ""angle"": 37.645580264783085, ""elevation"": 0.0}, {""range"": 0.7058818837970423, ""doppler"": 0.0, ""angle"": 37.66239614037374, ""elevation"": 0.0}, {""range"": 2.526628237083152, ""doppler"": 0.0, ""angle"": 58.408967859238594, ""elevation"": 0.0}, {""range"": 2.5436955922393123, ""doppler"": 0.0, ""angle"": 59.94737797583184, ""elevation"": 0.0}]",1784935015832.767
10,"[{""range"": 1.2980776460094572, ""doppler"": 0.0, ""angle"": -15.860832946902011, ""elevation"": 0.0}, {""range"": 1.315289106967062, ""doppler"": 0.0, ""angle"": -14.510438485605542, ""elevation"": 0.0}, {""range"": 1.4173351583814213, ""doppler"": 0.0, ""angle"": -13.966116175735587, ""elevation"": 0.0}, {""range"": 0.6127878653500478, ""doppler"": 0.0, ""angle"": 7.056582463316999, ""elevation"": 0.0}, {""range"": 0.6234119522533829, ""doppler"": 0.0, ""angle"": 10.678208929727898, ""elevation"": 0.0}, {""range"": 0.6592608104057717, ""doppler"": 0.0, ""angle"": 12.675455996421974, ""elevation"": 0.0}, {""range"": 0.721453243996977, ""doppler"": 0.0, ""angle"": 17.496346744709857, ""elevation"": 0.0}, {""range"": 2.4963969567834368, ""doppler"": 0.0, ""angle"": 52.77797450945765, ""elevation"": 0.0}, {""range"": 2.522865679750106, ""doppler"": 0.0, ""angle"": 51.717553636947265, ""elevation"": 0.0}, {""range"": 2.5400770565289372, ""doppler"": 0.0, ""angle"": 49.6139506965131, ""elevation"": 0.0}]",1784935015833.184
7,"[{""range"": 1.4228307453009628, ""doppler"": 0.0, ""angle"": -17.494488877593486, ""elevation"": 0.0}, {""range"": 0.7057227823479572, ""doppler"": 0.0, ""angle"": 13.539776978099873, ""elevation"": 0.0}, {""range"": 0.6796606619183272, ""doppler"": 0.0, ""angle"": 19.63151617228047, ""elevation"": 0.0}, {""range"": 0.6586667521688209, ""doppler"": 0.0, ""angle"": 28.01209856077136, ""elevation"": 0.0}, {""range"": 2.5018314646988786, ""doppler"": 0.0, ""angle"": 49.41158650031261, ""elevation"": 0.0}, {""range"": 2.5207565791217545, ""doppler"": 0.0, ""angle"": 50.919350219711156, ""elevation"": 0.0}, {""range"": 2.5344560595699646, ""doppler"": 0.0, ""angle"": 50.628679506763284, ""elevation"": 0.0}]",1784935015833.603
