distance_cm,timestamp_ms
24.0,1784935228145.986
26.0,1784935228165.4502
31.0,1784935228205.78
41.0,1784935228245.595
39.0,1784935228285.6152
38.0,1784935228325.6309
41.0,1784935228375.8918
43.0,1784935228415.6501
38.0,1784935228449.533
40.0,1784935228486.987
42.0,1784935228539.245
33.0,1784935228569.4348
38.0,1784935228609.939
32.0,1784935228656.711
39.0,1784935228696.184
36.0,1784935228736.5398
45.0,1784935228766.5688
50.0,1784935228809.729
46.0,1784935228856.469
47.0,1784935228886.0933
55.0,1784935228926.476
54.0,1784935228966.5432
61.0,1784935229009.3638
76.0,1784935229049.536
84.0,1784935229089.925
102.0,1784935229129.986
83.0,1784935229176.029
77.0,1784935229216.637
77.0,1784935229256.0042
79.0,1784935229295.857
81.0,1784935229330.119
86.0,1784935229369.7168
83.0,1784935229409.419
84.0,1784935229449.845
90.0,1784935229496.095
120.0,1784935229536.215
71.0,1784935229576.407
69.0,1784935229619.07
62.0,1784935229649.451
61.0,1784935229689.748
58.0,1784935229735.822
50.0,1784935229776.111
54.0,1784935229816.225
51.0,1784935229856.097
49.0,1784935229896.32
51.0,1784935229936.874
54.0,1784935229976.142
53.0,1784935230006.2258
48.0,1784935230046.476
48.0,1784935230089.3928
54.0,1784935230129.903
47.0,1784935230175.343
50.0,1784935230209.931
49.0,1784935230255.91
49.0,1784935230296.355
52.0,1784935230336.545
51.0,1784935230366.35
44.0,1784935230406.828
47.0,1784935230449.81
41.0,1784935230496.611
40.0,1784935230526.8901
38.0,1784935230569.458
38.0,1784935230609.637
38.0,1784935230649.9321
38.0,1784935230696.3142
41.0,1784935230726.248
47.0,1784935230769.4412
40.0,1784935230816.155
39.0,1784935230856.669
37.0,1784935230886.964
40.0,1784935230929.9277
39.0,1784935230976.4768
35.0,1784935231006.3948
32.0,1784935231046.253
33.0,1784935231086.942
34.0,1784935231126.9497
29.0,1784935231169.446
31.0,1784935231206.7202
33.0,1784935231256.2183
34.0,1784935231295.705
37.0,1784935231329.9429
35.0,1784935231366.944
31.0,1784935231416.294
28.0,1784935231446.729
35.0,1784935231489.528
15.0,1784935231536.395
8.0,1784935231575.688
2.0,1784935231609.657
2.0,1784935231659.533
4.0,1784935231696.552
4.0,1784935231769.6719
7.0,1784935231806.209
2.0,1784935231855.781
6.0,1784935231889.481
15.0,1784935231926.367
15.0,1784935231975.953
21.0,1784935232015.481
25.0,1784935232046.826
27.0,1784935232096.3452
24.0,1784935232135.711
27.0,1784935232169.702
33.0,1784935232206.6528
43.0,1784935232256.2139
40.0,1784935232295.882
33.0,1784935232335.2407
32.0,1784935232366.843
31.0,1784935232416.296
31.0,1784935232455.559
37.0,1784935232489.547
35.0,1784935232536.4402
42.0,1784935232575.721
32.0,1784935232609.249
36.0,1784935232656.79
33.0,1784935232695.9648
36.0,1784935232729.939
29.0,1784935232766.7893
29.0,1784935232806.704
34.0,1784935232846.1519
37.0,1784935232895.941
25.0,1784935232929.9421
31.0,1784935232966.36
25.0,1784935233015.836
27.0,1784935233049.9119
