num_points,points,timestamp_ms
8,"[{""range"": 1.3487424074924372, ""doppler"": 0.0, ""angle"": -34.084042223735274, ""elevation"": 0.0}, {""range"": 1.3273069392251355, ""doppler"": 0.0, ""angle"": -21.986312543378002, ""elevation"": 0.0}, {""range"": 1.299561044630691, ""doppler"": 0.0, ""angle"": -11.291379143292017, ""elevation"": 0.0}, {""range"": 0.5963564811480839, ""doppler"": 0.0, ""angle"": 3.730651634880598, ""elevation"": 0.0}, {""range"": 0.6132541126291895, ""doppler"": 0.0, ""angle"": 6.428747748829855, ""elevation"": 0.0}, {""range"": 0.6274094536251359, ""doppler"": 0.0, ""angle"": 9.945547575071483, ""elevation"": 0.0}, {""range"": 0.6628628445339246, ""doppler"": 0.0, ""angle"": 21.29051987300047, ""elevation"": 0.0}, {""range"": 0.6873314102714982, ""doppler"": 0.0, ""angle"": 25.30505389768153, ""elevation"": 0.0}]",1784934951097.832
8,"[{""range"": 1.3614740776672434, ""doppler"": 0.0, ""angle"": -28.988822521191544, ""elevation"": 0.0}, {""range"": 1.4439190762658884, ""doppler"": 0.0, ""angle"": -30.143562872058688, ""elevation"": 0.0}, {""range"": 1.3235141379345896, ""doppler"": 0.0, ""angle"": -17.137445746366772, ""elevation"": 0.0}, {""range"": 0.5816873351670332, ""doppler"": 0.0, ""angle"": 3.4895393008043714, ""elevation"": 0.0}, {""range"": 0.6064231980852114, ""doppler"": 0.0, ""angle"": 7.011858274475106, ""elevation"": 0.0}, {""range"": 0.6267038872650044, ""doppler"": 0.0, ""angle"": 16.697678390493888, ""elevation"": 0.0}, {""range"": 0.6636520362739984, ""doppler"": 0.0, ""angle"": 30.828731378629428, ""elevation"": 0.0}, {""range"": 2.522214229419062, ""doppler"": 0.0, ""angle"": 59.02718726979807, ""elevation"": 0.0}]",1784934951098.253
8,"[{""range"": 1.363828799676387, ""doppler"": 0.0, ""angle"": -33.24211154215559, ""elevation"": 0.0}, {""range"": 1.333039363256598, ""doppler"": 0.0, ""angle"": -19.66726588291241, ""elevation"": 0.0}, {""range"": 0.6382201734020869, ""doppler"": 0.0, ""angle"": 1.4770302652632874, ""elevation"": 0.0}, {""range"": 0.529981726811552, ""doppler"": 0.0, ""angle"": 6.295361047141984, ""elevation"": 0.0}, {""range"": 0.579748474079417, ""doppler"": 0.0, ""angle"": 7.425312837607236, ""elevation"": 0.0}, {""range"": 0.600820912815597, ""doppler"": 0.0, ""angle"": 8.040875445269847, ""elevation"": 0.0}, {""range"": 0.6138458127710724, ""doppler"": 0.0, ""angle"": 6.321760369233369, ""elevation"": 0.0}, {""range"": 2.5193111452637176, ""doppler"": 0.0, ""angle"": 61.992580285249645, ""elevation"": 0.0}]",1784934951098.5278
9,"[{""range"": 1.3597884561192037, ""doppler"": 0.0, ""angle"": -31.771377492230094, ""elevation"": 0.0}, {""range"": 1.3247064503387898, ""doppler"": 0.0, ""angle"": -14.540832461761097, ""elevation"": 0.0}, {""range"": 0.5897228521636217, ""doppler"": 0.0, ""angle"": 17.28665932347187, ""elevation"": 0.0}, {""range"": 0.6160029737678183, ""doppler"": 0.0, ""angle"": 12.13192893426579, ""elevation"": 0.0}, {""range"": 0.6340722192532902, ""doppler"": 0.0, ""angle"": 11.154659738928299, ""elevation"": 0.0}, {""range"": 0.6608650467963106, ""doppler"": 0.0, ""angle"": 14.382164695653907, ""elevation"": 0.0}, {""range"": 0.7047946174388222, ""doppler"": 0.0, ""angle"": 18.673986310789505, ""elevation"": 0.0}, {""range"": 2.525470294415251, ""doppler"": 0.0, ""angle"": 62.06687561297377, ""elevation"": 0.0}, {""range"": 2.544113305251656, ""doppler"": 0.0, ""angle"": 63.60063679116474, ""elevation"": 0.0}]",1784934951098.9739
6,"[{""range"": 1.35383122455684, ""doppler"": 0.0, ""angle"": -31.83853236314438, ""elevation"": 0.0}, {""range"": 0.5730137096265314, ""doppler"": 0.0, ""angle"": -16.90817698498521, ""elevation"": 0.0}, {""range"": 1.323225832465962, ""doppler"": 0.0, ""angle"": -14.133892763262569, ""elevation"": 0.0}, {""range"": 0.6184730168537521, ""doppler"": 0.0, ""angle"": 5.641363518153786, ""elevation"": 0.0}, {""range"": 0.6165902728960195, ""doppler"": 0.0, ""angle"": 6.795260107792226, ""elevation"": 0.0}, {""range"": 0.6366079937989911, ""doppler"": 0.0, ""angle"": 7.083096997088806, ""elevation"": 0.0}]",1784934951099.251
11,"[{""range"": 1.3530294603653445, ""doppler"": 0.0, ""angle"": -30.954666292658583, ""elevation"": 0.0}, {""range"": 1.4549775254685, ""doppler"": 0.0, ""angle"": -25.157273982712024, ""elevation"": 0.0}, {""range"": 1.3218164296680963, ""doppler"": 0.0, ""angle"": -14.613374071602511, ""elevation"": 0.0}, {""range"": 1.3061302845466285, ""doppler"": 0.0, ""angle"": -7.061775999844565, ""elevation"": 0.0}, {""range"": 0.5817518919725211, ""doppler"": 0.0, ""angle"": 2.97761400906236, ""elevation"": 0.0}, {""range"": 0.5805810885584003, ""doppler"": 0.0, ""angle"": 6.650043116025661, ""elevation"": 0.0}, {""range"": 0.674934776226354, ""doppler"": 0.0, ""angle"": 29.628147262089882, ""elevation"": 0.0}, {""range"": 0.6822512507342127, ""doppler"": 0.0, ""angle"": 33.106966900857536, ""elevation"": 0.0}, {""range"": 0.6580022843786402, ""doppler"": 0.0, ""angle"": 39.26530538879213, ""elevation"": 0.0}, {""range"": 2.5247757868038283, ""doppler"": 0.0, ""angle"": 52.849294657164826, ""elevation"": 0.0}, {""range"": 2.545074299469388, ""doppler"": 0.0, ""angle"": 52.76619161144268, ""elevation"": 0.0}]",1784934951099.5222
10,"[{""range"": 1.3553860317582882, ""doppler"": 0.0, ""angle"": -33.069499333734875, ""elevation"": 0.0}, {""range"": 1.4459415394749162, ""doppler"": 0.0, ""angle"": -21.023775788340615, ""elevation"": 0.0}, {""range"": 1.3211523990838057, ""doppler"": 0.0, ""angle"": -13.342204908429693, ""elevation"": 0.0}, {""range"": 1.3007905654782206, ""doppler"": 0.0, ""angle"": -5.165905808902228, ""elevation"": 0.0}, {""range"": 0.5951860953881711, ""doppler"": 0.0, ""angle"": 11.033110805209756, ""elevation"": 0.0}, {""range"": 0.6101832609481214, ""doppler"": 0.0, ""angle"": 12.146355865686242, ""elevation"": 0.0}, {""range"": 0.6212133250014998, ""doppler"": 0.0, ""angle"": 13.364229953631373, ""elevation"": 0.0}, {""range"": 0.6424307622991123, ""doppler"": 0.0, ""angle"": 14.771161175415907, ""elevation"": 0.0}, {""range"": 2.525839335511177, ""doppler"": 0.0, ""angle"": 59.16632654155672, ""elevation"": 0.0}, {""range"": 2.5511990870041714, ""doppler"": 0.0, ""angle"": 57.41823450417505, ""elevation"": 0.0}]",1784934951099.7961
9,"[{""range"": 1.3553462101740141, ""doppler"": 0.0, ""angle"": -31.248962600083715, ""elevation"": 0.0}, {""range"": 1.3223472762253432, ""doppler"": 0.0, ""angle"": -15.152510054062427, ""elevation"": 0.0}, {""range"": 1.3012538180593143, ""doppler"": 0.0, ""angle"": -6.168905724713859, ""elevation"": 0.0}, {""range"": 0.6452762891100889, ""doppler"": 0.0, ""angle"": 1.7308954753327424, ""elevation"": 0.0}, {""range"": 0.5992936404186642, ""doppler"": 0.0, ""angle"": 9.133492000943026, ""elevation"": 0.0}, {""range"": 0.6140833172866346, ""doppler"": 0.0, ""angle"": 6.806330357175826, ""elevation"": 0.0}, {""range"": 0.582410819094581, ""doppler"": 0.0, ""angle"": 11.906777859872104, ""elevation"": 0.0}, {""range"": 2.545831682088962, ""doppler"": 0.0, ""angle"": 51.75123152126694, ""elevation"": 0.0}, {""range"": 2.5254349452708564, ""doppler"": 0.0, ""angle"": 57.03905893072191, ""elevation"": 0.0}]",1784934951100.0728
8,"[{""range"": 1.3523585310728337, ""doppler"": 0.0, ""angle"": -28.459304556403687, ""elevation"": 0.0}, {""range"": 1.4605510443531893, ""doppler"": 0.0, ""angle"": -26.82542770810165, ""elevation"": 0.0}, {""range"": 1.326412850076619, ""doppler"": 0.0, ""angle"": -13.462986315282887, ""elevation"": 0.0}, {""range"": 0.5845547578143956, ""doppler"": 0.0, ""angle"": -5.124610223488793, ""elevation"": 0.0}, {""range"": 0.6109745845421801, ""doppler"": 0.0, ""angle"": 3.8765395459971894, ""elevation"": 0.0}, {""range"": 0.6300693636027697, ""doppler"": 0.0, ""angle"": 10.729531985017434, ""elevation"": 0.0}, {""range"": 0.6661262833449711, ""doppler"": 0.0, ""angle"": 21.958493379361663, ""elevation"": 0.0}, {""range"": 2.519888223013656, ""doppler"": 0.0, ""angle"": 51.90214607296553, ""elevation"": 0.0}]",1784934951100.3462
10,"[{""range"": 1.4565992223852788, ""doppler"": 0.0, ""angle"": -30.53793936899713, ""elevation"": 0.0}, {""range"": 1.3527605045781645, ""doppler"": 0.0, ""angle"": -25.62680402881713, ""elevation"": 0.0}, {""range"": 1.326591704062452, ""doppler"": 0.0, ""angle"": -14.791126848686364, ""elevation"": 0.0}, {""range"": 0.5455970635230338, ""doppler"": 0.0, ""angle"": -5.906785197760637, ""elevation"": 0.0}, {""range"": 1.3014435492961043, ""doppler"": 0.0, ""angle"": -4.863012416230548, ""elevation"": 0.0}, {""range"": 0.5788578535485479, ""doppler"": 0.0, ""angle"": 2.9216233651085055, ""elevation"": 0.0}, {""range"": 0.5992349753559434, ""doppler"": 0.0, ""angle"": 8.425089834668992, ""elevation"": 0.0}, {""range"": 0.6219595140543018, ""doppler"": 0.0, ""angle"": 14.331888824196653, ""elevation"": 0.0}, {""range"": 0.6648548315576168, ""doppler"": 0.0, ""angle"": 26.482353453153202, ""elevation"": 0.0}, {""range"": 0.703548668113959, ""doppler"": 0.0, ""angle"": 35.075529510526486, ""elevation"": 0.0}]",1784934951100.602
