distance_cm,timestamp_ms
28.0,1784934951097.692
28.0,1784934951115.822
31.0,1784934951127.903
29.0,1784934951160.3032
34.0,1784934951170.707
25.0,1784934951199.744
24.0,1784934951210.104
24.0,1784934951241.177
23.0,1784934951254.436
23.0,1784934951280.54
16.0,1784934951291.011
16.0,1784934951320.1548
15.0,1784934951330.519
13.0,1784934951361.9622
12.0,1784934951375.1711
13.0,1784934951401.134
16.0,1784934951411.536
14.0,1784934951440.9211
13.0,1784934951450.855
13.0,1784934951484.906
17.0,1784934951490.751
15.0,1784934951521.797
13.0,1784934951534.975
13.0,1784934951561.84
39.0,1784934951645.517
33.0,1784934951680.85
35.0,1784934951690.741
37.0,1784934951724.9321
39.0,1784934951731.044
37.0,1784934951765.141
39.0,1784934951771.034
35.0,1784934951800.691
39.0,1784934951811.302
40.0,1784934951841.186
37.0,1784934951851.706
37.0,1784934951881.542
40.0,1784934951891.9822
37.0,1784934951921.4668
41.0,1784934951934.856
41.0,1784934951961.643
46.0,1784934951974.9382
43.0,1784934952001.676
46.0,1784934952014.9707
43.0,1784934952041.8691
45.0,1784934952055.1099
47.0,1784934952084.788
47.0,1784934952090.6482
44.0,1784934952125.2322
43.0,1784934952131.254
53.0,1784934952160.974
48.0,1784934952171.865
51.0,1784934952201.955
55.0,1784934952215.21
58.0,1784934952245.3901
57.0,1784934952250.898
60.0,1784934952284.8901
61.0,1784934952291.2341
73.0,1784934952320.943
75.0,1784934952331.434
78.0,1784934952361.1208
83.0,1784934952371.1218
80.0,1784934952401.039
81.0,1784934952411.335
79.0,1784934952441.102
79.0,1784934952451.6348
74.0,1784934952481.152
77.0,1784934952491.54
71.0,1784934952521.058
70.0,1784934952531.3489
70.0,1784934952560.842
72.0,1784934952571.003
78.0,1784934952601.045
82.0,1784934952611.351
73.0,1784934952641.315
71.0,1784934952651.825
73.0,1784934952681.812
77.0,1784934952694.934
71.0,1784934952724.8928
69.0,1784934952730.977
69.0,1784934952760.8152
64.0,1784934952771.515
49.0,1784934952801.435
52.0,1784934952811.746
51.0,1784934952841.542
52.0,1784934952920.867
55.0,1784934952960.619
46.0,1784934952970.6729
52.0,1784934953004.9548
52.0,1784934953010.966
47.0,1784934953045.177
41.0,1784934953051.1538
49.0,1784934953081.002
46.0,1784934953091.321
44.0,1784934953121.1719
49.0,1784934953131.667
45.0,1784934953161.498
49.0,1784934953172.02
47.0,1784934953201.626
49.0,1784934953214.913
47.0,1784934953241.479
47.0,1784934953252.001
48.0,1784934953281.201
48.0,1784934953291.653
48.0,1784934953320.8801
45.0,1784934953331.0981
46.0,1784934953360.8
45.0,1784934953371.273
44.0,1784934953401.169
46.0,1784934953411.633
41.0,1784934953441.2642
44.0,1784934953451.614
43.0,1784934953481.7148
40.0,1784934953494.848
46.0,1784934953524.8079
44.0,1784934953530.893
39.0,1784934953565.362
45.0,1784934953571.376
40.0,1784934953600.875
40.0,1784934953614.145
39.0,1784934953641.814
40.0,1784934953655.2698
37.0,1784934953684.9092
42.0,1784934953690.868
40.0,1784934953724.7578
48.0,1784934953731.05
41.0,1784934953765.092
44.0,1784934953771.1501
38.0,1784934953800.7869
41.0,1784934953811.221
37.0,1784934953840.587
37.0,1784934953921.309
39.0,1784934953961.638
34.0,1784934953974.841
21.0,1784934954001.966
18.0,1784934954015.2112
13.0,1784934954044.957
15.0,1784934954050.908
20.0,1784934954085.216
28.0,1784934954091.258
39.0,1784934954120.915
40.0,1784934954201.149
39.0,1784934954241.1133
37.0,1784934954251.628
36.0,1784934954281.0627
39.0,1784934954291.785
37.0,1784934954320.6558
35.0,1784934954331.26
41.0,1784934954365.385
35.0,1784934954371.285
37.0,1784934954405.254
38.0,1784934954411.266
39.0,1784934954445.2422
38.0,1784934954454.9102
33.0,1784934954485.058
39.0,1784934954490.648
35.0,1784934954521.667
39.0,1784934954532.1072
35.0,1784934954560.896
28.0,1784934954570.989
31.0,1784934954605.3008
32.0,1784934954611.063
32.0,1784934954641.723
35.0,1784934954654.978
35.0,1784934954681.057
32.0,1784934954691.436
32.0,1784934954720.776
33.0,1784934954731.0632
34.0,1784934954765.104
28.0,1784934954770.925
28.0,1784934954801.7302
34.0,1784934954815.062
30.0,1784934954840.961
33.0,1784934954851.068
33.0,1784934954880.927
31.0,1784934954890.6902
29.0,1784934954921.822
33.0,1784934954935.236
33.0,1784934954961.207
28.0,1784934954971.595
35.0,1784934955000.97
33.0,1784934955010.8218
31.0,1784934955041.934
32.0,1784934955055.226
32.0,1784934955081.244
32.0,1784934955091.632
34.0,1784934955121.0352
31.0,1784934955130.9968
32.0,1784934955165.026
32.0,1784934955170.688
31.0,1784934955201.438
32.0,1784934955211.8
30.0,1784934955240.723
35.0,1784934955251.19
38.0,1784934955280.8499
39.0,1784934955290.809
34.0,1784934955321.903
33.0,1784934955335.194
35.0,1784934955361.347
35.0,1784934955371.588
35.0,1784934955401.129
40.0,1784934955481.578
41.0,1784934955520.708
43.0,1784934955531.2021
42.0,1784934955565.14
40.0,1784934955570.7678
42.0,1784934955601.492
39.0,1784934955611.963
39.0,1784934955642.994
43.0,1784934955651.051
46.0,1784934955685.678
39.0,1784934955761.3618
41.0,1784934955800.822
46.0,1784934955810.6282
46.0,1784934955841.7449
46.0,1784934955855.0068
40.0,1784934955881.292
46.0,1784934955891.451
47.0,1784934955921.123
49.0,1784934955931.388
45.0,1784934955960.9922
45.0,1784934955971.461
46.0,1784934956001.119
45.0,1784934956011.29
