ax,ay,az,gx,gy,gz,timestamp_ms
-0.882,-0.486,-0.16,-0.46,2.66,-3.05,1784935275886.1409
-0.884,-0.48,-0.151,-2.2,3.23,-3.45,1784935275886.417
-0.884,-0.482,-0.144,-3.14,4.09,-3.23,1784935275886.635
-0.888,-0.488,-0.124,-2.14,5.55,-2.99,1784935275886.848
-0.878,-0.49,-0.094,1.4,7.14,-2.2,1784935275887.067
-0.862,-0.501,-0.079,7.69,8.15,-0.85,1784935275887.284
-0.85,-0.504,-0.084,14.53,8.21,0.21,1784935275887.485
-0.842,-0.501,-0.104,19.9,7.66,0.67,1784935275887.691
-0.836,-0.495,-0.129,22.71,6.84,0.43,1784935275887.899
-0.83,-0.484,-0.156,22.4,5.68,-0.27,1784935275888.112
-0.824,-0.468,-0.173,18.98,4.27,-1.8,1784935275888.317
-0.818,-0.449,-0.182,13.52,3.02,-3.6,1784935275888.525
-0.818,-0.435,-0.183,6.62,1.8,-5.37,1784935275888.751
-0.821,-0.431,-0.182,-0.67,0.95,-6.74,1784935275888.947
-0.824,-0.433,-0.17,-7.42,0.64,-7.2,1784935275889.154
-0.831,-0.44,-0.155,-12.36,1.04,-6.5,1784935275889.364
-0.84,-0.448,-0.137,-14.56,1.8,-5.01,1784935275889.5637
-0.842,-0.456,-0.124,-13.28,2.5,-3.08,1784935275889.7751
-0.845,-0.461,-0.116,-9.83,3.39,-1.28,1784935275889.983
-0.847,-0.458,-0.111,-5.49,4.03,0.67,1784935275890.192
-0.851,-0.455,-0.112,-1.5,4.39,2.32,1784935275890.388
-0.853,-0.451,-0.114,1.34,4.79,3.6,1784935275890.6018
-0.855,-0.449,-0.115,2.87,4.94,4.3,1784935275890.808
-0.859,-0.452,-0.113,2.99,4.76,4.49,1784935275891.01
-0.864,-0.457,-0.111,2.14,4.27,4.3,1784935275891.224
-0.868,-0.464,-0.111,0.98,3.57,3.91,1784935275891.4321
-0.866,-0.469,-0.112,0.18,2.78,3.85,1784935275891.642
-0.864,-0.471,-0.114,-0.31,1.86,3.63,1784935275891.846
-0.863,-0.467,-0.12,-0.82,0.85,3.51,1784935275892.047
-0.859,-0.468,-0.127,-1.92,0.21,3.36,1784935275892.241
-0.855,-0.466,-0.129,-3.33,-0.4,3.02,1784935275892.4438
-0.851,-0.467,-0.131,-4.55,-0.79,3.08,1784935275892.647
-0.852,-0.472,-0.135,-5.52,-1.22,3.08,1784935275892.8691
-0.856,-0.476,-0.133,-6.47,-1.65,2.96,1784935275893.056
-0.86,-0.48,-0.132,-7.14,-1.86,2.87,1784935275893.2449
-0.858,-0.482,-0.13,-6.99,-1.98,3.08,1784935275893.452
-0.854,-0.489,-0.134,-5.43,-2.47,3.3,1784935275893.638
-0.852,-0.495,-0.149,-3.48,-2.99,3.33,1784935275893.8398
-0.855,-0.498,-0.167,-2.29,-3.2,3.17,1784935275894.031
-0.858,-0.493,-0.177,-1.71,-3.3,3.11,1784935275894.2148
-0.855,-0.482,-0.179,-2.23,-2.75,3.11,1784935275894.4058
-0.85,-0.471,-0.171,-3.63,-2.01,2.99,1784935275894.594
-0.85,-0.469,-0.159,-4.88,-1.19,2.62,1784935275894.78
-0.85,-0.471,-0.151,-5.62,-0.31,2.38,1784935275894.971
-0.852,-0.483,-0.148,-5.16,0.43,2.2,1784935275895.178
-0.854,-0.494,-0.148,-3.81,1.01,2.08,1784935275895.3708
-0.858,-0.503,-0.145,-1.65,1.56,1.95,1784935275895.573
-0.86,-0.502,-0.138,1.31,1.77,1.77,1784935275895.763
-0.859,-0.501,-0.141,4.58,1.8,1.28,1784935275895.958
-0.858,-0.49,-0.137,6.81,1.5,0.55,1784935275896.163
-0.859,-0.475,-0.144,7.78,0.95,-0.06,1784935275896.352
-0.858,-0.474,-0.159,7.78,0.52,-0.37,1784935275896.5493
-0.854,-0.476,-0.165,6.23,0.46,-0.95,1784935275896.734
-0.851,-0.473,-0.16,3.69,0.61,-1.25,1784935275896.924
-0.849,-0.471,-0.15,0.85,0.67,-1.28,1784935275897.116
-0.845,-0.468,-0.145,-1.46,0.67,-1.01,1784935275897.301
