ax,ay,az,gx,gy,gz,timestamp_ms
0.329,-0.281,-0.908,-3.17,2.38,-3.75,1784844931855.0789
0.335,-0.271,-0.898,-3.91,1.8,-3.97,1784844931855.638
0.349,-0.266,-0.901,-4.46,0.85,-4.46,1784844931856.316
0.339,-0.275,-0.909,-5.74,0.92,-5.34,1784844931856.906
0.321,-0.279,-0.898,-6.96,1.53,-6.59,1784844931857.5051
0.323,-0.288,-0.891,-7.45,1.01,-6.59,1784844931858.104
0.341,-0.297,-0.905,-8.03,0.76,-5.98,1784844931858.7231
0.337,-0.298,-0.912,-7.63,0.58,-5.19,1784844931859.319
0.334,-0.29,-0.93,-6.84,-0.43,-4.52,1784844931859.9182
0.319,-0.286,-0.91,-5.49,2.41,-4.15,1784844931861.485
0.329,-0.307,-0.889,-2.69,3.63,-2.26,1784844931862.3328
0.319,-0.296,-0.867,0.61,4.09,-3.88,1784844931863.1501
0.327,-0.297,-0.86,4.0,4.3,-4.09,1784844931863.776
0.313,-0.291,-0.87,5.95,3.54,-4.43,1784844931864.414
0.305,-0.294,-0.878,8.67,2.87,-2.78,1784844931865.168
0.309,-0.295,-0.887,11.14,1.74,-0.95,1784844931865.7852
0.316,-0.289,-0.876,12.82,0.82,0.31,1784844931866.47
0.314,-0.28,-0.874,13.31,-0.09,1.01,1784844931867.184
0.317,-0.274,-0.874,12.42,-0.43,0.92,1784844931867.803
0.315,-0.265,-0.874,9.83,-0.34,-0.55,1784844931868.303
0.315,-0.255,-0.884,6.56,-0.82,-1.86,1784844931868.786
0.318,-0.249,-0.897,2.99,-1.71,-2.9,1784844931869.283
0.323,-0.253,-0.914,-1.62,-2.53,-3.27,1784844931869.776
0.321,-0.258,-0.917,-6.07,-2.87,-3.11,1784844931870.272
0.325,-0.264,-0.902,-9.16,-3.08,-2.93,1784844931870.778
0.345,-0.264,-0.892,-10.93,-3.91,-3.17,1784844931872.17
0.351,-0.257,-0.893,-12.09,-4.3,-3.72,1784844931872.671
0.341,-0.254,-0.895,-12.82,-4.39,-3.97,1784844931873.163
0.341,-0.248,-0.918,-12.82,-5.01,-3.51,1784844931873.646
0.341,-0.242,-0.936,-13.49,-4.79,-2.29,1784844931874.1912
0.336,-0.247,-0.938,-15.29,-4.52,-0.61,1784844931874.7031
0.347,-0.266,-0.929,-15.81,-4.33,0.85,1784844931875.2297
0.361,-0.285,-0.907,-13.86,-3.51,1.19,1784844931876.2551
0.365,-0.293,-0.891,-9.7,-2.81,0.7,1784844931876.922
0.36,-0.287,-0.901,-4.7,-2.41,0.21,1784844931877.409
0.348,-0.276,-0.92,-1.25,-1.92,0.06,1784844931877.898
0.333,-0.269,-0.924,0.43,-1.28,0.12,1784844931878.377
0.33,-0.274,-0.912,1.43,-0.92,1.07,1784844931878.9001
0.336,-0.288,-0.907,2.59,-0.85,1.59,1784844931879.607
0.346,-0.3,-0.902,3.14,-0.67,1.22,1784844931880.178
0.351,-0.298,-0.905,3.48,-0.82,0.37,1784844931880.636
0.351,-0.287,-0.922,3.2,-1.16,-1.07,1784844931881.0579
0.339,-0.272,-0.927,1.43,-0.79,-2.47,1784844931881.46
0.333,-0.27,-0.912,-0.89,-0.52,-3.17,1784844931881.857
0.338,-0.27,-0.897,-2.78,-0.79,-3.69,1784844931882.26
0.339,-0.273,-0.898,-4.09,-1.07,-4.46,1784844931882.6602
0.328,-0.274,-0.897,-4.94,-0.76,-5.25,1784844931883.067
0.324,-0.268,-0.896,-5.37,-1.13,-5.68,1784844931883.502
0.326,-0.263,-0.901,-6.04,-1.89,-5.28,1784844931883.905
0.329,-0.261,-0.895,-6.71,-2.2,-4.52,1784844931884.3022
0.336,-0.26,-0.894,-6.44,-2.93,-4.0,1784844931884.6973
0.335,-0.262,-0.896,-5.31,-2.9,-4.18,1784844931885.103
0.329,-0.26,-0.892,-4.06,-2.5,-4.43,1784844931885.5032
0.327,-0.259,-0.896,-3.51,-2.44,-4.36,1784844931885.917
0.323,-0.259,-0.896,-3.42,-2.38,-3.94,1784844931886.335
0.325,-0.257,-0.891,-2.72,-2.23,-3.05,1784844931886.739
0.337,-0.261,-0.894,-1.16,-2.38,-2.2,1784844931887.1418
0.343,-0.266,-0.905,0.4,-2.32,-1.68,1784844931887.5461
0.335,-0.261,-0.906,1.43,-1.95,-1.65,1784844931887.9402
0.328,-0.255,-0.905,2.26,-2.11,-1.83,1784844931888.341
0.329,-0.247,-0.907,2.81,-2.29,-2.01,1784844931888.745
